8/1p4R1/8/p3k2b/P1B1p3/1PP4r/3K4/8 w - -,c4e2
8/3r1pk1/r1pP2p1/2R3P1/p4P2/2P5/P5K1/3R4 b - f3,f7f6
6r1/5b2/2kppp2/1p3P2/p3P1Bp/1PP1K2P/P2R4/8 b - -,c6c5:d6d5
1rr3k1/4ppb1/pp1pn1pp/5q2/PPP5/3QP2P/4BPPB/1R1R2K1 b - -,f5f6
r4rk1/1pp2ppp/p4b2/3p4/B1P1n3/5KP1/PP6/RNBR4 b - -,e4c5
5R2/8/8/4N1k1/4K3/8/8/3r4 b - -,d1e1
3rk2r/pp3pp1/6p1/6P1/2B2p2/3n3P/PP6/R1B2NK1 w k -,c4d3
8/1p3R1p/8/p2k1P2/3p1KPP/8/1r6/8 w - -,f7d7
2r5/6bk/4p2p/R5p1/P7/1P2RNPP/1r3P2/6K1 w - -,f3e5
5n2/6k1/1pr5/1R6/2p2PP1/8/1PP5/1K6 w - -,b5g5
1r2k2r/pp1bpp2/3p2p1/4n2p/3qP2P/2NP2P1/PP1Q1PB1/R4R1K w k -,a1d1
3r4/6kp/R7/8/1bp1Np2/3p1K2/P6P/8 w - -,a6a4
rn1qkb1r/p1ppp2p/1p3nP1/8/3P1PQ1/3B4/PPP4P/RNB1K1Nb w Qkq -,g6h7
r4rk1/4bppp/p2p4/qp1Qp1Pn/8/4BP2/PPP4P/1K1R1BR1 b - -,a5c7
8/3b2kp/3Pp1p1/p1p1N2n/1pP1P3/1P3P1P/P6K/1B6 b - -,h5f6
r2q1rk1/pp1b2pp/2n1p3/3pPn2/1P6/P7/1B1NBPPP/R2Q1RK1 w - -,d2b3
r1b2rk1/p2p2bp/1qp1ppp1/4Pn2/3PN3/5N2/PPP2PPP/R1BQR1K1 b - -,f6e5
4rrk1/pp4p1/n2p3p/2pNp1q1/2P5/P2QP3/1P3P2/2K3RR b - -,g5f5
1r2r1k1/p1nq1pbp/1p1P2p1/2pP4/3P1P2/3QB2P/PP4BK/2R2R2 b - -,c7b5
r2qk2r/pb2bppp/1pn1p3/2pn4/4N3/3P2P1/PPP1NPBP/R1BQ1RK1 w kq -,e2f4
8/5k2/R7/1p3Kp1/7p/P6r/1P6/8 b - -,h3g3
rnb1k2r/pp1p1ppp/4p3/8/2P3n1/2N1qN2/PPQ1P1PP/R3KB1R w kq -,c3d1
rn1qkbnr/1b3ppp/p2pp3/1p6/3NP3/2N5/PPP1BPPP/R1BQ1RK1 w kq -,f2f4
3r1b1r/1knq4/1n2p2p/pp1pPppP/2pP4/P1P3Q1/1P1BNPP1/RR2N1K1 b - -,b7a6
8/5pk1/4n1p1/p2pP2p/Pn3p2/1P6/1N4PP/5B1K w - -,b2d3
4r2k/p3q2p/bp3P1B/2p3p1/2Pp4/6b1/P1P3PP/4RRK1 w - -,e1e7
7R/pp3p2/6p1/2Q2n2/1P4kP/2P5/P5P1/4q2K w - -,h1h2
5r2/3bk3/4p3/3pPp2/1R1Q1P1P/1p6/2q3PK/8 b - -,f8g8
r1bqkb1r/pppnpp1p/5np1/8/2QP4/2N5/PP2PPPP/R1B1KBNR w KQkq -,e2e4
r2q1rk1/pbpnbppp/1p6/3p3n/3P1B2/2N2NP1/PP2PPBP/R2QR1K1 w - -,f4d2
8/1p1kP2R/8/p2N4/Pb1P4/6K1/3r4/8 b - -,b4e7
r2q1rk1/ppp1ppbp/3p1np1/n7/2PPP1b1/2NQ2P1/PP3PBP/R1B1NRK1 b - -,c7c5
rn1q1rk1/pp1bppbp/2p2np1/3p2N1/2PP4/2NBP2P/PP3PP1/R1BQ1RK1 b - -,h7h6
5Q2/1b4rk/6r1/1p1pP2p/2p5/2P5/1P5K/8 w - -,f8f5
r3k3/pp2p3/2ppbn1B/6Q1/1qPP4/1P3P2/P2R1PB1/4K3 w q -,g5e3
rnbqk2r/pp2ppbp/2p2np1/3p4/3P1B2/2N2N2/PPPQPPPP/R3KB1R w KQkq -,f3e5:e1c1
2r5/4r1k1/2q3p1/p3pp1p/Pp2N2P/1N2Q3/1PP2R2/1K6 w - f6,e3g5
1R6/7r/pkr3pP/3p1pK1/3P1P2/8/6P1/8 b - -,b6a7
r2r1nk1/pbq1bppp/4p3/4P2P/1pPp1B2/6P1/PPQ2PB1/R3RNK1 w - -,g2b7
6k1/5p2/6p1/p1Rp2P1/5P2/P1pr4/6K1/8 w - -,g2f2
8/7k/pR5p/2p5/r7/8/2P2P1P/6K1 w - -,b6c6
8/2k2K2/6p1/5b2/3R4/8/8/8 w - -,f7f6
r3k1nr/ppp4p/3b1qp1/3ppb2/8/3P2Q1/PPP1NPPP/RNB1K2R w KQkq -,b1c3
r3k3/1b5p/5Qp1/1P6/p1P1p3/4q2P/R3B1PK/1Nn5 w - -,f6h8:f6e6
1r5r/3k2p1/3bp2p/1p6/4PPn1/3P2PP/PP1B2B1/2R2K2 b - -,g4e5
4k2r/5pp1/p3p2p/2r1PP2/1p2p1P1/1P6/P1P4P/1KR2b1R w k -,h1f1
8/6p1/7p/pBn1k3/4p3/4P1PP/1PK2P2/8 w - -,c2c3
3q2k1/1r2ppnp/pp1pb1p1/3N4/2PQ4/1P4P1/P3PP1P/2R2RK1 w - -,f2f3
8/6pk/p4p2/P6p/4r2P/6P1/1R3PK1/8 b - -,e4a4
rn1qkb1r/ppp2ppp/1n2p3/3pP3/3P2b1/2N5/PPP1BPPP/R1BQNRK1 b kq -,g4e2
1r2n1k1/3qb1pp/p2p4/2p2rP1/1pP2B1P/1P1P1R2/P2NQ3/R5K1 b - -,e8c7
r5k1/ppq2rpp/2pn1pn1/8/P1PP4/2Q2NP1/1R1N1PP1/5RK1 b - a3,b7b6
1r2r1k1/p1pb1ppp/2pb4/8/4n3/1N1BB2P/PPP3P1/R2R2K1 b - -,e4c3
8/6pk/7p/P7/3bQP2/8/3qp1PP/4N2K b - -,g7g6
2r2rk1/p1q2p1p/1n2p1p1/1b1pP2P/1P1P4/1B2R3/5PPN/R2Q2K1 b - -,b5c4
8/2k5/1p6/2p5/2P5/3Q3P/2K5/4q3 b - -,e1f2
r1bq1rk1/ppp1nppp/1b1p1n2/8/3PP3/3B1N2/PP1N1PPP/R1BQ1RK1 b - -,c8g4
2rq1rk1/pb2nppp/1p2pn2/6B1/3P4/P1R2N2/BP3PPP/3Q1RK1 w - -,c3c8
2rrb1k1/4np1p/1q2pnp1/pp1pN3/1P1P1P1P/P1NQ2P1/5PK1/1BRR4 b - -,e7f5
8/p1kp1p1R/1p6/4n2P/2P5/P4pb1/1P6/3K4 b - -,f3f2
r1bqk2r/pppp1ppp/2n5/2b1P3/4n3/2P2N2/PP3PPP/RNBQKB1R w KQkq -,f3d4
2r4R/3k4/5PK1/6P1/8/8/8/8 w - -,h8c8
8/p4pk1/6p1/4p2p/1N2Pb2/5P1P/P1R2PK1/r7 w - -,b4c6
r2q1rk1/pp3pb1/2pp2pp/4n3/4P3/PQN1B2P/1PP2PP1/R4RK1 b - -,b7b5
1Q3bk1/1b1qp2p/p2r4/3P1p2/P3B3/4B3/1P3PP1/2R3K1 w - f6,e4f3
1r2rnk1/p2q2pp/bp3p1n/2pPP2P/P7/1PQ1RNP1/1B4B1/4R1K1 b - -,h6f5
6k1/2p2q1n/3pR3/3P4/1P3r2/3Q2N1/7P/6K1 b - -,h7f8
rnbq1rk1/pp3ppp/4pb2/8/3N4/P1Q1P3/1P2BPPP/R1B2RK1 b - -,c8d7
2r1r1k1/5nb1/1p1pqpp1/pNp4p/PnP1P2P/1PB3P1/5P1N/1R1QR1K1 w - -,h2f1
r6r/pp2k1p1/3p1n1p/1B2N3/1P3p1B/2P1b2P/PK4P1/7R w - -,e5g6
3r4/7p/1R4p1/R1p1kp1n/5n2/4PP2/2K3PP/8 b - -,f4e6
r2qk2r/1b1nbppp/pp1ppn2/8/2PNP3/2N3P1/PP3PBP/R1BQR1K1 b kq -,d8c7
2r2r2/2p3pk/pp1b3p/3n1p2/1P3P1N/P2P1K2/3BP2P/2R1R3 b - -,d6e7
8/1p3k2/1p3pp1/2n1p3/2R3PP/8/r1PN1P2/5K2 b - -,f7e6
8/2R1bk2/6p1/1p6/1P1PBP1p/P3P1r1/5KP1/8 b - b3,g6g5
4rb1r/1p1n1k1p/1np2qp1/p4p2/P2P4/2N2Q2/1P3PPP/R1BB1RK1 b - -,f7g7
r5k1/4ppb1/4qB1p/1p6/7P/3N2P1/3QPP2/2R3K1 b - -,e6f6
8/7p/Pk4p1/3bp1P1/7P/3BK3/8/8 b - -,b6a7
8/2p2ppp/1p1k4/pPbP4/P1n5/6PP/4K3/3R4 w - -,d1f1
1r3r1k/4RB1p/p2p2p1/3P4/3R1Q1P/P1q3P1/1n3P2/6K1 b - -,f8f7
1r1qr1k1/p2n1pbp/1pb2np1/P1p1p3/2N1P3/2NPB1P1/1P3PBP/R2QR1K1 w - -,a5b6
1Rbq2rk/6r1/p2p4/2pPp3/2P1PpN1/8/PR4P1/1N1Q2K1 b - -,g7g4
8/p1p4p/6pk/8/5p2/5B1P/P3R1PK/2q5 b - -,c7c5
