8/8/8/8/1pP2kp1/8/8/K7 w - -,a1b2
4r1k1/4qpp1/2p4p/pp1n1P2/3Pr3/1P3Q2/P1NR2PP/2R3K1 w - -,c1d1
r2qr1k1/4bp1p/b1p1pnp1/p7/Np1PPB2/6P1/PP2QPBP/3RR1K1 w - -,e2c2
6k1/1rN1Bpp1/p1R1p2p/3p4/q2NnP2/1P6/P2R2PP/1K6 w - -,d2d1
2rq1rk1/5ppp/p2Pp3/1p6/3PnP2/PQnBP3/5P1P/R3BRK1 b - -,d8f6
2r5/2r2pkp/4p1p1/4P3/1qpR1P2/7P/1P2Q1PK/3R4 w - -,e2f2
r2qk2r/ppp2p2/2nbpn2/3p4/3P2P1/1P2PBp1/PBPN1PK1/R2Q1R2 w kq -,f2g3
8/2p5/5bR1/8/3k1p2/5B1r/2P1K3/8 w - -,g6f6
r3kb1r/pppnqppp/4b3/3p4/8/2PP1N2/P1P1BPPP/R1BQ1RK1 b kq -,e7f6
8/1Q2pp1k/P2p4/2q2P2/7p/8/1P6/1K6 b - -,c5f5
r2qkb1r/pp1n1ppp/2p1pn2/8/3P4/3B1Q1P/PPPN1PP1/R1B2RK1 b kq -,f8d6
5b1k/6p1/4Qp1p/7P/3N1qP1/5P1K/8/8 w - -,e6e4
2rqkb1r/1b3pp1/pp3n1p/2pp2N1/4P3/1P4P1/2Q2PBP/R1BR2K1 w k -,e4e5
rn1qk2r/4ppbp/b1pp1np1/p7/1p1PP1P1/4BP2/PPPQN2P/1K1R1BNR b kq g3,d8b6
rnbqkbnr/pp2pppp/3p4/2p5/4P3/2N5/PPPPNPPP/R1BQKB1R b KQkq -,g8f6:a7a6:e7e5:b8c6
r2qr1k1/1b3ppp/p1n2b2/8/Pn1p4/NQ3N1P/1P1BBPP1/2R2K1R b - -,d4d3
r1bqk2r/pp2ppbp/2p3pn/2p1P3/5B2/3P1N1P/PPP2PP1/RN1Q1RK1 b kq -,e8g8
r1b1k2r/p1ppb1pp/2p3q1/4p3/3P4/5N2/PPP1QPPP/R1B1K2R w KQkq -,e1g1
r3brk1/p1q3pp/2pb2n1/3p1pB1/2pP4/2P2N1P/PPB2PP1/R2Q1RK1 b - -,f5f4
5k2/5p1p/6p1/p2rP3/1P1P4/4K3/3N2PP/8 b - -,a5b4
6k1/1Q3pb1/6p1/7p/3p3P/1b4P1/1n3P1K/2r5 w - -,b7b3
2r2rk1/1p1q2bp/p3b1p1/6B1/Pn1pp3/6PP/1PP2RBK/3QR1N1 w - -,f2f8
r6k/6pp/p1N5/3PB1b1/8/1B3KP1/P1r5/8 b - -,c2d2
1r3rk1/3nbppp/B1q1bn2/Q1Npp3/4P3/1N2BP2/1PP3PP/2RR2K1 b - -,d5d4
r4r1k/p3q1pp/1pRQ4/4p3/3PPpn1/6P1/PP1N1PKP/2R5 b - -,e7g5
1R6/4k1K1/8/4P1Pr/8/8/8/8 w - -,b8b7
r5k1/1p2bppp/2n5/1p1rp3/8/PN1PB1P1/1P3PKP/R2R4 w - -,g2f3
3r1rk1/p2q2bp/bpn3p1/2p1ppP1/2P2P2/P2PBN1P/R3QR2/4N1K1 w - e6,e2c2
1brr4/5pk1/p1q1p1n1/2p2p2/2N5/PNR3PP/1P3Q2/4R1K1 b - -,d8h8
2b5/2P5/4kp1n/7p/4KP1P/8/5B2/8 b - -,h6f5
R7/8/8/5p2/8/5rk1/3K4/6n1 w - -,d2e1
r5k1/1p3p1p/p1n1pn2/3p4/3P2P1/4Pp1P/PP3P2/R1R3K1 w - -,c1c3
r1bqrbk1/1pp2pp1/p1n1pn1p/3p4/3P1B2/2PBPN1P/PPQN1PP1/R4RK1 w - -,f3e5
1k1r4/1p2bp2/p1p1ppp1/8/3P2Pr/1NP1P2P/PP6/1K1R3R w - -,d1f1
r1bq1rk1/ppp2ppp/1bnp1n2/4p3/PPB1P3/2PP1N2/5PPP/RNBQ1RK1 b - a3,a7a6:a7a5
r3kb1r/2qn1p1p/b1pp1np1/p3p3/1p1PP3/2P1N1P1/PP2NPBP/R1BQR1K1 w kq -,f2f4
r3k2r/pppqnppp/2nb4/3p4/3P4/2NQ4/PPP1NPPP/R1B1R1K1 w kq -,c3b5
8/2p3r1/3p4/3P4/3P3k/2RB1K1n/8/8 b - -,g7g3
8/1p1b2R1/1k3r2/1Pr1p3/1R1pB3/5P2/2P1K3/8 b - -,c5b5
rnbqkb1r/p4ppp/2p1p3/1p1nP3/P1pP4/2N2N2/1P3PPP/R1BQKB1R w KQkq -,f1e2:a4b5
rn3rk1/pb1pb1pp/1p2p3/3n3q/3PB3/P4NB1/1PQN1PPP/R3K2R w KQ -,e1g1
8/6k1/R3B1p1/5p1p/p7/8/6K1/r7 b - -,a4a3
r4k2/pb1R1p1p/1p2p3/6pN/8/2N2n2/PPP3PP/2K5 b - -,b7c6
2r5/1p1k1p1p/p2ppnp1/P2P4/1P1bPP2/5B2/3BK1PP/1R6 w - -,e2d3
3r1rk1/p1q1npbp/2p1b1p1/2p1p3/N1P1P3/1P3PP1/P1Q3BP/R2RN1K1 w - -,a4c5
1n3rk1/2r1bppp/p2pp3/8/2PN4/2P3P1/P3PP1P/1RB2RK1 w - -,b1b6
4r1k1/R3npp1/1Np5/2Pp1qn1/1N1P4/4PpPp/4b2P/Q5KB w - -,g1f2
rnb2rk1/pp2bppp/4pn2/2P5/8/2P1BN2/PPK2PPP/RN3B1R b - -,f6d5
8/8/8/5N2/4pp2/3k2p1/6K1/8 w - -,f5h4
r3k2r/qp2bp2/p3bn1p/4p1p1/N3P3/1B6/PPP2BPP/R2Q1R1K b kq -,a7b8
r3n1k1/pp3rb1/3p3B/2pPp2Q/2P1B3/P1q4P/5P2/1R2K1R1 w - -,h6d2
8/p3r1p1/3K2p1/kp6/5R1P/6P1/P7/8 b - -,e7b7
8/7p/2rPkb2/5R2/5B2/8/3K2P1/3N4 w - -,d1e3
6k1/R4p2/Pp5p/r2p4/5p2/3B1P1P/1b2KP2/8 w - -,a7b7
8/8/5r2/8/4KP2/8/8/3k4 b - -,d1e2
r1bq1rk1/pp1p1pbp/2n1pnp1/8/3NPP2/1BN1B3/PPP3PP/R2QK2R b KQ f3,d7d6
q2b1rk1/2p2ppp/2bp4/4n1B1/4N3/2N5/1PP1QPPP/4R1K1 b - -,d8g5
5r1k/1pp3p1/1b1pB2p/p2P3q/3PR1P1/2B5/PP4K1/2R5 b - -,h5h4
r2qr1k1/pp1n1ppb/n1p4p/3pP3/8/PQbPBNPP/1P3PB1/3R1RK1 w - -,b3c3
8/8/8/4pk2/5p2/2R2Np1/5r2/6K1 w - -,f3e1
4k2r/pp6/2n5/2R2p2/4p1p1/3rK1P1/PP3PB1/2R5 w k -,e3f4
2r3k1/pp1n2pp/2n3p1/2pN4/2Pp1PPb/3P3P/PP4B1/R1B1Q1K1 b - -,h4e1
2kr1b1r/1ppn4/3P1pp1/1PPq3p/3B1PnN/P7/3N2PP/R1Q1R1K1 w - -,d2f3
6r1/p7/4Pbkp/1P6/2PN3P/4PpP1/8/6RK b - -,f6d4
8/ppp1R2p/3pQ1qk/3P1r2/2P5/8/PP4P1/6K1 w - -,e6e3
r3k2r/1bq1bppp/p4n2/2p1pP2/3pP3/3B2Q1/PPPN2PP/R1B2R1K b kq -,e8g8
1r1q1b1k/5p2/3p1Np1/1p1PpbP1/2p1P3/2PnB2P/rP2QP1K/1R4R1 w - -,e4f5
r3k2r/2B2ppp/p1p5/5b2/N1B1n3/b1P1P3/P3KPPP/R6R b kq -,e8g8
r1b1k2r/pp1nqpnp/2p3p1/3p4/3P4/2NBP1N1/PPQ2PPP/R4RK1 b kq -,f7f5:e8g8
8/6p1/8/2p5/8/3k2P1/3P1K1P/8 w - -,f2e1
1r3r1k/1N4bp/p3p1p1/2Pnpq2/P2n4/6P1/3B1PBP/1R1QR1K1 w - -,e1f1:g1h1
r3qrk1/p4pp1/3p3p/1Pn5/2p2P1B/2P4P/P2QN3/RB5K w - -,b1f5
r1k5/p1p1B1p1/1pp1p1r1/5n1p/8/1P3N1P/P1P2PP1/3RR1K1 b - -,f5e7
r1bq1rk1/pp2bppp/4pn2/2P5/2PN4/2N5/PPQB1PPP/2R1KB1R b K -,d8d4
2bq2kn/p3p1r1/2ppP3/2p2p2/8/1P1P1N2/P1P3rP/R1QNRK2 w - -,d1e3
4b2r/pR2k2p/1p3bp1/8/2B5/2PK4/PP4P1/8 b - -,e7d6
6r1/1p1bq2k/p1p1pn1p/P2p3r/2PPpP2/1PQ1P1PN/5NRP/R6K w - -,a1g1
3Q1bk1/1b3pp1/p4n1p/1pp3q1/5N2/PBB1P2P/1P3PP1/6K1 b - -,c5c4
N1bk1b1r/pp1pq2p/2nn1pp1/3Qp3/8/1B6/PPPP1PPP/R1B1K1NR b KQ -,b7b6
8/3k2bp/4npp1/1p2p3/1Pp4P/2P1P1B1/2N1KPP1/8 w - -,f2f3
rr4k1/3nqp1p/4p1P1/2p3P1/2pPQ3/5NR1/Pp3P2/2K4R w - -,c1b1
r2q1rk1/2nn2pp/2pb4/pp1p1pP1/P2P3P/1P1Q3B/1BPN1P2/2K1R2R b - -,g7g6
