7k/p1R2pp1/8/3pP3/r6p/5r1K/7N/8 w - -,h2f3
2kr1b1r/pp1n1ppb/2p4p/4n2N/5N1P/2P1B3/PP2BPP1/R3K2R b - -,g7g5
r5k1/1ppq1ppb/p1nb3p/8/2BPr2N/P3BQ1P/1P3PP1/3RR1K1 w - -,f3h5
8/7p/8/8/4pp2/1R1k3P/5KP1/2r5 b - -,c1c3
8/1R3pk1/p5p1/P3K1P1/4p3/3b4/5P2/8 w - -,b7a7
r1bq1rk1/p4pbp/2p2np1/3Pp3/8/1PN1P3/P3BPPP/R1BQ1RK1 b - -,f6d5
r2qr1k1/pn3ppp/1p6/1Nnp4/8/B1P2QP1/P2RPP1P/R5K1 b - -,c5e4
2r3k1/3B1ppp/p7/2n5/Ppnp4/1P3NP1/4PP1P/R5K1 b - -,c5d7
r5k1/1bq1ppbp/6p1/pQ2P3/P2N4/4B3/1Pr2PPP/1R2R1K1 b - -,b7a6
r1bq1rk1/ppp1npbp/2n1p1p1/3p4/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 w - -,c4d5:e2e3
2kr1r2/Qp3p2/p1p1q2p/4P1b1/1P6/P6P/6PB/2RR2K1 w - -,c1b1
8/pp1q1k2/2n2ppp/2N5/1P2QP2/P6P/6P1/6K1 b - -,d7d4
6nk/1p1rrp1p/3p2p1/P1nPq1P1/P1PN1R1P/8/2BQ1RK1/8 w - -,d2c3
4r3/4q2k/3p1b2/1p1P1P1p/5P2/1p1Q3P/1P6/3N1RBK b - -,b5b4
2r4k/5q1p/3p1p1P/pb1PpPp1/1p2PnR1/1P3P2/P6Q/3B2RK b - -,b5d3
1R6/8/3p4/P2P1npk/1P1r1r2/2R3K1/7N/8 w - -,g3h3
1br1r1k1/pb3ppp/1p2p3/1N6/2P1p1nq/1P1Q2NP/PB3PP1/2RR2K1 w - -,d3e2
r7/5Pk1/4K1p1/8/8/8/8/5R2 w - -,f7f8q
8/1p6/p2nk2p/4p3/5p1K/2PN3P/PP3PP1/8 w - -,f2f3
8/2b4p/4k1p1/1p2pp2/7P/1P2BP2/P3K3/8 b - -,e6d5
r4rk1/1b2qppp/p7/2bp4/2PB1P2/P4B2/6PP/R2QR1K1 b - -,e7d6
6rk/3R3p/4p3/1p3p2/8/2P2b2/2B2P2/4K3 b - -,h7h5
r3r1k1/2qnbppp/p1bppn2/2p5/P2PP3/B1PB1N2/2QN1PPP/R3R1K1 b - -,g7g6
r5k1/pp4b1/3p4/2pP3p/2P3P1/1P3RP1/P6K/4N3 b - -,a8e8
r3kb1r/pp1n1pp1/q1p1pn1p/2Pp1b2/3P1B2/1QN2NP1/PP2PPBP/R4RK1 b kq -,b7b6
2r1r1k1/1p3pp1/pBn1b2p/8/8/2R1PB1P/1P3PP1/3R2K1 b - -,g7g5
r7/pp2k2p/5R2/1n2P3/6R1/1P1b4/6PP/6K1 b - -,d3g6
r3k2r/pp1bbpp1/1qn1p3/3pP3/3P3p/2N1n2P/PPB1NPP1/R2Q1RK1 w kq -,f2e3
5r1k/8/4p2p/q1KpP3/2pP1p2/1b3Q2/5N2/7R w - -,c5d6
4r1k1/5qb1/2Q1p3/5p2/8/3R4/4PPK1/8 b - -,g7e5
r2qr1k1/1p2ppbp/2bp1np1/p1n3B1/2P1P3/1PN2N2/P1Q1BPPP/1R3RK1 w - -,f3d2
r3kb1r/1b1n1pp1/p2pp3/1pp2P2/4P1nq/3P2N1/PPP1N1BP/R2Q1RBK b kq -,g4h2
4r1k1/1p3r2/p4bpp/P2R1p2/4pP2/2P1B2P/1P2K1P1/3R4 b - -,h6h5
8/2R5/R4K2/3r4/8/1k1n4/8/8 w - -,a6b6
r3k2r/1q2bpp1/2n1p2p/p1pnP3/1Pp4P/P1P2NB1/2Q2PP1/1BR1K2R w Kkq a6,e1g1
rn1q1rk1/1bppppbp/1p3np1/pP6/8/4PN2/PBPPBPPP/RN1Q1RK1 w - -,c2c4
7r/1b2kppp/pn2p3/1p1pP3/3N1P2/1Pr3P1/P1PR2BP/4R1K1 b - -,g7g6
r2r2k1/pp1qbppp/2n1pnb1/3p4/7N/P1NP2PP/1P1BPPB1/2RQ1RK1 b - -,a8b8
1r1q1rk1/pp1bpp2/2p2np1/2N4p/1P5P/3P2P1/P2QPPB1/R1R3K1 b - -,a7a6
6k1/5p2/3P1Q2/4p1P1/2P5/2Pq1PK1/8/8 b - -,d3c3
3r2k1/2q2p1p/1p3bp1/p2B4/1PP5/6P1/P2Q1P1P/3Rr1K1 w - -,d2e1
8/1p1b2pp/p2pkp2/P1p5/5B2/5P2/1nPN2PP/6K1 w - -,g1f1
r2k3r/pp1n3p/2p1Rpp1/2b5/2B5/2QP1q2/PPKB1P1P/4R3 w - -,e1e4
2r1q3/p5k1/bp3p1p/3r2p1/PRpPp3/2P1PPB1/4Q1PP/R5K1 b - -,d5f5
r1r5/3npk2/1n1p1b2/1NpP1p1p/P4P2/1PN1B2P/2R3P1/2R2K2 w - -,c2a2
r1b2rk1/ppp2ppp/2n5/3q4/3P4/P3PN2/3QBPPP/R3K2R b KQ -,d5a5
2R5/1p3kb1/p3r1pp/1P2p3/4p3/4B3/P4PPP/6K1 w - -,c8b8
r4rk1/1bqnbppp/pp1ppn2/8/2PNP3/2N1BP2/PPRQB1PP/5RK1 b - -,a8c8
2rr2k1/pbqn1pp1/1p5p/4p3/2P1p3/1Pb1P3/P1R1BPPP/1Q1RN1K1 w - -,c2c3
r1bq2k1/p1p1nr1p/1p1p2p1/2nP1p2/2P2P2/2PBBRN1/P1Q3PP/4R1K1 w - -,d3f1
6k1/4p2p/3p2p1/2pPbr2/2P1N3/1P1p1P1P/1r4P1/R2R2K1 w - -,a1a8
5rk1/p3Qp1p/1p4p1/n4p2/4B3/1P4P1/q3nP1P/5R1K w - -,e4f5
r2b1rk1/2qb1ppp/p2ppP2/2n3P1/4P1R1/1BB5/PPP1Q2P/2KR4 b - -,c5b3
r1bqkb1r/1p3ppp/1nn1p3/p2pP3/3P4/5N2/PP1NBPPP/R1BQR1K1 w kq -,d2f1
r1bq1rk1/pp2bppp/1np5/3n4/3N4/P1N1P1P1/1PQ2PBP/R1BR2K1 b - -,d5c3
rnbqkb1r/pp1p1pp1/4pn1p/2p5/3PP2B/8/PPPN1PPP/R2QKBNR b KQkq e3,c5d4
8/2p2pkp/3b2p1/4p3/P1b5/2R3PP/4rPK1/3R4 w - -,c3c4
8/8/P3r1k1/5p2/1P2rb1p/2PRp2P/4Q1P1/7K w - -,b4b5
r4rk1/pppqnpb1/3p3p/1P1P2p1/3p4/3P2P1/P3PPBP/1RBQR1K1 w - -,d1c2
3r1bk1/pb3p1p/1pB1qPp1/8/2pBP1PQ/2Pr2NP/P7/4RRK1 b - -,b7c6
2r1r1k1/pb3p1p/1p3np1/3p4/1P1N4/P5P1/4PPBP/R1R3K1 w - -,e2e3
1rbq1rk1/p3n1bp/1pn3p1/2pppp2/4PP2/N1PPB1P1/PP1Q2BP/R3NRK1 w - -,f4e5
r1b2rk1/pp2pp1p/1qnp1bp1/2p5/P3PP2/2P2N2/1P1PB1PP/R1BQ1RK1 b - -,c5c4
r4rk1/pp3ppp/2npb3/q7/8/P1NP1N2/1PPQ2PP/R4RK1 w - -,d3d4
r5k1/q4ppp/2p5/1pPn4/3Rp3/1PB4P/P1Q2PP1/1K6 w - -,c3d2
r7/8/3k2KP/8/8/8/8/6R1 w - -,h6h7
r2qk2r/1p2bp2/nn2p1p1/p1ppP1Np/P2P1P2/2P5/1PQ1N1PP/R1B2RK1 w kq c6,g5e6
4k2r/1q2bp2/r3p1p1/1p1nP2p/1PpPNP2/2B5/3Q2PP/2R2RK1 w k -,c1a1
r1bq1rk1/ppp1npbp/3p1np1/3Pp3/2P1P1P1/2N1BP2/PP2N2P/R2QKB1R b KQ g3,c7c6:f6d7:a7a6
5rk1/2p2pp1/1p1p4/p2Prbq1/2P1B1P1/1P2R2P/P5Q1/4R1K1 b - -,f5e4
6k1/p3b1pp/1pn1p3/3QP3/3p4/P2P4/1P3BPP/2N3K1 b - -,e6d5
1qb2b1k/5p1p/p5p1/4p3/3p4/P2Q2PP/5PB1/n3R1K1 w - -,e1a1
r1b2rk1/ppppq1pp/2n1p3/5p2/2PPn3/2N2NP1/PPQ1PPBP/R4RK1 b - -,e4c3
r5rk/pb2q3/1p5p/2p1p3/2PnNpP1/P1R2P2/1P3Q1P/1B4RK w - -,h2h4
8/1p3r2/3R1rk1/2P4p/KP6/8/8/5R2 w - -,f1g1
3r2rk/p6p/2p2q2/5p2/2Qpp3/1P4P1/P1P2P1P/3RR1K1 w - -,d1d2
1k2r2r/1pp1n3/p2b3p/5p2/3P2p1/1P3BP1/1P1B1P1P/R3R1K1 w - -,f3g2
N1b3kr/pp2bnpp/3p4/8/2Q1PPn1/2N5/PPP3qP/R1B1KR2 b Q -,e7h4
rq2b1k1/5pp1/2p1p2p/prbpN3/3PP3/1P5P/P1R1QPP1/2R3K1 w - -,c2c5
r2q1rk1/pppn2pp/2np4/3N1b1B/5P2/1P6/PBP3PP/R2Q1RK1 b - -,c6e7
8/8/Pk5p/1P4p1/2P1B3/4K1Pb/8/8 w - -,c4c5
3q2k1/p1r2ppp/2p2n2/2p5/2PpPQb1/1P1P3P/P5B1/R4RK1 b - -,g4e2
2n3k1/b2q1pp1/2b1p2p/Q1BpP3/3P3P/1P3NP1/P4P2/5BK1 b - -,a7c5
r1bqk1nr/ppp2ppp/2n1p3/3pP3/1b1P4/2N1B3/PPP2PPP/R2QKBNR b KQkq -,f7f6
