8/8/4R1Pk/8/4p2K/6P1/8/4r3 w - -,h4h3
7r/ppk2p1p/2p5/2b2N2/PP2n3/4P1P1/2KR4/5B2 w - -,b4c5
rnb1kb1r/ppqp1ppp/5n2/2pP4/8/2P2P2/PP4PP/RNBQKBNR w KQkq -,c3c4
r1b2rk1/p2p1ppp/n1p5/qp2P1b1/8/1B2B3/PPP1QPPP/2KR3R w - -,e3g5
1r1q1rk1/4ppbp/6p1/1pPP1b2/2n5/1R2B1PP/4NPB1/2Q2RK1 w - -,e3f4
2r1k2r/R2n3p/1bq1pp2/1p1p4/1PpP1PP1/2P1B3/R6P/1Q1B2K1 w k -,a7a3
1R6/8/8/6p1/1P2p2p/6kP/5rP1/5K2 w - -,f1e1
1r2r1k1/2nn2bp/bpp3p1/p4pP1/PqPP1P2/3Q1RNP/6B1/1NBR2K1 w - -,c1a3
r1bq1rk1/1p4bp/p2p1np1/3Pp3/4P3/2NNB3/PP2Q1PP/R4RK1 b - -,f6g4
3r1k2/1p3ppp/1r1P1n2/p7/2PR4/6PP/P5B1/3R2K1 b - -,b6b2
r4rk1/2p1q1p1/1pn1p2p/p1b1p2P/2PpP1n1/PP1P1NN1/R4PP1/2BQ1RK1 w - -,d1e2
8/3kb3/1B4Q1/2P1p3/4N3/3n2P1/5PKP/3q4 b - -,d3e1
r3k2r/1pbnqpp1/2p1bn1p/p2pp3/P3P3/2PP1NNP/1PB1QPP1/R1B1K2R w KQkq -,e1g1
4B3/6k1/6p1/R2b1p1p/P6P/7K/5r2/8 b - -,d5e6
1n3k2/p4pbp/1p1np1p1/1P1p4/3P4/3BP1P1/PN1B1P1P/6K1 w - -,d2b4
8/4nk2/p3pn2/1p1p1p2/1P1P1Pp1/P2PQ1P1/4BK2/5N1q b - -,h1h8
1q4k1/5ppb/2N1p2p/p7/8/P5P1/3N1nBP/6K1 w - -,c6b8
q3n3/1p3k2/4pb1r/1PPp2p1/3P1pP1/3B1P2/2R2BK1/6Q1 w - -,g1b1
2r5/6p1/1p3pk1/pP2p3/PbP1N3/5PP1/4K3/2R5 w - -,g3g4
7Q/1p1rk1B1/2p5/3b4/4p3/PP4RP/1KP2q2/8 w - -,g7e5
4r2k/5p1p/5p2/3p1P2/1bbP1P2/2N1P2P/2K5/1R4R1 b - -,b4c3
rnb2rk1/pp2ppbp/1q4p1/4n3/3N4/1B6/PPP1N1PP/R1BQ1RK1 b - -,b8c6
r1r3k1/p2nbpp1/4p2p/1q1p4/Nn1P4/PP3NP1/3B1P1P/1QR1R1K1 b - -,b4c6
3r4/rk3p1q/3p1PpP/2p3Q1/p1PbP3/Rp1PN2P/1P3RK1/8 w - -,g5d5
rn1qk1nr/pbppppbp/1p4p1/8/3PP3/2N1B3/PPP2PPP/R2QKBNR w KQkq -,f2f4
3R4/1r3k2/6p1/2p1P2p/3P1K2/5PP1/2bN4/8 b - -,b7b4
1r3k2/5ppp/p4b2/3N1P2/4P3/rP1R1K1P/6P1/1R6 b - -,f6e5
8/p7/4p3/2K1P1pb/k7/6B1/4p3/4Rr2 w - -,c5d6
r1b1k2r/1pqnbppp/p2ppn2/8/2P1PP2/1NNB4/PP2Q1PP/R1B2RK1 b kq f3,b7b6:e8g8
6k1/3q1pp1/6rp/3pP3/2pP1QP1/1pP4P/1P3R1K/8 b - -,g6a6
6k1/p5p1/1p1n1p2/2p4p/2P1PP1n/3B4/PB3P1P/5K2 b - -,g8f7
2k1r3/3q1p1p/1pn3p1/1Nb2n2/Q2p1BB1/P5P1/1P3P1P/2R3K1 b - -,c8b7
2r2rk1/2q1bpp1/3p1n2/p2PpP1p/1p6/1P1QB1P1/P1PN3P/1K1RR3 b - -,a5a4
2r3k1/p4pbp/3n2p1/8/2B5/1P1K1P2/N5PP/7R b - -,c8d8
b7/6r1/3p1R2/p1k1p2p/P1PpP1rP/1P1B2P1/3K4/6R1 b - -,a8e4
1r4k1/p4ppp/1r1n4/2pP2q1/1b6/3QP1P1/PP1BNP1P/2KR3R w - -,e2c3
1r4k1/6bp/6p1/6n1/1PN1b3/2Pp2P1/PK1P2BP/4R1R1 w - -,a2a3
rn6/1p2q1k1/4brpp/1pp1Np2/2P5/P5PN/3QPKBP/3R4 w - -,c4b5
8/3n1pp1/B2kp3/P6p/N3P3/1P3P2/r4BPP/b5K1 w - -,a6b5
8/8/p1k2Rp1/2p4p/2p2P1P/6r1/PKP5/8 b - -,c6b5
3r3k/pp2q1p1/7p/1QP1np2/2B1p3/4P1P1/P4PKP/8 w - -,c4b3
k2r3r/pp1bn3/2n1p1pp/q2pPp2/2pP1P2/P1P1BN2/2PKB1PP/R2Q3R w - -,e3f2
r3b1rk/p3qp2/1pp2n1p/3pNP2/3PP3/1P1Q4/P2N3P/R5RK b - -,d5e4
8/7p/6p1/Bk3p2/4p1P1/4P2P/5P2/2n2K2 b - -,b5a5
1rb1k2r/2qn1ppp/1pnpp3/8/p1P1PP2/2P1B1P1/P2N1QBP/1R3RK1 b k -,e8g8
7r/pp2r1kp/P2pB1p1/3P2P1/1PR2p2/2PKbP2/8/7R b - -,b7b6
8/8/3p1k2/2pPp3/2P3PP/1P6/5K2/8 b - -,f6g6
rnbq1rk1/pp2ppbp/2p3p1/8/2pPn3/1QN2NP1/PP2PPBP/R1B2RK1 w - -,b3c4
r3r1k1/2pbqp1p/p1p2bp1/4p3/3P4/1P2PNNP/P1Q3P1/2R1R1K1 w - -,g3e4
r1b1r1k1/2q1bppp/pp1ppn2/n7/2PNP3/1PN1B3/P3BPPP/2RQ1RK1 w - -,f2f4
r2qkb1r/1p1b1pp1/p2p3p/3QpP2/4P3/1P3N2/1PP3PP/R1B1K2R b KQkq -,d7c6
rn2k2r/p3npp1/qpp1p2p/3pP3/P2P4/B1P5/2PNQPPP/R3K2R b KQkq -,a6a4
1r3rk1/2qbppbp/p2p1np1/nppP4/2P5/1PN3PP/PBQNPPB1/1R3RK1 w - -,f1c1:c4b5
r1rq2k1/1p3pp1/P3p1bp/3n4/2NP4/Q3PB1P/5PP1/R1R3K1 b - -,a8a6
3q2k1/1p1b3p/p2p2pb/2pPn3/P1P2p2/1PR3NP/N1K5/1Q6 w - -,g3e4
r1bqk1nr/pp1p1pbp/2n1p1p1/8/2Pp4/2N2NP1/PP2PPBP/R1BQK2R w KQkq -,c3b5
8/4k3/3p1n2/3Pp3/1BK5/8/8/8 b - -,e7d7
r1bq1rk1/3n1pbp/p2p2p1/1pnP1P2/2p1P3/P1N2N2/1PB3PP/R1BQ1RK1 w - -,c1g5
r1bq1rk1/1pp1n1bp/p2p2p1/5P2/B2n4/2P1B3/PP1N1PPP/R2Q1RK1 w - -,e3d4
8/1pp3kp/1n3pp1/8/5P2/PP2rN2/2K3PP/3R4 b - -,c7c6
8/B7/4p1k1/1p1q1p1p/4nP2/P2r2pP/4Q1P1/1R4K1 b - -,d3d2
r2q1rk1/1pp1ppbp/p1np1np1/8/P2PP1b1/2N1BN2/1PPQBPPP/R3K2R w KQ -,e1g1
4rqk1/b1pb1pp1/p1n1rn1p/Pp1p1N2/3P4/1B2B1NP/1PRQ1PP1/2R3K1 b - -,f8b4
7q/P7/1Q5p/8/3K2pk/4P3/1P6/8 w - -,d4d5
7k/1b5p/1q1p2pb/pBr1pr2/P7/2N2P1P/1P2R1P1/1R1Q3K w - -,b5d3
r4rk1/1bqnppbp/pp1p1np1/2p5/P2P4/1QP1PN1P/1P1NBPPB/R4RK1 b - -,b7c6:a8b8
8/pp4bk/6pp/4p3/6P1/2P2Q2/PP2r2q/4RK2 w - -,e1e2
4rrk1/pp5b/2n2p1p/3p1PpQ/2pPP3/q3B3/P2N2PP/2R2RK1 w - -,c1e1
2rr2k1/1b1n1pq1/p3p1pp/2b1P3/Pp1pB1Q1/5NB1/1P3PPP/3RR1K1 b - -,b7e4
r1b1k1nr/pp3ppp/2n1p3/2qpP3/8/P1PB1N2/2PB1PPP/R2QK2R b KQkq -,g8e7
4r2k/6np/3p4/p1p1bp2/8/P2P1Q1P/2PqN1B1/5R1K w - -,e2g3
r4rk1/1ppq2bp/n2p2p1/3Ppp2/pPP1Pn2/P1N1BP2/3N2PP/1R2RQK1 b - b3,a4b3
r2q2k1/2p1b1pp/p1n1nr2/1p1p4/6b1/2P2NB1/PPBN1PPP/R2Q1RK1 w - -,f1e1
r3k2r/1ppb1pb1/p1nppq1p/6p1/2BPP3/2N5/PPPQNPPP/3R1RK1 w kq -,a2a4
2r5/4pk1p/p5p1/1p6/3R1P2/2B1n3/PPP3PP/2K5 b - -,e3g2
4k1r1/p3r3/R3R3/3p2P1/2nP1PK1/2P1P3/8/8 b - -,c4e3
1r2r1k1/1pnn1ppp/p1p1p3/2P4q/P2PPP1N/6P1/1BQ3KP/2RR4 b - f3,b7b6
4k3/4b3/1Pb1p3/3pPp2/1r1B1P2/4K1P1/7R/8 w - -,h2h8
2R5/7k/8/8/6R1/5P1P/r3r1PK/8 w - -,f3f4
rn2k2r/p1q2pp1/1p2p2p/3pPn1P/b1pP2Q1/P1P5/2PBBPP1/R3K1NR w KQkq -,a1a2
r3rbk1/p2q1ppp/np6/1N1p4/P2PnB2/1P4P1/2R2PBP/3Q1RK1 b - -,a8c8
r1bqkb1r/p2p1ppp/4p3/1Bp5/4n3/8/PPPPNPPP/R1BQ1RK1 w kq -,d2d4
rn1qkb1r/pb1pnppp/1p2p3/2p5/4PP2/3P1NP1/PPP4P/RNBQKB1R w KQkq c6,f1g2
rnbq1rk1/ppp1bppp/4pn2/8/2pP4/5NP1/PPQ1PPBP/RNB1K2R w KQ -,b1d2:c2c4
