8/1pk5/5K2/4P3/8/8/r7/5R2 w - -,e5e6
8/1r3pk1/7p/p2R2p1/p7/6PP/1R3P2/5K2 b - -,b7b2
8/2r3p1/1k3p2/7P/1p3P2/R1n2BPK/P7/8 w - -,a3a8
2r1r1k1/pp2ppb1/q2pb1p1/8/4Pn1P/1P2BP2/P1PQN3/1K1R3R w - -,e3f4
r4rk1/p3nppp/1ppqpn2/3p4/2PP1P2/1PN3PB/P2Q1P1P/R4RK1 w - -,c3e2
1r2B1k1/2Qn4/1q1Pp2p/1p6/2p2P2/7P/1P4P1/3R2K1 w - -,c7b6
5r1k/1b6/pq1b3p/1p2p3/4pp2/P1PQ1N1P/B4PP1/3R2K1 w - -,d3d6
4nnk1/1p2qppp/1pp1P3/8/r5B1/2B3PP/rPQ2P2/3RR1K1 b - -,f7e6
r2b2k1/1b5p/2p2pp1/p1Ppp3/R2P4/1N2P3/4BPPP/4K3 w - -,e1d2
5k2/1q3pp1/4pb2/3r4/pr1P4/2QRB2P/1P3PP1/1R3K2 b - -,d5b5
1rr3k1/1p2ppbp/p2p2p1/8/2P1P1n1/1P6/P2BNPPP/2R2RK1 w - -,e2c3
rn2k1nr/ppqb1ppp/4p3/3pP3/1P1p1P2/P2B4/2P3PP/R1BQK1NR b KQkq -,d7a4
5q1k/1p4p1/p5np/2p5/4R3/2P4P/PP1N1PK1/3R4 w - -,d2c4
r4rk1/ppq5/2p1pnbp/2Pp1pp1/1P1P2PP/P2NP3/2Q1BP2/R3K2R w KQ -,d3e5
r1b1r1k1/pp3pp1/2nq3p/2p5/5B2/2PP2P1/P1P3BP/R2QK2R w KQ -,e1d2
1r6/1P6/6pp/1R6/6k1/8/5K2/8 w - -,b5b4
8/1r4pp/1nk1pp2/8/1P2P3/2KN1P2/R5PP/8 b - -,e6e5
5r2/3n2p1/8/1p1k1PN1/pp1p4/3P2K1/2P4P/R7 b - -,f8f5
6Q1/ppknp2p/2p4B/q4p2/3PN3/7P/1Pn3P1/3R3K w - -,h6f4
rn1qkb1r/pp3pp1/2p1pnp1/3p4/2PP4/2N1P1P1/PP3P1P/R1BQKB1R b KQkq -,b8d7:f8d6
8/ppk3p1/3r1p2/3p3P/3P1BP1/8/PPP5/2K5 w - -,c1d2
3r1rk1/ppq1nbpp/2pNn3/4P3/6P1/N6P/PP2Q1B1/R4RK1 b - -,e7c8
r1bq1rk1/3pbppp/p3p3/2p1P3/4N3/8/PPP2PPP/R1BQ1RK1 w - -,c1f4
6k1/pp1n1pp1/2r1p1p1/Pq1pP3/1PrP4/3NQ1P1/5P1P/R2R2K1 w - -,d1d2
r2qrbk1/1b1n1p1p/p2pp1p1/6P1/1p1BP2P/6Q1/PPP1NP2/2KR1BR1 w - -,f1g2
1r1r2k1/1p2ppbp/1Nn3p1/p3n3/2P1P3/2P1B1P1/1P5P/R2R1BK1 b - -,e7e6
4k3/2r5/1p1p1Q2/p1qPpN2/P1p1P3/2P3P1/1P4K1/8 b - -,c7d7
8/8/4pk2/2R5/6p1/1b4P1/2rK3P/8 w - -,c5c2
1r2r1k1/1q2bpp1/pn3n1p/2ppNQ2/8/1PN1P3/PB3PPP/2RR2K1 b - -,e7f8
5rk1/1r4p1/3p1p2/1ppNn1p1/p3P1P1/P2P3P/1PP2R2/R5K1 b - -,g8f7
8/8/8/8/2n5/p2k3p/K6N/8 w - -,h2f1
r3k2r/pp1qb3/2n3pp/2p1p3/2PpPpnP/3P1N2/PP1BQPP1/R3KN1R b KQkq -,e8c8
r1k4r/pppb1pp1/6np/2p1P3/8/5NNP/PPP2PP1/R2R2K1 w - -,g3h5
1r4k1/3B1p1r/3Q4/q2P3P/1pR2p2/pP3P2/P1P5/1K6 b - -,a5a7
R7/8/8/7p/6b1/8/4r1P1/4k1K1 b - -,g4f5
3qkb1r/1b3ppp/pn1p1n2/4p3/R3P3/1NP2B2/2P1QPPP/2B2RK1 w k -,a4a1
r4rk1/1bn2p1p/p2q2p1/1p1pn1P1/2pPPPB1/2N5/PPQ4P/2KR3R w - -,f4e5
8/5k2/5n2/3pNp1p/1B2pP2/4K1PP/8/8 b - -,f7e6
r4rk1/1p1qppbp/1nnp2p1/p3P3/P2P4/1BN2Q1P/1P3PP1/R1BR2K1 b - -,d6e5
6k1/1R6/4p1p1/3nPp1p/5P1P/6P1/5K2/8 b - -,g8f8
8/6p1/7p/2k5/3b1qP1/5P2/4Q2P/3B2K1 w - -,g1f1
8/7p/1K2kp2/3Np1pP/3nP1P1/2P5/5P2/8 w - -,c3c4
r1bq1rk1/p3bppp/1p6/3p2Pn/3Q1P2/2N1B3/PPP4P/R3KB1R w KQ -,e1c1
1r3rk1/4p1bp/p2p1np1/1q1P1P2/2p5/4N2P/PPQB2P1/1R3RK1 w - -,f5g6
5rk1/1q2p3/4PrpQ/p1pPBp1p/P1PN4/7P/6P1/3R3K b - -,c5d4
r4rk1/2qb1ppp/p4n2/1pPpp3/1P6/1N4P1/P1Q1PPBP/R4RK1 w - -,f1d1
5rk1/4ppbp/5np1/ppr5/8/N3B3/PPP2PPP/2KR3R b - -,c5f5
R7/8/4b1p1/3n4/5k1K/8/8/8 w - -,a8a4
3r2k1/1pq2ppp/p3pn2/3rN3/3P4/P6P/1P1R1PP1/1Q1R2K1 w - -,e5f3
6k1/2b1n1p1/3p4/2pPpq1p/r1N1Q2P/PR4P1/3B1P1K/8 w - -,e4f5
r5k1/6p1/p1n1pr1p/2N2b2/3p1P2/R3bNP1/PP2B2P/K4R2 w - -,a3a4
3r1rk1/pp1npp1p/3p2p1/3B1P2/1P2P3/7P/P1P3P1/R4RK1 w - -,d5b7
2r3k1/p5pp/3p4/1p1Nq3/2P1n2b/4B3/PP2Q2P/R2K1R2 w - b6,a1c1
1r6/2p2pp1/2p1k3/p1B1Pb2/P1PP4/2K3P1/8/5R2 b - -,b8h8
2r2rk1/1q1n1pbp/p2pb1p1/1p6/4P3/1P1BB2P/P2NQPP1/2R1R1K1 b - -,d7c5
5rk1/p4p1p/1p4n1/3r2Q1/P2NR3/2P3P1/5P2/1R4K1 b - -,d5g5
2b2rk1/p4pp1/q1R4p/3pPQ2/1B1P4/P7/5PPP/1R4K1 b - -,a6c6
r2qk1r1/pp1nb2p/2ppb3/4p1p1/P2P2P1/2N2N1P/1PP2P2/R1BQK2R b KQq -,d8c7
8/8/8/1k1p4/Np1P1N2/1P6/4Kn2/8 b - -,f2e4
rnbq1rk1/4b1pp/p2p4/N2PpP2/8/R3BQ1P/1PP2P2/4KB1R b K -,c8f5
2r2rk1/pb2bpp1/1p2p2p/n2q4/3PN3/2PB1P2/P3Q1PP/R1B2RK1 w - -,c1d2
r1b2rk1/pp3p1p/1q2p3/5p2/2Pb4/2NB4/PPQ2PPP/3R1RK1 b - -,f8d8
r1bqk2r/pppp1ppp/2n5/2b1n3/2P5/2N1P2N/PP3PPP/R1BQKB1R w KQkq -,h3f4
5r1k/5pp1/2R4p/pp5P/4rP2/1PP4P/1PK5/3R4 b - -,e4f4
2rq1rk1/p4ppp/bp1bpn2/4N3/1nPP4/P1N5/1B2QPPP/RB3RK1 b - -,b4d5
r3r1k1/p6p/1p2R3/3pnPb1/1P2p2P/P7/5PB1/1R4K1 w - -,e6e8
5r1k/7p/4Qb2/5Pp1/p2p2P1/P3p2P/2P5/5K2 b - -,h8g7
7k/1p4r1/p2pR3/3n4/8/2P4K/PP6/8 w - -,e6d6
r1bq1rk1/pp1nbppp/2p2n2/3p4/3P1B2/P1NBPN2/1P3PPP/R2QK2R b KQ -,a7a5
r2qr1k1/p1pb1pb1/2np1npp/1p6/4P1P1/P1N4P/1PP1NPB1/R1BQ1RK1 w - -,e2g3
5B2/R2b4/2p1k3/P3p2p/8/4KP1r/8/8 w - -,a5a6
8/5ppk/8/p4N2/2P2Q1P/6P1/2q2P1K/8 b - -,a5a4
k1r5/pR6/Pp1p4/3P1p2/1PP2Pbp/4P2p/5K1P/2R5 b - -,g4h5
r4rk1/1p3p1p/2p1p1p1/p2b1q2/P2Pn3/Q3PNP1/1PR2PBP/2R3K1 b - -,f5h5
r1bq1rk1/1p1pppb1/2n2np1/p1p4p/2P4P/P1NP2PN/1P2PPB1/1RBQK2R b K -,a8b8
r1b1kb1r/1pq2ppp/p1n2n2/2ppN3/3P4/2N1P3/PPQ1BPPP/R1B1K2R w KQkq -,e5c6
8/p3kp2/3npp1p/2r5/2pR1P2/P3P3/1PK1BP1P/8 w - -,d4d1
r4rk1/ppq1bppp/3pb3/4n3/3BPR2/2N5/PPP1B1PP/R3Q2K w - -,b2b3
8/8/5N2/6p1/2k5/1pP2P2/1P2K2n/8 w - -,f6e4
8/2k2p2/2p3p1/p3p2p/2P1N2P/6PR/1K6/3r4 b - -,f7f5
6k1/p4p1p/P3p1p1/8/5P2/6PP/1bB1R2K/r7 w - -,c2e4
r3r1k1/5p2/2p4p/p1bpBPp1/P1bN3q/6P1/1P1Q3P/2R1R1K1 b - -,h4g4
6k1/4bpp1/3p1n1p/1r2p3/4P3/1P2B3/3N1PPP/R5K1 b - -,d6d5
1qr1rbk1/5pp1/pp2pn1p/2n1P3/2PN4/1PN1R1PP/PB1R2QK/8 b - -,f6h7
8/5p1p/3p1kp1/4p3/2PpPP2/1P1R1KPP/r7/8 b - -,f6e6
5k2/2p3pp/QpqnBp2/4pP2/PP6/6P1/6K1/8 w - -,g2h2
r2qkbnr/pbpp1pp1/1pn1p2p/4P3/2PP4/P2B1N2/1P3PPP/RNBQK2R w KQkq -,b1c3
