8/8/4k3/2bp2pp/2p4N/4N2P/4K1P1/8 w - -,h4f3
r4rk1/1bq1bppp/p1p1pn2/1p6/4PP2/P1N1B3/1PP1B1PP/R2Q1R1K w - -,e2f3
r4rk1/p3bppp/1p1np1q1/8/2pP2P1/1P2PQ2/PB3PNP/R1R3K1 b - -,a8c8
2bq2k1/1pn3b1/1Qp3pp/P3pp2/1BPnP3/1P4PP/5PB1/1R2N1K1 w - f6,a5a6
8/8/6p1/5k2/4R2p/2PK3P/r5P1/8 w - -,e4e2
1k1N3r/pp3qp1/1npb1n1p/5p2/8/5QN1/PPPB2P1/2KR3R b - -,f7a2
5rk1/bq4pp/p2Q4/8/PP6/4P1B1/5PPP/4R1K1 w - -,e1d1
rn3rk1/pp4bp/2p2pp1/8/3Pp1b1/P1P1B1P1/2P1BP1P/2KR2NR b - -,g4e6
6k1/1pr2ppp/p3p1b1/n1P1P3/3N2P1/P3P2P/4B3/3R2K1 b - -,h7h6
1rb3k1/pp1n2Bp/8/3r1p2/4p3/4P3/P3N1BP/R5RK b - -,g8f7
2r3k1/1pp2p1p/6p1/1r3n2/1p6/1P2PKP1/P2R1P1P/2N4R b - -,g8g7
1rb1r1k1/2q2ppp/pp1b1n2/2p5/P1Np1PP1/1P1P3P/1BPQN1K1/R4R2 b - -,f6d5
8/pp1bk2n/3p3p/3Ppp2/7P/1P1B1P2/P1N2KP1/8 w - -,g2g4
6k1/1r3p2/1N2p3/P6b/7p/2K2P1R/P7/8 w - -,c3b4
8/5n2/4pPp1/8/4k1PP/3b4/5K1B/8 w - -,h2c7
r3n3/1p2bkp1/p1rpppp1/P5P1/2P4P/1PNRB3/4PPK1/3R4 w - -,c3a4
5rk1/pp2q2p/2p3p1/2N1P3/2P5/8/PP4PP/3RR2K w - -,c5d7
2k5/ppp3p1/3np2p/2r5/7P/2PBP3/P1K2PP1/7R b - -,c5a5
r4rk1/p2n1pp1/1q2pb1p/7N/1B1pQ3/P3P3/1P3P1P/R3K1R1 b Q -,d4e3
r1b1k2r/pp4pp/2nbp2n/2pp2Bq/3P4/P1PB1N1P/1P1N1PP1/R2QK2R b KQkq -,c5d4
k7/p1B5/8/1P1p4/6pp/3P4/P5P1/1KR1N1q1 w - -,c7e5
rn1qk2r/pb3pbp/1pp1p1p1/3n4/3PBP2/2N1BN2/PPPQ2PP/R3K2R w KQkq -,c3d5
2r1r1k1/4bp2/1P2p1p1/p1qpP3/Np2nP1p/1P2Q2P/4R1P1/3RB2K w - -,e3f3
1rb2rk1/3n1ppB/1q1pp3/1p1nP1b1/2pP4/5NN1/PP3PPP/R2Q1RK1 b - -,g8h7
2rr2k1/pp3ppp/1q2b3/3p4/8/1PQ1P1P1/P4PBP/3R1RK1 w - -,c3b2
8/8/4b1k1/8/8/1pBP2Kp/8/8 w - -,c3b2
4r2r/2q3kp/1np3p1/p4p2/P4b2/1BN2QP1/1P3P1P/R4RK1 b - -,f4e5
r1bqk2r/1ppn1ppp/3p1n1b/p2Pp3/2P1P3/5N2/PPBN1PPP/R1BQK2R w KQkq -,e1g1
2r4r/p2k1ppp/4bn2/2bNp3/8/6P1/PP2PPBP/R1BR2K1 b - -,e6d5
8/p1n5/5kP1/3K4/1P6/3B4/8/8 w - -,d5c6
r1b2rk1/pqn1ppbp/1p1p1np1/1N6/2B1PB2/2P2N2/PPQ2PPP/3R1RK1 w - -,b5c7
2rq1rk1/4pp1p/b2p2pb/2n5/P1N1P3/5NP1/2Q2PBP/2R1R1K1 w - -,f3d2
1k5r/2p2p2/2Q1pq2/5b2/PP1P2p1/2P3p1/5P1P/2R1R1K1 w - -,f2g3
3r2k1/7p/1p6/pPp2p2/P1NR4/1Pb3P1/5P1P/5RK1 b - -,d8d4
R7/8/8/6k1/8/8/p4p1K/r7 w - -,a8g8
8/8/R4pk1/7p/p1r1P2P/5P2/5K2/8 w - -,e4e5
8/1R3p1k/1p2p3/4rr1p/R4p2/P4K2/1P5P/8 w - -,b7b6
8/5pk1/p5p1/1r3n2/1P1p1N2/8/1P3K1P/5R2 b - -,b5b4
4nrk1/3q2pp/pr1p1pb1/2nPpN1N/p1p1P1P1/2P4P/RPB1QP1K/6R1 w - -,g4g5
1r6/4r2p/Pp1k4/3P1pP1/3K1P1p/1R3B2/1P2P3/8 b - -,b6b5
8/8/4bk2/R7/4K3/8/8/4r3 w - -,e4d4
8/3Q1nk1/3p1p2/2pPpP2/4P3/3KB3/8/3q4 w - -,d3c3
6k1/q2Nbpp1/2Q4p/2p4P/p5P1/1P1K1P2/P7/8 w - -,b3a4
8/p7/8/3KNk2/P6P/4b3/8/8 w - -,e5c4
8/6p1/2p4p/5k2/3R4/2P2K2/2r3PP/8 w - -,d4c4
r1bq1rk1/pp3ppp/1bp2nn1/3pp3/4P3/1BPP1NNP/PP3PP1/R1BQR1K1 b - -,h7h6
3r1rk1/pp3pbp/2npb1p1/2p5/2P1NP1q/4P2P/PP2B1P1/R1BQ1RK1 w - -,c1d2
r6k/ppN3bp/8/n1p5/6bP/P1P1q3/BP3P2/R3K1N1 w Q -,f2e3
5rk1/4b1pp/r1p1p3/1p3p2/3P4/2R1B3/PP3PPP/R5K1 w - -,a1c1
8/4n3/1p4kp/1P2P1p1/4K3/1B4P1/7P/8 b - -,g6g7
4r1k1/pppqr1b1/2n1b1pp/5p2/3p4/P2P1NPP/1PPNRPBK/R2Q4 b - -,f5f4
5rk1/5p1p/6p1/r4P2/2R5/3n4/3B2PP/6K1 w - -,d2a5
1r3rk1/p5bp/bnpp2p1/5p2/1PP2P2/P2B2P1/3N1K1P/1RB2R2 b - b3,d6d5
6k1/r1bb1pp1/P6p/3p4/2pq4/1Q4P1/R3RP1P/5BK1 w - -,b3e3
3B2k1/p4p1p/r5p1/4b3/4p3/1P2P2P/P4PP1/2R3K1 w - -,a2a4
r4rk1/3nppbp/bq1p1np1/p1pP4/8/2N2NPP/PP2PPB1/1RBQ1RK1 w - -,f1e1
3r2k1/4r3/6p1/3p4/p4Pqb/2PR4/PP1RN1QK/8 b - -,g4h5
2rqkb1r/pb1n1ppp/4pn2/1pp3B1/3P4/5NP1/PPQ1PPBP/RN3RK1 w k -,c2b3
r1r3k1/2q1bppp/1pn1b3/p2pPp2/N2P4/PP1Q1N2/3B1PPP/R1R3K1 b - -,c7b7
r1q2rk1/1p2bpp1/p2p1n1p/P1p1nP2/8/2N2P2/BPP3PP/R1BQR1K1 w - -,f3f4
2k1rr2/1pp5/p1n3q1/3np1B1/2PpNP2/1P4P1/PK1QR3/4R3 b - c3,d5e3
rn1qr1k1/ppp2ppp/3bbn2/3pN3/3P4/1P1B4/PBP1QPPP/RN3RK1 b - -,b8c6
4r2k/2B2ppp/1p2b3/pP6/P7/R3b3/6PP/3R3K b - -,e3c5
7R/8/8/1n6/2k5/8/1K4r1/8 w - -,b2c1
3rk2r/2p1bp2/pp6/2pRP1p1/2P3P1/8/PP3PKB/3R4 b - c3,c7c6
2r2rk1/pp3pbp/2pBp1p1/7n/3P2n1/1BPN4/PP3PPP/3RR1K1 b - -,f8d8
r3kb1r/pp1n1ppp/1q2pn2/3p3P/3P4/2N5/PPQBPPBP/R3K2R w KQkq -,g2f3
B2r3k/5p2/3p1b2/1p4pp/8/pn1N3P/P1P3P1/2K1R3 w - -,c2b3
8/5p2/6pp/3N4/1knP2P1/6K1/5P1P/8 b - -,b4b5
8/2kb4/p2Q4/1ppP4/4N3/1P6/P3qPK1/8 b - -,c7c8
r1q4r/p2b2k1/1p3p2/n1pPp1pR/2P1P3/5PQ1/P2N2P1/1R2KB2 w - -,h5h8
rn2kb1r/1bq2ppp/pp1ppn2/8/2PNP3/2NBB3/PP2QPPP/R4RK1 b kq -,b8d7
6k1/q3bp2/3p2p1/4p3/1P2P1Pp/3Q1P1P/3B4/5K2 b - -,a7a1
3rkb1r/pp2pppp/1n6/8/7Q/2P5/PP1NqPPP/R1B2RK1 b k -,e7e6
2r1k2r/2qn1p2/pp1b1np1/8/P3p3/1N2BB2/1PP1Q1PP/3R1RK1 w k -,f3g4
3Rr1k1/ppq3bp/b1p3p1/8/8/1PN1pPP1/PBQ1P2P/3R2K1 b - -,e8d8
r3qrk1/2p3b1/1p1pn1p1/p4b1p/5R1P/1QP2P2/P2BB3/5KNR b - -,a5a4
1qr1k2r/3nppb1/p1np2p1/1p4Pp/2b1PP2/1NNBB2P/PPP2Q2/1K1R3R w k -,c3d5
2rqk2r/1b1nppb1/p2p1npp/1pp5/3PP1P1/PBN1BP2/1PPQN2P/R3K2R w KQk c6,e1c1
2r1rk2/3Rb3/2n1P2p/1p3p2/8/P2N2P1/5BKP/2R5 w - -,f2e3
r2qk2r/ppp1npp1/3pP3/6p1/2B1R3/8/PP2QPPP/4R1K1 b kq -,f7f6
2kr3r/p4p2/1pp1bqn1/2p1p1pp/4P3/2NPQ1PP/PPPN1P2/1K3R1R b - -,f6e7
r4rk1/3nqpb1/2Q3pp/3Pp3/1p2P3/3B1N2/1P3PPP/R3R1K1 b - -,a8c8
rq3rk1/p2bppbp/3p1np1/1p6/3NP3/1PN1BP2/PP1Q2PP/1K1R3R w - b6,e3h6
8/8/p2rk3/R4pPp/3p3P/5K2/8/8 w - -,f3e2
