8/p1R5/5bkp/8/8/P7/r4PP1/5NK1 w - -,c7a7
1rq3k1/p1pr1n1p/2p1Bbp1/2N5/5p1P/8/PPQ2PP1/5RK1 b - -,c8d8
3r2k1/4qppp/1n6/pB2R3/Pp2pQ2/6P1/1P2PP1P/6K1 b - -,e7b7
2bq1k1r/4bpp1/2p1p3/3pP2p/1R3B2/2NP4/4QPPP/4R1K1 b - -,e7b4
2b1r1k1/1p3ppp/2p5/3p4/1p6/1P1BbPK1/r1P1N1PP/1N1R3R b - -,d5d4
r1bq3r/2k1b3/1nn1p2p/1p1pPpp1/p1PP1PP1/4NN1P/P1PBB3/1R1Q1RK1 b - -,b5c4
r2q1rk1/1b3ppp/pp6/3p4/P3BBn1/5N2/1PP2PPP/R2QR1K1 b - -,d5e4
r1bqk2r/pppnppb1/3p1npp/6B1/3PP3/2P2N2/PP1N1PPP/R2QKB1R w KQkq -,g5h4
8/R4pkp/4n1p1/8/4P3/6K1/8/8 w - -,g3g4
3r2k1/1p1N2r1/p1p1pn2/5p2/2PP3Q/1PN1R1R1/P4KPP/2q5 b - -,f6g4
2r4r/8/1P6/2k5/P5K1/8/1Q6/8 b - -,h8g8
r1bqkbnr/1p3ppp/p1n1p3/2pp4/P3PP2/2NP4/1PP3PP/R1BQKBNR w KQkq -,g1f3
r3kb1r/pp1npppp/2p2n2/q7/2BP4/2N2Q1P/PPPB1PP1/R3K2R b KQkq -,a5c7:a5b6
r4r1k/pp1q2pp/2np1p1b/2pNp2Q/P1B1P1P1/1PPP4/R4PP1/5RK1 w - -,g2g3
r2q1rk1/1p2bppp/p1npbn2/4p1B1/4P3/1BN2N2/PPP2PPP/R2Q1RK1 b - -,f6d7
4nk2/4b2p/p1bp2p1/8/8/5P2/P3N1PP/2B4K w - -,e2d4
7r/ppp2krB/3q4/2pP4/2P1N1b1/4Q1P1/PP3P2/1K5R b - -,g4f5
2rr2k1/pp3pp1/1np1n1p1/8/4P3/5PP1/PP1B3P/2RR1BK1 w - -,d2e3
rn1qkb1r/pp2npp1/2p1p2p/3pPb2/2PP3P/2N5/PP3PP1/R1BQKBNR w KQkq -,c4d5
3k4/4R3/5p1p/5N2/2p2PP1/2Bp2KP/8/6q1 w - -,g3h4
3r4/5p1k/4nnpp/8/2P1p3/4B2P/1PB2PP1/2R3K1 b - -,d8c8
r4rk1/1pqn1ppp/p1p1pn2/b2pNb2/NPPP1P2/P3P3/4B1PP/R1BQ1RK1 b - b3,b7b5
rn2qr1k/p4ppp/n1p3b1/1p4Q1/1b2N3/1B3N1P/PBP2PP1/R2R2K1 w - -,e4d6
8/3k2b1/3p2pp/pp6/P1p2PP1/2Pr4/1PKB3P/4R3 b - a3,b5b4
4r2k/pp4p1/2p2n1q/4r3/1PR1B2P/P3P1R1/1Q3P2/3NK3 b - -,e5e4
3k4/1P6/3K1N1p/6p1/4P3/7P/1r3PP1/8 w - -,e4e5
8/2rbkp2/2n1p3/p2pP1NB/Pp3P2/1PrR4/1KPR4/8 b - -,c3d3
r1b2k1r/ppp1bppp/4pn2/1B2N3/3PqB2/8/P1PQ1PPP/3R1RK1 b - -,f6d5
5rk1/r2n1ppp/1p1qn3/p2p4/3P4/P2Q2P1/2RNPPBP/2R3K1 b - -,a7c7
r3kb1r/1p2pppp/pnp1bn2/3q4/1P6/N2P1NP1/2Q1PPBP/R1B2RK1 b kq -,d5b3
4r3/2pk4/p7/P1PPpr1p/4R1p1/4R3/5PK1/8 b - -,e8e7
8/2R4p/pp3bpk/n7/4B3/2N1P2K/P2r4/8 w - -,c3d5
r1bqr1k1/pppn2bp/3p4/3P1pP1/2P2p1P/2N2P2/PP2B3/R2QK1NR w KQ -,d1d2
1r3bk1/2qn1ppp/b2p4/p1nPpN2/Prp1P1P1/2R3NP/RPB2P2/2BQ2K1 w - -,d1f3
r2q2k1/pp3r1p/2b1pbpB/3pP3/2pP4/2P3Q1/PPB3PP/R4RK1 b - -,f6g7
3r1rk1/ppqn1pp1/3bp2p/2p5/3P4/2P2N1P/PPQ2PP1/R1B1R1K1 w - -,c1e3
r2q1rk1/4ppbp/n3b1p1/pp1p4/3P3N/1PB1P1P1/P3QPBP/2R2RK1 b - -,d8b6
r1b1r1k1/1p1nppbp/pq1p1np1/6B1/N2NP3/8/PPPQ1PPP/R3RBK1 b - -,b6c7
8/p2rr2k/1p4p1/4pp1p/P2q4/3P1PP1/2Q1P1KP/2R1R3 w - -,c2b3
r4r2/p2qnpk1/1p1p1npp/2pPp3/2P1P1PN/2PB1P1b/P1Q2R1P/2B1R2K b - -,h6h5
1r6/p2b4/3k1R2/P2p3p/2pNp3/2P1K1P1/1P5P/8 b - -,d6e7
8/8/5k2/6R1/5P1P/6K1/8/1r6 w - -,g3g4
r2r1bk1/1p4pp/8/p2qN3/Pn6/4Q1P1/1B2RP1P/4R1K1 b - -,a8c8
r1bqk1nr/pp2ppbp/3p2p1/8/2B1P3/2p5/PP1PNPPP/R1BQK2R w KQkq -,d2c3
7r/1r3pk1/1p1pb1pp/p1p1p3/P1P1P1P1/1P1PNP2/1R3KP1/7R b - -,f7f6
5rk1/6p1/1B2pn2/r7/6P1/5P2/5K2/2R2B2 b - -,a5a3
r2qkbnr/pp1n1ppp/2ppp3/7b/3PP1P1/2N2N1P/PPP1QP2/R1B1KB1R b KQkq g3,h5g6
r1b1rnk1/1p3p2/2p2bp1/p2PBqPn/2P5/P4NR1/2B2PK1/RQ6 w - -,c2f5
3r2k1/R4pp1/B5n1/1p1b3p/PB3P2/4P3/6PP/4K3 w - -,a6b5
5k2/5p2/1n1P1p1p/1b3B2/2p2P2/P5RP/6P1/6K1 b - -,b5c6
rnb1k2r/pp5p/2p2ppb/3pN3/3P2p1/q2BP3/P1PN1P1P/1R1QK2R w Kkq -,e5g4
r2rn1k1/pp1q1ppp/2np1b2/2p5/2P1P3/1PN1NPPb/PB5P/R2QR1KB b - -,e8c7
6k1/1p4pp/p3p3/2bpPp2/P4P2/1PnBPKP1/7P/2B5 w - -,c1d2
5r1k/6bp/Q5p1/R3p3/1qB2p2/4B3/1P3PPP/6K1 w - -,e3c5
r2qk2r/p1pb1ppp/1bp5/3pP3/3N4/4B3/PPPn1PPP/R2Q1RK1 w kq -,d1d2
r2qkb1r/1b1n1pp1/p3pn1p/8/1p1Np1PP/4BP1B/PPPQN3/2KR3R w kq -,g4g5
1rnr2k1/2p1pp1p/4b1p1/R3P3/8/6P1/1P2P1BP/2B2RK1 b - -,g8g7
4B3/5pk1/3K2b1/3P4/6pR/8/5r1p/8 b - -,g4g3
8/p5pp/1p6/8/1P1pkPP1/P7/4K3/2B5 b - -,g7g6
2r1r3/p5k1/6p1/4p2p/3nb3/1PP3P1/P4R1P/2KNR3 w - -,e1e4
8/R4pp1/3k3p/8/4P3/6PP/1p5K/2r5 w - -,a7b7
2r5/4bk2/2bp1pp1/R6p/2PBP2P/3K2P1/3N1P2/8 b - -,c8a8
2kr3r/ppp2ppp/3pbb2/3B4/2P2B2/8/PPP2PPP/2KRR3 b - -,h8e8
8/5K2/p1rrP2p/1k6/8/8/2p5/2R1R3 w - -,e6e7
8/2R2B2/6p1/pp2kb1p/3b1R2/1K2p1P1/4P2P/1n6 b - -,b1d2
r2q1r2/1p2n1bk/pN1p1p2/P1pPp1p1/2P1P1Q1/1P4P1/3B2P1/R4RK1 b - -,a8b8
4rr2/ppq3k1/2p2nnp/3P2p1/3P1p2/3QPN2/PPB3PP/R4RK1 b - -,f6e4
2r3k1/2rq2pp/1p2p3/1n1p4/1P2pP2/2P4P/1R4P1/2R1QNK1 w - -,b2c2
8/R4pk1/6p1/p1R1b2p/7P/6P1/r3KP2/8 w - -,e2e3
rnbq1rk1/pp3ppp/4pn2/2p3B1/1bBP4/2N1PN2/PP3PPP/R2Q1RK1 b - -,c5d4
3r4/5p2/R2Ppk2/8/3n4/3R2P1/1r3PK1/3B4 b - -,b2b4
r2r2k1/pp1bbppp/qnn1p3/8/2N1P3/1P3NP1/P3Q1BP/R1BR2K1 b - -,b6c4
8/pp1k3p/3b1p2/5p2/3P2pP/3KP1P1/PP3P2/2R5 b - -,a7a6
r1bqkbnr/1p1p1ppp/p3p3/2p5/3nPP2/2N2N2/PPPPB1PP/R1BQK2R b KQkq -,d4e2
1nbr1k2/1p5p/rR1p1pp1/p1PP4/P2p1B2/3B4/3K1PPP/1R6 b - -,a6b6
br4k1/3q1pb1/p2pp3/N2Pn1p1/4P3/1P2N1P1/3Q1P2/1BR3K1 w - -,g1g2
8/8/pp3n2/8/1PK5/2P2k2/8/8 w - -,c4d4
8/7k/pp2Q3/5p2/1PPq3p/5br1/P5P1/4RBK1 w - -,e6e3
r2q1rk1/pp1nppbp/n2p2p1/2pP4/2P1PP2/2NB1Q1P/PP4P1/R1B1K2R w KQ -,e1g1
