8/8/2R5/pP3pp1/P4k2/7P/r7/5K2 b - -,a2a4
2N5/8/p2k1pp1/2p1p3/2PnK1P1/8/1P6/8 b - -,d6e6
r1bk1r2/1p1n2pp/p1nNpp2/3pP3/3P1P1P/5N2/PP1K2P1/R4B1R w - -,f1d3
r3r1k1/1p1B1pp1/1p4bp/3p2n1/1P1q4/P3PPP1/7P/2RQR1K1 w - -,d7e8
rn1qk2r/5pp1/p1pbpn1p/1p1p1b2/2PP4/1PN1PN1P/PB2BPP1/R2QK2R w KQkq b6,c4c5
rn1q1rk1/1pp1bppp/p1b1pn2/8/P1pP4/5NP1/1PQ1PPBP/RNBR2K1 w - -,c1g5:b1c3
1r1q1rk1/4ppbp/p2p2p1/1bpP4/3nPP1N/2NQ2PP/P4RK1/2R1B3 w - -,d3e3
r1bq1rk1/pp1n1ppp/2p5/4p3/2PpBP2/3P2P1/PP1QP2P/R3K1NR w KQ -,e1c1
1n6/2q2p2/1pPbpkp1/3p3p/QN1P1P1P/3N2P1/5P2/5K2 w - -,f1e2
r1bqrnk1/pp2Bppp/2p5/3p4/3Pn3/2NBPN1P/PPQ2PP1/R4RK1 b - -,d8e7
8/1p1N2pp/P1b1k3/4pp2/2p5/5P2/1r4PP/4R1K1 w - -,d7b8
2r5/4p2p/3nkpp1/ppp5/8/2P2PP1/P3PK1P/1R1R4 w - -,e2e4
1K6/3k4/1P6/7p/1r5P/7R/8/8 w - -,b6b7
3k4/8/2PP2p1/4Kp1p/1N5P/6P1/4n3/8 b - -,e2g3
8/8/3q4/8/7p/2k1pQ1P/6P1/6K1 b - -,c3d2
8/7p/1Rb1k3/PP1p2p1/5p2/2B1KP2/7P/1r6 w - -,e3d4
2k2r1r/1p1bnp2/pR2pQpp/N3P3/3p4/q1PBB3/2P2PPP/1R4K1 b - -,e7d5
8/8/5k2/5P2/4R2p/4P1p1/3r4/5K2 w - -,e4h4
rnb2rk1/p4pbp/2p3p1/8/1p1P4/1B3N1P/PP3PP1/R1B2RK1 b - -,c8f5
2r3k1/5pp1/p3pn1p/1pr1q3/3R3P/P1NQ2P1/1PP1RP2/6K1 b - -,e5f5
8/8/5k1p/1ppn1pp1/p2p4/P2P1NPP/1PP1KP2/8 w - -,f3d2
r4rk1/5ppp/4pn2/pBNb4/P3pP2/8/1PP3PP/R4RK1 w - -,c2c3
r2qkbnr/pp3ppp/2n1p3/2pp1b2/3P1B2/2N1PN2/PPP2PPP/R2QKB1R w KQkq -,f1d3
3r2k1/1QR2p2/p6p/6p1/P3p3/7P/5P2/3q2K1 w - -,g1h2
r2q1rk1/pp2b1pp/1np2P2/8/2pBR1Q1/P1N3PP/1n3PB1/R5K1 b - -,e7f6
r5rk/p1qb1p1p/1p3PpQ/n7/2pPP3/3B4/P3N1PP/2R2RK1 w - -,f1f4
3r1rk1/p1P3pp/5q2/4Nb2/4n3/8/PP3pPP/RNQ2RK1 w - -,f1f2
3r3r/2p1nkpp/p3bB2/Pp6/2pN4/2N5/1PP3PP/R4RK1 b - -,g7f6
8/2Pk4/p4p1p/1p1NpP1P/3nK1P1/1P6/P7/8 w - -,d5f6
r2q1rk1/pp3pp1/2n1b2p/3Nb3/3p4/6P1/PPPQNPBP/R4RK1 w - -,e2f4
3r2r1/Np1k1p1p/1q1n4/2RPpp2/7P/4QPP1/2P5/R6K w - -,a1a3
1kr5/pp3p2/8/3N3P/4PNn1/P7/KP3R2/8 b - -,g4f2
r4r2/pp2b3/3p1nk1/2p1p1p1/2P5/4NPB1/PP4PP/R3R1K1 b - -,b7b5
8/R4pkp/4P1p1/p5P1/5P2/7P/1P1p1B2/3q2K1 w - -,g1g2
r2qk2r/pp1nbppp/2n1p1b1/2ppP3/5P2/1N1P1NP1/PPP3BP/R1BQ1RK1 w kq -,c1e3
2r2rk1/1b2qppp/p1n1p3/1p1pP3/3N1P2/2NP4/PP3QPP/R4RK1 w - -,c3e2
r4k2/1p5p/2pR1pb1/p1B5/P7/1B4RP/1Pn1rPP1/6K1 b - -,f8e8
8/8/2b1k3/7p/5P2/1p4P1/1Bp2K1P/8 w - -,f2e3
1r3r2/2pq1pbk/p1bp2pp/7n/2PNP3/1BB4P/P1Q2PP1/3RR1K1 b - -,d7e8
r2q1rk1/pb1nppbp/1p1p1np1/3P4/1PP5/2N1BN1P/P3BPP1/2RQ1RK1 b - b3,a8c8
r1b1kb1r/1p1n1ppp/p2ppq2/8/1PBNP3/2N5/P1PQ1PPP/R3K2R w KQkq -,e1g1
r3k1r1/5p2/1qp1p1b1/3p2Nn/3PP1R1/bpNB1P2/1Q3B2/1K4R1 w q -,b2d2
2r3k1/5p1p/6p1/1p1Pp1P1/4r2P/R3P3/P7/K6R b - -,c8d8
r1b1k1nr/p1pp1ppp/2p2Q2/2b5/4P3/8/PPP2PPP/RNB1KB1R b KQkq -,g8f6
6k1/2r1rppp/pp4q1/3B4/2N2Q2/1P4P1/P6P/5R1K b - -,g6d3
5rk1/1bqnbpp1/2p1p2p/2pp4/1P1P1P2/r1NB1NP1/2Q2P1P/1R2R1K1 w - -,b4c5
r1bq1rk1/1pp2ppp/2np1n2/p3p3/2PPP3/P1B2N2/1PQ2PPP/R3KB1R w KQ -,d4d5
5bk1/8/6KP/6PN/8/8/8/8 w - -,g6f6
r2q1rk1/1bppbpp1/p1n2n1p/4p3/PpN1P3/1B1P1N2/1PP1QPPP/R1B2RK1 b - -,d7d6
3r3k/p4qbp/1pR2n2/3pp1B1/Q7/6PB/PP3P1P/6K1 w - -,a4c2
3r4/1p3pk1/pq6/4p1p1/4P1Bp/2Pn3P/PPQ1RPPK/8 b - -,b6f6
r2q1rk1/1pp2pbp/2np1np1/4pb2/1pP5/P1NP1NP1/4PPBP/1RBQ1RK1 w - -,a3b4
r2rbbk1/5p2/1pp1p1pp/p2nP3/2NP1P2/P2B1NP1/1P2K1P1/2RR4 w - -,f3d2
rnb2rk1/pp3pbp/1np3p1/8/4PP2/2N1B3/PP2B1PP/3RK1NR w K -,g1f3
rnbq1rk1/1p2ppbp/p1pp1np1/6B1/2PPP3/2N2P2/PP2B1PP/R2QK1NR w KQ -,d1d2
2n5/p1r2k2/R4p2/P5pp/5p2/7P/3RKPP1/8 w - -,d2d3
8/7k/7p/pp1p2nN/3P1QP1/1P2P2K/P2q4/8 w - -,h3h4
3r3r/p2nbpk1/2B1p1p1/q1PpPn2/3P1P1p/5Q1P/P3NBP1/R4RK1 b - -,d7c5
2R3k1/pp4pp/1n2p1b1/5p2/3qp3/1P2N1P1/5PBP/1Q4K1 b - -,b6c8
r3k2r/pp1bpp2/3p1b2/q1pP3p/2n1P3/2N2P2/PPQ1N1P1/R3KB1R b Qkq -,b7b5
r1r3k1/1q2ppbp/1n1p1np1/pp6/8/PN2P1B1/1PP1NPPP/1R1Q1RK1 w - -,e2d4
r1bq1r2/1p1np1bk/3p1npp/p1pP1p2/1PP5/P1NQ1NP1/1B2PPBP/R4RK1 w - a6,b4b5
bq1r1rk1/5ppp/p1n2n2/R1Pp4/1P1B4/2N2P2/4B1PP/1R2Q1K1 w - -,d4f6
8/4n2p/p3Npk1/8/3K2P1/8/8/8 b - -,f6f5
2r4r/1p2kppp/2n1pn2/p2p4/Pb1P4/1P1K1PP1/NBR1P1BP/1R6 b - -,h8d8
8/8/p4qpk/1p3p1p/1P2p2P/P3P1P1/1R2QP2/3r2K1 w - -,g1g2
2kr3r/ppqnbp1p/2p1p2p/4P3/2NPb3/5N2/PP2BPPP/R1Q2RK1 w - -,c1f4
1r1qr1k1/3n1pp1/2p3p1/p7/2PPpQ2/1P6/P3BPPP/2RR2K1 b - -,d7f6
1r2k2r/1p1q4/p2p2p1/2pPb1B1/P5n1/2NQ1R2/1P4P1/4R1K1 b k -,d7g7
3n4/4p2p/4P1p1/1k1K4/4P1PP/8/8/8 w - -,h4h5
r4rk1/2p4p/p3pQp1/8/3R4/3P4/1P3PPP/2R3K1 b - -,f8f6
2brr1k1/1p3pb1/6pp/q1pNP2n/2Pn1P2/2N3PP/5BB1/1Q1RR1K1 b - -,c8f5
8/8/3p1pk1/2pN2p1/8/4P1PP/5R1K/r7 b - -,a1d1
r2qkb1r/1p1n1ppp/p4N2/4p3/3Q1B2/8/PPP1NPPP/R3K2R b KQkq -,d8f6
2r1q1k1/p4p1p/1nb3p1/2N1b3/1P6/3BBP2/P3QP2/3R2K1 w - -,d3e4
1rbq1rk1/1p1nbppp/p2p4/2p5/BPPpP3/P2P3P/3N1PP1/R1BQ1RK1 w - -,a1b1
5k2/8/5P2/R3P1p1/4r3/2K5/8/8 b - -,g5g4
8/2bn2pk/q1p1p2p/P2P4/1Q2p3/BN2P2P/5PP1/4K3 b - -,e6d5
r1bq1rk1/1pp2ppp/p1p2n2/4b3/3PP3/2P5/PP2QPPP/RNB1K2R w KQ -,d4e5
2r3k1/p2r1qbp/b3npp1/Ppp1p3/1P2P3/3PNNBP/2Q2PP1/2RR2K1 w - -,c2b1
5rk1/1r1bb1pp/1n2p1q1/n2pP3/p1pP1B1P/P1N2NPB/1P4RK/3Q1R2 b - -,a5b3
5bk1/p2B1ppp/1p6/3pP3/Qn1P4/8/PP2PP1P/2r3K1 w - -,g1g2
3r4/pp3p1p/2k1b1p1/8/PPpP4/4N1P1/5P1P/R4K2 w - -,a1d1
8/1kn5/1p3Rp1/1Pp1PpP1/2Pp1P2/3N4/4K3/7r b - -,h1h2
r1b1r1k1/2n1ppbp/pq4p1/2pP4/7B/3BPN1P/PP3PP1/R2QR1K1 w - -,d3c4
4r1k1/1p3r1p/p1p3p1/2N5/4P3/1R3PP1/P6P/3n2NK b - -,e8e5
r2r4/1p2kppp/p3b3/2pBn3/4P3/P4P2/1P1B2PP/R3K2R w KQ -,d5b7
8/p2rqp1k/P1p1pnp1/4Q2p/2BP1P1P/1P1R4/5P2/2K5 w - -,c1b2
8/7p/6p1/4BpP1/p3kP1P/P1K5/8/8 b - -,e4f3
