8/6p1/4k2p/8/1p2PP2/1r1RK1P1/7P/8 b - -,b3a3
r7/3n2kp/1q2b1p1/p3p3/5pPR/P7/1PP2P1P/R1Q3K1 b - g3,g6g5
8/8/4KR2/8/5P2/4bk2/8/6r1 b - -,g1e1
r3k1nr/1b3ppp/p1pbp3/q7/5P2/5Q2/PPPN2PP/R1B1KB1R w KQkq -,c2c3
8/5k2/8/5p2/4pPp1/r3P3/2R2KP1/8 b - -,a3d3
8/1p5p/p2k2b1/P7/7P/P1R5/4KB2/r7 b - -,a1b1
r3r1k1/pq3pp1/1pNQp2p/3n4/8/PP2P3/5PPP/2RR2K1 b - -,d5e7
4r3/6k1/p1r2p2/3R4/1ppB4/5R2/PP3K2/8 b - -,e8e6
7r/1p2kppp/p2np3/N7/b1PP4/8/4BPPP/4R1K1 w - -,c4c5
r5rk/p1B1b1pp/q3p3/3p1p1Q/1P1P4/P1R5/5PPP/3R2K1 b - -,e7d6
2r2r1k/6q1/1Qn3pp/3b1n2/4N3/P3P1P1/3P1PBP/R1R3K1 w - -,c1c3
8/p7/4pp1k/1p4pp/3q4/5PPP/P6K/2Q5 w - -,c1c2
4r3/pb2qpbk/1p5p/3prp1Q/5N2/1B1PpR2/PPP3PP/5RK1 w - -,d3d4
r1b1rbk1/1pqn1ppp/p2p1n2/2pPp3/2P2P2/2NBP1N1/PP1B2PP/2RQ1RK1 w - -,a2a4
6k1/1br2ppp/p2pr3/1p4P1/2q1P2Q/P1N4R/1PP2R1P/2K5 b - -,h7h6
r4rk1/4bppp/p1qpbn2/np2p3/P3P3/2P2N1P/1PBN1PP1/R1BQR1K1 w - -,f3g5
r2qk2r/pb1nbpp1/3p1n1p/1ppP4/4P3/6PN/PP3PBP/RNBQ1RK1 w kq -,f2f4
3r2k1/5pp1/2p1q1np/1p2p3/4Pn2/2P1BN1P/1PQ2PPK/4R3 w - -,e1d1
5k2/4p3/4B3/8/1b1B2p1/p7/4bPK1/8 w - -,g2g3
4r1k1/1p3pbp/p1n1p1p1/2n5/2PpP3/1P2BP1P/P3B1P1/2RR2K1 w - -,e3d2
1r3k1r/ppnq1pp1/3b2p1/3Pp1Bn/8/P1N2B1P/1P1Q1PP1/R3R1K1 w - -,c3e4
r1b1k2r/1p1nb1pp/pqn1pp2/3pP3/3p1P2/P1PQ1N2/1P2N1PP/1RB1KB1R w Kkq -,c3d4
8/1R6/5kpp/8/6P1/2r5/6K1/8 w - -,b7b5
1r1r2k1/p4p1p/3Nb1p1/8/2P1B3/1P1R2P1/P4R1P/6K1 w - -,f2d2
r1bqr1k1/1p3pbp/p1n1p1p1/3p4/3PPB1P/1QPB1N2/P4PP1/R3R1K1 b - -,c6a5
2kr3r/1p6/4p1n1/1Bp3Pp/5P2/7R/P1K1N3/8 b - -,d8f8
r1b1r1k1/4qpnp/pp1p2p1/2pPB3/P3P3/2N2B1P/1P1Q1PP1/1R2R1K1 b - -,e7e5
8/1k1r3p/1p2p1p1/p3Pp2/5PP1/1P1PK2P/1PR5/8 b - -,d7c7
8/8/1p6/p5p1/P1PB4/5kpp/8/6K1 b - -,g5g4
r4rk1/pp1q3p/2npbpp1/2p1pn2/2P3PP/2NP1N2/PP1QPPB1/R3K2R b KQ -,f5e7
8/8/4kb1p/1p1p2p1/1P3p2/3K1P1P/6P1/4N3 w - -,d3c2
8/8/1R2p2K/p3k1P1/5p2/6r1/P7/8 w - -,b6b5
3r4/p1r1qb1k/2p5/N1Ppnppp/1P1Qp3/P3P1PP/4BPK1/3RR3 w - -,f2f4
3r1bk1/6p1/7p/2NPpn2/r1P5/4B2P/4KP2/1R6 w - -,c5a4
6k1/3R3p/1p4p1/1P6/P4r2/7P/5PP1/6K1 w - -,d7a7
r1r1b1k1/p3p1bp/1q5n/3PPp2/1p1QnB2/1Pp1NN1P/P3BP2/2R1K2R w K -,h1g1
r2q1rk1/1p2bppp/p1bppn2/8/P2QPP2/2N1B3/1PP1B1PP/R4R1K w - -,a4a5
r1b2rk1/ppq1ppbp/2n2np1/3p4/3P4/2PB1N1P/PP3PP1/RNBQR1K1 w - -,c1e3:b1a3:c1g5
r3r1k1/1p3ppp/2bp4/2p1q1P1/p3PnB1/P4N1P/1PPN4/1K1R1Q1R b - -,e5e7
2r2rk1/p3ppbp/1qnp2p1/3N2P1/3nPP2/1N1B3b/PPP2R1P/R1B1Q1K1 b - -,d4f3
r3kb1r/pbqn1ppp/2p1pn2/8/NpNPP3/8/PPQ2PPP/R1B1KB1R w KQkq -,f2f3
8/8/r5k1/5R2/6PK/8/7P/8 w - -,h4g3
r1qr1bk1/pb1n1pp1/1p5p/2pPp3/2P1n3/1PN3P1/P1Q2PBP/1RBR2K1 w - -,g2e4
r2q1rk1/pbpnbppp/1p2pn2/3p4/2PP4/1P1BPN2/PB1NQPPP/R3K2R b KQ -,c7c5
3rqk2/p2r2p1/2p1np2/1p2pN2/4P3/1P5Q/P1P2b2/R1B3RK w - -,c1a3
8/8/4k1p1/r5P1/P3KPP1/8/8/3R4 w - -,d1d4
8/p2bpk1p/6p1/5p2/2Pb1P2/Pr1P4/6BK/2B1R3 w - -,g2f1
4r1k1/5pp1/p4np1/1p2q3/8/1P2N2P/P1Q2PP1/3R2K1 b - -,f6e4
2r5/1pr1k3/p1b1p3/Pp1pNp1p/3P1P1P/2R3P1/1PR2K2/8 w - -,c2e2
8/2N5/4k3/7p/3R1Pb1/2P3K1/8/4r3 b - -,e6f5
8/2q3k1/p2bp2p/1p1p1pp1/3P1P2/P1P1P1P1/1K4QP/1N6 b - -,c7c4
4r1k1/6pp/4r3/8/3Bb3/PP2R3/1KP4P/4R3 w - -,c2c4
2r3k1/1qrnbppp/ppnpp3/8/N1P1PP2/1P2BNP1/P3Q1KP/2RR4 w - -,e2f2
r1bqk2r/ppp3bp/3p1np1/3Ppp2/2P1P3/2N1BP2/PP1QB1PP/R3K2R b KQkq -,f5e4
r3k1nr/pbp2ppp/1p1ppq2/2P5/3PP3/2PQ1N2/P4PPP/R1B1R1K1 b kq -,f6e7
3r2k1/pp3pb1/2n1pn1p/6p1/4P1P1/PqN4N/1P3QPP/R4R1K w - -,e4e5
rn3rk1/4ppbp/b2p1np1/qBpP4/2N1P3/2N4P/PP3PP1/R1BQ1RK1 b - -,a5c7
1r3rk1/4b1pp/p2pb1p1/q3p3/np2P2P/1P2BP2/P1PQB3/1K1N2RR w - -,h4h5
7r/8/3k4/2p1p2p/P1K4R/1P4P1/8/8 w - -,a4a5
r1bqr3/pp1n2bk/2p3pp/2PPpp2/P7/1QN1BPP1/1P4BP/3RR1K1 w - -,d5c6
rnbq1rk1/1pppb1pp/4pn2/p4p2/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 b - -,d7d6
r1bq1rk1/pp3pp1/1npb1n1p/3pN3/3P4/2N3P1/PPQ1PPBP/R1B1R1K1 w - -,f2f4
rnb2rk1/p1p1qpp1/1p5p/3p4/3P4/2R1PN2/PPQ2PPP/4KB1R b K -,c7c6
1rnq1rk1/2p1ppbp/p2p2p1/3PP3/1pP2B2/4QBP1/PP3P1P/2R2RK1 w - -,f1e1
3Q1rk1/p3pp1p/5bp1/1br1p3/2p2P2/2N5/PPP3PP/2KRR3 b - -,f8d8
8/8/2nkb3/8/5KP1/3B4/3B4/8 w - -,g4g5
6rk/1p3p1p/p1p4P/2Pr1p2/1P2pK2/3pP2P/P4P2/R5R1 w - -,g1g8
rn1k1b1r/ppp2ppp/4bn2/4p1B1/4P3/2N3P1/PPP2P1P/R3KBNR b KQ -,f8b4
r2qk2r/pbpnbpp1/1p1ppn1p/8/3P3B/2P1P2P/PPQN1PP1/2KR1BNR b kq -,a7a6
r1b2rk1/p2n1qb1/1pn1p1pp/3p4/2pP1B2/2P2NP1/PP1N1PBP/R2QR1K1 b - -,f8e8
2bkr3/p5p1/1p1P3p/2p5/2P2r2/P7/3RBKPP/3R4 w - -,f2g3
4r2k/1p4q1/p1n3pp/3N4/4pP2/1P2Q1P1/P2R2KP/8 w - -,h2h4
r1b1k2r/pp2bppp/2n1p3/3q4/3N2P1/4BB2/PPP2P1P/R2QK2R b KQkq -,d5a5
r1b2rk1/p4ppp/1p2p3/2q5/2P2n2/1BR2NP1/PP3P1P/3R1QK1 b - -,f4g6
6k1/p4p2/4pbp1/3p3p/2q4P/Pr2P1P1/5PK1/2BRQ3 b - h3,c4e4
8/pp4kp/2p3b1/3p4/3P1b2/2P5/PPqBQ1K1/5N2 w - -,g2f2
2rq1br1/pp3k2/1np1pp2/5b1p/3P1B1P/1BN5/PP1Q1PP1/2R1R1K1 b - -,g8g4
rnbqkb1r/p2ppppp/5n2/1ppP4/8/1P3N2/P1P1PPPP/RNBQKB1R b KQkq -,d7d6
r1b2r2/ppp1ppkp/5np1/1q2N3/8/2P3PP/PP1QPPB1/R4RK1 w - -,f2f4
rn1qkbnr/pp3ppp/2p1p3/3p4/5Pb1/3P2P1/PPP1P1BP/RNBQK1NR w KQkq -,c2c3
6k1/p4r1p/3p1Pp1/Pp1P2P1/2R1PB1n/b5NP/4K3/8 w - b6,a5b6
4R3/5kpp/1p1r1p2/p1n2P2/2p5/2P4P/6PK/4R3 b - -,d6d7
r1bqk2r/pp3ppp/2nb1n2/3p4/8/1NPBB3/PP3PPP/RN1QK2R b KQkq -,e8g8
2r4k/1p3pbp/1nnq2p1/pB6/P2pQ3/5N2/1P3PPP/3RR1K1 b - -,c8d8
8/pp2k1pp/2p5/2Np4/P7/2Pb4/1P4PP/6K1 b - -,d3c2
2r1r1k1/p4pp1/2p3qp/1p6/1PP1R2P/P1Q1P2b/1B2BRP1/6K1 b - -,e8e4
