3Q4/8/6p1/1P2b3/4P1qk/8/5P2/5K2 b - -,g4g5
5r1k/1q5p/p2p4/3Nb1p1/1PPp4/3Q1PP1/6KP/R7 w - -,d3b3:d3a3
8/1p4k1/5p2/5Pp1/b1r3P1/R7/p1pKP3/2R5 w - -,a3a2
8/1b1Bp1k1/4P2p/p2p2p1/1p3r2/1Pq4P/P3QPP1/3R2K1 b - -,c3c5
rn1qk2r/pp2bppp/2bppn2/2p5/4P3/2PP1N2/PP1NBPPP/R1BQ1RK1 w kq -,f1e1
4R3/p1r5/2p1k1p1/P3p2p/1PP2p2/2K2PP1/7P/8 b - -,e6f6
r1bq1rk1/pp1n1ppp/2p1pn2/3p4/1bPP4/1PNBPN2/P2B1PPP/R2QK2R b KQ -,d8e7:b7b6
R7/8/5pk1/3K3p/5p1P/5rP1/8/8 w - -,d5e4
r2qk2r/pppnbpp1/4pn1p/3p1b2/8/1P1P1NP1/P1PNPPBP/R1BQ1RK1 w kq -,c1b2
2r4r/1pqpkp2/p3pnnp/2b3p1/4P3/P1N1B1Q1/1PP1BPPP/R2R2K1 w - -,e3c5
1r6/5k1p/2n1p2r/p1PpPp1q/P2P2p1/6P1/1B2QR1P/4R1K1 b - -,b8b3
r7/1p2rp1k/1p4pp/3RP2P/PP3P1P/5K2/8/3R4 w - -,d5d7
4Q3/1p3R2/2p3p1/2qr4/P4pkP/8/5PP1/6K1 w - -,e8e6
8/8/p4R2/3b4/1P1k2Pp/P7/8/r4BK1 w - -,g1h2
2R5/5k2/7p/1P1qbp2/8/8/2P2B2/6K1 b - -,d5b5
3r3k/6p1/p5q1/P1p1R2p/2Q5/5PP1/1P1r3P/4R1K1 w - -,c4c5
r3nb2/pp1kp3/2p1p1Qp/1q1pP2p/7P/8/P1PN1PP1/R3R1K1 w - -,a2a4
2rq1rk1/1pp1b1pp/1B2bp2/pN2p3/Pn6/3P1NP1/1P2PPBP/2RQ1RK1 b - -,c7b6
1r2r1k1/1p1b1pbp/p2p1np1/2pPP3/2N2PP1/2N4P/1P4B1/q1BQ1RK1 b - -,d7b5
r2qr1k1/1b2bppp/p1p5/1p1pn3/3P1P2/1QN1P3/PP3PBP/2RR2K1 w - -,f4e5
8/1p4p1/2p4p/4kp1P/2P1p3/P3P2K/1P2P3/8 b - -,f5f4
r1bq1rk1/p4pbp/1p4p1/n1pp4/5B2/2PQPN1P/PP2BPP1/R4RK1 b - -,c8f5
r2q1rk1/ppp2pbp/2n2np1/4p3/2P1P3/P1N2B2/1PQ2PPP/R1B2RK1 b - -,c6d4
r3r1k1/1p1n1pp1/2p4p/p1P1pP2/4R3/1Pq3PP/P4PB1/2R3K1 w - -,c1c3
8/4k3/2R5/6p1/4KbP1/1PP2N2/5r2/8 w - -,b3b4
4R3/1r6/2K5/1P3k2/5p2/6p1/8/8 b - -,b7g7
1qr2rk1/3R1ppp/4p1n1/1B6/2P1P1n1/4BN2/1P3PPb/3Q1R1K b - -,g4e3
8/5b2/1p2n1pp/1P1pkp1P/1K6/1N2PPP1/2B5/8 w - -,h5g6
3rr1k1/ppb2p1p/2p2np1/6q1/3PPNP1/2P2Q1P/P4PB1/3RR1K1 w - -,e4e5
r3k2r/p2nqpp1/1ppbpn2/3p4/2PP1P1p/1P4P1/PB1NQPBP/1K1R3R b kq -,d6a3
r1bq1r1k/2p1npbp/p2p2p1/np2p1B1/4P3/1BPP1N2/PPN2PPP/R2Q1RK1 w - -,d3d4
2r3k1/1pn2rbp/p3p1p1/2P1n1q1/1N2Pp2/5P2/P3BBPP/1R1RQ2K w - -,b4d3
2r4r/1p1nkpbp/p3p1p1/2P5/N1R5/1P2PN2/4KPPP/7R w - -,h1d1
6k1/4pp2/1p4p1/p5b1/P1NrP3/5R1P/1P4PK/8 w - -,b2b3
8/5p2/5k2/6pp/q7/3B2P1/5PP1/5RK1 b - -,a4b3
8/p7/3n3p/2p1k1pP/2P1p1P1/P3K3/8/3B4 w - -,d1b3
6k1/2b3p1/1pp5/2P4p/1B2p3/1R5P/r3r1P1/5RK1 w - -,f1f8
8/p2k1p2/6p1/1K6/7p/1P4b1/P1P5/8 w - -,c2c4
8/2N3k1/1p6/8/P4K2/1b6/8/8 w - -,c7a8
r1r3k1/1p3ppp/p1b1pn2/q7/PbB5/1P1R2N1/1BP1QPPP/3R2K1 b - -,a5g5
8/8/2p2b2/3p1k1p/3P2p1/3K1PPP/4N3/8 w - -,h3g4
5r1k/6b1/3p2pp/8/1qQ1P3/7P/2RN1PP1/6K1 b - -,b4b6
8/8/4K1R1/2r5/2k1n3/8/8/8 b - -,c4d4
6k1/p3r1pp/q3pp2/5P2/3Qp1P1/2P4P/8/1R4K1 w - -,d4d8
3r1rk1/1bq1npbp/p1n1p1p1/1p6/2p1PP2/2P1BNP1/PPQ1N1BP/3R1RK1 b - -,c6b8
6k1/5pp1/3R4/3Pp2p/4P2P/6P1/2r2r2/3R2K1 w - -,d6c6
8/p5b1/1p2r1k1/2p1Pppp/2Pr4/1P5P/P3RKPB/4R3 w - h6,g2g3
r1bq1rk1/ppp1npbp/3p2p1/3Pp2n/2P1P1PP/2N1BP2/PP2N3/R2QKB1R b KQ g3,h5f4
r1bq1rk1/ppp1b1pp/2nppn2/5pB1/2PP4/2NBPN2/PP3PPP/R2QK2R w KQ -,a2a3
1n3rk1/1p3ppp/8/3rp1q1/pB6/P4P2/1PP1Q1PP/1K1R3R b - -,d5d1
r4r2/1b2n1kp/p1nq1pp1/1pp1p3/2PpP2N/3P2P1/PP1Q1PBP/R3RNK1 w - -,b2b3
8/n3pr1p/1k1p1ppP/1PbP4/4PPP1/3B1K2/3B4/1R6 b - -,f7f8
r2r2k1/pp4b1/2p1b1pp/1n2pp2/1P2P3/P2PBPP1/3R3P/1R2NBK1 w - -,e1c2
1rbb2k1/1p4pp/p3pR2/P1p4q/2N5/2PBP3/1PQ3PP/R5K1 b - -,g7f6
5rbk/pp4pp/8/5p2/7b/1P2qB1N/P1Q3PP/5R1K b - -,b7b6
r1bq1rk1/1pp4p/3n2pb/p2Ppp2/1n2P3/2NB1P1P/PP2NBP1/R2QK2R w KQ -,e1g1
8/5q2/2Q2pk1/7p/4p3/6P1/5P2/6K1 b - -,f7e7
rnbqkbnr/pp1p1ppp/4p3/2pP4/8/2N5/PPP1PPPP/R1BQKBNR b KQkq -,e6d5:d7d6
2R5/5kp1/4p2p/5p2/3K1P2/r5P1/4P2P/8 w - -,c8c3
3r2k1/2p2pp1/1p6/5r1p/3P1n1P/2P1RB2/PP3PP1/R5K1 w - h6,a1e1
r3k2r/2n1bppp/4p3/ppppP3/3P2P1/P1P1PN2/1P1N1R1P/5RK1 w kq a6,d4c5
3r2k1/1Bpq2pp/1n3p2/8/p2p4/br1P2P1/2Q1PP1P/BR2R1K1 b - -,d7b5
r2n1r1k/p1q1b1p1/4b2p/1p2Pp1P/1PNp1P2/P2B4/1Q1NPP2/R3K1R1 w Q b6,c4a5
8/8/2P1k2R/8/KP4p1/8/6rp/8 b - -,e6e7
rn1qk2r/p1p1bppp/1p2p1b1/3pP3/3P1B2/P1N2N2/1PP2PPP/R2Q1RK1 w kq d6,d1d2
8/4kpp1/4p2p/q7/1nP3P1/1P6/8/1K1R2Q1 w - -,g1h2
1r1q2k1/2p3pp/p3p3/2rp4/1nP2P2/1PN1P3/P2Q1P1P/R3K2R w KQ d6,a1d1
8/pp2n3/4kp1P/3p4/3pbR2/P2Np3/1PP3P1/6K1 w - -,f4h4
2r3k1/3n1pbp/pr1Pb1p1/4q3/1P1NP3/Q1P4P/P5P1/K2RRB2 w - -,e1e3
r4rk1/pp1npp1p/1Qbp2p1/8/2P1PP2/2N5/PP2B1PP/R4R1K b - -,d7b6
2k5/p7/2p4b/4B1P1/P1pP3K/3b4/2N1p1P1/4Rr2 b - -,d3c2
2r3k1/2q2pp1/p6p/1p1b4/1Q6/P5P1/1P3PP1/3R2K1 w - -,d1d5
3rr1k1/5p1p/p5p1/P5q1/2R5/5P2/1P3QPP/2R3K1 w - -,c4c5
3rk2r/2R1bppp/p3p3/1p2P3/1n6/1B2BP2/PP3P1P/2R3K1 b k -,b4d3
r2qkb1r/pp2pp2/1np2p2/8/3P2p1/4BQ2/PPP2PPP/R3KB1R w KQkq -,f3g4
N1b2rk1/p4ppp/1pBqp3/2pp4/7P/Q1P5/PP3PP1/R3K2R b KQ -,d6c6
8/8/8/b4ppp/P1Bp1k2/1P3P1P/5K2/8 b - -,a5d2
5k2/5p1p/p3p3/Pprn1p2/2q3r1/2PR1QN1/7P/3R3K b - -,c4f4
1n1q1rk1/r4ppp/p1Q5/1p1Np1bP/4P3/P6B/1PP5/1K1R2R1 w - -,c6c3
8/rB2kp2/P3p1p1/1K5p/8/5P2/5bPP/3R4 w - -,b5c6
