8/4k3/p3p3/8/1K4N1/4P1b1/P7/8 b - -,e7f7
4b3/8/3kp3/1p4p1/8/P2BK1P1/8/8 b - -,e8c6
r1b2rk1/pp2qppp/1np1p3/8/2pP1P2/2N3P1/PP1QP1BP/R4RK1 b - -,f8d8
3r1rk1/p4p1p/2pp4/4qBb1/1P6/2P4Q/PB4PP/R6K b - -,h7h6
2rrn1k1/5ppp/1n2p3/2R5/1p2P3/1P1qB1PP/1R1N1P2/5BK1 w - -,f1d3
8/8/1p5p/pP1pk3/P1n2p2/2N4P/5K2/8 w - -,f2f3
6k1/5p2/4b2p/p5p1/1p4P1/1Pr1PN1P/P2R2K1/8 w - -,g2f2
8/p7/3k4/1P3R2/1P1pr1P1/8/5P2/5K2 w - -,g4g5
2r1k2r/pp1bbppp/2q4n/3pP3/1Pp5/P1N2N2/1B3PPP/3QKB1R w Kk -,f1e2
r1bqr1k1/pp1n1pbp/2pp1np1/6N1/2PP1P2/1PN1p1P1/P1Q1P1BP/R1BR2K1 b - f3,d7b6
r1b1nrk1/2p1qpbp/3p2p1/p1pPp3/2P1P3/2N1B3/PP1QBPPP/R4RK1 w - -,f2f3
3q1rk1/pb1nbppp/1p1pp3/8/3PP3/3B1NP1/PP1NQ1PP/2R3K1 b - -,d8b8
5r2/4qpk1/2p4n/1pb1p1N1/p3PB1R/P4P2/BPP1Q1K1/4R3 b - -,e5f4
r2qr1k1/pp1n1ppp/2p1bn2/3p2B1/2PPp3/P1Q1N1P1/1P2PPBP/R4RK1 b - -,h7h6
r1bq1rk1/pppnppbp/3p1np1/8/3P4/1P1BPN2/PBPN1PPP/R2QK2R b KQ -,f8e8
1n1q1rk1/r2b3p/p1p1p1pb/3pQ3/1P1P1P2/1NPB2PN/7P/R3R2K w - -,b3c5
2r1k2r/p3bppp/1np1p1q1/8/3P4/2N1BQ2/PP3PPP/2R2RK1 b k -,e8g8
5rk1/p4ppp/4q3/1p2n3/1P3R2/N2r1PP1/P3QP1P/5RK1 w - -,g1g2
8/3r1pkp/1p2n1p1/2bBp3/6PB/4P2P/PP3P2/1R4K1 w - -,d5e6
rq2r1k1/pp1n1pbp/2p3p1/3np3/3P4/5NP1/PP2PPBP/R1QRB1K1 w - e6,e2e4
r1b2rk1/2qp1ppp/p3pn2/4n3/1b1NPB2/2N2P2/1PPQ2PP/2KR1B1R w - -,g2g4
3r4/1pq4k/p1r1ppbp/3p4/3R3P/1PPBR3/1P3PP1/3Q2K1 b - -,d8g8
r1b1kb1r/pp3ppp/8/3q4/2Nn4/8/PP3PPP/R1BQKB1R b KQkq -,c8f5
2r3k1/5pp1/2q1pb1p/pp5P/6P1/P2R1P2/1PP1Q3/1KN5 w - -,d3b3
3r3k/p2r1q1p/1p1PRp2/2pQ1Pp1/2P5/8/P5PP/4R1K1 w - -,d5c6
r2q1rk1/1ppn2pp/p2pp3/8/3bPB2/1PNP4/1PP1Q1PP/3R1RK1 w - -,f4e3
r7/1p2k1Bp/3n2pP/p4p2/2PNn3/P3RPP1/8/1R4K1 b - -,d6c4
1kq2r1r/pp3p2/1n2p2b/3pPpNp/b1pP1B1P/P1P3P1/1P2Q1B1/2R2RK1 b - -,b8a8
r7/1p1k2pp/r1p1pn2/5p2/P2P1P2/1P2P3/3B1KPP/R6R w - -,f2e2
6r1/1p3k2/p6p/2P1P3/PP3PP1/2B1K3/8/8 w - -,e3f3
5k2/3n1p2/4p3/p1q1P3/1p2R1p1/3B4/P4PKP/4R3 b - -,c5c3
r2qk2r/3bbppp/p1np1n2/1pp1p3/4P3/2PP1N2/PPB2PPP/RNBQR1K1 w kq -,a2a4
8/2p3pk/3n1p2/2NP2pq/2pB2Q1/2P2P2/5KPr/2R5 b - -,h5g6
8/7k/1p5p/1b2BP2/nPp3Pp/8/2B5/6K1 b - -,h7g8
r1b1rnk1/1p3p1p/1qpQ2p1/p7/P1P1P3/1PN1n1PN/4P1BP/R2R3K w - -,d1d3
r2n1rk1/1pq2bp1/2nb3p/p3pN2/3pP3/3P2PB/PP1BN2P/2RQ1RK1 w - a6,d2h6
8/p1Rn1k1p/rp4p1/8/2pN1P2/2P3P1/P1P4P/7K b - -,f7e8
8/5p1k/5K2/6PN/8/3n4/7P/8 b - -,h7g8
1r1r1bk1/p1q2p1p/4p1p1/2p5/2Pn2P1/2BP3R/P4P2/3QRB1K b - g3,f8g7
8/p5r1/R7/3Pk3/4B3/1P3P2/PK6/3r4 w - -,b2c2
r3k2r/pp2bppp/2n1pn2/2pqNb2/3P1B2/2P4P/PP2BPP1/RN1Q1RK1 b kq -,c5d4
2r2k2/p1r2pBp/4P3/5b2/8/1B4RP/P5PK/8 b - -,f8e8
5r2/4rkpp/R3pn2/p1p2p2/P1B5/2P1P2P/1P3PP1/3R2K1 b - -,f8b8
r6r/3b4/p1pPp1k1/1pP1Kp1p/1P6/R5P1/P2BBP2/8 w - -,d2f4
2kr1b1r/1ppb1ppp/p1p2n2/8/3NP3/4BP2/PPPN2PP/R4RK1 b - -,f8e7
r2q1rk1/pb3pb1/1p1p2pp/4n3/P7/2P1NN2/1P2BPPP/R2QR1K1 b - -,f8e8
8/1p2k3/2b2p2/p3p2p/P3P1r1/1PKBR1P1/2P5/8 w - -,c3d2
1k3r2/ppp3r1/8/4p3/1PP1R3/3P1Bb1/P1Q2PPq/4RK2 w - -,e4e3
rnbqkb1r/pp2pppp/2pp1n2/8/2P5/2N3P1/PP1PPPBP/R1BQK1NR b KQkq -,e7e5
r2qnrk1/1b2bppp/pnp5/1p2pN2/3P1BP1/P1N4P/1PP2QB1/4RRK1 w - -,f5e7
5rk1/pppr1qbp/1nn1bpp1/4p3/4P3/1PPBBNNP/P3QPP1/R2R2K1 w - -,d3b5
4r3/1p3b1p/p1pR1kp1/2P2p2/5P2/1P3BP1/P4K1P/8 b - -,e8e6
q4rkb/1p1n1pnp/1Pp3p1/2Pp4/3P4/1N3B2/1B1Q1PPP/5RK1 w - -,f1a1
rnbqr1k1/pp2bpp1/2p2n1p/3p4/3P3B/2NBP3/PPQ1NPPP/R3K2R b KQ -,b8d7
5k2/2R5/6pp/1r2pn2/8/1p1K3P/1B4P1/8 w - -,g2g4
1r4k1/4pp1p/1q1p2p1/2p5/1r1bPPB1/1P1P2P1/2Q4P/1R3R1K b - -,b4b3
6k1/2pqpp1p/6pb/N7/3P4/4n1B1/2Q2PPP/6K1 w - -,f2e3
r3k2r/pp1bp2p/q2p4/2pP1p1R/P1n2P2/2P1P3/2Q3P1/1RB1KB2 b kq a3,e7e6
r3q1k1/pp3pp1/2np1n1p/8/2BP1B2/P4Q1P/1P3PP1/R5K1 b - -,d6d5
r4rk1/2q1ppbp/p1p1N1pn/2B1P3/4NP2/3P3P/P1P1Q1P1/R4RK1 b - -,f7e6
r2qkb1r/pp3pp1/2n2n1p/2pp4/3P2b1/2N2NP1/PP2PPBP/R1BQ1RK1 w kq -,d4c5:f3e5
5k1r/pp3p2/3p1p2/P1nP1q2/3Q1P1p/R1P4P/1P2r1B1/6RK w - -,c3c4
8/5pk1/qp4p1/2p1P2p/2PpNP2/3Pn1P1/1Qp1K3/8 b - -,a6a2
1r1q2k1/pbp1rp2/2Pp2p1/1B2b2n/3NP2p/P4P2/1BQ3PP/3RR1K1 b - -,b7c8
r5nr/1b1npk1p/p2p1ppP/1p3P2/1P1NP1P1/2N5/P1P5/2KR1B1R b - -,d7f8
2nb4/1p5k/2b1qn1p/pN1p1pp1/P2PpP2/BP2P1PP/3N1Q1K/5B2 w - -,d2b1
r1b2rk1/pp1n1ppp/2n1p3/q2pP3/3B1P2/2N3P1/PPPQ3P/R3KB1R w KQ -,d4f2
r2qkb1r/1p1b1pp1/p1nppn1p/8/3NP1P1/2N1B2P/PPPQ1P2/R3KB1R w KQkq -,f2f4:f1g2
2r3k1/p1r1qpp1/1p2p1np/8/1PP5/P1R1Q1P1/4BPP1/3R2K1 b - -,e7f6
r2q3r/ppp2kp1/2nb1npp/3pp3/3P1BPP/3BPQ2/PPPN1P2/2KR3R w - -,d4e5
2k4r/pp2bp2/q1p1p2r/4P1p1/P1nP4/2P2BP1/2Q2P2/R1B2RK1 w - -,a1a2
8/5pbk/2N1b1pp/8/B3Q3/6PP/5P1K/q7 b - -,a1f1
2r1k2r/2qnbpp1/p7/1p1bpPBp/8/PN1BQ2P/1PP3P1/2KR3R w k -,c1b1
r1n4r/ppnk1p1p/4p3/1P1p2p1/2PP4/1PNK1P2/R2N2PP/R7 b - -,a7a6
1r4k1/1rqb1ppp/p2b4/3pp3/2P1n3/P2BPN2/1NQ2PPP/1R3RK1 w - -,c4d5
r3r3/p1p3pk/2n3qp/3Q4/3P4/2Pb1P2/PP4PP/R1BR2K1 b - -,a8d8
1R6/3qbkp1/5pn1/1P1pp1r1/2p2P1p/2Q4P/5P1B/4RK2 b - -,e7b4
3rk2r/ppq1nppp/2pbpn2/8/Q1PP4/5B1P/PP2NPP1/R1B2RK1 b k -,c7b8
8/6p1/p4n1p/5k2/3PbP2/1P2P3/1P2K3/8 w - -,e2f2
2r3k1/1p3n1p/p3r3/3bpq2/4N1p1/B1PKQPP1/P7/R4R2 w - -,d3c2
2r2rk1/pbq1bp1p/1pnpp1p1/8/3PQB2/2PB1N1P/PP3PP1/R3R1K1 w - -,e4e3
r3r1k1/1bq1bppp/pppp1n2/2n2NB1/P2RP3/1BN5/1PP1QPPP/3R2K1 b - -,a8d8
r3k2r/1bRp1pp1/4p3/1B6/3q4/3P2p1/PP2QP2/4R1K1 b kq -,h8h1
r3kb1r/1p1bpppp/1pn2n2/1Bpp2B1/3P4/2P1P3/PP1N1PPP/R3K1NR w KQkq -,g1f3
r1b1k2r/ppppqp2/5p1p/4p3/2BnPP2/8/PPP3PP/RN1Q1R1K b kq f3,d7d6
6r1/1p6/pNp1bknp/2Pp2P1/7P/6K1/PP6/4RB2 b - -,h6g5
6k1/6bp/pp1p4/5p2/3P2pr/3R4/PP1K3P/7R w - f6,d2e2
r1b1k2r/1pq1bppp/p2ppn2/2n3B1/3NP3/P1N2P2/1PP1B1PP/R2Q1R1K b kq -,h7h6
r1r3k1/4ppb1/3p1np1/q2P3p/P1b1P2P/2N1BP1N/3Q2P1/R1R3K1 w - -,e3d4
