8/3R3R/6p1/pp6/2p3kP/1B6/P4PPK/4q3 w - -,b3d1
r2q1rk1/1b1p1ppp/p2b1n2/np2p3/3PP3/5N2/PPBN1PPP/R1BQ1RK1 b - -,a5c6
1qr2rk1/p3bppp/1pbp4/4p2n/2P1PP2/PPN1BQ2/3R2PP/1N3RK1 b - -,h5f4
1q3rk1/4bpp1/p3n1p1/1p6/1P3P2/P3P2P/1B2B1P1/1Q1R2K1 w - -,b1e4
r3qrk1/p2pbpp1/np2pn1p/2p1N3/3P3B/2P1P3/PP1N1PPP/R2Q1RK1 w - -,h4f6
8/pp3r1k/2p3b1/4R3/1PP2P2/P3K3/4B2P/8 b - -,f7d7
3r2nr/5k2/2Bbbpp1/8/1ppp4/5NP1/PP5P/R1B1R1K1 w - -,e1d1
r1bq1rk1/pp1nbppp/4pn2/3pN3/3P4/1P1B4/PBPN1PPP/R2Q1RK1 b - -,d7e5
2r5/pp2rpk1/2p4p/6p1/3RP2P/P4PP1/1P4K1/3R4 b - -,g5h4
1b6/3N4/6k1/6Pp/1p3n1p/1P3K2/8/8 b - -,b8d6
r2r2k1/5ppp/p3p3/3b4/5P2/2P1qBP1/1P3R1P/2R1Q1K1 b - -,e3e1
2r1r1k1/pp2qppp/2np1n2/2p1p3/2PP2b1/P1P1PNB1/2Q1BPPP/3R1RK1 w - -,g3h4
8/3k3p/2Rb2p1/3K4/p3nP2/P3N2r/3B4/8 b - -,e4f6
r1bqr1k1/pppp1ppp/8/2b5/2P3n1/1P2Pn2/PB2BPPP/RN1Q1RK1 w - -,e2f3
r1bq1rk1/ppbn1pp1/2p1p2p/8/2PPR3/2N3P1/PP3PBP/R1BQ2K1 b - -,d7f6
8/3k4/6p1/2pP2P1/2P1pBK1/8/8/2b5 b - -,c1b2
2q1n3/2p1Nkpp/1p1p4/2PP4/1PQ2r2/2N5/5PPP/5RK1 b - -,f4c4
3r4/5kp1/1p1P1p1p/pB1Rn3/P1PR4/6PP/7r/5K2 b - -,h2h3
8/4rrkp/2R5/1p3p2/p1b2K2/P4P2/1P1R2PP/8 w - -,h2h4
r3k2r/1ppbqppp/p1np1n2/8/1PP1P3/P1N1Q3/4BPPP/R1B2RK1 b kq b3,h7h5
3r1r2/p5b1/7k/Pp2P1R1/1Pp1BPp1/2B3P1/5K2/8 b - -,f8e8
2rq1rk1/p2b1pp1/1p2p2p/n2nN3/8/bNPB2B1/PP2QPPP/2KR3R w - -,d3c2
8/2B4p/p5p1/P7/2k1K1P1/7P/8/4b3 w - -,c7b6
1nkr3r/1bpqb1pp/1p2p3/p2pP3/P2P4/1PPB4/1B1NQ1PP/R4RK1 w - -,b3b4
R7/6k1/8/3N4/3P4/pr3PK1/8/8 b - -,g7f7
5k2/4rnp1/1pr1p2p/p1p1P2P/P1P2B2/2P2KP1/3R4/1R6 w - -,f3e4
R3b3/2r1k3/4p3/1p1pPp2/3K3p/2PB4/6PP/8 w - -,a8b8
1rr3k1/p1q1ppbp/6p1/8/8/QP1RBP2/P1P3PP/2KR4 w - -,c2c4
1q3rk1/3Rpp1p/p1p2bp1/1pP5/2n5/6P1/P3QPBP/3R2K1 w - -,f2f4
7r/pp2r1k1/2p5/1P1p2p1/P2P2P1/4P3/4RK2/4R3 b - -,h8h4
r2q2rk/4npb1/1np1p1p1/1p1pP2p/p2P1N1P/1P2BP1B/P1PQ1P2/1K1R2R1 w - -,f4h5
8/p1r2p2/1rp3pp/2kp4/R7/1RPKPP2/P4P1P/8 w - -,a4a5
8/8/6p1/5k1n/7P/7K/3Bb3/8 b - -,e2f1
r1bq2k1/pp5p/6p1/2BBbr2/2P2p2/1P6/P1Q2P1P/4RRK1 b - -,g8g7
8/5p2/p7/5pk1/3R4/1P6/P1p1r3/2Rb1K2 w - -,d4d6
8/2p3rp/7R/p2rk3/P2p4/1P3R1P/4K3/8 b - -,d4d3
k1r5/1pr1b3/p3Rp2/1q5p/3p4/3N3P/PPPQ2P1/1KR5 w - -,b1a1
8/5p1k/5pbp/p7/5P2/2R1K1Q1/2P5/3q4 w - -,g3f2
r3r1k1/1p1b1pbp/n1pp2p1/q7/1nPNP1P1/pP5P/P2BNPB1/1Q1R1RK1 w - -,d2c3
2rr2k1/1bp1qppp/1pn1pn2/p2p4/Q1PP4/P3P1P1/1P3PBP/1NR1BRK1 b - -,e7d7
4r2k/1p1R4/6p1/4bp1p/8/4p1P1/2R4K/5B2 w - h6,h2g2
1r3q1k/6pp/2R1br2/4p3/1b2B3/1P1pQ1P1/3B1P1P/4R1K1 b - -,b4d2
2r3k1/5p2/1r1B2p1/p1ppP2p/PP2bP1P/8/1R2K3/8 b - -,c5b4
2r3k1/pp3pp1/3np1p1/8/3q3P/PN6/1PP2PP1/3R2K1 w - -,b3d4
8/8/8/1K6/8/r4k1p/PR5P/8 b - -,a3a8
1k6/1P3p2/4p1p1/p7/P2P1b1r/3K3P/2R3B1/8 b - -,f4c7
rn2kb1r/pp1n1ppp/4p1b1/4N3/P1pBP3/2N2P2/1P4PP/R3KB1R w KQkq -,e5d7
3rkb1r/ppp2ppp/2n1b1n1/8/2P5/P3BN2/1P2BPPP/RN2K2R w KQk -,b1d2
6k1/p3bp2/4p1p1/3p3p/7P/Pr2P1P1/3R1P2/2B3K1 w - -,d2b2
r4rk1/1p1nppbp/2bp2p1/q7/2P1P3/1pN1BP2/P2QB1PP/1RR3K1 w - -,a2b3
1r1qb1k1/5pp1/4pn1p/1p2N3/1Q1PP3/3B3P/2R2PPK/8 w - -,g2g3
8/4kn2/5p2/5P2/3N1KP1/8/8/8 w - -,d4e6
2r4k/4b3/p1q1N2r/1p4p1/2p2PQ1/6P1/PP5P/4R1K1 w - -,e1e5
r6k/p5r1/b2PQ3/q1pR4/1p3p2/7P/PP4P1/6KR b - -,a5d8
8/2p4p/1n1p1k2/1P4p1/p2KP3/P2N3P/6P1/8 b - -,f6e6
8/1p2kp2/p1b1pp2/8/PbP1B3/1P3PNr/5P1P/3R2K1 b - -,f6f5
r4rk1/pb3npp/3p1p2/R1n1p3/2P5/2R1PPB1/2N1B1PP/6K1 w - -,c2b4
8/p1r1k1bN/2q1r1p1/3R4/5QP1/6BP/5P1K/8 b - -,c6d5
r2q1rk1/pp2bpp1/2npbn1p/2p1p3/4P3/2PP1NN1/PPB2PPP/R1BQ1RK1 w - -,h2h3
5k2/6p1/5pQ1/2q1p2K/4P3/5P1P/6P1/8 w - -,g2g3
2rr2k1/1p2ppbp/p5p1/q2Pn3/2p1P3/2P1BP2/PQ2BP1P/2RR2K1 w - -,e3b6
3r4/2R5/8/2p5/1k2K3/8/8/8 w - -,e4e3
1rbq1rk1/2p2pbp/2np1np1/1p2p3/1P6/2NP1NP1/P2BPPBP/1RQ2RK1 b - -,c6d4
rnbq1rk1/pp2p1b1/2p3pp/5p2/2PPpB2/4P3/PP1NBPPP/R2Q1RK1 b - -,g6g5
3r2k1/5pp1/R3p2p/P7/3b4/1B3P2/6PP/5K2 w - -,a6c6
r1b2rk1/pp4pp/2n2q2/3pN3/8/3B4/PP1QNPPP/R4RK1 b - -,c6e5
2r2rk1/5p1p/4p1p1/4P1Pn/3p1P1P/Pp1qN3/1P3Q2/K3RR2 w - -,e3g4
2r1q3/p3p2k/3p4/3P1Q1p/1p5P/5P2/1PP5/1K1R4 b - -,h7h8
r3kb1r/1pp1nppp/p1p5/3qP3/6b1/2N2N2/PPP2PPP/R1BQ1RK1 b kq -,d5d1
1rb2rk1/1pqn1pbp/p2p1np1/3P4/P1p1P3/2N1BP2/1P1QBNPP/R4RK1 b - -,b7b5
r3k2r/pp1b1ppp/1bnqpn2/8/2B5/1N3N2/PPP1QPPP/R1B2RK1 w kq -,f1d1
8/5n2/1pk3R1/p1p1p3/P3P3/1bPK4/8/8 b - -,f7d6
8/8/8/2kn2R1/3n4/PP6/1K6/8 b - -,d4c6
r2q2k1/pp3p1p/3bppbQ/8/2pP4/2P2N2/PP3PPP/R4RK1 b - -,d8b6
2qrr1k1/1p2bppp/p2pbn2/8/P2QPB2/2N2B2/1PPR2PP/R6K b - -,f6d7
r5k1/3r1p2/p4bpB/1p6/1R3q2/6P1/5P1P/5RK1 w - -,b4f4
3r4/5rk1/2q4p/2p1npp1/P3p3/4N1P1/Q3NP1P/2R3K1 b - -,f5f4
3r2k1/Q6p/2pqpp2/4n1p1/1P2PP2/P5B1/3r2PP/R4R1K b - -,g5f4
r1b1kb1r/3p1pp1/p1p1pq1p/8/3pP3/2P2N2/PP3PPP/RN1Q1RK1 w kq -,c3d4
4r1k1/p1q2p2/1p4p1/4b2p/4Q3/B5P1/P4P1P/4R1K1 w - -,a3b2
r1b2rk1/pp3p1p/q2ppp2/2pPn3/2P1P3/2PB1P2/P3N1PP/R2Q1RK1 b - -,g8h8
4r1k1/3Nb2p/p3N1p1/5q2/1n3P2/1P5P/4Q1P1/3R3K b - -,e7d8
1R6/4b3/1Pr1Bk1p/2p1p1p1/4Pp2/5P2/3n1BPP/4K3 w - -,e6d5
