8/6k1/4R2p/7P/4P1K1/8/8/5r2 w - -,e6g6
5rk1/1bp3pp/2p1p2q/2p1P3/2Np1r2/1PPQ4/P4PPP/R3R1K1 w - -,f2f3
rnbqk2r/ppppppbp/5np1/8/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq -,d7d6
1rbqr3/2p2pkp/1p1p2p1/pNn5/P3PP2/1P4PP/2P3B1/R1Q2RK1 w - -,c1b2
2r2rk1/pb2bppp/1p1qpn2/4N3/3P4/P1BQ4/1P3PPP/1BR2RK1 b - -,d6d5
5rk1/p7/2p4p/2Rb4/P2P1P2/5p2/5PrP/5R1K b - -,f8f4
6k1/3q1p2/p1N3pp/1p1p4/nPn5/P2B3P/Q4PP1/6K1 w - -,c6d4
Q7/2k1n2P/1p6/2p1p3/5p2/P1P1B2q/1PP2P2/2K5 w - -,h7h8q
8/6k1/5np1/1p2p2q/pP1p3P/3P4/1P2QPNK/8 w - -,f2f3
5r2/1br4p/3N1kn1/2n1p3/1PN2p2/P7/2P2PPP/3RR1K1 b - b3,c5e6
8/p4p2/2b2P2/8/2kq4/6P1/5P1K/2Q5 b - -,c4d5
7k/rp5p/2p2pp1/2p1b1P1/2r5/PR3B1P/4R1K1/8 b - -,h8g7
r1b2rk1/p2nppbp/3p2p1/3P4/1q2PP1Q/2p2N1P/PPB3P1/R1B2RK1 w - -,b2b3
r2qkb1r/pp3ppp/3p1n2/2n1pN2/4P3/2N5/PPP2PPP/R1BQK2R w KQkq -,c1g5
r1bqnrk1/ppp1n1b1/3pN1pp/2PPpp2/1P2P3/2N5/P3BPPP/R1BQ1RK1 b - -,c8e6
r7/pp6/2pk2rp/3n4/7R/1BP5/P1P4P/3R3K b - -,d6e6
R7/1p2qpr1/p2p1n2/k1pPbQ2/PP2P3/7P/4B1P1/5R1K b - -,a5a4
6k1/1p3pp1/pbp4p/4rN2/1P4P1/2P2K1P/1P3P2/R7 b - -,g7g6
1k5r/p1q1bpp1/1pb1p2p/2p1P3/4NP1P/P7/1PQ1PPB1/2Kr3R w - -,h1d1
3k4/1p2bp2/r3b1p1/3pPp1p/3P1P1P/3K2P1/1PNB4/2R5 b - -,a6a2
rnbr2k1/5pbp/2p1pnp1/1p6/3P4/qRNBPN2/P2B1PPP/3Q1RK1 b - -,a3a7
8/p2k4/1p1ppb1p/1r6/3P3P/P2K1NP1/1PR5/8 b - -,b5b3
rn1qkbnr/p2bpppp/2p5/1p6/P1pPP3/1PN5/5PPP/R1BQKBNR b KQkq -,e7e6
b2q1rk1/2p1bppp/8/1p1n4/3p4/1B1P3P/1PP2PP1/1NBQR1K1 w - -,b1a3
2r1r3/1p3pkp/2bb2p1/p2B1p2/6nq/P1N1PQNP/1P3PP1/2RR2K1 b - -,g4e3
2b1rr1k/6pp/p1Rnp3/3p4/3P4/P2BB2P/5PP1/4R1K1 b - -,d6c4
7Q/pn2n2p/1p2k1p1/4p3/1P2P3/8/P1q3PP/2B2RK1 w - -,h8f6
rn1qkb1r/pp3ppp/2p1pn2/7b/2PP4/2N2N1P/PP2BPP1/R1BQ1RK1 b kq -,f8e7
6R1/1ppk4/p7/8/1P6/2P2K2/P1r5/8 w - -,g8g7
r1bq1k1r/pp2npb1/2np2pp/2pNp1B1/2P1P3/3P1N2/PP3PPP/R2QKB1R w KQ -,g5d2
r2r2k1/1p2bpp1/2p1p2p/p3Q2P/qPP5/P5N1/3B1PP1/R4RK1 b - -,d8d2
r1bq1rk1/pp2ppbp/2n3p1/8/2BP4/2P2N2/P4PPP/R1BQ1RK1 w - -,f1e1
6k1/pp1bb2p/2p1pn2/P7/1PpPpP2/2B1P2q/4B1r1/2KQRN2 w - -,e2c4
1q3r2/rbNn1pkp/pp3np1/3pp3/8/1P1P2P1/PQRNPPBP/R5K1 b - -,d5d4
r2qk1nr/p4pbp/2ppb1p1/2p1p3/2P5/1PNP2P1/P2QPP1P/R1B1K1NR w KQkq -,c1b2
1r1r2k1/5p2/6pp/1pRPN3/p2p4/3K4/PP3PPP/8 b - -,d8d6
2n5/6k1/7p/p1p1P3/2B5/1P3KP1/P7/8 w - -,c4e6
r1bq1rk1/pp4pp/2n1pn2/b2p1p2/8/PPN1P1P1/1B1PNPBP/R2Q1RK1 b - -,c8d7
rq1r2k1/3b1pbp/3p1np1/nppPp3/1N2P3/1PQ1BPP1/2P1N1BP/R3R1K1 w - c6,d5c6
3r2k1/p1r1qp1p/2p1pnp1/2Nn4/1P1P4/P6Q/5PPP/1BR1R1K1 b - b3,e7d6
8/8/3b1qpk/p6p/5p1P/1P1Q2P1/6K1/3B4 w - -,g3g4
3b4/r6p/p4pp1/2pk4/4R3/2BKP3/1P3PPP/8 b - -,d8e7
8/p3k2p/np4p1/8/P1PB4/1P2K1P1/7P/8 b - -,e7d6
8/1R2p3/3p1kp1/3P3p/4P2P/5PK1/8/7r b - -,h1d1
r2qk2r/1bpn1ppp/pp1b1n2/3p4/3P4/1PNBPN2/P4PPP/R1BQ1RK1 w kq -,c1b2
8/5p2/p1p5/1p2k3/2p1P1P1/2P2PK1/PP1R4/7r b - -,h1g1
2r1kb1r/1q1p1ppp/p1b1p3/4Pn2/1p2NP2/5B2/PPPQ1BPP/2R2RK1 w k -,f1e1
5r2/4kpp1/4p2p/3pP2P/b2P2P1/2pB2R1/1qP2P2/2QK4 b - -,f8b8
4r3/p7/3k1P2/2p5/1nqpQ3/7P/1PB2P2/2K1R3 w - -,e4f4
r3r1k1/ppqn1pbp/2pp1np1/4p3/1PPP3B/PQN1PB1P/5PP1/R4RK1 b - -,d7f8
8/3k1p2/1p2p1p1/3pP1Pp/1P1N1P1P/4P3/1K6/5b2 w - -,b2c3
r2qr1k1/p4ppn/1p2p2p/n1p1P1bP/2Pp1B2/P2P1NP1/1P1Q1P2/1R2RBK1 b - -,g5f4
8/4B3/p7/1p1b1kpp/1P6/2P3PP/1P3K2/8 b - -,d5c4
4k3/R5pp/3p1p2/2pPrP2/8/6P1/1P5P/6K1 w - -,a7a8
r3r1k1/1p3pbp/p2p2p1/1b2p3/nP2P3/2P1B1P1/2N2PBP/R2R2K1 w - -,c3c4
b1r1qrk1/2p4p/p3p1p1/1pPnQ3/5p2/2PB1P2/PP2N1PP/3R1R1K b - -,d5e3
r4rk1/1ppn1n1p/p2p1q2/3P4/NPP1Q3/5N2/P2B1PPP/R5K1 w - -,a1f1
8/1r2b2p/R2pk3/4p1p1/1B2P3/P4P1r/2P2R1P/5K2 b - -,h7h5
r4rk1/5pbb/p2p3p/4q2P/1p2p3/1BP1N3/PP2QPP1/R3K2R w KQ -,e1g1
8/1R6/p3p1k1/1pBpPnp1/8/PP3P2/4K2r/8 w - -,e2d3
1r1q1rk1/5pp1/p2bp1p1/3n3n/2NP1P2/P2B2PP/QB5K/2R2R2 w - -,c4e5
8/3b2k1/p2N2p1/7p/2PK3P/7r/P5R1/8 w - -,d4d5
8/2p2k1p/3p2p1/3P1p2/B7/7P/5PP1/2b3K1 w - -,g1f1
3r2k1/5ppp/2p1p3/p1n1PqP1/2P5/P2r2P1/4Q1BP/2B2RK1 w - -,f1f5
5r1k/7p/p4q2/2p1QN2/2P3P1/5P1K/PP5P/8 w - -,e5c5
rnbqk1nr/pp2ppb1/2p3p1/3pP1Bp/3P4/3B4/PPP1NPPP/RN1QK2R b KQkq -,d8b6
r1b1r1k1/p1p1q1pp/1p1pNn2/3PpQ2/2P5/1N2P3/PP3PPP/R2R2K1 b - -,c8e6
rnbqkbnr/ppp1pppp/3p4/8/8/P7/1PPPPPPP/RNBQKBNR w KQkq -,g2g3
r6k/ppbn1Bq1/2p4p/5P1Q/5P2/2N2K2/PP5P/5R2 b - -,a8f8
6k1/pR3p1p/4p1p1/4qr2/2Pb4/6P1/2R2P1P/1Q4K1 b - -,a7a6
7k/7p/1p2q3/p2bp3/5p2/1PQ2P1P/P2N2P1/6K1 w - -,c3c7
r1q2rk1/pp2ppb1/2n3p1/4NbPp/3PpP2/1QP1B2P/PP4B1/R4RK1 w - -,g1h2
6r1/1P6/2K1k3/6R1/8/6p1/8/8 b - -,g8g5
1rbq1r2/pp2npkp/3p2p1/4p3/3pP3/2PP2P1/PP1QNPBP/R4RK1 b - -,d4c3
rn1qk2r/pp2bppp/2p2n2/3p1b2/3P1BP1/2N1P3/PP2BP1P/R2QK1NR b KQkq g3,f5g6
8/p7/2pb2k1/p3p3/P1N1P1K1/1P3P2/8/8 b - -,d6c7
6k1/3n2p1/r1pq3p/3p4/1P1N1r2/8/3Q2PP/R4R1K w - -,a1c1
5r1k/1p4pp/p1N2r2/8/P1Bp4/1P2bP1P/6P1/3R1R1K b - -,f6c6
r1b1kb1r/pp1ppp1p/1nn5/4q1N1/8/2PB4/PP2QPPP/RNB1K2R b KQkq -,e5e2
8/8/3Pk3/P1K1p3/8/1nN1p3/1P6/8 w - -,c5b6:c5b4
b3r1k1/5pp1/3b1n1p/2pP4/2p2P2/2N3P1/3B2BP/1R4K1 w - -,b1b6
5k2/4p2p/P2p1p2/3PnP2/8/4q3/6K1/3B1R2 b - -,e3e4
1k1r1b2/ppq2p2/2p2n2/8/P5nP/2N5/1PQ1PPB1/1R1R2K1 b - -,d8e8
8/4kp1p/2b1p1p1/2Pp4/1p6/4P2P/1nBN1PP1/5K2 w - -,f1e1
1k1rrb2/1q6/p1p3Q1/P2ppN2/1Pp3N1/2P1P3/6PP/5RK1 b - -,d5d4
