8/R7/6pk/6p1/5r2/6K1/8/8 w - -,a7b7
r1b1qrk1/ppp1b1pp/n2pPn2/5p2/2P5/1QN2NP1/PP2PPBP/R1B2RK1 b - -,a6c5
8/8/p1k5/1pp1Bp2/1PP3p1/P1K3P1/6b1/8 b - -,b5c4
r1b1k2r/p4ppp/2n1p3/3pPn2/Qq1P4/2N2N2/1P2BPPP/R3K2R b KQkq -,c8d7
r3r1k1/1pbq1ppp/2p2n2/3p1b2/1P1P1P2/2N1P2P/2B3P1/1RBQ1RK1 w - -,c2f5
2rrq1k1/1b1n1pbp/pp1Bpnp1/1Pp5/P1P5/2N1PN1P/2Q1BPP1/R2R2K1 b - -,a6a5
r2qnrk1/2pb1pbp/np1p2p1/3Pp3/1PP1P3/2NNB2P/4BPP1/R2Q1RK1 b - -,f7f5
3r1k2/p2q1p2/1p2p3/1Np1b1pP/2P3P1/8/PPK1Q3/5R2 b - -,e5g7
r1b2rk1/ppp1qppp/2np1n2/4p3/2PPP3/P1B2N2/1PQ2PPP/R3KB1R w KQ -,d4d5
8/p6p/2R1k3/5RP1/6P1/7P/1r4r1/5K2 b - -,e6d7
r1b1k2r/pp2qpnp/1np3p1/3p4/3P4/2NBP1N1/PPQ2PPP/2KR3R w kq -,c1b1
2k5/6pp/1P2pp2/8/7P/2R5/6P1/r4NK1 b - -,c8b7
1rb2rk1/4qpbp/1n1p1np1/2pP4/1p2P1P1/4B2P/1PQNNPB1/R4RK1 w - -,f1e1
8/p3r1bk/3p3p/P1pP1r2/2P1p3/1R3n1q/3B1PRN/5Q1K w - -,b3b1
r3rbk1/p4p1p/2p3p1/q2p1b2/8/1BP1BP2/PP1Q2PP/R3R2K b - -,e8d8
8/4bp2/8/5k1p/1p1p1P2/1P1P1K1P/8/2B5 w - -,c1d2
r1b3k1/ppq2ppp/4pn2/8/1PpP4/6P1/1P2PPBP/R2QK2R b KQ -,c8d7
r2qkbr1/pp3p2/1np1p1pp/3nQ3/3P3P/2PN2N1/PP3PP1/R1B1K2R b KQq -,f8d6
R6Q/5p2/3Pb1p1/4r1k1/4p3/2q2B2/6PK/8 w - -,g2g3
3r1r2/p4k1p/bp1p2p1/2p1p3/4P3/1PP1R1NP/P4PP1/3R2K1 w - -,f2f3
2r3k1/p4pp1/7p/2Nn1b2/2NPp3/4P1P1/P4PP1/2R3K1 b - -,c8c6
8/2b5/8/5pp1/3k4/5KP1/5N2/8 w - -,g3g4
r4rk1/1pqnbp1p/3p2p1/3Pp1Pn/pQ4R1/4BP2/PPP4P/N1KR1B2 w - -,g4c4
rbb1r1k1/1pq2pp1/2p1n3/7p/P2PP3/P3BQ1P/4N1B1/R4RK1 b - -,h5h4
5Q2/3k4/8/8/6K1/6P1/7q/8 w - -,f8f7
1r3k2/1p4pp/pNp2n2/P4p2/1P3P2/4P2P/b2r1PB1/1R2R1K1 w - -,b1a1
2k1qr2/pp1b2p1/4P1P1/3B1p2/5Q2/P4R2/1P6/1K6 b - -,d7c6
6k1/1p5p/p1b3p1/2PqPp2/3P1P1Q/P3KP2/8/8 b - -,d5f3
r1b1kb1r/ppq2pp1/2n2n1p/2ppp3/8/1P1P1NP1/PBP1PPBP/RN1Q1RK1 w kq -,b1c3
8/2R5/6k1/6P1/r4PK1/8/8/8 w - -,c7c6
r1qbk2r/1p1b1p2/2pp1n1p/p2Pp1pP/P1P1P1P1/1PN1BP2/3N4/R2QK1R1 w Qkq -,d2f1
r1bqr1k1/1p1n1pbp/p2p1np1/2pP4/2PB1P2/2N2N2/PP2B1PP/R2QR1K1 w - c6,d5c6
6k1/7p/7K/6P1/7P/8/8/8 w - -,h4h5
r1b1k2r/ppppq2p/2n2B2/4n3/8/2PB1N1P/PP2QbP1/RN3K1R b kq -,e7f6
4k2r/p3b2p/4pp2/3r2p1/PppP4/4B1P1/1P1RPP1P/1R4K1 b k -,e8d7
2r1r1k1/2qnbppp/bpn1p3/p2pP3/3P3P/P4NP1/1P3P1N/RBBQR1K1 b - -,a6b5
1rb2rk1/2n2pbp/1p1q1np1/p1pPp3/P1P1P3/2NNB1PP/1P2B2K/R2Q1R2 w - -,d1d2
2r3k1/R4pp1/1p2p3/6Pp/P1nB4/7P/2P2PK1/8 b - -,e6e5
8/4kp2/1rp1p1p1/4P2p/p2P1P2/2RK2P1/P6R/6r1 w - -,d3e4
5rk1/1p2bppp/pB6/N2bp1P1/7P/5P2/PPP5/1K2R3 b - -,f7f6
1R6/5k2/4p1p1/2p1p2p/4P2P/2r5/5PK1/8 w - c6,b8b7
3r2k1/ppp3pp/2p5/8/2P1P2K/2Q1P3/PP1r2qP/5R1R b - -,d8d6
8/8/4k2p/8/7n/4B3/4KP2/8 b - -,h6h5
8/p2r2kp/8/1p3p2/1P1pp2P/1P4P1/4PP2/2R2K2 b - -,d4d3
3r1rk1/1p1qppb1/p5pp/2pPB3/n1P5/Q3PN1P/P4PP1/2R2RK1 w - -,e5g7
6k1/1p4p1/7p/p6r/3p2qP/1Q4B1/PPP1rPRK/8 b - -,g8h8
4r1k1/3brpb1/pq1p1npp/2pP4/2P2P2/3B2NP/1PQB2PK/1R3R2 w - -,f1f3
r4rk1/p2n1pp1/1P5p/8/4bq1B/8/PP3PPN/2RQ1RK1 w - -,h4e7
r1bq1rk1/p2p1ppp/2p1pn2/8/1PP1n3/P4N2/2Q1PPPP/R1B1KB1R b KQ -,a7a5
r1b2rk1/ppq2pb1/3pp1np/4P1p1/2P5/1N1P1N1P/PP2QPP1/1K1R1B1R w - -,d3d4
r2qkb1r/3b1p1p/p1np4/3Npp2/QpP1P3/N7/PP3PPP/R3KB1R w KQkq -,a3b5
r1b2rk1/1p3pbp/pq1ppnp1/5P2/3NP3/1BN5/PPPQ2PP/2KR3R b - -,e6f5
r2r1b2/5p1k/p1b2Q1p/1p1q4/8/2PP2R1/1P3PPP/R5K1 b - -,d8d6
2r3k1/pp3pp1/1q4bp/2pPN3/4BP2/1P2B2P/P2R4/R5K1 b - -,g6e4
r3r1k1/1p1n1pbp/1qp1p1p1/p4n2/P2P4/1BP2NB1/1PQ2PPP/R3R1K1 w - -,g3f4
r1bq1rk1/pp2bppp/3p4/2pQ4/2Pn4/3N4/PP1BPPPP/2R1KB1R b K -,a8b8
8/2kn3R/1n1p4/8/3N1p2/7P/5rP1/6K1 b - -,f2d2
8/6k1/6p1/3prp2/2q3P1/3R1QKP/4P3/8 b - -,c4c7
2bk4/2p1b1qp/pp1rnn2/4Q2P/P1B3P1/2BP1P2/1PP5/2K1R1R1 b - -,g7g5
8/3k4/1K5B/8/P7/8/8/8 b - -,d7c8
5k2/1B5R/p5p1/1p3b2/1P3P2/8/P1n3P1/7K w - -,b7a6
r3r1k1/1p1qppbp/2p2np1/p7/2bPP3/1PN1BN1P/P2Q1PP1/3RR1K1 b - -,c4a6
3r1r2/ppq1bpk1/2b1n1pp/2p1P3/2B1Np2/2P2N1P/PP2QPP1/3RR1K1 w - -,c4b3
7k/2q3p1/2P2r1p/4Np2/pQ1P4/4P2P/K5P1/8 b - -,h8h7
r1bqr1k1/1p3pbp/p1p3p1/3nn3/P4B2/1NN1P2P/1P2BPP1/R2Q1RK1 w - -,c3d5
r3kb1r/3b1p2/q3pPp1/3p4/3Q3P/PNP2P2/2P5/1KBRR3 b k -,h8h5
3r1bk1/8/3P2pp/2R1pp2/1p6/2N4P/1P3PP1/6K1 w - -,c3b5
1k1r3r/pp2qp1p/2p1b1p1/8/Q2Pp3/1N2P2P/PP3PP1/1KR4R b - -,e6b3
5rk1/1pqr1pb1/p1p1p1pp/2P5/2BPb3/1Q2PN1P/PP3RP1/5RK1 b - -,c7g3
4b2Q/pq2k2p/8/8/3Np3/2P5/1P1K1PPP/8 w - -,b2b4
r1bq1rk1/ppn2Nbp/3p2p1/5n2/5B2/1B3N2/PP3PPP/R2Q1RK1 b - -,f8f7
4k3/2N5/p7/1b5p/1p4PP/8/5P2/6K1 b - -,e8f7
1k1q3r/p4p2/1n2pb2/1Q6/P1p5/4P1P1/1P4BP/4K2R b K -,d8d3
2r1k2r/pp1q1p2/4b1pp/3Q4/3P1P2/4R3/PP2P1BP/R5K1 b k -,d7d5
2kr3r/ppp1b3/2q1p3/n3Pnpp/2Pp4/PP1Q1NPP/1B2PPB1/R4RK1 b - -,c6e8
1k6/pp6/6Br/1N6/1P4P1/P1K1Pn2/8/8 w - -,g6f5
8/1p3k1p/p4p2/3p4/3bp3/1PP4P/P5PK/8 w - -,c3d4
2r1k2r/p2q1pp1/1pn1p2p/3pPn1P/b2P1B2/P2B1N2/2PQ1PP1/2R2RK1 w k -,f1e1
r2qk2r/pp1bbpp1/3p1nn1/2pPp2p/2P1P3/2N1BNPP/PP3PB1/R2QK2R w KQkq -,d1d2
2r2rk1/pQ3p1p/1n4pb/N2Pp3/4q3/4P1P1/1P2RK1P/R1B5 b - -,e4h1
8/5pk1/2p3p1/p1Pr3p/2R4P/6P1/P4PK1/8 b - -,g7f6
8/8/2bp1kp1/2p1p2p/2P1P2P/1r1P1PKB/3R4/8 w - -,f3f4
