8/3R4/6k1/p1P1p3/4NrPb/7P/PP6/2K5 w - -,e4d6
r1bq1rk1/pp1pb1pp/2n1p3/2p2p2/4P3/2PP1Q2/PP1N1PPP/R1B1RBK1 w - f6,e4e5
1rbr4/p2p1pk1/1p1P2p1/4p3/4P2R/1N3PP1/PP6/2R1KB2 w - -,h4h2
r2qk2r/1b2bppp/ppnp1n2/1N2p1B1/2P5/2N3P1/PP2PPBP/R2Q1RK1 w kq -,g5f6
3r2k1/4rpp1/pP5p/4p3/1P1pB1P1/P1q3P1/5P2/2B2RKQ b - -,d4d3
r4rk1/1bpnqpbp/pp1p1np1/8/2NPp3/1QP1P2P/PP1NBPPB/R4RK1 b - -,a8b8
r5k1/p2r1qbp/b1p1npp1/Pp2p3/1P2P3/3PNNBP/2Q2PP1/R2R2K1 b - -,a8c8
4bk2/1p6/r1p1pqp1/p2pN2n/3P2B1/4P2Q/PPP2P1R/1K6 w - -,g4h5
8/1p6/1k1p4/p2PpBp1/P1PbK2p/1P5P/8/8 w - -,f5g4
4r1k1/3b1p1p/p5p1/2p1qn2/PpNp4/1P1P2P1/2PQ1PBP/1R4K1 b - -,e5c7
r2r2k1/1bq1bppp/ppn1pn2/2p5/2P5/2NPP1P1/PB2QPBP/R2RN1K1 b - -,c6a5
6k1/pN6/1p2p2p/3pb1pN/1P1n2P1/P6P/5Q2/1q3BK1 b - -,d4c2
r1bq1rk1/1p1nbppp/p2pp3/6P1/3BP3/1BN5/PPP2P1P/R2QK1R1 b Q -,d7c5
r1b2r2/pp2Qpk1/2p3q1/P7/5B2/8/1P3PPP/R4RK1 b - -,g6e6
8/2pk3p/1p1p2p1/p6q/PbPBQP2/1P3K1P/6P1/8 w - -,f3e3
r1bq1r2/ppp2pbk/3p2pp/3P1n2/P2N4/8/BPP2PPP/R1BQR1K1 w - -,d4f3
3r2k1/pp3ppp/2p5/8/P5b1/5PN1/1PP2qPP/5RK1 w - -,g1f2
4k3/pq1r1p2/2Nb1p2/1P2pP1p/P2p2r1/3P4/4Q1PP/2R2RK1 w - -,f1f3
n4rk1/1prb1pbn/p2p2p1/q2Pp2p/P3P2P/1RNBBP2/3QN1P1/5RK1 b - -,d7c8
8/2p5/3bk1p1/1r2p3/2R5/1rB3P1/2R1PPK1/8 w - -,c3d2
r2q1rk1/pp1b2pp/5b2/2p2p2/2Pp4/3P3P/PP1NBPP1/R2QR1K1 b - -,d8c7
r2qr1k1/pp1nppbp/2pp1np1/8/3P1P2/5NP1/PPP2PBP/R1BQR1K1 w - -,c2c3
8/8/8/4k3/6P1/4NB2/4K2n/8 b - -,e5f4
6k1/5bBp/4pQ2/2bp4/5N1P/pP4P1/P4qK1/8 w - -,g2h3
2rq1rk1/1b2ppb1/3p2pp/pBnnP3/P7/Q3BNN1/1P3PPP/R4RK1 w - -,f1d1
r3rbk1/5p2/3p2p1/p2Pp1B1/P3P3/3P2P1/7P/1RR4K w - -,c1c6
r2q1rk1/ppp2ppp/2n3b1/2bnp3/2B3P1/2PP1N1P/PP3P2/RNBQR1K1 w - -,f3e5
r2q1rk1/1p1npp1p/2bp2p1/p7/P2QP3/1BN2P2/1PP3PP/R2R2K1 b - -,d8b6
8/8/p7/4N3/1P6/4K1p1/P6k/8 b - -,g3g2
6k1/p4pb1/2p1p1p1/2q1P2p/2Pr3P/5Q2/PP6/1K3RR1 b - -,d4d7
8/1q3nk1/3p2p1/Qppnp3/4P2P/NPP3P1/3N2K1/8 w - -,a3b5
r5r1/pp3kpp/2p2p2/n1Pb4/3B4/2P2P2/P3P2P/R3KBR1 w Q -,e2e4
3r4/1p3p1p/3r1k2/p2PRb2/3R1P2/8/PP3KBP/8 b - -,f5b1
8/8/7R/4p3/3k4/r7/4K2P/8 w - -,h6d6
R7/1rp5/3bk1p1/4pr2/6K1/4B1P1/R3PP2/8 b - -,b7b4
2r1kb1r/2qb1pp1/p2ppn2/np2P1Q1/3N1P1p/2N1BB2/PPPR2PP/2K4R b k -,b5b4
r2q1rk1/p1pnbppp/1p2p3/3p4/2PPb3/4QNP1/PP1BPPBP/R3R1K1 w - -,c4d5
r1bqkr2/5pQ1/p2ppP2/1p2n2p/3NP3/P1N5/1PP4P/2KR1B2 w q -,d4b5
r1br2k1/pp3pbp/nqpp1np1/4p3/P2PP3/2N2NPP/1PP2PB1/R1BQR1K1 w - e6,c1e3
8/1p6/2n3p1/p2p1k2/3P3P/1P1K1N2/8/8 b - -,f5g4
rnbqk2r/p2p1ppp/1p2pn2/2p5/2P5/P1Q2N2/1P1PPPPP/R1B1KB1R w KQkq -,b2b4
3r4/3P4/4Qb2/6k1/7p/6p1/5K1P/8 w - -,h2g3
r2q1rk1/pb1np1bp/1p6/3P1p2/Q1N5/4B3/P3BPPP/2RR2K1 w - -,a4b3
r1bqkb1r/p4ppp/2p1pn2/2pp4/4P3/1PN2N2/P1PP1PPP/R1BQK2R w KQkq -,e4e5
5bk1/6pp/3p1p2/q2PpP2/3nP2P/1P1NQ1P1/6B1/7K b - -,a5c3
r4rk1/ppqn1pp1/2p1p1p1/2Pp4/3Pn3/PP3N1P/2QN1PP1/R3R1K1 w - -,d2e4
8/5ppk/7p/6nq/8/1Q6/5RK1/8 b - -,h5g4
r1bq1rk1/pp1n1ppp/2pb1n2/3p4/3P4/2NBP3/PPQB1PPP/R3K1NR w KQ -,g1e2
r5k1/pp1n2pp/3p1n1q/2pP4/2P1Pp2/5P2/PP2Q2P/R5RK w - -,g1g2
rn2k2r/1pq2pp1/p1pbpnp1/3p4/2PP4/1QN1PPP1/PP1B3P/2R1KB1R w Kkq -,f3f4
8/8/p3k3/1p3p1p/2bK1p1P/P4P2/1P1B2P1/8 w - -,d2f4
6k1/8/p1pr2bp/2p2p2/5N2/1P1P2P1/P4P2/4R1K1 b - -,g6f7
8/1r5p/p2bk3/2p1p3/2K1P1p1/PPB3P1/5P1P/7R b - -,b7f7
2q1k2r/3r2p1/p1n1b3/2P2pbp/1p2pP1P/1P2B1P1/P1P1NQ2/1R1R2K1 w k -,h4g5
r2qkb1r/pppb1ppp/2n2n2/1B1p4/4p3/1P2P3/PBPP1PPP/RN1QK1NR w KQkq -,d2d4
r2q1rk1/pp1bbppp/4pn2/1B2Q1B1/8/2N5/PPP2PPP/2KR3R b - -,a7a6
8/2k2ppp/r7/4p3/p1PnR1P1/B6P/5P1K/8 w - -,f2f4
r4r1k/p1n3bp/2qp2p1/3Np3/2P1P1n1/1Q2B3/P2N2PP/1R3RK1 w - -,f1f8
4r1k1/p2n1r1p/1pb1p1p1/2pp2P1/8/1P1PP1NR/PBP5/2KR4 b - -,f7f3
4rrk1/pbp1b2p/8/2pq4/2PpNB2/P4pP1/1P5P/R2QR1K1 b - c3,d5c6
r1q1k2r/pp3ppp/2nbpn2/1B1p1b2/3P4/1Q2PN2/PP1B1PPP/RN3RK1 w kq -,d2b4
3r1qk1/3r1p2/1p2pPpp/p1p1P3/PnP1B1P1/3P1R1Q/5R1P/6K1 b - -,d7d4
3k4/6bp/2Pp2p1/5p2/4b3/6PP/Bp2PP2/1N3K2 w - -,f1e1
r1bqnrk1/3p2pp/pp1b1n2/2pPp1B1/2P1P3/2N2NPB/PPQ2R1P/R5K1 b - -,a8b8
1rb2r2/q4ppk/pN1R2np/8/1p1QPp2/1B6/PPP3PP/4R1K1 w - -,b6c8
r2r2k1/4bppp/p1R1p3/1p1n4/P2P4/1B2BP1P/1P3P2/3R2K1 w - -,a4b5
4rr2/1ppqb2n/p1np2k1/3N1bp1/1PBPp2p/P3N2P/1BP2PP1/R2QR1K1 w - -,d1e2
1r2q3/7k/2b1p1pP/p3Pn2/2pp1B2/P1p5/2P1QP2/1R2K1R1 w - -,e2d1
rq3rk1/1b1nppbp/pp1p1np1/2pP4/P1B1PP2/2N1BN2/1PP1Q1PP/3RK2R b K -,f6e8
2b1r1k1/RpN3qp/1Pp3p1/Q1b2p2/8/3B3P/5PP1/6K1 b - -,e8e1
1rb1kb1r/3n1p2/p1n1p1pp/q2pP3/2pP4/2P1BNN1/P1B2PPP/1R1Q1RK1 w k -,d1d2
3r2k1/5p2/2P3p1/7p/3p4/4qPP1/1Q5P/2R3K1 w - -,g1g2
8/1p1r2p1/p1k5/4p3/3p2RP/3K2P1/PPP5/8 w - -,d3e4
8/5k2/p2p1ppb/2pP4/P1P2P2/6pP/b2BK1P1/4N3 b - -,a2c4
2r5/p2kb2p/4pp2/3r2p1/PppP4/4B1P1/1PR1PP1P/2R3K1 b - -,d5a5
r1bqkb1r/p1p2ppp/1p2pn2/1B6/3P4/5NP1/PPP2P1P/R1BQK2R b KQkq -,c8d7
2r3k1/pp2p2p/1npPP1p1/q4p2/3b1B2/1Q3BPP/1P3PK1/2R5 w - -,d6d7
8/2r1kpp1/1p2pn1p/2p1N3/P3P3/5P2/1P2K1PP/3R4 w - -,e2d3
4r2k/5p2/3p3p/3P3q/3NP1n1/3Q4/5PP1/4R1K1 w - -,d4f3
rn3rk1/pb1p2pp/1p2p3/2p2p2/2PPn2q/2PBP1P1/P1QN1P1P/R1B1R1K1 b - -,h4f6
6k1/pp2npp1/4p2p/2rpP3/5PP1/PP5P/1B1R4/6K1 w - -,b2d4
r3k2r/np2b1pp/1n2p3/1q1pPp2/pP1P1P1P/P2QBNP1/4NK2/R6R w kq -,h1d1
