8/2R2k2/6p1/6K1/4rP2/8/8/8 b - -,f7f8
3r4/4k3/1p1pp1p1/bPr2p1p/2P1PP1P/3RK1P1/4B3/3R4 w - -,e4e5
3r2k1/p1p1qp1p/6p1/1pp1Pb2/8/P3Q2P/1PP2PPN/4R1K1 w - -,e3e2
2r5/6kp/p3qbp1/1p6/4p3/Pb1nB1QP/1P1R1PP1/1R4K1 b - -,e6e5
r3kbr1/3b4/p1q3pp/3n1p2/p1p1pPP1/2P1B3/PPN2NP1/R2QR1K1 w q -,c2d4
rnbqk2r/ppp1bppp/4pn2/4N3/2pP4/6P1/PP2PPBP/RNBQK2R b KQkq -,c7c5
8/4k3/3R1p2/1KPp3r/3P4/8/8/8 w - -,b5c6
8/2p2k2/4p1pp/nBPp1p2/3R1PP1/7P/5PK1/r1N5 b - -,a1c1
2r1r1k1/1pq2ppp/p7/n2n1Pb1/8/P2Q4/NPP1BBPP/1K1R3R b - -,d5f4
8/6kp/pBQ3p1/Pn1n1q2/1p6/2bp4/4p1PP/6RK w - -,c6b7
r1bqkbnr/ppp2ppp/2n1p3/8/3PN3/4B3/PPP2PPP/R2QKBNR b KQkq -,g8e7
8/3b4/6pp/pp2p3/Pk1nP1P1/1P5P/3N4/3BK3 w - -,a4b5
1rbqkb1r/2pp3p/ppn2np1/4pp2/QPP5/P1N3P1/3PPPBP/1RB1K1NR w Kk -,g2c6
r2q1r2/2pb1pk1/3p1np1/n3P2p/4P2P/N4P2/PP1QN1P1/R3KB1R b KQ -,d6e5
2r1r1k1/pp2qppp/3B2b1/3p4/P2Pp3/1P2P1P1/5PBP/R1Q1R1K1 b - -,e7d6
r1b1qrk1/ppp2pbp/n2p1np1/6B1/2PNP3/2N2B1P/PP3PP1/R2Q1RK1 b - -,a6c5
r1b1rnk1/ppq2pbp/2pp1np1/8/P3PP2/2N1BB1P/1PPN2P1/R2Q1RK1 w - -,d2c4
2rq1rk1/pp1nbpp1/2p1bn1p/3p4/3P3B/2NBPN1P/PPQ2PP1/R4RK1 b - -,d8c7
8/2R2p1p/4pkp1/2p5/2r2P2/3K2P1/8/8 b - -,c4a4
4rrk1/p1pR1pp1/1p2p2p/2q1P3/2P2QPP/1P2P3/P4P2/3R2K1 b - -,e8e7
5rk1/6pp/6b1/4Q3/3B1P2/P5R1/2q4P/6K1 b - -,c2c1
3q2k1/1b1r2n1/pp1pp1p1/4Pp1p/1PP5/3RNPP1/P4Q1P/3R2K1 b - -,f5f4
rnb2rk1/p4pbp/2p3p1/1p1Pp3/2B1P2q/2N5/PP3PPP/R1BQ1RK1 w - b6,c4b3
r3k2r/1p2bp1p/1p2b3/3pPp2/1n1P2p1/P1N1B3/1P3PPP/R2RN1K1 b kq -,b4a6
rB3r2/5kbp/ppb1p1p1/3p4/3P4/6P1/PP2PPBP/R1R3K1 b - -,a8b8
r3k2r/1ppq2pp/p2bpn2/3pQ3/3P4/8/PPP2PPP/RNB2RK1 w kq -,e5e2
2rq1rk1/p4pbp/4p1p1/np2P3/3p1P1P/P2P4/1P2RPN1/R2Q1NK1 b - -,d8d5
4n1k1/1r4p1/1NRnp2p/p2p1p2/3P1P2/P3PN2/1P3P1P/6K1 b - -,g8f7
4q3/p4k1p/bpRR4/4pN2/4P3/1P5P/P4nPK/8 b - -,f2e4
3r4/3r3p/2n1pbk1/1pp2pp1/p5P1/P1PPPN1P/1P1RN1K1/3R4 b - -,c6a5
r1br4/1pq2p1p/p3pnkB/8/8/1BP2Q2/PP3PPb/R3R2K b - -,f6h5
rnb1k2r/ppqp1pp1/5n1p/2pP4/4P2P/1PN2PN1/P2B2P1/R2QKB1R b KQkq -,c7g3
8/1p1R1p2/1pp5/1k3p2/1P3P1p/P5rP/5KP1/8 w - -,a3a4
r2r1k2/pp3pbp/2bp1np1/q3p1B1/4P3/P1N2B1P/1PPQ1PP1/3R1RK1 b - -,b7b5
5rk1/1p3ppp/p1r1bn2/q2p4/PP6/R3P3/N3BPPP/3Q1RK1 b - -,a5c7
5rk1/rp3pp1/p1nBp2p/q2p1b2/N2Pn3/PQ2PN1P/1P2BPP1/2RR2K1 b - -,e4d6
r3r1k1/1p3ppb/2p1pn1p/4N3/P1P5/q2P2P1/P4PBP/1QRR2K1 b - -,a8a5
r4rk1/b4p2/p2Q2pp/3P2q1/P7/3B4/2P3PP/R4R1K b - -,a7b8
b2r2k1/2q2p1p/6p1/1p1p2P1/1P1b4/4Q3/2P3BP/3R3K w - -,d1d4
r1bqr1k1/pp3pbp/n4nP1/2pP4/2N2B2/2NB4/PP4PP/R2Q1R1K b - -,f7g6
2r1kb1r/1p1b1ppp/p3p3/q7/1n2P3/1Q3N2/PP2BPPP/R1BR2K1 w k -,c1d2
r3k2r/pp3pp1/q3p2p/2npP3/2P5/1Pb1Q3/P2N1PPP/R4RK1 w kq -,e3c3
3rkb1r/pp4pp/4Bnn1/5P2/N2p4/8/PP1PP2P/R1B1K2R b KQk -,g6f4
k4r2/1bqrppb1/p6p/1p1P2p1/P7/1RNQ2P1/1P2BPP1/1K5R b - a3,b5b4
8/5kpp/4p3/1Nn2p2/7P/4KPP1/8/8 w - -,b5d6
1q6/kp1B4/2pb4/p2p2p1/P2P1p2/2P2P2/1P6/K2Q4 b - -,d6f8
1n6/6rk/pp5p/3Q1pp1/P4Bq1/2P5/1P1N3R/6RK b - -,g4f4
r4rk1/4ppbp/2pp2p1/4n3/p1P1P3/1P1N4/P4PPP/1RBR2K1 b - -,a4b3
R2b4/8/1P1pk3/8/2PB4/6r1/P1K5/8 b - -,g3g2
rr4k1/3qnnbp/3p1pp1/p1pP4/2Q1P3/2B2NPP/P4PB1/2R1R1K1 b - -,d7b5
4r3/p4k1p/2bR1p2/1pr5/2P2PPN/1P2p3/P3K2P/3R4 b - -,b5c4
r1b2rk1/p1q1bppp/1pn1pn2/2p5/2P5/1Q1PPNP1/PB3PBP/RN1R2K1 b - -,c8b7
rn1qk2r/1b3ppp/2p1pn2/pp6/P1p5/B4NP1/P1QPPPBP/1R2K2R b Kkq -,b5b4
r3kb1r/2qb1pp1/1p2p3/3pPn1p/1P3P2/2P2N2/P4BPP/RN1Q1RK1 w kq -,f3d4
5qk1/p2b2b1/1p2p1p1/2p1P3/P1B1P1PP/1P3Q2/1B4K1/8 w - -,g4g5
2k4r/p2r1p2/4p2p/2p1P3/2P3p1/4NbP1/5P1P/R3R1K1 w - -,a1a5
8/7B/8/8/8/1pkn4/4K3/8 b - -,d3f4
5r2/2kn4/1qn1p1Pp/3pP3/1p1P4/1P1BQN2/p1P3K1/5R2 w - -,g6g7
8/1p2n3/2p5/1p3kpp/1B1P4/PP1K1PP1/8/8 b - -,e7d5
r6r/1p1kbpQ1/q3p3/3pP2p/p2n4/P1N5/1P1B1PPP/R3R1K1 w - -,e1d1
1r1qkb1r/4n1pp/p1npb3/1p1NppB1/4P3/2P5/PPN2PPP/R2QKB1R b KQk -,d8d7
r2q1rk1/pb2bppp/3p1n2/2p1p3/2PnP3/2N1N1P1/PP3PBP/R1BQR1K1 b - -,a8b8
8/r7/2b2kp1/4p2p/1rNp4/1Pp2P1P/2P3P1/R3R1K1 b - -,a7a1
r2r2k1/p1q1nppp/1p2pn2/7b/Q1PP4/4BN1P/P3BPP1/2RR2K1 w - -,a4b5
2b1r3/2pr1pbk/1p4pp/pPq5/P1PpnP2/3B2NP/2QB2P1/1R1R2K1 w - -,g3e4
r1b1qrk1/pp3pbp/3N2p1/2npp2n/4P3/P1N1B2P/1P3PP1/R2QKB1R b KQ -,e8c6
5r2/1pp2rk1/p2pn1p1/P3p2p/1P2P2P/2P1NPP1/5R1K/5R2 w - -,e3g2
6k1/4rp2/pqr3p1/2p1p1bp/P1R1P3/BP1R2P1/4QP1P/6K1 b - -,e7c7
6rk/6qp/3p4/5R2/1P6/2bBR3/5QbP/6K1 b - -,c3d4
b2r3k/6pp/8/1p1Pp3/8/5nP1/PP3PKP/3R1R2 w - -,g2f3
2r3qk/pb1pR1pp/1p1B4/n5Q1/8/8/PP3PPP/4R1K1 b - -,a5c4
6n1/7p/8/5p2/8/3kNK2/8/8 b - -,g8e7
r1bqk2r/p3ppbp/2pp1np1/8/4P3/2N5/PPP1BPPP/R1BQ1R1K b kq -,e8g8
r1q2rk1/1p3ppp/2p1b3/2P5/p1nR1Q2/P1N3P1/1P2PPBP/5RK1 b - -,b7b5
r1bq1rk1/pp2ppbp/n2p2p1/2p1P3/3P2n1/2N2NP1/PPP2PBP/R1BQ1RK1 w - -,e5d6
2r1qrk1/p2bppbp/B1p2np1/2PpB1n1/3N4/4P2P/PPQ2PP1/RN1R2K1 b - -,c8d8
2b3k1/1p3pp1/p2r3p/P1Np2q1/3P4/1QP5/5PPP/3R2K1 w - -,d1e1
1r2k2r/1p3ppp/2b1pq2/8/1bB5/4PN2/PPQN2PP/2KR3n w k -,d1h1
2nr1k1r/1pq2pp1/p1bNp3/4P2n/5P2/2N5/PPPQ2BP/1K1R1R2 b - -,c6g2
5rk1/pp2q1n1/4p3/2p1Pr2/1bP1Q1p1/1P6/P4PB1/2BR2KR b - -,b4c3
6k1/pp4pp/5p2/2PqP3/b2P1P2/P7/3KQP2/8 w - -,d2e3
r1b1q1k1/ppn1p3/2pp3p/6p1/2PbP3/1P1B1P2/P1Q2P2/R1B2RK1 w - -,c1b2
1rb1r1k1/7p/p7/3P1p2/2PBp2q/1P2Q2P/4N1B1/5RK1 b - -,a6a5
1r2k2r/p4pb1/b1p1p2p/q2p2p1/2P5/2N1P1P1/PP1QBPP1/2R1K2R b Kk -,a5b4
