8/R7/p3rkp1/1p6/2r2KPP/8/3p4/3R4 w - -,f4f3
r3k2r/pp2np2/3B1b1p/3b2p1/8/3B4/P2N1PPP/1R2R1K1 w kq -,d2e4
4r3/5r2/p7/1pk5/2p1p1P1/2PnR1P1/PPK5/3R2N1 w - -,b2b3
r1br2k1/pp2nppp/2n5/2qp4/8/2N1PN2/PP2BPPP/R2Q1RK1 w - -,a1c1
3B4/3k1p2/8/1p1p1p2/p2Pn1P1/8/PP6/4R1K1 b - -,d7d8
8/5bkp/5rp1/4q3/3R4/6PP/3Q1PBK/8 w - -,d4e4
r1bqk2r/1p3pbp/p1np4/4pp2/2P5/N1N1P3/PP2BPPP/R2QK2R b KQkq -,c8e6
7Q/1kq2p2/4p1b1/2pn2P1/1pNp2P1/pP1P4/P1PB2K1/8 b - -,c7b8
5rk1/1pR1pp1p/3n2p1/pP6/3B4/1b5P/1P2BPP1/6K1 b - -,f8c8
r4rk1/ppp2p1p/2n1qP1P/5b2/4p1p1/2Q1P3/PPP2PP1/R3KBNR b KQ -,a8d8
r2qkb1r/1b3pp1/p3p3/1p1pPn1p/2P2P1P/2N2NP1/PPnB2B1/R1Q2RK1 b kq -,c2a1
4rqk1/1p3nbp/p1pp2p1/Q4n2/1PP5/2N3B1/1P3PPP/3R1BK1 w - -,g3f4
2kr3r/ppqn1ppp/2pbpn2/8/2BP4/5QNP/PPPB1PP1/2KRR3 w - -,c1b1
r4rk1/ppq2n2/1b2pP1p/6p1/1P4QP/P2R2P1/1B2RP2/6K1 w - -,g4h5
1qrr2k1/1p2bppp/p1bppnn1/8/P1PNP3/BPN3PP/3Q1PB1/2RR2K1 b - e3,c6d7
6k1/1p2q3/pB1pp1n1/P4p1p/3PPPp1/6PP/1P2Q2K/8 b - -,h5h4
r5k1/1b5p/1p1q1p2/p5pN/2P1p3/4P1P1/PQ3P1P/2R3K1 w - -,c4c5
1r6/2Q2pk1/4p3/2Np3n/1q1P4/1P2PPp1/2K3P1/1R6 b - -,b4b5
3r3n/3rR1pk/2p4p/p2P3P/2P5/2NK2P1/P7/4R3 b - -,h8f7
8/8/4qkp1/8/P2Pr3/8/2N3Q1/5BK1 w - -,g2f3
8/7R/p6P/1p6/2kp4/8/7r/4K3 b - -,c4d3
3r4/1b2r1k1/p3pppp/1p3P1n/P1pP4/2N1P2P/3N1RP1/2R3K1 w - -,a4b5
8/4p2p/5b1k/5P2/4B1p1/6P1/1p2K2P/2rR4 b - -,h6g5
r1bq1rk1/1p2ppbp/n1p2np1/p7/P1NP4/5NP1/1P2PPBP/R1BQR1K1 b - -,c8e6
3r1r2/6bk/n1ppbq1p/1p2np2/8/P1N1BN1P/1PQ1BPP1/3RR1K1 w - -,d1d2
r1b1qbk1/pp1n3p/2p2pp1/4p3/2N1P3/3Q3P/PP2NPP1/2R2RK1 b - -,d7c5
r2q1rk1/ppp1bppp/4p3/4P2b/1nP5/1PQn1N1P/PB1NBPP1/R4RK1 w - -,f1d1
r2qnrk1/1p1b2bp/p2p2p1/2pPpp1n/2P1PP2/2NQB1P1/PP2N1BP/2R2RK1 b - -,d8e7
7k/1p3p2/r7/3p1q2/3PpPpP/P1R1P1K1/7P/1R6 b - -,a6h6
1r1q1rk1/1p1nppbp/p2p1np1/P1pP4/4P3/2N2Q1P/1PP1BPP1/R1B2RK1 w - -,f3g3
1nqr2rk/p4p1p/1p1PpPp1/2p5/B1P1Q3/P6P/3R1PP1/4R1K1 w - -,g2g4
r1bq1rk1/5ppp/p1np4/1p1Np3/4PbPP/2P2Q2/PPN2P2/R3KB1R b KQ -,c8e6
8/1B1RRpp1/5k2/2r2n1p/2p5/2P4P/5PPK/r7 w - -,e7f7
6k1/3r2pp/p1b1p1r1/1p2q2n/3bN3/2BB1P2/PPP4P/1K1RQ2R b - -,h5f4
6k1/3r1pp1/2p2n1p/5Q2/2Bq4/1P4PP/6PK/5R2 b - -,d4e4
2r3k1/n1pqrppp/pp1p4/P2P4/1PPQP3/5N1P/4RPP1/4R1K1 w - -,e4e5
6k1/3nbrpp/3p4/1np1p3/1p5P/1P1PNqP1/RBP1NP2/4Q1K1 w - -,e3f1
1k1b4/r5p1/P1b2p1p/1p1Np2P/1P2P1P1/1B1K4/R7/8 b - -,c6d7
1r4k1/1B2bpp1/4p1bp/2N5/p7/B5PP/3R1P1K/8 w - -,d2d7
r2qk2r/pp3ppp/2npbb2/1B1Np3/4P3/1N6/PPP2PPP/R2QK2R b KQkq -,a7a6
1r2k1nr/4b3/pp1pN3/6B1/1Pn5/2N2RPp/P6P/2R4K w k -,c3d5
3rr1k1/2p2pp1/p1nq1b1p/1p1npb2/8/2PP1N1P/PPBN1PP1/R1B1RQK1 w - -,d2e4
r2q1rk1/7p/1n1pp3/3b1ppQ/1P1Pp3/4P1P1/1NR2PBP/4R1K1 b - -,a8a7
r4r1k/ppp3np/3pB3/3P4/2P2qN1/2Q1p2P/PP4P1/R5K1 b - -,f4g3
r1bqkbnr/pppn1ppp/4p3/8/2Q5/6P1/PP1PPPBP/RNB1K1NR b KQkq -,g8f6:c7c5:a7a6
3k4/R7/3K4/p1P5/5P2/8/3r4/8 w - -,d6c6
6r1/7k/p7/8/P4pPp/5K2/2p5/2R5 b - -,g8c8
2r2rk1/1b1nq2n/p1p1p1Pp/1pPp1p2/1P1P4/P3PN2/2QN1PP1/1BRR2K1 b - -,h7g5
8/ppr2bk1/7R/2p2p2/2P5/2P5/P4PPP/2K1R3 w - -,h6h4
2kr3r/pp1n1p2/2p1p3/8/PqNP4/1n1BP1R1/1P2QP1P/3R2K1 b - -,b3a5
r1b2rk1/pppq2pp/3p1pn1/8/P7/5N2/1PPBQPPP/R3R1K1 w - -,f3d4
8/3kN2p/8/5p1b/3KpP2/8/8/8 w - -,e7f5
1rr3k1/5pp1/3p3p/P2Pp3/R3Pb2/7P/R3NPP1/6K1 w - -,g2g3
r2qn3/3n2k1/1p1p2pb/3Pp2p/1P2P3/r4PPN/R1R1QB2/5BK1 w - -,g1g2
Rbk4r/1p5p/1Ppr4/3p3q/3P1ppP/2NQ2P1/2P2P2/R6K b - h3,g4h3
6k1/p3qp2/6p1/7p/4rP2/5Q2/R6P/7K b - -,e7b4
2b2nk1/4qp2/3p2pp/2pPb3/2P1P3/3B3P/4NQP1/1R5K b - -,c8d7
r2qk2r/pbpnbp2/1p1p4/3Pp2p/1PP1P1p1/2N3P1/P3BPPN/R2Q1RK1 b kq -,e7g5
r4rk1/pbpnqpp1/1p1ppn1p/8/1PPP4/P4NP1/1B2PPBP/R2Q1RK1 b - -,c7c5
rnbqkb1r/p2ppppp/5n2/2pP4/1pP5/8/PP1NPPPP/R1BQKBNR w KQkq -,e2e4
4r1k1/2br1pp1/p1qp1n1p/1p2p3/1B2PP2/1PPR1BP1/P3Q1KP/3R4 w - -,f4f5
8/8/1p4p1/2p2k1p/P2p1P2/3P1K2/1PPN3P/8 w - -,d2c4
r4rk1/1p1q1p1p/pn1p2p1/3P2B1/2PN4/1P1Q3P/P4PP1/R5K1 b - -,f8e8
4rbk1/8/1p4pp/4p3/P2p4/1p1n1NP1/1P1B1PP1/3R2K1 w - -,d2h6
8/p2B4/5r2/4p2P/3b1k2/7K/P7/2R5 b - -,f4g5
2rq1rk1/1b1nbppp/p4n2/2pp4/5B2/2N1PN1P/PPQ1BPP1/3R1RK1 w - -,f3e5
rq2k2r/pp2bppp/2n2n2/1N6/3B1p2/2P5/PP2BPPP/R2QK2R w KQkq -,d4f6
8/4q1r1/p2p3k/1pp2QbB/8/3P2PP/PPP4K/5R2 w - -,h5g4
r2qk2r/pp1nbppp/2p2nN1/3p4/3P4/2N3PP/PP2PPB1/R1BQ1RK1 b kq -,h7g6
3R2k1/1p3r1p/p4p2/4n3/4N3/1P5P/P5P1/6K1 b - -,g8g7
8/2p5/3b1k2/p2r1p2/2R3p1/1P2P3/2K2P2/7R b - -,d5e5
4r2k/1pn1q2p/2p3p1/3rP3/Pp2Q3/1N4PP/4P1K1/R4R2 w - -,f1f4
8/6R1/4k1p1/4Pp1p/p4P1P/Pr2PK2/1P4P1/8 b - -,b3b2
8/5k2/5pp1/3R3p/4PK1P/5PP1/r7/8 b - -,a2g2
8/7p/2q2pk1/8/pp1B4/4P1PP/PR2KP2/8 b - -,c6c4
r2q1rk1/pp1nnpbp/2p1p1p1/4N3/2QP1P2/6P1/PP3PBP/R1B2RK1 w - -,c1e3
8/pp4k1/8/5p2/2PnpPp1/1P6/P2b2PB/3B2K1 b - -,d4e6
rn1qkb1r/1bp1pppp/p2p1n2/8/Pp1P1B2/4PN1P/1PPN1PP1/R2QKB1R b KQkq -,b8d7
2b2r2/1r3pbk/1n1B2pp/1p6/3qN3/1B6/1P3PPP/R2QR1K1 b - -,f8d8
1r1q1rk1/2nb1pbp/3p1np1/N1pP4/1p2PBB1/8/1P1Q1PPP/R2N1RK1 w - -,g4f3
7k/1R4pp/8/p3r3/2q4B/P1N2r2/5P1P/6K1 w - -,b7b8
8/Q7/2pk3p/8/6pq/1P1B4/P1P3KP/8 w - -,a7b8
3r2k1/pp1r2p1/4p2p/q6b/2P1QP1P/4P3/PP1R2R1/4K1N1 w - -,e4e5
8/8/p2k1K2/Bp6/1P6/8/8/8 w - -,f6f7
