4k2K/8/8/5q2/8/8/1Q6/8 b - -,f5h5
r1b1r1k1/ppp1qppp/8/1N6/1nP3n1/4PN2/PP2BPPP/R2QK2R w KQ -,e1g1
r1bqkb1r/ppp1nppp/2n5/4P3/2Pp4/P3PN2/1P3PPP/RNBQKB1R b KQkq -,e7f5:c8g4
rqk2b1r/1b1nn1p1/pp6/2p1p1N1/P3P1BP/2N5/1PP1QPP1/R1B1K2R w KQ c6,c1e3
r4rk1/bp2q1p1/2pp1n1p/p1n1p3/2P1PP2/PP4PP/1BQ1N1BK/R4R2 w - -,b3b4
r5k1/pp1b3p/2p1p2r/4Pppq/2PPp3/P3P2P/1P1B1QP1/R4RK1 w - -,d2b4
8/5p1R/2k1p3/2p1b3/1pn2p2/pP3P2/7P/1K4B1 w - -,h7h5
rn1q1rk1/p3ppbp/2p3p1/1p3b2/1QBP1B2/4PN2/PP3PPP/R4RK1 w - b6,c4e2
8/5pk1/5p1p/2R5/2PK4/r5P1/5P2/8 w - -,c5f5
r1b1rn1k/4q1p1/p7/1pp1nP2/8/2B1P2P/PPB3P1/1Q2RRK1 w - -,f1f4
7k/3r4/2p4p/p3q3/2B1NR2/6P1/PP3RK1/8 b - -,d7d8
r1bqr1k1/pppp1ppp/8/2b1n3/2P5/1PN1P3/PB2BPPP/R2QK2R b KQ -,a7a5
2r2rk1/q4pbp/3Rp1p1/4P3/1pp1Q3/2P3B1/1P3PPP/3R2K1 w - -,c3b4
6k1/p3r1pp/1n6/4P3/3pnPP1/1P1K4/P1P4P/6R1 b - -,e4c3
2rq1rk1/5pbp/bpn1p1p1/p4n2/1PPp4/P2P1NP1/2Q1NPBP/1RBR2K1 b - -,b6b5
4r3/5p1p/2b3p1/1pkp2P1/p2R1P1P/P1P2B2/1P3K2/8 w - -,h4h5
8/4k3/2p5/4B3/p7/3R1P2/2r3P1/6K1 w - -,d3c3
2n2k2/1p3p1p/p2p2p1/3Pp3/4P3/1P1KNPP1/1P5P/8 w - -,e3c4
8/1q3pk1/4p1r1/4P2p/1PpP1Q2/6P1/5P1P/R5K1 b - -,c4c3
1qrbk2r/1b1n1ppp/pp1p4/3NpP2/1PP1P3/3Q1B2/P2B2PP/2RR2K1 b k -,e8g8
5rk1/pp1rqppp/2n1p3/2pp4/3P1P2/2P1P3/PP1NQ1PP/R4R1K b - -,f7f6
r3rbk1/3n1pp1/1pq3np/pp2pN2/2B1P1P1/2P1BP2/P1Q4P/1R1RN1K1 b - -,b5c4
r3kb1r/1p2pppp/pnp1Nn2/8/1P6/N2P2P1/4PPBP/R1B2RK1 b kq -,f7e6
r3n1k1/5pb1/3p4/2pP3p/1pP5/1q2rN2/6PQ/1B1R1R1K w - -,h2h5
1rb1k2r/p3np1p/4p1p1/2p5/1p2PP2/4N1P1/PPP3BP/R4RK1 b k -,e7c6
r3r1k1/1bqnbppp/p1npp3/1p6/4PP2/PNNB1Q2/1PPB2PP/4RRK1 w - -,f3h3
r1bqkb1r/1p3ppp/p2ppn2/2n5/3NP3/1BN5/PPP1QPPP/R1B1K2R w KQkq -,c1g5:g2g4
2rq1k1r/p3ppbp/2p2np1/2P5/3p4/5N2/PPP1QPPP/R1B2RK1 b - -,f6d7
5k2/1p3p1p/2r5/p2N1Pp1/P1P3Pb/1P5P/3KR3/8 b - -,h4g3
3r1r1k/1p2p1bp/2qn1p2/p4p1Q/Pp5N/1B5P/1PP2PP1/2R2RK1 b - -,h7h6
1r1q1rk1/1ppbbppp/p1n1pn2/8/2NP4/2N1P1P1/PP3PBP/R1BQ1RK1 w - -,d1e2
8/8/5k2/7B/5K2/6PP/6n1/8 w - -,f4f3
4r1k1/pp3qp1/2p1r1p1/2Rn4/1B1Pp1QP/P3P3/5PP1/5RK1 w - -,c5c2
5bk1/6pp/4q3/1pp5/2N1p3/6PP/1B2P2K/1R3R2 b - -,e6c4
2R2rk1/pb2bppp/q3pn2/1n1pN3/1p1B4/1P1PQNP1/P3PPBP/5RK1 b - -,f8c8
rnb2rk1/pp2p1bp/1qpp2p1/3P1pN1/P2P4/6P1/1P2PPBP/R1BQ1RK1 w - -,a4a5
2b3k1/p4p1p/1p2n1p1/1P1p4/P4P2/1N1BP3/5KPP/8 b - -,g8f8
3r4/3P4/1R3p1k/3R2p1/p3B1Kn/4P3/5P2/7r b - -,h1g1
r1b2k1r/1p3ppp/p4n2/2qB1P2/3b1B2/5Q2/PP4PP/R3R2K b - -,h7h5
6k1/6pp/p3N3/bp1PP3/2r1pP2/2p5/2Q2KPP/8 w - -,d5d6
1q6/3k2p1/2p1p1P1/NpPpPp2/1P5Q/3K3P/8/8 b - -,b8e5
5r1k/ppp2rb1/6p1/1PP1p2p/P3N3/3PP1P1/5PK1/3R3R b - -,h8g8
r1b2rk1/pp2ppbp/n1p2np1/1qN5/P2P4/5NP1/1P2PPBP/R1BQ1RK1 b - a3,b5b6
3rqrk1/1b1nnpbp/pp1p2p1/2p1p3/P2PPP2/2N1B1PP/1PPQN1B1/3R1RK1 w - c6,d4e5
2r1k2r/pp3ppp/8/3ppb2/1P6/Pn1Nb3/1N2P1PP/RK3B1R w k -,b2d1
r4rk1/6p1/3P1n1p/8/p7/R4N1P/6PB/7K b - -,f8b8
8/8/8/2k5/P3K3/2pQ2p1/5qP1/8 b - -,f2g2
r4rk1/p2qp2p/5pp1/P2pP3/2pPn3/B1P1P3/2Q3PP/R4RK1 w - -,e5f6
3r2k1/5p1p/6p1/1p2p3/4P3/1PN2q2/P1Q4P/1K6 b - -,d8c8
2R3k1/5p1p/pp2r1p1/4bp2/8/NP2P1P1/P4P1P/6K1 b - -,g8g7
2r3k1/1p2bpp1/p2p1n1p/2r1pP2/Pq6/1BNR4/1PP1QPPP/3R2K1 b - -,b4f4
r1q3rb/1npb1p1k/1p1p1n1p/p2Pp2P/1PP1P1pB/P1N5/2QNBPP1/1R2K2R w K -,h4f6
7r/5B2/p2p1p1P/1pb1kP2/4P3/5K2/8/7R w - -,h6h7
r4rk1/pp1n1pp1/2p1pn1p/1P3b2/3P3P/2N5/1P2PPBP/R1B1R1K1 b - -,d7b8
3r2k1/7p/1p3B2/8/1R2R3/1P4P1/b2p1bBK/8 b - -,d2d1q
8/8/1B6/2K1kP1p/4P2n/8/8/8 b - -,e5e4
8/8/8/7N/3Pn1pP/p5P1/k1K5/8 b - -,e4d6
7k/pp3p1p/5NpP/6P1/2rN4/P4P2/1nP2K2/4R3 b - -,c4d4
5r2/1p4rk/1qb1p1p1/p1npPpQp/3R1P1P/P1N1P3/1P1R2PK/3B4 b - -,c5b3
2rqr1k1/5pp1/p1nbbn1p/1p1p4/3P1B2/2N3NP/PP1Q1PP1/1BR1R1K1 b - -,c6a5
1b2r1k1/5p2/p1N2qpQ/1p1n4/1P1n1p2/P2P2PB/1B3R2/6K1 b - -,f6c6
r1bq1rk1/pp2npp1/2p4p/3n4/2BPN3/1Q3N2/PP3PPP/2R1R1K1 b - -,d5b6
3B4/5pbk/1p2b1p1/3PP2p/3P4/6PP/5PBK/1q6 b - -,b1a2
5Nr1/4PK2/8/1b6/5N2/8/8/3k4 b - -,g8g5
rn1qkb1r/pp3ppp/4pn2/3p2PP/3Pb3/2N2N2/PPP1QP2/R1B1KB1R b KQkq -,e4f3
4q3/5pk1/3p1b2/1ppB1Pp1/6Pr/1P3RK1/P1R3Q1/4r3 w - -,f3d3
rn2kb1r/pp3ppp/2p1pn2/q4b2/4N3/5PP1/PPPPQ1BP/R1B1K1NR w KQkq -,e4f6
r1bq1rk1/pp2ppbp/2n3p1/2p5/8/2P2NP1/P2PPPBP/1RBQ1RK1 w - -,d1a4:d2d3:c3c4
5rk1/p5b1/1p2r2p/2pN2p1/2Pnp3/1P2R1P1/PB3PKP/3R4 b - -,g8h7
r6k/4Q2p/p3p2q/5p2/8/6R1/PP4PP/6K1 w - -,h2h3
4k3/8/p1bp4/P4ppp/2rP3P/2B2P2/1P3KP1/R7 b - h3,g5g4
8/R4pk1/1p4p1/7p/3R3K/1P4P1/4rr2/8 b - -,g7h6
1rq2rk1/4n1bp/p2p2p1/1p1Ppp2/1Pp1P1b1/P2P1NP1/1B1Q1PBP/R1R3K1 w - f6,f3e1
1rb3k1/6pp/p2p1r2/n2Pp1q1/Pp3pPb/3B1P2/1PPBQN1P/R4RK1 b - -,h4f2
8/8/2pb4/p7/8/1K1k4/1N6/8 b - -,d3d4
r1r3k1/pp1b1pb1/2n1p1p1/3p3p/1q1P4/1PN1P1PP/PB1Q1PB1/2RR2K1 b - -,c6e7
r2r2k1/1b3ppp/p3p3/Bpb5/4n3/4PN2/PP2BPPP/R2R2K1 b - -,d8d1
5r1r/1b1nnpk1/p2p2p1/Pp1Pp3/1Pp1P1N1/2P3N1/2B2PP1/4RRK1 w - -,g4e3
r3k2r/pp1qbpp1/1nn1p1p1/1N6/8/BPP2N1P/3PQPP1/R4RK1 b kq -,a7a6
1k6/2b5/1p2Q3/2p4P/1p6/2pb2P1/PP3P2/6K1 w - -,b2c3
8/8/1n5p/1P1p4/2k3P1/2P2P1P/3K4/8 b - -,c4b5
