8/8/3k3p/1R6/3p3P/P4P2/r3PK2/8 b - -,d4d3
8/2r1b2p/2p2pp1/3k4/1PRPN1P1/7P/5PK1/8 w - -,e4d2
r1bqkb1r/5ppp/ppn1pn2/2p5/P1BP4/2N1PN2/1P2QPPP/R1B2RK1 b kq -,c8b7
8/2Q3k1/3p3p/1p1qb3/8/2P4K/2B3P1/8 b - -,d5f7
r4rk1/2bn2pp/2p2p2/p1Pppb2/N2Pn3/4PN1P/1P2BPPB/R4RK1 w - -,f1d1
1R6/k4p2/6p1/1pr4p/7P/P4PK1/8/8 w - -,b8d8
rnbqk2r/pp2nppp/2p5/2bpP3/4P3/2N2P2/PPP3PP/R1BQKBNR w KQkq -,f1d3
2r3k1/3q1p1p/n2r2p1/1p1P4/2pR4/Q1P2BP1/P4PK1/1R6 b - -,c8c5
2r5/pp4pk/5p1p/2r4q/8/5Q2/PPP1R1P1/1K2R3 w - -,f3b7
8/4p1kp/6r1/P3bp2/1B6/8/5P1P/3R2K1 w - -,g1f1
3R4/1p2r2k/p1p2n2/6p1/1P2P3/P3BP2/4K3/8 w - -,e3g5
5k2/8/3NP1p1/4K3/3N4/7p/8/3r4 w - -,d4f3
r6r/1p1kbppp/1p6/3pP3/1n1P4/5N2/PP4PP/R1B2RK1 w - -,a2a3
1rbqr1k1/p1b3pp/2P1p1n1/1N1pPpP1/2B2P2/4P3/PB2Q2P/1R3R1K b - -,d5c4
r1b1r1k1/3nqppp/p1p1p3/1p1nP3/2pPN3/5N2/PPQ1BPPP/3R1RK1 w - b6,h2h4
8/5nk1/3q1b1p/p5p1/6P1/PQ3P2/KPR3P1/8 w - -,c2c8
2rr2k1/3n1ppp/bqp5/p1Rp4/Pp1P4/1Q2P1P1/1P1N1PBP/3R2K1 w - -,c5c2
r1b1r1k1/1p2qpbp/2ppnnp1/p7/P3PPP1/2N1B1NP/1PP3B1/R2Q1RK1 b - f3,f6d7
r1b1r1k1/1pp3pp/p1p1np2/2b2N2/4P3/1PN2P2/PBP3PP/R2q1R1K w - -,a1d1
7k/3r4/2p4p/p3q3/2B2R2/2N3P1/PP3RK1/8 w - -,c3e4
r3k2r/pp1qbpp1/2n1p2p/2ppPn2/5BP1/2PP1N2/PP3P1P/RN1QR1K1 b kq g3,f5h4
r6k/1q4bp/3pr3/p1nNpp2/5P2/4B2P/1P1Q2P1/R4RK1 w - -,a1a5
r2q1rk1/1bnn1pbp/p2p2p1/1p2p3/2P1PP2/1PN1B1PP/P2QN1B1/1R3RK1 b - -,e5f4
1r2r3/6kp/pP1q2p1/2pP1p2/4p3/5PPP/PP2Q3/1K1RR3 w - -,f3e4
8/3r4/6R1/4k2p/6p1/2P1N1PP/2K2P2/b7 w - -,h3g4
2r4r/1b2kp2/1q1p1p2/4pP1p/1pB1P3/1P3R2/P3Q1PP/K2R4 b - -,c8c5
1r1q1rk1/pb4pp/3p1b2/2pPpp2/2Pn4/6P1/PP2NPBP/R1BQR1K1 w - -,c1e3
r1b2rk1/4qpb1/p3p2p/1ppP2pP/2nP1P2/2NR2P1/PPP2QBN/2K1R3 b - -,c5d4
8/1R3pk1/p2Br2p/2P3p1/1P2p1b1/4P3/5PPP/6K1 w - -,g1f1
3r1r1k/p1q2p2/1p2pnp1/6Qp/2p2P2/2P4P/PPB5/2BR1R1K b - -,c7c6
6k1/pp5p/2q1p1p1/5p2/2QPpBP1/bP2P2P/P4P2/6K1 w - -,c4e2
r1bq1rk1/pp2bppp/2n1p3/3np3/2BP4/2N2N2/PP2QPPP/R1B2RK1 w - -,d4e5
8/p1b5/5pp1/3k3p/1p6/1P1K1PP1/P6P/2N5 w - h6,c1e2
1rb1nrk1/2q3b1/1p3n2/2pPp2p/2P1Ppp1/1N1B1P1P/2Q1NBP1/RR4K1 w - -,h3g4
r1b2rk1/1pq1bppp/p1np4/4n3/3N1B2/NBP5/P3QPPP/R2R2K1 b - -,e5g6
2r5/5pkp/6p1/1p6/3N4/pB2P1P1/5K1P/8 b - -,c8c1
2r2rk1/1p3pbp/pq2p1p1/3pP3/P4B2/RnP2B2/1P1Q1PPP/4R1K1 w - -,d2e3
1r2rnk1/3bqpb1/2pp1n1p/p3p1p1/p2PP1P1/1BNQ2BP/1PP1NP2/2KRR3 w - -,b3a4
rn1qk2r/p2pbppp/1pb5/2p5/4n3/2N2NP1/PP3PBP/R1BQ1RK1 w kq -,c3d5
3K4/1k2R3/1P5r/2P5/8/8/8/8 b - -,b7b8
1r3rk1/4pp2/6p1/p2R4/4Q2P/2q2P2/2P1B3/1K4R1 w - -,e2b5
3r2k1/2qbbppp/4p3/p1p5/1r3PP1/1P2BQ2/P1P3BP/3R1RK1 w - -,c2c4
r1r3k1/pqnn1pbp/2ppp1p1/8/1pPPP3/1PB1NNP1/PQ2RPKP/4R3 w - -,c3d2
6k1/4bppp/3p1n2/4p3/2P1qn2/7P/PB1Q2P1/R5K1 w - -,c4c5
r1bq1rk1/1pp2ppp/p1nb1n2/4P3/Q1B1P3/2N2N1P/PP1B1PP1/R3K2R b KQ -,c6e5
4r1k1/4r1p1/p6p/8/P6P/1P3N2/3RbPP1/2R3K1 w - -,f3d4
8/8/8/1p1p1k2/p4P1r/P1P3K1/1P5p/7R b - -,h4g4
2krr3/5p1p/pqp3b1/2bppN2/1Pp3N1/2P1P3/P3QRPP/5R1K b - b3,c5f8
6k1/1Q2b1n1/p2p3R/3Pp1p1/4P2n/8/PPq1N1PP/4BK2 b - -,h4g2
1r3rk1/p1q1nppp/3p1n2/4p3/P1b5/4N1P1/3QPPBP/R1B1K2R b KQ -,c4e6
4k3/P1Qq4/4pp2/2B3p1/8/6PP/r4P1K/8 w - -,c7b8
8/8/8/3kb2R/K7/1r6/8/8 b - -,b3b1
2r2rk1/4bppp/p3pn2/1ppq4/3PN3/2Q2NP1/PP2PPBP/R4RK1 b - -,d5e4
r4rk1/1ppqnpbp/2n1b1p1/p2pp3/2P5/P1NPP1PP/1P2NPBK/1RBQ1R2 w - -,c4d5
r3k2r/1b1pbppp/p1q1pn2/1p6/4P3/P1NBB3/1PP1QPPP/R4RK1 w kq -,f2f4
8/r2B1pp1/1p4k1/3pP3/1P2bP2/8/5K1P/4R3 w - -,e1g1
2r2r2/2n1ppkp/p1Npqnp1/8/P1P2PP1/1PQ4P/4P1B1/R2R2K1 b - -,g7g8
8/5b2/2Nk1p2/p1p3p1/7p/1P2KP2/6P1/8 w - -,c6a5
4r1k1/1p4b1/1q1p2p1/8/2P5/1N1p1R1P/5PP1/3Q2K1 w - -,d1d3
rn1qkb1r/ppp2ppp/4p3/3n4/2PP2b1/5N2/PP2BPPP/RNBQK2R b KQkq c3,d5b6
r5k1/1b2qr1p/3p2p1/1pnPp3/1Np1P2R/2P2PQ1/1PBK2P1/5R2 b - -,a8f8
r4k2/1R6/5p2/p4P2/P1P5/1P1R3K/1r6/8 b - -,a8e8
3r2k1/p1p1bppp/bn6/N7/P4BN1/1p4P1/1P2PP1P/R4K2 w - -,a5b3
1rbq1r2/4ppkp/3p2p1/p1pP4/PnP5/5N2/1Q1KBPPP/R6R b - -,g7g8
r2q1rk1/p2nppbp/b2p2p1/1pp1n1B1/4P3/N1PP1N1P/PPB2PP1/R2QR1K1 w - -,f3e5
5bk1/3q1p1n/p2p1Pp1/2pNr3/2P1P2Q/5N2/P5rK/6R1 w - -,g1g2
8/ppp4p/4p1p1/7k/2r2P2/2PR2PP/P1P1r3/2R2K2 b - -,e2h2
1kr5/ppp4p/4Q3/6P1/3b4/2q5/P3R2P/3R3K w - -,e6g4
r3k2r/1p1bbp1p/p1n1p3/5pB1/P7/2P2N2/1P1RBPPP/3R2K1 b kq -,a8d8
2r1k2r/1bqp1ppp/p3pn2/8/1bnQPP2/1NN2B2/1PP3PP/R1B2RK1 b k -,b4c3
4k2r/r1q1pp1p/2p1b1p1/p1Q1b1B1/P1p5/7P/1PP1NPP1/R3R1K1 w k -,g5e7
5rk1/1p5p/8/4B3/1bR3bP/6N1/5P2/3r1BK1 b - -,g4h3
2bn3r/4kpb1/pr1pp1p1/NppP3p/4P3/1PPB1NP1/1PK2PP1/4R2R b - -,c8d7
2r3k1/6pp/p3pp2/8/3P4/1p2P1B1/r4PPP/1n2R1K1 w - -,e1b1
2rr2k1/ppn1ppb1/1qp3pp/8/3PP3/P5P1/1BQ1RPBP/3R2K1 b - -,g7d4
rn1qk2r/ppp1b1pp/3p1nb1/3Pp3/2P1p1P1/2N4P/PP3PB1/R1BQK1NR w KQkq -,g1e2
r6r/p6p/3k2p1/1p1n4/2pPRP2/P1P1P2q/1P2Q2P/R6K b - -,a8e8
8/1pb1kp2/p1b1p1p1/7r/2N3R1/7P/PP2R1P1/1K6 b - -,h5f5
1r5k/2q1r1b1/1p5p/1PpBpRp1/2P5/2BPP1P1/7P/Q5K1 b - -,b8f8
r4rk1/p3ppbp/1pn5/2pqP3/5PR1/4BN2/PPP1Q2P/R3K3 b Q -,f7f5
rn3rk1/4bppp/pqn1p3/1p1p4/3PP3/5N1P/PP1NQPPB/R1R3K1 b - -,c6d4
8/5Qp1/1p5p/2p2P2/6qk/4K3/P4P1P/8 b - -,h4h3
r3k2r/1b2qppp/2p2n2/p3P3/1b3P2/2NBB3/1P4PP/R2Q1RK1 b kq -,b4c3
3qr3/pp1b1pk1/3P1pnp/2p3P1/2P1NP2/PP1B3P/1Q5K/R7 b - -,h6g5
r4rk1/1p5p/p2pp1p1/2p2n2/5b2/2NP4/PPP3PP/R4R1K w - -,f1f4
1rq2rk1/3bp1b1/p1n3pp/2PQ1p2/1p6/4BNPP/PP2PPBK/2R2R2 b - -,d7e6
