8/R5k1/8/6r1/4B2p/4KP2/8/8 b - -,g7f6
r1bqkb1r/pp1p1ppp/2n1pn2/2p5/3P4/2P1PN2/PP1N1PPP/R1BQKB1R b KQkq -,b7b6:d7d5
1r1q1rk1/pp2npb1/4n1pp/2p1p3/P3P3/2NP3P/2PN1PP1/1RBQ1RK1 b - -,g8h7
7k/5qp1/p4p2/B3p2p/3pP1P1/bPpP3P/P3QP2/6K1 b - -,h5g4
1r2r1k1/3n1ppp/q2b1n2/p1pp4/2PP4/P5PP/1BQN1PB1/1R3RK1 w - -,d4c5
2rq1rk1/3bppbp/p1np1np1/1p6/3NP3/P1N1B2P/BPPQ1PP1/4RRK1 b - -,c6d4
r7/1pqbrpk1/p2pp2p/8/P2NP1PP/2N5/1PP2QB1/R6K b - -,c7c5
r1bqkb1r/pp2pppp/2np4/4P3/2QP4/5N2/PP3PPP/RNB1K2R b KQkq -,d6d5
2kr1r2/ppp3pp/1n6/8/2PN1B2/1P4K1/PbB2NPP/7R b - -,b2d4
r4rk1/pbqp1ppp/2n1pn2/2p5/2P1N3/5NP1/PPQ1PPBP/R2R2K1 b - -,f6e4
r1bqr1k1/p4pp1/2pb1n1p/n7/1P6/2PN4/P3BPPP/RNBQ1RK1 b - b3,a5c4
2k1rbnr/3q3p/p1bpp1p1/1p2P1B1/6Q1/P1NB4/1PP3PP/R4RK1 w - -,a3a4
1rb2k1r/p3qp2/2Bp3p/1NpPp3/P1N1Pb1n/4P1P1/2P5/R4RKQ b - -,f4g3
8/8/8/5K2/5P2/8/4r1kp/7R w - -,h1h2
1r3rk1/2qnppbp/b1np2p1/p5PP/1pp1PP2/3PB1N1/PPPQ2B1/R2NK2R b KQ -,c4c3
8/7p/1pb3pk/p3R3/Pq6/2N2p2/2K1R2P/8 w - -,e2f2
r3r1k1/p1q2p1p/2p2Pp1/3p1b2/3Q4/1P3N2/P4PPP/R3R1K1 w - -,d4h4
2kr3r/pp1b2p1/2n1p3/7p/P2qP1n1/B2B2QN/6PP/R1R4K w - h6,a3c5
8/2p2kp1/1n6/p4p1p/2rP1P1P/P5P1/4K3/2R5 w - -,c1c4
3q1rk1/1p2pp2/2bp1bp1/p1r5/4PPpP/1PN5/1PPQN3/1K1R3R w - -,h4h5
8/2R1br2/1B1p1qk1/3Pp2p/4P1p1/6P1/4Q2P/6K1 w - -,c7c8
r5k1/1p1q1pp1/7p/1p1Prb2/pR2n3/P3B1PP/1P3PBK/3Q1R2 w - -,b4d4
4r1k1/1p1b2p1/p1pBpp1p/2Pr1q2/3PRP2/1Q6/PP4PP/4R1K1 b - -,d7c8
6rr/1p2nk2/p2pbp2/P1p1p1pp/2BnP2P/2NP1PB1/1PPK2PR/R7 w - -,a1h1
3r3k/8/3q1b1P/p7/2R1p3/1PN1Bb2/PPK2Q1P/8 b - -,h8h7
r2q1rk1/pp1n1pp1/2p1pn1p/3pPb2/2P5/1P4P1/PB1NPPBP/R2Q1RK1 b - -,f6g4
3r1b1r/pk1q2pp/1pb2pn1/3p4/5PP1/2NQB1N1/PPP4P/1K1R2R1 b - -,f8b4
4r1k1/3bqpbp/p2p1np1/1p6/1P1BPP2/3P3P/P2QN1B1/2r2RK1 w - -,f1c1
5rk1/p1nbqr1p/1p1n1p2/2pPp1p1/2P1P1P1/P1QBNN1P/1P3RK1/5R2 w - -,b2b4
2rq1rk1/pb1pbppp/1pn1pn2/6B1/Q1P5/2N1PN2/PP2BPPP/3R1RK1 b - -,d8c7
4rrk1/p5pp/3qb3/2P1pn2/4Bp1P/1QPP2P1/PB3P2/R4RK1 b - -,d6d8
r1bq1rk1/1p2ppbp/2np2p1/pNn5/2P1P3/2N5/PP1BBPPP/R2Q1RK1 b - -,a5a4:c6a7
8/8/8/4k3/2r1PN2/1p4K1/1Rb5/8 w - -,f4e2
r2qr1k1/pp3ppp/3p1b2/2pP1b2/1nP1n3/N6P/PP2BPP1/R1BQNRK1 w - -,a3c2
r2r4/p4p2/4nk2/2Bq2p1/1P2p3/P1Q5/5PPP/2R2RK1 b - -,f6g6
1r1qr3/1p2pknp/pnp2pp1/2N5/3P4/1Q4P1/PP2PPBP/3R1RK1 b - -,e7e6
2r5/1p6/p2r1k2/P2Pp3/R1BnPpp1/1P6/5PP1/4NK2 w - -,e1d3
8/8/3pP1rk/3P1R2/4r1pP/3R2K1/8/8 w - -,f5f4
2r3k1/1q2pp1p/r2p2p1/1N1Pb3/P3P3/3QP3/R5PP/5RK1 w - -,b5d4
4r1k1/3bq3/2p4p/1p1p1pp1/1P1P1P2/Q1R1P1P1/4BK1P/8 w - g6,e2h5
r2qr1k1/1b2bppp/p1p1pn2/3pP3/5B2/2NB4/PPP1QPPP/3RR1K1 b - -,f6d7
3r2k1/2q2pb1/p3p1p1/1p5p/n7/1bP1NPP1/1P2QBBP/R5K1 w - -,a1a3
1r3r1k/1p1qp1b1/p1p2pp1/2Pp1b1p/3P1P2/1Q2P2P/PP4PB/R2N1RK1 w - -,d1f2
r2q2k1/pp1nrppp/2p5/3p2Bn/3P2b1/2NB2N1/PPPQ1PPP/R5K1 w - -,g5e7
1r1b1qk1/6r1/3Np1Q1/2PpPpp1/3P4/R3P1P1/6K1/R7 w - -,g6e6
r4rk1/pp1qn1bp/1np1b1p1/5p2/3P1NP1/2N1PQ1P/PP4B1/R1BR2K1 w - f6,f4e6
2rq1rk1/pb2ppbp/1p1p1np1/2n5/2P5/1PN1BNP1/P2QPPBP/2RR2K1 b - -,f6e4
4r1k1/4q3/p2n1pp1/1p1P3p/2p1pP2/2P1B2P/PP3QP1/3R3K w - h6,g2g4
1rr2bk1/p1q2pp1/2npbn1p/P1pBp3/Qp2P3/2PPNN1P/1P1B1PP1/R3R1K1 w - -,a4a2
qr2n1k1/6bp/r2pp1p1/1Np1n3/P3P2P/R5P1/1P1NQPK1/2B4R w - -,h4h5
2r2bk1/p4p1p/4p1p1/1p1PP3/b1r5/5N1P/3Q1PP1/1R4K1 b - -,c4c2:e6d5
5rk1/3bbr1p/1qn3p1/3pp3/1P1P2P1/2N1B2P/1R3PK1/1Q1RN3 b - -,e5d4
8/3n4/3pp2p/pP2P3/3K2k1/8/2B5/8 w - -,e5d6
8/1k6/2Q3p1/P1pP2K1/7P/8/8/q7 b - -,b7b8
5r2/p2bqrkp/np1n1pp1/2pPp3/2P1P3/P2BNN1P/1P1Q1RP1/5RK1 w - -,d2c3
1R6/r5p1/5n1p/1p2k3/1B5P/P5P1/5P2/5K2 b - -,f6e4
4r1k1/1p4p1/r7/4P3/2pP1PpP/p7/2n3K1/R2N1R2 w - -,a1a2
r3rk2/1b1n1pbQ/pp1p2p1/5pP1/P1q1P3/1NN4R/1PnB2BP/5RK1 w - -,e4f5
5k2/5p2/1b2p2p/3pP1p1/1r2n3/1N5P/P1R3PB/5K2 w - g6,f1e2
8/1q3nk1/3b4/7Q/8/4B3/4KP2/4N3 w - -,e1f3
8/pr5p/6kP/P1KR2P1/8/8/8/8 w - -,c5c6
1r6/5bkp/1q1p1p2/p1r1pPp1/2P1P3/RP3QP1/6BP/R6K w - -,h2h4
r1bq1rk1/pp1pppbp/2n2np1/8/3NP3/4B1P1/PPP2PBP/RN1Q1RK1 b - -,d7d6
r1bq1rk1/1p1n2pp/p2p4/3Pppb1/2P5/2NB1P2/PP3BPP/R2Q1RK1 b - -,b7b6:g5f4
2r1k2r/p2nbppp/Bp6/4B3/3P1Q2/8/PPP2P1P/R3K2b b Qk -,c8c2
r2qk2r/1b2nppp/p2bpn2/1p1pN3/3P1P2/P1NBP3/1P4PP/R1BQ1RK1 w kq -,c1d2
rn1qk2r/1p2bp2/p2pbBp1/4p2p/2B1P3/2N3NP/PPP2PP1/R2QK2R b KQkq -,e7f6
r3r1k1/pp1qb1p1/2p1n2p/2Pp4/P2P1Bb1/1QN1P3/5PB1/RR4K1 w - -,f4g3
r1bq1rk1/1ppn1ppp/3p1n2/p7/1bPB4/2N2NP1/PP2PPBP/R2Q1RK1 b - -,c7c6
r2r2k1/1b3ppp/1q1pn3/p3pN2/1pP1P3/1P4PP/P2Q1PB1/2R1R1K1 w - -,e1e3
r2r2k1/pp1bppb1/7p/2p1q1p1/P1B1P3/2P1N1P1/1PQ2PP1/3RK2R w K -,e1g1
3qb3/r5rk/2p1p2p/p1RpNpp1/Pn1P1P2/1P2P1PP/4B2K/2RQ4 b - -,e8d7
3r4/p4kB1/Pp1b1P2/1P2pp1p/1PRp3P/3P1K2/8/8 w - -,g7h6
r4k2/p3pp1p/2p3p1/1bP5/3N4/2K1PP2/6PP/R7 w - -,d4b5
r3r1k1/1pp1npp1/3p3p/p1bPp3/8/PP1PPNPq/1B3P1P/2RQ1RK1 w - -,e3e4
3q1rk1/pB1r1pp1/P2b3p/2p5/Q7/2B3P1/1P2nPKP/R4R2 b - -,e2c3
6Q1/p3r3/2Pq1p1k/7p/7p/5BP1/P4PK1/8 w - -,g8f8
q7/3r2k1/1R3pp1/4p3/P5p1/2P1Q1P1/2P2K1P/8 b - -,a8h1
2rr2k1/1q2bp1p/p3p1p1/1pnn3P/8/4PNB1/PPQ2PP1/1BR2RK1 b - -,d5f6
r2q1rkn/pp1b1pp1/2n1p2p/3pP2P/1b1P4/3B1N2/PPN2PP1/R1BQ1K1R b - -,f7f5
5k2/p4p2/1pB3p1/1P2p2p/3b3P/5QP1/Pq3PK1/8 b - -,f7f5
