8/1kp5/p5R1/P2P4/1p6/1P4p1/6r1/2K5 b - -,b7c8
4r1k1/5q1p/1p1p2r1/pPpP2B1/N1P1b2P/4R3/1P2Q2K/6R1 b - -,h7h6
4R3/5pp1/3k4/8/1pr3p1/3p1NP1/1n3PKP/8 w - -,f3d2
3rr3/ppp3k1/1b1p1p2/4pnp1/1P2PnN1/2P2N1P/P2R1PP1/3R2K1 w - -,e4f5
8/8/B3N3/p2k1p2/2p3bb/2P1K3/PP6/8 w - -,e6f4
1k3r2/pp1Q4/2ppP1p1/6p1/5q2/5P1P/PP2B2P/6K1 b - -,g5g4
4rk2/pp3p2/2pRbP2/8/4P1n1/2N2B2/PP3R2/1K6 b - -,g4f2
8/4Q3/8/7k/4p2r/4K3/8/8 w - -,e7f6
2r3k1/1p3ppp/pBb1p3/P3P3/1b2pP2/8/1PP3PP/R2N2K1 b - -,f7f6
5rk1/5p1p/p3p1p1/1prn4/7P/PN1B4/1P3PP1/1R4K1 b - -,c5c7
7k/2pr1np1/5p1p/1p1PrN1P/p3P1P1/P3R3/1P6/4R1K1 b - g3,f7d6
1r6/4k3/5p2/6bp/1p1R3P/3B2P1/2P5/3K4 b - h3,g5h6
8/p5k1/7p/3B1p2/2p2p2/4b2K/q6P/3Q4 w - -,d1h5
4rk2/ppp3b1/3p2n1/3P1N2/2P2P2/5K2/PP1B4/R3r2R b - -,e1a1
8/1p3kP1/2n3pp/2P1pp2/1P5P/2B1KP2/8/8 b - -,f7g7
3Q4/3R1rk1/6p1/1K2P1Pp/7P/1P1P4/3q4/8 w - -,d8f6
3N4/7p/5pp1/4p3/8/2rk4/5PPP/1KB5 w - -,c1e3
R7/3r3p/8/KP2p3/P2r3P/8/4k3/R7 b - -,e5e4
8/8/5pBp/2k1p3/Pn6/2K3P1/1P3P1P/8 w - -,g6f7
5bk1/5p2/bp4p1/p2p3p/P2N3P/1PPq1PP1/5B2/4Q1K1 b - h3,f8h6
r7/3n3p/6p1/4Bk2/1PR2P2/3rp3/P3RK1P/8 w - -,f2f3
5k2/p2n1p2/2p3p1/1p2P3/5K2/P5P1/1P5P/5B2 b - -,d7c5
4r1k1/5q2/p5p1/1p5p/2pBb3/2P3QB/PP6/2K5 b - -,e4f5
r1b3k1/1p4b1/1B1p4/PN1Pp1np/1P2P2q/5Pp1/4Q3/2R2RK1 w - -,c1c8
rnbqk2r/pp2bppp/3ppn2/8/3NP3/2N1B3/PPP2PPP/R2QKB1R w KQkq -,g2g3:f2f4:f1e2:g2g4:f2f3
8/5Kpp/5p2/k4P2/8/4RP1P/6r1/8 w - -,f3f4
4q1k1/7p/4p1p1/1pp2p2/5P2/1PbrPNP1/r1P1Q2P/1R3RK1 b - -,d3d8
r2r2k1/pp3p1p/1qp1b1p1/8/1P2PP2/P5P1/2Q3BP/R2R3K b - -,e6g4
r3rnk1/2q2pb1/2p3pp/1pP1pb2/1P5B/1Q2P3/3NBPPP/2RR2K1 w - b6,c5b6
8/6rk/1bP1p2p/2q2p2/8/5QN1/7P/4R2K w - -,h1g2
2rqr1k1/1b3ppp/2p2n2/pp2b3/4P3/P1NB4/1P1BQPPP/2RR2K1 b - -,d8d6
r1b2rk1/pp1nppbp/3p1np1/q1pP4/2P1P2P/2N1BP2/PP1Q2P1/R3KBNR b KQ h3,h7h5
2kr3r/pp1qppbp/n5p1/2pP4/5PP1/2N2Q2/PPPB2P1/R3K2R w KQ -,e1c1
8/8/1r3k2/6p1/2R3Kp/8/8/8 b - -,b6e6
4q1k1/pb4pp/1p1Qp3/2p1P1b1/2B1P3/1P6/PB4PP/6K1 b - -,g8f7
2rr2k1/3qn1pp/2b2p2/1p6/1Q1Np3/1P2P3/PB3PPP/R1R3K1 b - -,d7b7
5rk1/6pp/p2q1b2/1p1pp3/1r4b1/1NP1Q3/PP1R2PP/5R1K w - -,c3b4
r3k3/ppp2pp1/2n5/8/3PN3/P3PPbb/1P1KB2r/R1B2Q2 b q -,h3f1
3rkbnr/1bq2ppp/p1p1p3/1p6/4PP2/P1N5/1PP1B1PP/R1B1QRK1 b k -,c6c5
2rq1rk1/1b1n1p1p/5np1/p1pp4/8/1PN1PN2/P3BPPP/2RQK2R w K -,e1g1
r7/pbqR1p1k/4pQrP/1p2P1p1/4p3/P1B5/1P3P1P/3R2K1 b - -,c7d7
rnbq1rk1/ppp2ppp/3b4/1N2pn2/8/3P2P1/PPP1QPBP/R1B1K1NR w KQ -,b5d6
r1bqk2r/pp1pbppp/2n1pn2/2p5/3P1B2/2P1PN2/PP3PPP/RN1QKB1R w KQkq -,f1e2:h2h3
6k1/3q1p2/p2p1Rp1/2pPr1P1/2P1PQ2/8/P5K1/8 w - -,g2g3
r1br2k1/1p1nbppp/1qp1pn2/p2p4/2PP4/1PN2NP1/PBQ1PPBP/R3R1K1 b - -,h7h6
1r6/6pp/1N2kpb1/B1Kp4/P2P4/R2n1PPP/8/8 w - -,c5c6
4r2b/pp2k3/2p1pnR1/4P1R1/3r1P2/1B3K2/PP6/8 b - -,f6e4
r1q1rbk1/1p3ppp/1n6/pNpnPP2/P2p4/1P3QPP/2PB2B1/3RR2K w - -,c2c4
r1bq1rk1/1pb2ppp/p1n1pn2/2Pp4/N7/4P3/PPNBBPPP/R2Q1RK1 w - -,b2b4
r4rk1/p1p1qpbp/bnp3p1/3pP3/2P5/1P2Q3/PB1N1PPP/R3KB1R w KQ -,c4d5
2Q2k2/6p1/8/8/1q1b4/7P/6PN/7K b - -,f8f7
2rr1nk1/1b2bppp/pq2p3/1ppnP3/7P/PP1P1NP1/1B1NQPB1/2R1R1K1 w - -,f3g5
r1bq1rk1/1pp2pbp/3p1np1/p2P4/Pn3B2/2N2NP1/1PP2PBP/R2Q1RK1 b - -,c8f5
r2q1rk1/pb3ppp/np1p1n2/2pp4/2P5/P1N1P1P1/1P3PBP/1RBQ1RK1 w - -,c3d5
rnbqkbnr/pppp2pp/8/4pp2/2P5/6P1/PP1PPPBP/RNBQK1NR b KQkq -,g8f6:f8c5
8/8/8/3r1k2/8/8/2RB1r2/2K1R3 w - -,c2b2
r3k2r/pq1pbppp/n3pn2/P5B1/Qp1N4/2P2PP1/1P2P1KP/RN3R2 b kq -,e8g8
k2r3r/pq2b2p/2pp2p1/8/3PQ3/1B1R3P/1PP3P1/2K2R2 b - -,d6d5
r2q1rk1/1bp1bpp1/p1np1n1p/1p2p3/3PP3/2P2N1P/PPB2PP1/RNBQR1K1 b - -,f8e8
b2n1k1r/4bp2/3p4/p1q1pP1p/1p4n1/3B1N1Q/PP1B2PP/2R2R1K b - -,g4f2
8/2r1kp1p/R5p1/1Bb5/P7/4P3/5P1P/6K1 w - -,a6a8
r3k2r/1qbn1ppp/p1b2n2/1p2p3/P1p1P2N/2BPNQP1/1P3PBP/R4RK1 w kq -,a4b5
2r2b1r/p4ppp/5k2/3p4/8/2P2P2/P4P1P/1RB1R1K1 w - -,e1d1
r2nk2r/ppb1qppp/2ppbn2/4p3/1PN1P3/1BPP1N2/P4PPP/R1BQR1K1 w kq -,c4e3
r1b2rnk/1p4q1/p6p/P2PPp1P/2N5/8/2Q1B1P1/R4RK1 b - -,f5f4
8/6k1/3pR3/2p2pPp/2Pb4/3P3K/4Q3/6q1 b - -,d4e5
2b1k2r/r4pbp/p1np2p1/qpp1pP2/4P3/1P1BN1Q1/PBPP2PP/4RRK1 w k -,b2c3
r2q1rk1/ppp2ppp/3p1b2/4n3/7P/2P1BP2/PPPQBP2/2KR3R b - -,f8e8
r2q1rk1/1n1b2pp/1ppp1n2/4pp2/Q1P5/P2PP1P1/3B1PBP/R3K1NR w KQ -,a4c2
r4rk1/pp1b2pp/5n2/3pR3/5N2/3B2P1/PP3P1P/R5K1 b - -,a8e8
r3r1k1/ppp2pp1/1nn1bq1p/2Pp4/3P4/1P1BBN1P/P4PP1/R2Q1RK1 b - -,b6d7
2r3k1/3bppbp/3p2p1/1p1P4/p3P3/4BP2/PPK1B1PP/7R w - -,c2b1
r3r1k1/p3ppbp/6p1/2RN4/8/1P4P1/P3PP1P/3R2K1 b - -,e7e6
8/ppq3kp/4rp2/3p1QpP/3P4/5P2/P5P1/6K1 w - -,f5e6
2r2rk1/6p1/Rpnpp1qp/1Q6/3PPn2/1N2R2P/1P3PP1/4N1K1 w - -,a6a1
r1b1k2r/pp2ppb1/1n1p2n1/q1pP3p/2P1P2B/2N2PN1/PP1Q2P1/R3KB1R b KQkq -,g7e5
8/6p1/3Bp3/rP2P2p/4k3/8/2K4P/8 w - -,b5b6
8/p3Np1k/4qPpb/2p4r/1pP4P/3P2R1/P3rRQ1/6K1 b - -,h6e3
1R5r/3k4/3p1Npb/q6p/2P1r3/6PP/P3Q3/1R1K4 b - -,d7e7
8/7R/2k1nK2/1p6/8/4r3/2B5/8 b - -,e6d4
4n1k1/7p/R2p4/3n1p2/2pPrP2/8/1P1B2PP/5N1K w - -,g2g3
2r5/4r1p1/p1k2p2/2p2n1p/Pp3P1P/1P1P4/1BP1RK2/7R w - -,e2e4
2b2rk1/6pp/1n1q4/1p1p4/1P1Prp2/3NPQ1P/R4PB1/5RK1 w - -,d3f4
2R1r1k1/p1Pq1pp1/5b2/3p4/P2P3p/4B1P1/5P1P/2RQ2K1 b - -,e8c8
2rr2k1/pbq1bpp1/2p1pn1p/1pP1N3/1P1P1Q1P/3B2P1/P4P2/2RRB1K1 b - -,e7f8
r4rk1/pQ3ppp/4b3/3p1nq1/1P6/P2B2B1/5PPP/2R1R1K1 b - b3,f5g3
r3kb1r/pp1bnppp/1qn1p3/2PpP3/8/2P2N2/PP2BPPP/RNBQ1RK1 b kq -,b6c5
2r4r/1p2kpp1/p3p1p1/3pP3/3N4/3B1KP1/PP3P2/4R3 b - -,c8c7
