5kb1/8/3P1p2/2n4R/p4P2/4K3/8/8 b - -,c5b7
rn2k1nr/ppp1qppp/3b4/8/2BP2b1/5N2/PPP3PP/RNBQK2R w KQkq -,d1e2
8/4k3/1p3p1p/p1p2Pp1/P1P1K3/1P6/5P1P/8 w - -,e4d5
1k2r2r/4q2p/pp1pb1p1/2pPn3/P3P3/2N4P/1P1Q2P1/R4RK1 w - -,d5e6
5r1k/6pP/4p3/p2QpnN1/1r6/3p4/PP3P2/1R1R2K1 b - -,e6d5
r2q4/6kp/p1p3P1/1pP1r3/4B2b/1Q6/PR5P/B4R1K w - -,b3f7
r4rk1/p4pbp/4qnp1/npp1R3/8/2P2N1P/PP1N1PP1/1RBQ2K1 b - -,e6a2
r1bq1rk1/p3bppp/2pp1n2/4p3/3pP3/2P2N1P/PP3PP1/RNBQR1K1 w - -,c3d4
8/3r1k2/5pp1/4p2p/2R1N2P/5PK1/6P1/8 b - -,d7e7
r2q1r2/p5bk/n1pP2pp/4np2/P1p2P2/2N1B1P1/1P4BP/R2Q1RK1 b - -,e5d3
1q3rk1/4bpp1/p3n1p1/1p6/1P2QP2/P3P2P/1B2B1P1/3R2K1 b - -,e7h4
r3kb1r/p2p1ppp/2p1p3/7q/2P1Nn2/1PB5/P4PPP/R2QR1K1 w kq -,d1d2
r1bqr1k1/pp3ppp/3b1n2/3p4/3P1N1Q/1B6/PPP3PP/R1B2RK1 b - -,h7h6
2n3rk/ppBq3r/2p1pb2/1P1p1p2/P1P5/1N3QP1/4RPBP/4R1K1 b - -,d7c7
3q1r1k/2p3pp/3p1n2/2P1pp2/1PQ1n3/4PN2/5PPP/B4RK1 w - -,h2h3
rnbq1rk1/p6p/1p1ppnpb/2p2p2/2PP1N2/P1NBPP2/1PQB2PP/R4RK1 w - -,f4e2
r2q1rk1/1bp1bppp/p3p3/1p6/1n1P1P2/2N2N2/PPQ1PPBP/3R1RK1 w - -,c2c1
8/6N1/8/4kp2/4p3/4P3/R4K1P/2r1n3 b - -,e1d3
8/8/4k3/6PR/4p2N/5p2/5K2/6r1 b - -,g1h1
8/8/1r3p2/1p2pk2/P5pP/1R2K1P1/8/8 w - -,a4b5
2r2rk1/pp1bbqpp/1n2p3/3pP3/1n1P4/1P2BNPB/P2QN1KP/5R1R w - -,e2c3
4Q3/8/p2p3K/2k4P/5P2/1pq2P2/8/8 w - -,e8c8
2kr4/1p3p2/p1p5/8/4N3/3P3P/Pb3P2/5K1R w - -,f1e2
2r1k2r/5ppp/p1N1p3/2b5/3RP3/4B3/1P3PPP/3R2K1 b k -,c5d4
r1bqk2r/pp2ppbp/2np1np1/2p5/2B1PP2/2NP1N2/PPP3PP/R1BQK2R w KQkq -,e1g1
r2r2k1/5p1p/p3q1p1/2p5/R7/5Q2/PP3PPP/5RK1 b - -,e6d5
r3r1k1/1p1bpp1p/pn1p1np1/P1pP4/4P3/2P4P/2PNBPPB/R4RK1 b - -,b6c8
1r4k1/5ppp/3P4/p1KNP1P1/5P2/8/1q6/5Q2 w - -,d6d7
r2q1rk1/pp2ppbp/2n3p1/3pPb2/3Pn3/2N2N1P/PPB2PP1/R1BQ1RK1 w - -,f1e1
5nk1/5pp1/2Q4p/4q3/P7/3p1BPP/1P3PK1/8 b - -,d3d2
7R/8/8/8/2PK4/6rp/7k/8 b - -,h2g2
8/1p1k1p2/4p3/1P2P2K/P3R2P/5P2/5r2/8 w - -,h5g4
r1bqk2r/pp2ppbp/2np1np1/8/2P1P3/2N1B2P/PP3PP1/2RQKBNR b Kkq -,c8d7
r1bqk2r/pp1nbppp/2p2n2/3p2B1/3P4/2N2N2/PPQ1PPPP/R3KB1R w KQkq -,e2e3
r2q1rk1/p2bppb1/3p1np1/1p5p/3NP2P/1PN1BP2/PP1Q2P1/2KR3R w - b6,d4b5
4rnk1/2R2q2/Q5p1/8/5B2/6PP/P3PP2/6K1 b - -,f7f5
r4rk1/4b1pp/3p4/2nqp3/pR2N3/2P1QN1P/1P3PP1/R5K1 b - -,c5e4
1r1q4/5pbk/3p1npp/1NpP1b2/Pr3N2/4B2P/1P3PP1/R2Q1RK1 b - -,b4b2
8/2k5/8/KP1n4/P4p2/8/4B3/8 b - -,d5b6
3k4/3n1p1p/2R1p3/BP6/2P5/6KP/5P2/7r b - -,d8e7
r3r1k1/pp1b1qbp/1np1pp2/8/2PP2pN/1PB3P1/P3QPBP/3RR1K1 b - -,f6f5
r1b1kbnr/1p2pppp/1pn5/3p4/2pP1B2/2P1P3/PP1N1PPP/R3KBNR b KQkq -,b6b5
r5k1/bR3ppp/Pnr1p3/8/2p2P2/5K1P/2Q2P2/3R4 b - -,b6d5
5rk1/p1pp2bp/1p1np1p1/6B1/2PP4/PP3q2/4QP1P/3RR1K1 w - -,e2f3
5b2/1pNn4/8/2PP1kpp/3B1p2/3K1P1P/6P1/8 w - -,d3c4
6k1/3K1p2/4r1p1/6Qp/8/7P/6P1/8 w - -,g2g3
r7/4k3/3pb3/2p1p2p/2P1Pp1P/1P3P2/8/2NRK3 w - -,c1e2
2r1rnk1/p1q1bpp1/1pn1p3/2ppP1PQ/5B2/2Pb2P1/PP3PBN/R3R1K1 w - -,h2g4
rn1qkbnr/1b3ppp/p2pp3/1p6/3NP3/2N1B3/PPPQ1PPP/R3KB1R w KQkq -,f2f3
5k2/pbR2ppp/8/3p4/3P4/5P2/PP2r1PP/6K1 w - -,c7b7
r1b2qk1/5p1p/p3P1p1/1pp5/3bP3/8/P3BPPP/1R1Q1R1K b - -,c8e6
6k1/p2b1r2/3Qp2p/6p1/2B1p3/7P/PPP2qP1/3R3K b - -,f2f6
8/7p/p2rR3/1k1r1p2/1Pp4P/2npBPP1/3R1K2/8 w - -,e6e7
r1b1r1k1/2pn1pp1/2p4p/p3p3/2N1P3/2P1RN1P/PP3PP1/R5K1 w - -,a2a4
r2q1rk1/pb1n1pp1/1ppb1n1p/3p4/3P4/P1NBPN1P/1PQB1PP1/R4RK1 b - -,f8e8
rn1q1rk1/pbp1bppp/1p2pn2/3p4/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1 w - d6,c4d5:f3e5:f3d2:b2b3:f3e1
2rq1rk1/p3ppbp/1p4p1/2B5/2Q1P3/8/PP2NPPP/R4RK1 w - -,c4a6
2rqkb1r/1p3ppp/p1npbn2/3Np1B1/4P3/N7/PPP1BPPP/R2QK2R b KQk -,e6d5
1bkr4/pp1q1pp1/2p1p3/B1Pn1r2/2BPQP1p/7P/PP3RP1/5RK1 b - -,b8c7
3q1rk1/1p1bb1pp/p2pp3/8/P2NQP2/2P5/2P3PP/R1B4K b - -,e6e5
r7/pp3pkp/5np1/q7/2b2P2/P1NR4/1P3QPP/5R1K w - -,f2d4
8/5p1k/3Q2p1/7p/7q/7P/6PK/8 b - -,h4f2:h7g7
r4r2/pp3pkp/3qp1n1/3nNp2/3P4/1P3N1P/P2Q1PP1/2R1R1K1 b - -,a8c8
8/p1R2pk1/pn2p2p/3pP1pB/8/4P1P1/Pr3PP1/6K1 b - -,b6c4
3q1r1k/r1p3pb/p1pp1n1p/8/3Pp3/2P2NNP/PP2RPP1/R2Q2K1 w - -,f3d2
R7/P5k1/r7/5P2/8/2K5/8/8 w - -,f5f6
r2q1rk1/1bp1bppp/p1n1p3/2N3P1/P2P3P/1P1RBN2/1P2QP2/2K4R b - -,c6b4
2r3k1/4qp1p/1p3np1/r2p4/Pb1Pn3/2pNP3/2B1QPPP/BR1R2K1 b - -,b4d6
6k1/p5bp/2qp2n1/2p1n3/2N1P3/1NP1B2P/P5Q1/6K1 w - -,c4e5
r2r2k1/pp4bp/1nbB2p1/4p3/2P1N1N1/5P2/1P4PP/R2R2K1 w - -,b2b3
r2qkb1r/pp1bnppp/4p3/3pP3/1P6/3B1N2/P2B1PPP/R2Q1RK1 b kq -,e7g6
4r1k1/5pp1/BN2pn1p/P7/1p6/1P3bP1/2P2P1P/3nR1K1 b - -,d1c3
3R4/4npkp/4p1p1/8/1p2PK2/1r2P3/7P/5B2 b - -,b3c3
Q3r1k1/p4pp1/4q2p/6n1/7P/6P1/PP3R1K/5R2 w - -,a8a7
r1bk3r/3n1ppp/pp2pn2/2b5/8/4P3/PP2BPPP/RNB1NRK1 w - -,e1d3
r3r3/4bpk1/2p1b1p1/ppn1p3/4P1Pp/P1N1BP1P/1PP5/R2R1BK1 b - -,e8b8
r1b1k2r/pp1nppbp/1q1p1np1/3P4/1PP5/P1N2N1P/3B1PP1/1R1QKB1R b Kkq b3,e8g8
2rqnrk1/1b2bppp/pn2p3/1p1pP3/3P4/5NP1/PP3PBP/R1BQRNK1 w - -,h2h4
2q4r/5Q1p/pkp2p2/1p4p1/r1n5/b5P1/4PPBP/R1BR2K1 b - -,h8f8
6r1/8/kP2p1p1/2BpPpQp/b2Pq2P/R7/5PPK/8 b - -,a6b5
r1bq1rk1/pp1p1pbp/2n1p1p1/1B6/4P3/2N1B3/PPPQ1PPP/R4RK1 b - -,d8a5
r5k1/1b2bppp/3pp3/6P1/1pr1P2P/1N2BP2/PKP2R2/3R4 w - -,d1d4
