8/8/1N5k/8/7P/4P1P1/2R1K3/1r6 b - -,b1b6
r4rk1/pp1n3p/1q1P2p1/2p2n2/2pb1P2/2N4P/PP2QBB1/R4RK1 b - -,b6d6
rq6/2nbppbk/3p3p/P1pP1Pp1/1rB1P3/1P2B1N1/R2Q2PP/5RK1 b - -,d7b5
r3k2r/4nppp/p2p1n2/1q1Pp3/b1p1P2N/P1P4P/3B1PP1/RBQ2RK1 b kq -,a8b8
5n2/1p2bkp1/pNp1qp1p/P3p3/4P3/1P2BP1P/2PQ1KP1/8 b - -,e6d6
r1br2k1/1p2qpb1/2ppn1p1/4p2p/1PP1P2P/2N1P1P1/1B2QPB1/1R3RK1 b - -,e6c7
r1b4r/pp2kp2/4p2p/n1P1P1p1/3pN3/P5P1/2P2PP1/R3KB1R w KQ -,e4g5
b2r2k1/5pp1/1p4qp/4P3/2Bp4/1P3P2/4Q1PP/3R2K1 w - -,d1d2
2r1r1k1/p2n1p1p/3q2p1/2p1b3/3p4/BP1Q1NP1/P3RPKP/2R5 b - -,e5g7
8/3R4/5b2/5Pk1/3p4/7K/8/8 w - -,d7d5
6k1/3R4/6P1/1p1Pp2p/4n3/1r6/1P2Kp2/5N2 w - -,d5d6
4r3/1p2kp2/p2p4/3PnR2/6P1/1KP5/PP6/4rB1R b - -,e5g4
r1bqk1nr/1p1pbppp/p1n1p3/8/2PNP3/P1N5/1P3PPP/R1BQKB1R w KQkq -,f1e2
rn1q1rk1/1p3ppp/p3pn2/2b3B1/P3b3/5NP1/1P2PPBP/RN1Q1RK1 w - -,b1d2
rn1qkb1r/pbpp1ppp/1p2pn2/8/2PP4/2N1P3/PP1B1PPP/R2QKBNR b KQkq -,f8b4
8/pp5p/2pp2k1/2PP1p2/5P2/6K1/PP3P2/8 w - -,d5c6
6rr/2p1k2p/2p1bp2/p1N1p1p1/2P1P3/1P3P2/P2R2PP/K2R4 b - -,e6c8
8/5bk1/5p2/p2q4/8/6PQ/1r3P2/1BR3K1 b - -,d5h5
8/4n1k1/1np1N3/pp5P/3P4/P1P1p1B1/6P1/6K1 b - -,g7h6
r6r/p2kn1pq/np2B3/3pP3/b1pP4/P1P5/2P2R1P/1RBQN1K1 b - -,d7e6
r5k1/1p2rp1p/2p2Rp1/2P3PP/3Pp3/3qP2Q/P2b1B2/5RK1 b - -,d3e2
8/p7/6pp/2nk4/4p1PP/P3K3/3N4/8 w - -,g4g5
r1bqkb1r/ppp2ppp/4pn2/8/3N4/2NB4/PPP2PPP/R1BQ1RK1 b kq -,d8d4
r3kb2/1p5r/2p1pp1n/p1Pp1b1p/R2P2pP/1PNBP1B1/1P1K1PP1/R7 b q -,f5d3
8/p4b2/k3pN2/P7/5P1P/4K3/8/8 w - -,h4h5
8/3k1ppp/pK2p3/1p2P1P1/4NP2/P1P3P1/8/3n4 b - -,h7h5
8/3b4/6p1/3Pk3/p1R4P/4KB2/Pr4P1/8 w - -,c4c7
r3k2r/1bpnqp2/p4p1p/1p1p4/7P/1BP2N2/PPQ2PP1/2KR3R w kq -,h1e1
4b3/pp4pk/1b2p3/3pP1P1/6pP/6N1/PP1p2K1/5R2 b - -,e8g6
r1b1r1k1/pp1p1ppp/5n2/2pPb3/1PP5/3B1P2/1PQNN1PP/q1B1K2R w K -,d2b3
r1b2rk1/ppq4p/1bn1pnp1/8/3pNP2/P2B1Q2/1PP1NBPP/R3K2R w KQ -,e1c1
r2q1rk1/pbpp2pp/1pn1p3/8/2PPB3/2P2N2/P4PPP/R2QR1K1 b - -,c6a5
r3r1k1/1bp2ppp/p1n5/1p4B1/4p3/PBN4P/1PP2KP1/R3N3 b - -,c6d4
r2q1rk1/p2nbppp/b3pn2/2pp4/2PP4/5NP1/P1QNPPBP/R1BR2K1 w - -,f3e5
3r1rk1/pp2p1bp/2p3p1/5p1q/2P3n1/1PN5/P1Q1PPB1/R2RB1K1 b - -,g7d4
r4rk1/ppp1R1p1/5p2/6nq/2PP1p2/2PB1P1b/P2NR2P/6QK w - -,e7c7
r4rk1/pp1qppb1/2np2pp/2pN3n/2P5/P2P1NPb/1P1BPP1P/R2QR1KB w - -,a1b1
r3r1k1/1pbqnppn/2p1p1p1/p3B3/P1PP2P1/1P2QB1P/4NPK1/3R1R2 w - -,h3h4
5r1k/1N4pp/p1nR4/4p3/2b5/2N4P/PP3rP1/3R3K b - -,c6d4
rnbq1rk1/pp3ppp/4pn2/2pp4/1bPP4/2NBP3/PP2NPPP/R1BQK2R w KQ d6,c4d5:a2a3:e1g1
2r3k1/8/7p/4b1p1/8/1P2B1P1/2N4P/2R3K1 b - -,e5b2
6k1/5pp1/3qpn2/7p/1pQ2P2/1NP4P/1P4P1/3rR2K w - -,e1d1
4k3/5ppp/p2bp1n1/8/1P3P2/P2KB3/4NP1P/8 b - b3,e8d7
R7/8/8/5p2/5k1p/6r1/7K/8 w - -,a8h8
3rr1k1/p2B1pbp/1pnq2p1/2p1p3/P1PpPP2/2P2NP1/1PQ4P/R1B1R1K1 b - -,d8d7
r7/7k/P1R1N2p/4K3/5P2/6b1/8/8 b - -,h6h5
r1b1kb1r/pp4pp/2nn1p2/2ppP3/5B2/1NP1PP1N/PP4PP/2KR1B1R b kq -,f6e5
2N3k1/5pbp/1B1p2p1/1p6/4n3/1P4P1/P3PP1P/6K1 w - -,a2a4
r4rk1/2q2pb1/p1p1b1pp/1p2p3/1PP1Pn2/3QNN1P/P4PPB/R4RK1 w - -,d3c2
r1bq1rk1/p4pbp/1pn2np1/1Bp1p3/4P3/2P1BP2/PP1NN1PP/R2Q1RK1 b - -,d8c7
3r2k1/p3br1p/B1Qnb3/B2ppp2/2p4P/P2p1PN1/5KP1/1R6 b - -,d8d7
8/p2R2k1/1p4p1/2p4p/2P4P/6P1/2r5/6K1 b - -,g7f6
5rk1/rbp2pp1/pp2p2p/n3P3/3PN3/2PB2Pq/4QP1P/RR4K1 b - -,a5c6
r3kb1r/pp1bpp1p/4qnp1/8/3Q4/2N1B3/PPP1BPPP/2KR3R w kq -,e2b5
3r1r1k/3p2pp/B2P4/p1NQ4/5p2/6P1/P3qP1P/5RK1 b - -,e2g4
8/6p1/3k4/pprrp2p/3pR2P/5N2/PP2RKP1/8 w - -,f3e1
r1b1r1k1/p3n1bp/2p1qpp1/2BpN3/3P4/1PN3P1/P1P1Q2P/2K1RR2 w - -,e5d3
r4rk1/pp4bp/1q1pb1p1/2p3Nn/2PnN3/3B3P/PP1B1PP1/1R1QK2R b K -,d6d5
8/p7/1k6/6p1/PPK4p/3N2P1/4rP2/8 w - -,a4a5
bqrbr1k1/5pp1/pp1pp1n1/4n3/1PPNP2p/P3QP1N/4B1PP/2RR2BK w - -,e3b3
r1b1k2r/ppqn1pbp/2pp1np1/3Pp3/2N1P3/2N1B2P/PPP2PP1/R2QKB1R b KQkq -,e8e7
r7/1R6/P7/5k2/2B5/5p2/1P6/1K6 w - -,b7f7
r2qk2r/1p3ppp/p1npb2n/4p1b1/2P1P3/2N1B3/PPN2PPP/R2QKB1R w KQkq -,e3g5
r3k2r/pp2bpp1/q1n1p2p/3pPn1P/3P1Q2/2B2N2/PP3PP1/RN3RK1 b kq -,g7g6
4rr1k/pR4bp/6p1/3p4/8/2P4P/q1NQ1PP1/5RK1 w - -,f1a1
r4rk1/pp1nb1pp/2ppbn2/4pp1q/2P2P2/1PNPP1PP/PB2N1B1/R2Q1RK1 b - f3,a8e8
1r1nb3/1r2q2k/2p1p1p1/1pPpPp1p/pP1N1P1P/P2BP1P1/2RQ4/2R2K2 b - -,b7c7
1qr3k1/p2n2p1/1B1pn2p/4p3/2P1p3/P4P2/4B1PP/1RR1Q1K1 b - -,d7b6
2bq1r1k/p5bp/3p4/2pB1p2/2P2P2/3P2B1/P3Q2P/4R1K1 b - -,g7f6
2r1k2r/1pbb1ppp/p3p3/3N4/1q6/3B1N2/2Q2PPP/R3R1K1 b k -,c7h2
1nr2k2/2q2ppp/p1p1p3/Qn6/3P4/4P1P1/2R2PBP/R5K1 w - -,a5b4
r1b2rk1/4b2p/p1p2pp1/qp6/4Pp2/P1N1B1Q1/1PP3PP/R3R1K1 w - -,e3f4
1r3rk1/1p4pp/pNp5/2P1Rp2/1P1P2bq/3Q4/P5PP/5RK1 b - -,b8d8
4b2r/p3kp2/4pN1p/npr1P3/3R1PPR/P2B4/2P3P1/4K3 b - -,e8c6
r2qr1k1/1p3ppp/p3b3/2Pp4/1P6/P1R2B2/5PPP/3Q1RK1 w - -,c3d3
r1b1kb1r/p4pp1/2p1p1np/2p5/3qPP2/7N/PPP3PP/RNBQ1RK1 w kq -,h3f2
r1b1r1k1/ppq3bp/1n1p2p1/2pP4/2P1Pp2/1P6/PB1N1PBP/R2Q1RK1 w - -,b2g7
r7/1R2kp2/4p3/8/4N3/b7/P1P1K3/8 b - -,e7f8
rnbqk2r/p1p2ppp/1p2p3/3pPn2/3P2Q1/P1P5/2P2PPP/R1B1KBNR w KQkq -,f1d3
r1bqk2r/pppnbppp/3p1n2/3Pp3/2P1P3/2N2N2/PP3PPP/R1BQKB1R b KQkq -,e8g8
4Q3/6bk/2p2rpp/pqB1pp2/8/1P4PP/P3PPK1/3R4 w - -,d1d8
rn1qkb1r/pp3p2/2p1p1pn/3pP3/3P1P1p/2NBBQ1P/PPP3P1/R3K2R w KQkq -,e1g1
r2qkb1r/pp3ppp/2p1pn2/8/PnBPP1b1/2N1BN2/1P3PPP/R2QK2R w KQkq -,e1g1
2rqkb1r/pp1n1p2/n3p1pp/1N1pP3/P2P1P2/1P1Q4/2N3PP/R1B2RK1 b k -,a6b4
