8/pp6/3q4/1k1r1p2/1PR5/2QP4/4K3/8 b - -,f5f4
6k1/1b3pbp/p5p1/8/8/4p1P1/1PQ2PP1/3NqBK1 w - -,d1e3
3q1rk1/3b1pp1/pp1p1n2/2pPr3/P1P1P1Pp/1PN4P/3Q2B1/3R1R1K w - -,d2f2
3rr3/pp1n1pkp/2pbpnp1/8/3P4/2PN1B2/PP3PPP/R1BR2K1 w - -,g2g3
6k1/p5pp/4p3/8/p6Q/2p5/8/1q3K2 w - -,f1e2
6k1/1pq4p/2pp2p1/p1n2b2/1PPQ4/P5P1/5PBP/4N1K1 b - -,a5b4
7r/3q1kp1/p2b1p2/3p3r/P7/3Q1PB1/1P3P1P/R2R2K1 w - -,d1d2
1k6/1pp3R1/1p1q1p2/3p4/1P1P3r/P7/1KPQ1P2/8 w - -,d2e2
4k3/1R5p/4N3/3pP3/6r1/8/8/6K1 w - -,g1f2
rn1qkb1r/p4ppp/bp2pn2/3p4/3P1B2/1QN2NP1/PP2PP1P/R3KB1R b KQkq -,b8d7:a6c4
2rq1rk1/pb1nbpp1/1p2pn1p/3p4/2PP4/1PNB1N2/PB2QPPP/2R1R1K1 b - -,f8e8
2rrb1k1/1pq2ppp/4p3/1PbpPn2/5P2/2N2B2/R1P1Q1PP/4BR1K b - -,c5b4
r3k2r/pp3ppp/q3pb2/3n4/2NP2Q1/BP6/P4PPP/R4RK1 b kq -,a8d8
Bn3r1k/2q2p1p/4pP2/1pp5/2p5/4P1P1/1P3P1P/3Q1RK1 b - -,b8d7
r1bqk2r/ppp2pp1/2n1pn1p/3p4/QbPP3B/2N5/PP2PPPP/R3KBNR w KQkq -,c4d5
r7/q6k/p2p3p/1p1Pp3/4P3/PPP2K2/3p4/6RQ b - -,d2d1q
r2qk2r/1b1nbppp/p3pn2/1pp5/3P4/1P1BPN2/PB1N1PPP/R2Q1RK1 w kq -,a1c1
8/4p3/3p1p2/3k4/Pp1P2p1/r5P1/PR2KP2/8 b - -,a3a4
2r2rk1/1bqnb1pp/1p4n1/p1p1pp2/P1P5/3PPN1P/1BQN1PP1/R3RBK1 b - -,d7b8
r3k2r/1pq1ppbp/pnp3p1/3P3n/4PP2/2N1B2P/PPQ2P2/3RKB1R w Kkq -,c2b3
b3r1k1/4r1bp/3q2p1/2p2p2/2QnNP2/P5P1/6BP/1RB1R1K1 b - -,g8h8
r1bq1rk1/pp1nbpp1/2p2n1p/3p4/3P1B2/2NBPN2/PPQ2PPP/R3K2R b KQ -,d7b6:f8e8
2r3k1/5p2/1r2pb1p/1p2np2/p7/1PP3P1/P2RNPBP/3R2K1 w - -,h2h3
2r5/pb3pkp/1p2p3/n3P3/3N2q1/6P1/PQ3PBP/5RK1 w - -,g2b7
8/p3R1pk/7P/3r2p1/r5K1/8/8/4B3 w - -,g4h5
8/5p2/3p1k1p/1pbPp2P/4P3/2P5/3N1P2/5K2 w - -,d2f3
3r1rk1/pp3pp1/3qbn1p/2p5/2PN1P2/1Q1P2P1/PP2B2P/R1B2RK1 b - -,d6d4
r2qr1k1/ppp1bpp1/1n3np1/3p2B1/3P4/1QP2N1P/PP1N1PP1/R3R1K1 w - -,e1e2
r5k1/pp3pp1/2p5/3p4/PPnB4/4PPPr/Q4KPq/2R1R3 w - -,e1g1
r1q2rk1/1p2bppp/2npbn2/p3p3/P3P3/1NN1BP2/1PP3PP/2KRQB1R w - -,g2g4
2b5/5k1Q/p1Pbr1p1/8/1p1B4/1P4P1/P3p3/4K3 b - -,f7e8
5k2/pp3pp1/2rn3p/3p4/3P4/PP1R1P1P/4K1P1/4N3 b - -,f8e7
r4rk1/p1qn1bpp/2p2p2/1pn1pP2/4P1P1/4N2P/PPPN1QB1/R4RK1 b - -,c5a4
1n6/RP2kpp1/2r5/3K3p/8/7P/6P1/8 w - -,a7a8
r4rk1/2qnbppp/p1n1p3/1pp1P3/2PpQ3/1B1P1N1P/PP3PP1/R1B1R1K1 w - b6,h3h4
2kr2r1/ppqb1p1p/2n4Q/3pPp2/3P4/P4N2/2P2PPP/R1B2RK1 w - -,c1g5
6n1/1b2p1k1/pp1p2pp/2pP4/4P3/3K4/Pr6/RR6 b - -,b2b1
8/8/PK1k4/8/8/8/r7/8 b - -,a2b2
6k1/p4p2/1b2p1pp/8/1R2n3/5N1P/P3K1P1/2r5 w - -,b4e4
r5k1/pp3pp1/5q1p/8/2Q2B2/2n3P1/P4P1P/2R3K1 b - -,c3a2
4b3/pr4qk/2p1p3/2PpPrpp/R4p2/3N1P2/PP1Q2PP/4R2K b - -,h5h4
6k1/1p2r1pp/p1n2p2/8/8/1PB5/P1PK2PP/5R2 b - -,g8f7
r4b2/5p2/2p2pk1/2P4P/1P2R3/3K1N2/5P2/8 b - -,g6h5
2r5/5p2/2q2k2/5P1p/p2p4/Pn1Q2PK/1P2P2P/5R2 b - -,c8e8
8/8/r4k2/4R3/5PP1/5K2/8/8 b - -,a6a3
5b1R/5kp1/2p2p2/p1pq4/P2p2Q1/6P1/7K/8 w - -,g4c8
rn2kbnr/pp3ppp/1qp1p3/4Pb2/2pP4/4B3/PP3PPP/RNQ1KBNR w KQkq -,b1d2
r3k2r/1bqp4/p3p1pp/2NnPp2/P7/2PB4/5PPP/R1BQR1K1 b kq -,c7c5
6k1/5p2/7p/P1BnbPp1/3p2P1/3B3P/P7/7K b - -,d5f4
8/1p6/2b3k1/2P5/p7/2K5/8/5R2 w - -,c3d4
2r1kb1r/1p3ppp/pqn1p3/3pPn2/1P1P4/P2QBN2/3N1PPP/2R2RK1 w k -,d2b3
r3qrk1/1pp3b1/3p1npp/3Ppp2/bPP1P2B/5P2/3NB1PP/1RQ2RK1 b - -,a4d7
8/3r3p/7R/3nk3/P1B2p2/4p3/6P1/5K2 b - -,d5c3
r2qk2r/pp1n1ppp/2pb1n2/5b2/2BP4/8/PPP1N1PP/R1BQ1RK1 w kq -,f1f5
r2qr1k1/1b3p1p/1p3np1/p1bpn3/2B5/PPN1PN2/1BQ2PPP/R2R2K1 w - -,f3e5
2r2k2/3R1pbp/prP3p1/5p2/5N2/4P1P1/5P1P/2R3K1 w - -,f4d5
4r3/8/8/6p1/6k1/5p2/R7/6K1 w - -,g1f1
r3k2r/p3n1p1/1ppq4/3p2Pp/3P2nP/1RNQ2N1/PPP5/R3K3 b Qkq -,e8g8
r2q1rk1/pb2ppbp/1pn1n1p1/2p5/P2pP2B/2PPNN2/1P3PPP/R2QRBK1 w - -,e3d5
8/p4pp1/4k3/2prb2p/PpN1R3/3PP1P1/1P2K2P/8 w - -,d3d4
r1bqr1k1/pp1nBpp1/2p4p/3p4/3Pn3/2NBP3/PPQ1NPPP/R4RK1 b - -,d8e7
r1bq1rk1/1pp1bppp/1nn5/4p3/2Pp4/PN1P2P1/2NBPPBP/1R1Q1RK1 b - -,c8g4
r2q1rk1/pp1nnbp1/5b1p/3p1B2/2pP4/2N1PNB1/PPQ2P2/1K1R3R w - -,d1g1
r3k2r/ppp1nppp/2qp1b2/7P/5P2/2P1B2B/PPPQ1P2/1K1R3R b kq -,a7a5
r2r2k1/1p2bppp/8/3b2P1/5B1P/pP5R/P1P5/1K1R1B2 b - -,d5e4
2r5/3q2k1/QRp1pp1p/2PpP1p1/3P4/4P2P/6P1/6K1 w - -,b6b7
8/5pk1/1R4pp/1pr5/p5PP/P4PK1/1P6/8 w - -,g3f4
3rrnk1/7p/pp2p1p1/8/2Pq4/1P3R2/P3Q1PP/1B3R1K b - -,d4g7
r2q1rk1/p1p3bp/3pb1p1/2p2p2/2PnPP2/1PN3P1/P2B2BP/3QRRK1 w - f6,c3d5
2k1r2r/2pp1qpp/1p6/p2P4/5P2/P2B1Q2/1P1N2P1/2K4R b - -,f7f6
R7/8/8/Pbk3p1/3p4/8/3K4/8 w - -,a5a6
8/1bk2p1p/6q1/3p4/2nP2B1/4p1rP/2P3P1/RR2Q2K b - -,g6d6
2r1r1k1/5pbp/p1p2np1/Pp2N3/3PP2B/5P2/b3B1PP/1RR3K1 w - -,b1b2
rnbq1rk1/p3bppp/1p2pn2/2pp4/2PP4/1P1BPN2/P2N1PPP/R1BQ1RK1 w - -,c1b2
r3nr1k/3q1ppp/3p3P/3Pp1P1/5P2/1N6/1PPQ4/1K1R3R b - -,g7g6
rnbqkb1r/4pppp/p2p1n2/1pp5/4P3/2PB1N1P/PP1P1PP1/RNBQ1RK1 b kq -,c8b7
2kr3r/p1n4p/3p2p1/1pn5/3Q4/2P1BP2/q1bRN1PP/4KB1R w K -,d4g4
r4rk1/ppqn1ppp/8/2pp1n2/3P4/P1P1PP2/4N1PP/R1BQ1RK1 w - -,e3e4
Q1b2r1k/3p3q/p2Np1R1/1p2P2P/8/5p2/PPP2p2/2K2R2 b - -,h7h5
r1bq1rk1/1pp4p/4p2b/p2pPp2/P3n1p1/1NP3P1/1P2PPBP/R2QNRK1 b - -,c7c5
8/1R6/5k2/r6p/6pP/3N4/4K3/8 b - -,a5a2
1r3rk1/3n1ppp/p1bqp3/1p4P1/4P2P/P3BP2/1PP5/1K1R1B1R w - -,d1d6
rn1q1rk1/p2nbppp/1p2p3/2ppP3/3P1P2/2NPBN2/PP4PP/R2Q1RK1 w - -,a1c1
5rrk/4q2p/3pb3/p3p2Q/1pP1BN2/1P6/P4P1P/3R1R1K b - -,f8f4
8/6k1/p3p3/3p1b2/4nR2/1r6/R5BK/2r3N1 b - -,b3b8
5rk1/1R3ppp/p4nn1/8/N3P1q1/1Q3NP1/PP4r1/R5K1 w - -,g1g2
