8/ppr3k1/7p/3R2r1/1P6/P7/1KP4R/8 w - -,d5d6
8/4qp1k/3RP1p1/4Q2p/6nP/6P1/5P2/6K1 w - -,e5d4
6k1/5pp1/p5n1/1p2N1P1/1P2r3/2PQ2RP/7K/1q6 b - -,b1b2
rn3rk1/1bq2pbp/1p2pnp1/pP6/P1NP4/2N5/1B2BPPP/2RQ1RK1 b - -,f8d8
4r1k1/p3p1b1/3p1nP1/q4R2/2r1P2P/2N1B3/PPPQ4/2KR4 b - -,a5a6
r2qr1k1/1p3p1p/p2p2pB/P1pPb2n/R3P3/5B1P/1P1Q1PP1/5RK1 b - -,d8f6
8/8/2p1Rp1k/3n1P2/3P2K1/N1p5/8/r7 w - -,a3c2
6k1/5p2/4p1p1/n1b1P1P1/P1ppBP2/8/5BK1/8 b - -,g8f8
2rq1rk1/pb1n1ppp/1p1b1n2/2pp4/3P4/1P1BPN2/PB2NPPP/2RQ1RK1 b - -,f6e4
r7/3nkpbp/1pp3p1/8/2pP4/P1P1PKP1/1P3P1P/3RR3 w - -,f3e2
2b2rk1/5pbp/p2p1np1/5P2/2PqP3/P2BN3/4Q2P/2B2R1K b - -,c8b7
1r1rq3/pp2ppk1/1np2np1/7p/1P1PP1b1/PN1N2P1/1Q3P1P/2RR2KB w - -,f2f3
4r3/1b3p1k/p5p1/7n/PpPp1q2/1P1Q3P/2BN1PP1/3R2K1 w - -,d2f3
r3rbk1/p5p1/5p2/N3P3/1p1R1P1p/2n4P/PR4P1/5KB1 w - -,e5f6
r4rkq/2p2p1p/pbnp2pQ/1p2pN2/4P3/2PP2P1/PP3PK1/R1B2R2 w - -,h6g5
3rr1k1/1pqn1p1p/2pb2p1/p2p3n/1P1P1P2/P1NQP3/3N1BPP/1R3RK1 b - -,d7f6
r2qrbk1/1b1n1p1p/p1pp1np1/1p6/P2PP3/1P1B1N1P/1B1N1PP1/R2QR1K1 b - -,d6d5
rnbq1rk1/2p1ppbp/p2p1np1/1p2P3/3P4/2NBBN1P/PPP2PP1/R2QK2R b KQ -,d6e5
r1bqk2r/ppp1bppp/3p1n2/8/2BQP3/2N1B3/PPP2PPP/R3K2R b KQkq -,e8g8
r4rk1/2pp3p/bnp2qp1/p7/1bP1QP2/1PNB4/P1KB2PP/3R3R b - -,a8e8
3k4/7p/3Q2p1/P1p5/q4P2/7P/6PK/8 b - -,d8e8
r1b1k2r/1pq1bp1p/p1p1nnpB/4p3/1PP1P3/2N2N2/P3BPPP/1R1Q1RK1 w kq -,c4c5
rn2k2r/pp2ppbp/2pp1np1/q7/2PP2PP/1QN1BP2/PP3P2/R3KB1R b KQkq -,e8g8
2r5/3p4/1p2p1kp/1n2Ppp1/1p1P4/6P1/2NK1P1P/R7 w - -,c2b4
r1bqk2r/pp2pp1p/2np1bp1/3N4/2B1P3/1N6/PPP2PPP/R2QK2R w KQkq -,d5f6
1r3rk1/p3b1pp/3Np3/2p1Pp2/q4B1P/1nPP2P1/2Q2PB1/5RK1 b - -,a4d7
6k1/2p2pp1/2q1b3/p5P1/3Q4/2P5/5R1K/8 b - -,e6d5
8/8/8/7P/6P1/1k3q1K/2p5/2Q5 w - -,h3h4
r3k2r/ppp1bppp/2np1n2/8/6b1/2NP1N1P/PPP1BPP1/R1B1K2R b KQkq -,g4d7
2r2rk1/1pqbbpp1/4p2p/3pP2P/3N1P2/P1nBB3/2P3P1/R3QRK1 w - -,g1h1
3r4/4b2k/4q1pp/4B2P/3P2P1/2PB1QK1/pP6/R7 w - -,d3g6
r1bq1rk1/1ppnppbp/3p2p1/p7/3PP3/1PNQ1N2/PBP2PPP/R3R1K1 w - -,a1d1
8/1pp1rk2/3npr1p/p1Np2p1/P2P4/1PP1RPP1/4R1KP/8 w - -,c5d3
6k1/7p/2p1pRpB/pPb1P3/8/7P/2r3PK/8 b - -,c6b5
r1bqk1nr/1p3pbp/2np2p1/p1p1p3/2P5/P1N1P1P1/1P1P1PBP/1RBQK1NR w Kkq e6,d2d3:g1e2
2r3k1/3q2pp/p4rn1/n1ppNp2/P4P2/B1PP4/6PP/1R1Q1R1K b - -,g6e5
5r2/2nqb1k1/3p2p1/p1pPp1p1/PpP1P1P1/4Q2P/P2N4/2KB1R2 w - -,f1f8
r1bqk2r/p3bppp/2p1p1n1/2pp4/4P3/3PBN2/PPP1QPPP/RN3RK1 w kq -,c2c4
r3r1k1/1pp2pp1/2nq3p/p1b1p3/2PpP1b1/P2P1N2/1PB2P1N/R1BQR1K1 b - -,g4h5
8/4pk1p/b1rp2p1/p1r2p2/8/1P1NPP1P/P2R1KP1/3R4 b - -,c5c2
5rk1/pBp2pb1/1p4p1/q5N1/3r1n1P/4B3/P1Q2P2/R4KR1 b - -,a5b5
4r1k1/Rbq3p1/2p1pn1b/2Pp4/1p1Pp1BP/1P2Pr2/1B1Q1PNP/R5K1 w - -,g4f3
8/p1p1k2p/1p6/2p5/4bPNP/8/PPPK4/8 w - -,c2c3
r2q1rk1/n3npbp/1p2p1pB/pPp5/3p4/PP1P1NP1/4PPBP/1RQ2RK1 w - -,a3a4
rnbqk2r/ppp2ppp/5n2/3p4/1bPP4/P1N5/1P3PPP/R1BQKBNR b KQkq -,b4c3
r1br2k1/5ppp/p1p1pb2/4P3/5P2/Q1N1q3/PPP3PP/1K1R1B1R b - -,d8d1
2r2rk1/1b2qp1p/1p1p1npb/p1n5/1PP1Pp2/P1N1BB2/3N2PP/1QRR2K1 w - -,e3f2
6k1/5pbp/p5p1/1p1bp3/3nN1P1/1P2KP1B/P6P/2B5 b - -,f7f5
r4rk1/1p2b1pp/2p2n2/p1qp4/P7/2NQ3P/1PPB1PP1/R3R1K1 w - -,e1e2
8/1p3k2/p2p1rRp/2bPpp1N/P1P5/1P3P2/7P/6RK b - -,f6g6
8/pp3pkp/4pnp1/8/5N2/2q3P1/P4P1P/3Q2K1 b - -,b7b5
1r3r2/Rpp1q1bk/3p2pp/1P1Ppp2/6n1/1Q1P1NPb/1B2PP1P/R5KB w - -,a1a4
2Q4k/r1p1bpq1/pp3n2/3p4/3P3P/8/PP2PPB1/2RR2K1 b - -,f6g8
5rk1/1b2q2p/pp1pp1pQ/6N1/2P1P3/1P6/Pb4PP/3NR2K w - -,d1b2
r4rk1/pp4pp/2n1p3/2BpP2b/6q1/3BQ3/PPN3PP/R6K b - -,f8f7
3r4/2pn2k1/2p1bpp1/p1q5/2P1P3/2Q2P2/PN3RPP/5BK1 w - -,b2d1
r2q1rk1/pp3ppp/n1p2n2/2b1pb2/QPPp4/P3P1P1/3P1PBP/R1BNK1NR w KQ -,g1f3
8/6k1/2p3p1/3p1p2/1q1P3P/2pQP1P1/rrR1K3/2R5 b - -,b4b3
5k2/p4p2/2N1pn2/8/P7/6P1/1r3PK1/5B2 b - a3,f6g4
r4rk1/pp1bppbp/2np1np1/q7/3NP3/1BN1BP2/PPP3PP/R2Q1RK1 w - -,d1d2
5r2/rq4k1/p3Bppn/4p3/1PQpP2N/3P3P/6PK/2R5 b - -,f8b8
r4rk1/pb1qbppp/1pn1p3/2p5/4N2P/3P2P1/PPP2PB1/R1BQR1K1 w - -,a2a4
1r1r2k1/1b2bppp/p3p3/2p3P1/1p2PP2/6NB/PPP4P/1K1R3R b - -,e7d6
r1br2k1/ppq1ppbp/2n3p1/2p5/3PP3/1BP1B3/P1Q1NPPP/R4RK1 b - -,c6a5
r3qrbk/pp2n1b1/3p1np1/3P1p1p/PPB1p3/1QN1P3/1B1N1PPP/R2R2K1 b - a3,h5h4
1kqr3r/pp3p2/2p1p2p/1n4p1/1P1P4/1QP2NP1/P4PP1/1R2R1K1 w - -,a2a4
r1b2rk1/ppp1nppp/3p3q/5P2/4P3/1RBB2P1/P1P4P/3Q1RK1 b - -,e7c6
r1r3k1/1p1nppbp/3pb1p1/q7/2P1P3/1PN1BP2/2RQB1PP/5RK1 w - -,f1b1
r4rk1/2qpb1pp/p3ppn1/2p1P3/2b2P2/1P2Q3/PBP3PP/3RNRK1 w - -,b3c4
1r3k1r/2p2p1p/1q4p1/1p6/3PR3/2P5/5PPP/R2Q2K1 b - -,f8g7
4rbk1/5p1p/3p1Rp1/2r1n1P1/4P2P/1qB5/1P2Q1B1/5RK1 b - -,c5c7
2r3k1/4Rbpp/ppP5/1B1p4/8/6r1/PPP3P1/2K2R2 b - -,a6b5
r3r1k1/pbq2ppp/1p3n2/2nPp3/P1p1P3/2P2N2/1BB1QPPP/R4RK1 b - -,b7a6
8/8/2p5/2Pp2Pk/4bK2/8/7P/2R5 w - -,c1e1
r6k/1p1b1p1p/p1p5/4rPR1/3pP3/3P3P/PPP5/1K4R1 w - -,h3h4
r7/2b2pp1/2Pk3p/1R2pP2/3pB1P1/3P3P/5P2/6K1 b - -,a8a5
rnbqkb1r/pp3p2/2p5/1B1pp3/8/1P2P3/PBPP2PN/RN1QK2R b KQkq -,c6b5
r3k2r/pp1b1p2/4p2p/3qPnp1/2P5/P2B2B1/3Q1PPP/R4RK1 b kq c3,d5d4
2r3k1/6pp/4bP2/1p2b3/1B2B2P/pPP5/P1K5/6R1 b - -,e5f6
6k1/4r1p1/4q2p/2b5/1pP4P/n4PP1/R1PQ2KN/4B3 w - -,e1f2
8/1p6/Pn2k3/3b4/3PpK2/2N5/5B2/8 b - -,b7a6
5bk1/1b1r1p1p/pp1p1qP1/n2B2N1/5B2/5QP1/PP2PP2/2R3K1 b - -,h7g6
r1bq1rk1/pppnbppp/4pn2/3p4/2PP1B2/2N1PN2/PPQ2PPP/R3KB1R b KQ -,c7c5:a7a6
4rbk1/1b3pp1/pq3n1p/1p1p4/1P1NP3/PB3P2/1B4PP/2Q1RK2 w - -,e4e5
r1bq1rk1/1pp1n1bp/p1np2p1/5P2/B2N4/2P1B3/PP1N1PPP/R2Q1RK1 b - -,c6d4
