8/8/p5p1/P7/4K3/8/3Q2kp/8 b - -,g2g1
r1bq1rk1/pppn2bp/3p2pn/8/2NpP3/1P3NPP/PBP1Q1B1/3R1RK1 b - -,h6f7
8/5qbk/3Bb1pp/2P2p2/p4N2/6P1/1r3PBP/n3RR1K w - -,f4e6
rn1q1rk1/p2nppbp/b1p3p1/1p2N3/3P4/PBN4P/1PP2PP1/R1BQK2R w KQ -,e5g4
2rq1kr1/1p3p2/1p6/pP2Q3/PbN1B1b1/3PPP2/8/1R4K1 w - -,f3g4
r2qr1k1/pp2ppbp/2n2np1/2pp4/P4Pb1/2NPPNQ1/1PP1B1PP/R1B2RK1 b - -,g4f3
7r/8/pk1p1p2/4bB1p/1Pp1P2P/8/Pq6/3K1QR1 b - -,b2b1
5rk1/1pbq1pp1/p1n1rn1p/2P1p3/1PNpN3/P2P1QP1/1B3PKP/R3R3 b - -,f6e8
8/5r2/1kpR2p1/1pN4p/pP5n/P7/8/1K6 w - -,d6d8
r1b3k1/pp1q1pbp/2np1pp1/1BPN4/1P1Nr3/8/P2Q1PPP/2RR2K1 b - -,f6f5
r4k1r/pp3p2/2pb3p/3p1Bq1/3P2P1/2N1Pn2/PPQ1KP1P/R6R b - -,f3h4
r3k2r/pp3pp1/2n1pn1p/2b4P/8/1P2BNN1/1PP2PP1/2KRR3 b kq -,c5e3
r1r3k1/3nbppp/p1qp1n2/3NpP2/Pp2P1P1/4BQ2/1PPN3P/R4R1K b - -,f6d5
8/p5k1/RbR1p1p1/1p1nP2p/4Nrp1/1P6/5P2/6K1 w - -,c6b6
rnbq1rk1/p1p1ppbp/1p4pn/3pP3/3P1P2/2N2N2/PPP1B1PP/R1BQK2R b KQ -,c8g4
r1bq1rk1/pp1pppbp/2n2np1/8/4P3/6P1/PPP1NPBP/RNBQ1RK1 b - -,d7d6
rn3rk1/pp1nqppp/4p1b1/2ppP3/3P1P2/2N5/PPPQN1PP/2KR1B1R b - -,b8c6
r4rk1/1p1nbppp/1q1p4/p2Pp3/P1B5/1P3Q2/1B3PPP/2R1R1K1 w - -,g1h1
r2k1b1r/ppnb1ppp/q1p2n2/3pQP2/7N/3PB1P1/PP2P1BP/RN2K2R w KQ -,e5f4
8/6p1/8/4n3/5P2/1p6/kN6/2K5 b - f3,e5g6
r1bqkb1r/5pp1/p1pppn2/4P3/7p/2N3B1/PPP1BPPP/R2QK2R w KQkq -,g3f4
r2qkb1r/pppn1ppp/4pn2/3p4/3P1B2/2PbPN2/PP3PPP/RN1QK2R w KQkq -,d1d3
1R6/8/8/2k5/1p2p1N1/5r2/P1P5/2K5 b - -,f3a3
1R6/8/8/5p2/4pk2/8/4KP1r/8 w - -,b8e8
8/3k1p1p/4p1p1/1p1r4/8/4PP1P/1PR1K3/8 b - -,d5h5
2n2k2/7p/B1P1p3/2p3p1/8/2P3P1/6KP/8 b - -,c8d6
2r1k2r/2q2p2/p2pp2p/1pp1n3/4b3/1P1P1pP1/P1PQ1P1P/2R1RBK1 w k -,e1e4
6k1/1pb1qpp1/2p2Bp1/8/2P1p3/1P2P1PP/5PB1/3Q2K1 b - -,g7f6
r7/p1R3k1/6pp/1N3p2/8/6PP/r4P2/6K1 b - -,g7g8
r4rk1/ppq1ppbp/3p1np1/3P4/3B4/1B3P2/PPPQ2PP/R3K2R b KQ -,a7a5
rn2k2r/pp3ppp/4p1b1/3pN3/1b1P2PP/4BP2/PPP5/2KR1B1R b kq h3,f7f6
4k3/Bp5p/4p2b/3pP3/r7/2P5/PP5P/5R1K w - -,a7c5
rnbqk2r/ppp1ppbp/6p1/8/3PP3/2n2N2/PP3PPP/R1BQKB1R w KQkq -,b2c3
3rr1k1/bp3pp1/p1nq3p/3p4/1P4b1/P3PNP1/1B1RBP1P/3QR1K1 w - -,f3d4
r6r/3k1ppp/p1pb4/3n4/2N5/4BK1P/PP3PP1/R6R w - -,h1d1
r4rk1/1pq1bppp/2p2n2/4pN2/nP2P3/5BP1/2P2P1P/R1B1QRK1 b - -,c6c5
r1b2r2/2q1kpp1/1ppNp2p/p1n1P3/7N/6B1/PP2Q1PP/1B3RK1 w - -,e2h5
3r1rk1/pb1R2pp/1p6/2p2pq1/B1P1p3/P1Q1P3/1P3PPP/K5R1 b - -,d8d7
r1b1k2r/pp1n1ppp/2p5/3np3/4N3/qP2PN2/P1QPBPPP/R3K2R w KQkq -,e1g1
8/5R2/1p5K/2p1k1P1/8/7P/2b1B3/6r1 w - -,e2g4
2Rn1kr1/Q3b3/1p2P1p1/3p1pPp/1q1N1B1P/8/PP6/1K6 w - -,c8d8
r2q1rk1/pbpnbppp/4pn2/3p4/2P5/3P1NP1/PB1NPPBP/R2Q1RK1 b - -,a7a5
r2r2k1/ppqb1pbp/2p2np1/2P1p3/1P2Pn2/2N2N2/PBQ1BPPP/R2R2K1 w - -,e2c4
rnbqr3/ppp1bkpp/5n2/3p4/3N4/2N3P1/PPP2PBP/R1BQK2R w KQ -,e1g1
3q1k1r/5pp1/b1r1p2p/p2pP2P/6R1/3PbN2/1P3PP1/R2Q1K2 w - -,f2e3
2n1q1k1/2Q4p/1p1p2p1/3P1p2/r4P2/7P/2R2BPK/8 b - -,c8e7
8/6N1/5k1P/6r1/4K3/8/8/8 w - -,g7e8
6r1/1N1R1pkp/p4bn1/4p1p1/8/1P2B1PP/P1rRPP2/6K1 b - -,c2c6
2r4r/1p2kppp/p2bpnb1/4N3/1n1P2P1/1BN1B2P/PP3P2/2RR2K1 b - -,h8d8
r7/1p2rk2/p4bp1/5p1p/P3n3/1NP1B2R/1P4PP/3R2K1 b - -,e4g5
6k1/2q2pp1/4pn1p/pp1r4/3N4/PQP4P/1P3PP1/2R2K2 w - -,d4f3
2kr3r/ppqnbpp1/4p1b1/2ppP3/3P3p/1P2P3/PBP1B1PP/R2QKN1R w KQ -,e2g4
r1bqkb1r/1p1n2pp/p3p3/3p1p2/3Pn3/1PN2NP1/PB2PPBP/R2Q1RK1 b kq -,f8d6
r7/3Qpkb1/1R2p1pp/p3p3/4P3/P1P1B2P/q4PPK/8 w - -,b6c6
8/8/p1p3pk/4np1p/P1P1p2P/1R2P1P1/3r1P2/5BK1 b - -,d2a2
3bbrk1/2q5/1Np2pp1/2PpN1p1/3P4/4R1PP/4QPK1/8 w - -,e5c4
rn1q1rk1/1b1p1ppp/4pn2/bPp5/2P1P3/2N5/1RQBNPPP/4KB1R b K -,d7d5
r3k2r/bp1q1ppp/p1n1bB2/3p4/1P6/P1N2NP1/4PPBP/R2Q1RK1 b kq -,g7f6
1qr2r2/pb1nppkp/1p1p2p1/8/1PP1N3/PQ2PN2/4BPPP/2RR2K1 b - -,b7e4
r7/1pp3rp/p2bknp1/4p1B1/4P3/1N1R1PP1/PPP4P/2K4R w - -,h1d1
r2q2k1/ppp1bppp/1nn1b3/4p3/4P3/1PP1NNP1/P1Q2PBP/R1B3K1 b - -,f7f6
6k1/p3pp1p/6p1/8/2p1P3/5P2/PP3R1P/3rR1K1 b - -,d1e1
r1bq1rk1/p2n1p2/2p1pn1p/2P1B3/6p1/1Qp5/P3BPPP/R2RN1K1 b - -,f6d5
r4rk1/6p1/3P1n1p/p7/8/4RN1P/6PB/7K b - -,a5a4
3rr2k/1p3p2/p2p2p1/P1pP3p/5B2/2P2B2/2P2P1K/1R6 b - -,d8d7
6k1/1R4p1/2ppb2q/r3p2p/2P1Pn2/3P2QP/5RBK/8 w - -,f2b2
3r1r1k/4ppbp/n1q3p1/1pP5/p2P1B2/P4N1P/3Q1PP1/R3R1K1 w - -,e1e7
2k5/pp1r4/r4qp1/2bP3p/2P1p3/P1Q5/KP2B2P/1RR5 w - -,c3c2
r1bqkb1r/pppn1ppp/3p1n2/4p3/3PP3/2N2N2/PPP2PPP/R1BQKBR1 b Qkq -,g7g6
8/8/3B4/K4kp1/P7/2n4P/8/8 w - -,a5b4
8/5pkp/p2r1np1/1p6/1P1n4/P2BN2P/4KPP1/3R4 w - -,e2e1
8/8/4B3/8/6p1/5k2/2r5/6K1 b - -,c2c1
8/6k1/4R2p/3pP3/2p1b2P/2P5/2P3r1/2KB4 w - -,e6e7
8/8/2B3p1/1p2kpp1/bP4P1/8/2pK4/8 b - -,e5f4
7r/p2k1pp1/7p/8/2BPb3/4P1PP/Pr6/2RR1K2 w - -,h3h4
6k1/pp1n1p2/2p3p1/2Br2Nn/3P1Pp1/1P4P1/P5K1/4R3 b - -,h5f6
1qr1r1k1/1b1n1pbp/pp1ppnp1/8/1PP1PP2/P1N3PP/1B1NQ1BK/2R1R3 b - f3,h7h5
8/p2r1k1p/1pn2Bp1/1N1pn3/7P/P1R5/1PP2P2/2KR4 b - -,f7f6
8/1r5p/5Rp1/p2kp3/6PP/PPK2P2/8/8 b - -,b7c7
1r1qk1nr/pp2ppbp/2np2p1/2p5/4PP2/2NP1bPP/PPP3B1/R1BQK2R w KQk -,d1f3
8/8/3R1nk1/p5p1/P2N2Pp/1P5P/2P2K2/3r4 b - -,d1d2
8/4kp2/6p1/p3P3/P2RKP2/8/8/1r6 b - -,e7e6
8/6kp/3Q2p1/2pPp3/2P1q3/6PK/7P/8 b - -,e4f5
2kr3r/1p2bp2/p3q3/P1ppP1p1/5B1p/5Q1P/1PP2PP1/R2R2K1 w - g6,f4h2
r1k4r/pppn2bp/4bppn/4p3/2P5/4PNN1/PP1BBPPP/2KR3R w - -,d2c3
