6k1/7p/7r/4R1pN/1P6/PKPp2P1/3P3P/8 b - -,h6h5
r1bq1rk1/pp3pp1/2n2n1p/2b1p3/8/2NP1NP1/PP2PPBP/R1BQK2R w KQ -,e1g1
1r3Bk1/pn5p/1p1p4/1B1Ppq1n/1P3p2/5P2/P2Q2PP/2R2RK1 b - -,b8f8
r3k1nr/1bpnqpb1/pp1pp1p1/7p/2PPP2P/2N1BPP1/PP1QN3/R3KB1R w KQkq -,e1c1
8/4kpp1/1p1np3/p2p3p/3P4/PPK1P2P/3N1PP1/8 w - -,h3h4
8/6R1/4p2p/4P2k/4P3/6P1/p5KP/r7 w - -,g7a7
rn1q1rk1/1p2n1p1/p2p3p/P1pPp1B1/8/3Q2N1/1PP2PPP/R3K2R w KQ -,g5d2
3rr1k1/p2n2bp/1p4p1/1Np2p2/q1PPnB2/R2B1Q1P/P4PP1/3R2K1 b - -,a4b4
r2b3r/3q1pk1/2p1p1p1/1p1pP2p/pPnP1P1P/P1P3PB/4RB2/R2Q2K1 w - -,d1e1
5rk1/1p3pq1/p5p1/6Q1/3pr3/2P1p2R/1P4PP/3R3K b - -,f8e8
2rr1bk1/1bq2pp1/pp1ppn1p/2n3P1/2PNP3/1PN1BP2/P3Q1BP/2R1R1K1 b - -,h6g5
4r3/pp2r1p1/2pnpk2/5pp1/3P4/1BP1R1PP/PP3PK1/4R3 w - -,e1d1
r3kb1r/1bqpnppp/p3p3/1p6/P3P3/2NQBB2/1PP2PPP/R4RK1 b kq a3,b5b4
7r/1pp1n3/3p4/p3pP1p/2P1Pkr1/2N4R/PP3K2/7R b - -,h8h6
r2qkbnr/pbpn1p1p/1p1pp1p1/8/2PPP3/3B1N2/PP3PPP/RNBQ1RK1 w kq -,b1c3
4rk2/1B3p2/3Rpp1p/p3n3/7P/q5P1/4QP2/2rR2K1 w - -,d1c1
4r3/pp4k1/5p1p/3N4/3P1R1b/P2B4/1PPn4/6K1 w - -,d5c7
2k2b1r/2N2p2/p7/2pP3p/Q7/2P2P2/P4P1P/1r5K w - -,h1g2
2kr4/1pp1r2p/p2b2p1/3q1p2/3P4/2R1P1P1/P1QN3P/1R4K1 b - -,b7b5
3r4/8/8/5kpR/8/7P/4K3/8 w - -,h3h4
8/5k2/R7/5p2/5N1P/p1P2K2/8/r7 b - -,a3a2
5rk1/2pbq2n/1p1p2pp/3PpPb1/rPP3P1/3N2B1/2Q1BP1P/1R3RK1 b - -,g6f5
1k1r4/1p4p1/2p2p1p/pr1bN3/1q1Pp3/2R1P2P/PP2QPP1/1KR5 w - -,e5c4
r3r1k1/pp3pbp/2nq2p1/2pBp1N1/8/1QPb2P1/PP3P1P/R1B1R1K1 b - -,c6d8
6B1/7R/4p1k1/p1b2p2/P4p2/5P2/5PKP/4r3 w - -,h7c7
5r1k/6bp/p2q2p1/1p2p3/n2pP3/1N1B2P1/PPP1Q2P/K4R2 b - -,h7h5
r1bqk2r/pppp1ppp/2n5/4P3/1bP2Bn1/8/PP1NPPPP/R2QKBNR w KQkq -,g1f3
4rrbk/1pp1q1pp/2n5/p1Qnpp2/8/PP1PPN2/1B2BPPP/2R2RK1 b - -,e7e6
r4b2/1p1r1kp1/2p2p1p/8/p2B4/P3P2P/1P3PP1/2R1R1K1 w - -,g1f1
r1N3nr/pp3p1p/2q1pkp1/4b3/2B1PP2/Q1P1B3/PP4PP/R3K2R b KQ f3,e5f4
2b1kb1r/2pp1ppp/1np1q3/4P3/2P5/1P6/3NQPPP/B3KB1R b Kkq -,f8b4
r2qkb1r/5ppp/2p1p3/1p3b2/8/1N2B1P1/PP2PP1P/R2Q1RK1 w kq -,d1d8
r7/2bk1p2/2p1p1p1/1pPnP1Pp/1P3P2/r4N1P/3B2K1/2R2R2 w - -,f3d4
r1bqkb1r/p4ppp/2pp1n2/8/3pP3/5N2/PP3PPP/RNBQ1RK1 w kq -,f3d4
7k/1p6/8/2q1P2P/2p5/r4R1K/1p6/4Q3 w - -,f3a3
r5kr/pp3ppp/2q1b3/8/1Q1P4/8/P4PPP/R1B1R1K1 b - -,h7h6
rnb1kb1r/1p3ppp/1qp2n2/p2P4/4p3/1N1P2P1/PP2PPBP/RNBQK2R b KQkq -,a5a4
1r1qkb1r/pp2pppp/2p3b1/P2n4/3P3P/1QN5/1P2PPP1/R1B1KB1R b KQk h3,h7h5
8/5P2/8/4k1KR/8/8/8/5r2 w - -,g5g6
2r3k1/7p/4N3/5pp1/3R4/PP4Pb/1K6/8 b - -,h7h6
r4rk1/1pq1b1pp/1np2p2/1P2p3/8/2BP1NP1/1Q2PP1P/R1R3K1 b - -,b6d5
r1r2bk1/1q1b1ppp/3p1n2/pN2p3/1n1PP3/4BN1P/PPB1QPP1/2RR2K1 w - -,b5c3
r1b1kb1r/pp2pppp/2np4/qB6/3Pn3/2N2N2/PP3PPP/R1BQ1RK1 b kq -,e4c3
6k1/7p/2p3p1/3rbpB1/1P6/P2r2P1/q2NRP1P/3Q2K1 w - -,d1e1
8/q4p1k/P4Qp1/3p1pPp/1p1P1P2/4P3/1P3K2/8 w - -,f6c6
4r1k1/3nr1pp/1p1q2n1/p3p3/P1PP4/1P2RNPP/4RP1K/4Q3 w - -,d4d5
r4qk1/1p3bp1/2p2npp/p7/P1PB4/1P4NP/5PP1/R1Q1r1K1 w - -,c1e1
2kr3r/pbp3pp/1p4q1/3pn3/1P1P4/2Q1B3/P2N2PP/R4RK1 w - -,e3f4
3q2k1/p6p/2p1r1pb/4rp2/1P6/P3P3/1B4PP/3RR2K w - -,d1d8
2rr2k1/3n1ppp/pqb1pb2/1p6/8/1P2P3/PB1NQPPP/1BR2RK1 w - -,d2e4
b7/5rkp/6p1/P7/4N3/3rB3/2RN1P2/6K1 b - -,d3a3
r1bqkb1r/pp3p1p/2nppnp1/8/2PpP3/2N2NP1/PP3PBP/R1BQK2R w KQkq -,f3d4
2b4r/3n1p2/2N1k1p1/4p1Pp/1P2P2P/nP3P2/1KP4R/3R4 b - -,a3b5
8/8/5K2/8/5p1k/7P/6P1/8 w - -,f6f5
r2q1r1k/2n1p1bp/2p1Ppp1/R7/2PP1B2/Q1PB1P1P/8/4R1K1 b - -,a8a5
3nQbk1/8/2p1B3/q6p/8/1P3P2/6PP/5R1K b - -,d8e6
rnbqnrk1/pp2ppbp/2p3p1/4P2P/2pP4/2N2P2/PP2N1P1/R1BQKB1R b KQ -,c6c5
8/p4pk1/4p1p1/1p2b3/2p1P1P1/P1P1qBP1/1P2Q1KP/8 b - -,e3c1
rnbq1rk1/pp2ppbp/3p1np1/2P5/2B1P3/5N2/PPPN1PPP/R1BQ1RK1 b - -,d6c5
r1bqkbnr/pp1npppp/2p5/8/2B1N3/5N2/PPPP1PPP/R1BQK2R b KQkq -,g8f6:e7e6
1n2r3/r3qpkp/P1p2np1/2Np4/3Q4/4P1PP/2R2PB1/2R3K1 w - -,g2f1
1rnR4/5rqk/2b1p3/BpQ1P2p/p1p1P1pP/P4pP1/1P3P2/1R3BK1 b - -,c6e4
4r1k1/1p3rbp/p1n5/P2pP2p/3p4/3P1N2/1PPB1R1P/5R1K w - -,h1g2
r3q1k1/pp2pp1p/3p2p1/bn1P1P2/4P1BB/3Q3P/6P1/5RK1 w - -,f5f6
b2q2k1/p1p3pp/6n1/2N1p3/1QP1P3/3P2PP/r5BK/5R2 w - -,c5e6
r1br2k1/pp3ppp/2p2n2/P1b1q3/R2Np3/1BN4P/1PP3P1/2BQ1RK1 w - -,c3e2
rnbr2k1/p3qpbp/2p2np1/2Np4/4P3/2N1BP2/PP2B1PP/R2Q1RK1 w - -,d1a4
1n1rr1k1/2p2pp1/3q3p/1pRnp2b/1P6/3PPN2/1Q2BPPP/2R1B1K1 b - -,b8d7
8/5p1k/6qp/pp3R1p/4Q3/Pr2P1P1/5PK1/8 b - -,h7g8
r3q1k1/ppp1p3/4b1p1/8/4NQ2/5P2/PP3P1P/2R3K1 b - -,e8f7
3r2k1/2q2pb1/1pp1b1pp/4p3/1PN1Pn2/2N1B2P/2P2PP1/r2R1QK1 w - -,d1a1
1rbqkbnr/p1pn1ppp/4p3/1p6/3PN3/3B1N2/PPP2PPP/R1BQK2R w KQk b6,e1g1
2k5/B2b3p/8/3p2p1/2qP4/1QP5/P3r1PP/1KR5 b - -,d7f5
8/6p1/5pKp/5N1P/6k1/b7/8/8 b - -,a3f8
r1bqk2r/pp2ppbp/3p2p1/3NPn2/1PBn2P1/5N2/P4P1P/R1BQ1RK1 w kq -,f3d4
2r3k1/pp1bp1bp/3p2p1/q2n4/2rNP1P1/4BP2/PPPQ4/1K1R3R w - -,d2a5
8/8/8/2b4b/2N1kB1P/6P1/8/4K3 b - -,c5d4
rn1qk2r/pb2bp2/1p1pp2p/6p1/2P5/2N1QNP1/PP2PPBP/R4RK1 w kq -,a1d1
1r3rk1/2p4p/3p2p1/2p1n3/3bP1Pq/5p1P/PP1B1P2/1R1NRQK1 b - g3,e5g4
7r/3q1kb1/2n3pp/1p1p1p2/2pP1B1P/2P3PB/1P2QP1K/4R3 b - -,h8d8
8/R7/1r4kb/3pBp1p/3Pp3/1P2P3/P4KPP/8 b - -,h5h4
r2q1bk1/ppp3np/3p2p1/2PPp3/4P1b1/2NNB1P1/PP1Q3P/2R3K1 w - -,c3b5
3N4/5Pkp/4K3/8/3n4/8/7P/8 w - -,e6d7
