8/8/7k/p1p5/P1P2K2/1p1B4/3n4/8 b - -,b3b2
3r1rk1/pb3ppp/2nqp3/2p5/3p1b2/1P1N1B2/P4PP1/B1RQ1R1K w - -,d3f4
6k1/5pp1/2p3bp/P2p4/N7/1P5P/2P1QPP1/2q3K1 w - -,g1h2
3r4/p7/1p4p1/b1p1k2p/P1P1Pp2/3P1P2/1R2KP2/3R4 w - -,d1g1
8/r7/4RK1k/5P2/8/8/8/8 w - -,e6e5
6k1/4q2p/1pp3p1/p1bp2P1/P4NnP/1B4P1/2P5/Q6K w - -,h1g2
r2r2k1/ppqnbpp1/2p1pn1p/7P/2PP4/5NN1/PP1BQPP1/1K1RR3 b - -,a7a5
r1b2r2/ppqn1pkp/2p2np1/4p3/4P3/2N1QN1P/PPP1BPP1/R3K2R b KQ -,b7b6
r1bqk2r/1p1pnpb1/p1n3pp/2p1p3/2B1P2P/2NP4/PPP2PP1/R1BQKN1R w KQkq -,a2a4
rn2r1k1/pp6/5Rp1/2pP4/8/2N5/PP5P/R5K1 b - -,b8d7
4R3/8/4p3/4kp2/6p1/3B2Pn/4PK2/2r5 w - -,f2g2
kbq1n2r/pp2rppp/4p3/1RP5/3P2P1/2B2Q1P/P4PB1/1K2R3 b - -,e8f6
2r2k2/8/4n3/nR6/P2K4/8/8/8 w - -,d4e5
8/r4pk1/3b2p1/p6p/2R4P/4R1P1/4KP2/8 w - -,e3d3
2r1rnk1/1bq2ppp/p3p3/1pbpP1N1/2nN1P2/P1PB4/1PQ2BPP/R4RK1 b - -,g7g6
r2q1rk1/pp2ppbp/2n1b1p1/2Pp4/2PN1B2/2P1P3/P3BPPP/2RQK2R b K -,d8a5
4k2r/1p3ppp/1p2r1n1/8/8/2P2P2/P3NKPP/1R5R b k -,g6e5
8/5p2/5RpK/r7/4kP2/8/8/8 w - -,f6f7
5r1k/6p1/1P4p1/2b5/2N1B3/PP4P1/n6P/3R3K w - -,e4g6
6r1/8/2K2kp1/4p1Rp/7P/3B2P1/8/8 w - -,c6d7
r3k2r/ppp3p1/2n5/4Pb1q/QbP2B2/8/P5PP/RN3RK1 b kq -,b4c5
2r2rk1/1bqnbppp/pp1pp3/8/4P1P1/1PNR4/PBP1QPBP/4R1K1 b - -,d7e5
r2r2k1/pp3pp1/1qn4p/5P2/Q2Pb3/6P1/PP3RBP/3R2K1 w - -,g2e4
8/6k1/4qp2/7p/4p3/Q5P1/5P2/6K1 w - -,a3c3
1r6/8/8/6p1/1PR3P1/1K3k2/8/8 w - -,b3a4
1b2rr1k/1ppq2p1/2n3np/pNPp4/3P1pP1/PP3B1P/1B1Q1P1K/R3R3 b - -,g6h4
r2q1rk1/pp2ppbp/2n2np1/3p4/3P4/1P1B1Q1P/PBP2PP1/RN2R1K1 b - -,f6e4
r1b2rk1/p1q1ppbp/1pn2np1/2p5/P3P3/2P2N2/1PQNBPPP/R1B2RK1 w - -,d2c4
6r1/5R2/5p2/2Pkp2p/8/5P2/5KP1/8 b - -,g8g6
r2qr1k1/1b1nbppp/p2p4/npp5/3PP3/4NN1P/PPB2PP1/R1BQR1K1 b - -,c5d4
2N5/1r6/1P6/2b1k2p/6pP/8/5PK1/3R4 w - -,d1b1
2rq1rk1/pb1n1pp1/1p1ppn1p/2p3B1/2PP4/P1QBPP2/1P2N1PP/R4RK1 w - -,g5h4
r6r/4qpk1/p1pp2p1/4b3/P3PpR1/1P1R3P/2P1NPQ1/7K b - -,h8h4
7k/3rq1p1/5pQp/1p2rP2/4P2R/1pP5/8/1R5K w - -,b1b3
4r1k1/pp2rppp/5n2/2p5/2Pq1N2/3P1Q2/P1P3PP/1R3R1K w - -,h2h3
1rb1k1nr/2pnqpbp/p2p2p1/4p3/PpBPP3/4BP2/1PPQN1PP/R2N1RK1 b k -,g8f6
3b4/6kp/pr1qB1p1/2pPp3/R1Pr4/4Q1PP/5P2/4R1K1 b - -,d8f6
rnbqkb1r/ppp2ppp/3p1n2/8/3P4/5N2/PPP2PPP/RNBQKB1R w KQkq -,f1d3
r1b1k2r/ppqnbppp/2pp1n2/4p3/3PPP2/P1NB1N2/1PP3PP/R1BQ1R1K b kq -,e8g8
1rb2rk1/1p4p1/P3p2p/2P2pb1/q1N5/P3P1P1/4Q1BP/1R3RK1 b - -,a4a6
5rk1/p3bppp/5n2/1R2p3/2b5/4PBP1/P4P1P/5RK1 w - -,b5e5
r1bq1rk1/p3bppp/1pn1p3/4P3/3PQ3/1B3N2/PP3PPP/R1B2RK1 b - -,c8b7
5N1k/3bn1bp/1r1p2p1/p7/P3P3/5P2/1P1p2PP/R2R2K1 w - -,f8d7
r3kb1r/ppqn1ppp/2p1pn2/8/2NP4/2N1B3/PPP1QPPP/R3K2R w KQkq -,g2g3
7r/5pk1/3p1p1p/2bR4/1p3P2/4PKP1/P1B2P2/8 w - -,d5h5
1r6/3bk2p/2r2p2/p3p1B1/2p1P3/P4P2/1P5P/3RKB1R b K -,f6g5
4br1k/p5p1/1rp4p/4N3/4p3/1P5P/P4PP1/2R1R1K1 b - -,b6a6
rn1q1rk1/pb1pppbp/1p3np1/2p5/2P5/1P3NP1/PB1PPPBP/RN1Q1RK1 w - c6,e2e3
6k1/p3pp1p/1p4p1/2p5/P1P5/2b3P1/3RPP1P/4K3 b - -,g8f8
1r1r2k1/3nnpb1/2b1p1p1/pP1pP2p/5P2/P1N3P1/1BN4P/2RR1BK1 b - -,c6b7
rnb1k2r/ppp1b1pp/3p1nq1/8/2NPpB2/2N5/PPPQ1PPP/R3KB1R w KQkq -,e1c1
8/4k3/8/2PR4/3N4/3K4/8/2r5 w - -,d4c6
r4rk1/pp3ppp/5n2/q1Ppn3/P7/2PBPP2/2Q2P1P/R1B2RK1 w - -,d3e2
q5k1/5pp1/r7/P1r1p2p/2p4P/R1Q1P1P1/5P2/R5K1 b - -,g8h7
2r5/3n1p1p/1n2k1p1/p1p1p3/P3P3/BPN2P2/6PP/2R3K1 w - -,c1d1
r3r1k1/1pp2pp1/p1nq2bp/8/3P1Q2/P3B2P/1P3PP1/2R1RBK1 b - -,d6f4
4r3/pp2rkpp/2p2p2/3n4/1P1P2P1/PN2P3/2R2PP1/5RK1 w - -,f1c1
5rk1/ppb3pp/5n1q/3p4/1P6/3Q1BPP/P3PPK1/R6R w - -,a1c1
r2qk2r/pp1nbppp/2p2n2/8/3pN3/3P1BP1/PPQ1PP1P/R1B2RK1 b kq -,e8g8
r2q1rk1/3bp1bp/p2p2p1/np1P4/2Pp1P2/1PNQ2PP/P2B2B1/1R3RK1 w - -,c3e4
r4rk1/1p1b2pp/8/1PbpB3/p4P2/P2B1K2/6PP/R6R b - -,d5d4
2r2rk1/p1qbppbp/2np2p1/2p4n/1P2P3/2PPBN1P/1PB2PP1/2RQRNK1 b - -,c5b4
2r1r1k1/1b1nq1pp/p2bP3/2p5/N3n3/1P3N1P/PBR1BpP1/Q2R2K1 w - -,g1f1
r2q1rk1/2p2ppp/p1Qb1n2/3p4/p4B2/8/PPP2PPP/RN2R1K1 w - -,f4d6
r1b2rk1/p2np1bp/2p2pp1/1P1qP3/3P4/4BN2/1PP1B1PP/R2Q1RK1 b - -,c6b5
1k6/p4Rp1/1pBn3p/5p2/P1nP1P2/2P3P1/5B1P/6K1 b - -,d6f7
8/1r4p1/3k3p/1bRpp3/5n2/P4P2/1P1R2PP/6K1 w - -,c5c8
7k/2p3p1/1p1q3p/p2Br3/P4R2/1PQ3P1/7P/6K1 b - -,e5d5
r1b2r1k/pp1pNpbp/6p1/q7/1nBNn3/4BP2/P1P3PP/R2Q1RK1 b - -,e4d6
8/8/2k1N3/3p1Kp1/4n3/1n6/8/8 w - -,f5e5
8/2r2pRp/2k1p1p1/8/1B6/8/6PK/8 w - -,g7h7
2r3k1/3qpp1p/3p1np1/2pP4/Pr2P3/1P5P/R1Q2PP1/BR4K1 w - -,a1c3
3r3r/1Q3pkp/pp4p1/8/1p1b1P2/1P6/1PP2P1P/4R1K1 w - -,e1e7
7r/1p3rk1/2p3p1/p3p1n1/P3P1P1/2NR3B/1PP1Rb1K/8 b - -,g5f3
6k1/1q3ppp/1n2p3/1p4P1/3PpP2/rPP1P1K1/rBQ5/R4R2 w - -,a1a2
6k1/6bp/1q1p2p1/p1pP1b2/2B2P2/2N5/1Pn2BPP/4Q1K1 w - -,e1e8
4r3/1p3pbk/2p3q1/p1Pp2pp/Pn1P4/1PN1N1P1/3Q1PP1/3R2K1 w - -,d1e1
r1b2rk1/1p1qnpBp/p2p2p1/2p1npN1/2B1P2Q/2NP4/PPP3PP/R4RK1 b - -,g8g7
8/4r1kp/5pp1/4p3/1R2K2P/4P3/6P1/8 w - -,g2g4
6k1/1q2bp2/3p2p1/4p3/rp2P1Pp/2PQ1P1P/3BK3/1R6 w - -,b1b4
4r3/8/1p2r1k1/pP1N3p/P3n3/1P1R1KP1/4p3/4R3 b - -,e6e5
1r5k/p4pp1/7p/3pP3/P3qrN1/2R5/2Q4K/6R1 b - -,e4c2
2r1rnk1/4b1pn/2bq1p1p/p1p1pP2/2RpP1PP/1P1P1N1N/P2BQRB1/6K1 w - -,g2f1
8/1q3k2/4p1p1/1p4Kp/4pP2/6P1/1Q5P/8 b - -,b7d5
