8/p7/1b2B1k1/4Pp1p/3p4/5PK1/P1r5/8 w - -,e6b3
r2qk2r/1bp2pp1/pp1p3p/3Pp1bB/2P2P2/4B1PP/PP1Q4/R3K2R b KQkq f3,e5f4
4B3/4bp2/1k2p1b1/1P4p1/Rn6/4P2P/5P2/6K1 b - -,g6c2
r1b2rk1/ppp1q1bp/2nppnp1/5p2/2PP4/2N1PN1P/PP2BPPB/R2Q1RK1 b - -,g8h8
1r6/7R/7b/4p3/pN2P2k/2P2rp1/1P6/R3K3 w Q -,h7h6
r2r2k1/p1R1ppbp/6p1/1p6/1nb1P3/2N1BN2/PP3PPP/2R3K1 w - -,h2h3
r2q4/2pk1p2/1p1pp2R/p7/2PPQ3/P3PPr1/1P6/2KR4 b - -,d8g8
r2qkb1r/1p1n1ppp/p2p1n2/4pP2/2b1P3/2N1B3/PPP1N1PP/R2QKB1R w KQkq -,e2g3
r2n1r1k/ppp3p1/3p3p/3P1pn1/2PqPQ2/1P5P/P2N2PN/4RR1K b - -,d8f7
4b1k1/1p2r3/3bp1rp/p2p3N/3n2NP/P2QR3/1qB2PP1/4R1K1 w - -,g4f6
2r3k1/pR1bqrn1/N1p4p/2QpPp2/6p1/3BP3/P4PPP/5RK1 b - -,e7e5
r3kb1r/5ppp/p1bppB2/8/1Q2PP2/3B4/qPP1N1PP/2KR3R b kq -,g7f6
rn1qk1nr/1p1bppbp/p2p2p1/1Bp5/P3PP2/2N2N2/1PPP2PP/R1BQK2R w KQkq -,b5d7
5k2/r7/p4nB1/2p2R2/8/4r1NP/1P1n4/1K3R2 w - -,b1c2
8/KP6/P7/2k5/7r/8/7P/8 b - -,c5d5
r1b2rk1/5q2/2B1p2p/p2pP1p1/P7/6P1/1PQ2PP1/2R1R1K1 b - -,a8b8
r3k2r/pppqnpb1/2npb1pp/4p3/2P5/2NP1NP1/PP2PPBP/1RBQR1K1 w kq -,b2b4
r1Q3k1/1p3pbp/pN2p1p1/Pn2n3/4P3/1P3P2/5BPP/5R1K b - -,a8c8
1rb4k/pr3pbp/2p2np1/q1PpRP2/Pp1P4/1P3P1B/N1NQ3P/3R3K b - -,c8d7
5bk1/2p5/3p3p/3P1Np1/1p4P1/3K1PP1/2BN4/6r1 b - -,f8g7
r1b1k2r/1pp1qpp1/p1np1n1p/2b1p3/P1B1P3/2PPBN2/1P3PPP/RN1QK2R w KQkq -,b2b4
8/p7/1p6/PP2k3/1P2P1p1/4K3/8/8 w - -,a5b6
r3k2r/pp2bppp/2bp1n2/q3p1B1/4PP2/2N5/PPPQ2PP/2KR1B1R w kq -,g5f6
r3kb1r/5n1p/nqp1p1p1/pb1pPpPP/pP1P1P2/P1P1BN2/2Q5/R2BR1K1 w kq -,f3h4
6k1/1b3ppp/pB6/3p4/2r1n3/1N4P1/1P2PPBP/5RK1 b - -,c4b4
8/4k1p1/3b4/B1pPpP1p/2P1K2P/6P1/8/8 w - -,a5b6:a5d2
1r1rn1k1/2q1bppp/ppn1p3/2p5/P1P5/2NPP1P1/4QPNP/BR1R2K1 w - -,f2f4
R7/8/8/5pk1/1r6/5K2/8/8 w - -,a8g8
r3bk2/p3p2r/1p1pQpp1/3P4/5BPq/1PR5/P3PPB1/6K1 b - -,e8f7
rnbqk1nr/ppp2pbp/3pp1p1/8/2BPP3/5N2/PPP1QPPP/RNB1K2R b KQkq -,a7a6
r1bq1rk1/pp1nppbp/2n3p1/3p4/2pP1B2/1QP1PN1P/PP2BPP1/RN3RK1 w - -,b3a4
r1bq1rk1/ppp2ppn/3p2np/2b1p3/4P1P1/1BPP1N1P/PP3P2/R1BQKN1R w KQ -,d1e2
rnb1k2r/pp3pp1/2pbpq1p/8/2PP4/3B1N2/PP3PPP/R1BQK2R w KQkq -,e1g1
1k1r3r/pp4pp/1n3n2/3PbP2/4p2q/2N1P1NP/PP2QP2/1K1RB2R b - -,a7a6
4r3/2k2p2/p1p1b2p/1r4p1/2pR4/2P2PN1/PP4PP/2KR4 b - -,e6d5
Q7/8/5pp1/6qp/4p2k/6R1/5PK1/8 b - -,g5f5
8/6R1/1p1k4/2p4p/K6P/8/P2r4/8 w - -,a2a3
2bqrbk1/1ppp1ppp/r7/p2Qn3/2P2P2/1PN1P3/PB2B1PP/R4RK1 b - f3,a6d6
5n2/R3n2p/5kp1/4p3/1pN1P2P/1P6/P1K1N3/5r2 w - -,c4e3
8/p3k1pp/1p3p2/3R4/P3KP2/1Pr5/6PP/8 b - -,c3b3
2n1r1k1/5pbp/1q2pnp1/1p2N3/1P6/P4QNP/1B3PP1/3R2K1 b - -,b6c7
2r5/p4k2/1p6/2p1p1r1/1P2Rp2/3P1R1P/P5P1/7K w - -,h3h4
6k1/3b1p2/5p2/2pp3p/1P1N1b2/r1PB3P/2R2PP1/5K2 w - -,b4c5
r1bqkbnr/1p1p1ppp/p1n5/2p1p3/4P3/2N3P1/PPPPNP1P/R1BQKB1R w KQkq -,f1g2
r3r1k1/p1q2ppp/2pb1n2/2ppNb2/5P2/BPN5/P1PPQ1PP/4RRK1 w - -,d2d3
8/5p2/6p1/2PpPk1p/1p3P1P/4K1P1/8/8 w - -,e3d3
5r1k/pp2q1p1/3bb1Rp/3p3R/3P4/3BPr1P/PP2K3/3NQ3 b - -,f3h3
8/3N1r2/p4p2/2Qk4/8/1P5P/6PK/q7 b - -,d5e6
8/4k3/2P2p1p/3K1P1P/5bP1/8/2Bp4/8 w - -,c2d1
rnbqk2r/pp2ppbp/3p1np1/2p5/3P1B2/5N1P/PPPNPPP1/R2QKB1R w KQkq c6,c2c3
2rr4/pp3kb1/2p1p1p1/2PpPp1q/3P4/1PBQP3/P4R1R/6K1 b - -,h5g4
8/6bk/4q1p1/1pB4p/pNb4P/P1P2Qp1/1P4K1/8 w - -,c5e3
2k3r1/3Rb3/8/p7/8/4rN1P/6P1/3R1K2 b - -,e7b4
r3rbk1/5pp1/p1bpn2p/1p2p1Q1/4P3/1BP1N1NP/PP3PP1/R3R1K1 b - -,e6g5
8/ppp1r1k1/2n1q1pp/5p2/2P1P2P/5P2/PP2QN2/1K1R4 w - -,b2b3
1k4rr/1p1bbp2/p2pp3/4n1Pp/3NPNnP/1P4B1/1PP3B1/3RR2K b - -,d7c8
rn1q1rk1/1bp1ppbp/3n2p1/p7/Np1P4/4PN1P/PPB1QPP1/R1B1R1K1 b - -,d6e4
3qr1k1/6b1/ppb1prpp/2p2pN1/1n3P2/2BP3Q/PPP3PP/1R3RK1 w - -,c3f6
2Q5/2R2pk1/6n1/4p3/q1p1P3/2P1P1PK/1P6/8 w - -,c8d7
r2r2k1/p2b1ppp/5n2/b1p1q3/3Np3/1B2B2P/1PP1N1P1/Q4RK1 w - -,a1a5
5k2/5p2/br3npp/p2p4/P2N4/1P5P/r4PP1/3RRBK1 b - -,a6f1
r5k1/1p1n1pp1/2pb1n1p/3p4/N2P4/5BP1/1P1BPP1P/2R3K1 w - -,b2b3
r1bqk1nr/p3ppbp/2pp2p1/2p5/4P3/2NP4/PPP1NPPP/R1BQ1RK1 b kq -,g8f6:a8b8
r1bqr1k1/pp2bppp/2p2nn1/3p2B1/3P4/2NBPN1P/PPQ2PP1/1R3RK1 b - -,f6d7
3r2k1/5pbp/1nR3p1/3n4/4N3/1p3P2/1P4PP/3R1BK1 b - -,d8a8
r4rk1/1b3ppp/p3pn2/2qp4/6P1/4B2P/PP3PB1/R2QR1K1 b - -,c5d6
3r1k2/1q2r1pn/3pPn1p/1p3P2/1PpQ2PP/2N4K/1B6/3R1R2 w - -,d1d2
R7/6Q1/4p3/3r4/KPp2P2/4q3/P1k5/8 w - -,a8e8
r4rk1/2p1bppp/p1nqpn2/8/1p1P4/3bPNP1/PP1N1PBP/R1Q1BRK1 w - -,d2c4
8/6k1/3Bp1p1/4P3/P2p2P1/1P6/2rp1K1P/3R4 b - -,c2b2
r4rk1/2p2p1p/pbnp1qpQ/1p2pN2/4P3/2PP2P1/PP3PK1/R1B2R2 b - -,f6h8
r2qr1k1/1b1nbpp1/pn1p3p/1ppP4/4PB2/1PP2N1P/P1B3P1/R2QRNK1 w - -,d1d2
r6k/1p2rppp/p3pn2/3p4/3P4/2P1qR2/PP2B1PP/R2QK3 b Q -,e3g1
2r2rk1/1p4bp/pqnp2p1/4p3/P2pPP2/1N4B1/1PPQ2PP/R3R1K1 w - -,a4a5
r3k2r/pq3pbp/b2Bpnp1/3pN3/QpPP3P/4N1P1/PP3PB1/4K2R b K -,e8d8
8/8/1b1p2kp/4n1p1/2R1P1P1/2P1K2P/1r1BB3/8 w - -,c4d4
r7/5p2/5kp1/1N5p/1P5P/P3PKP1/8/8 b - -,f6e5
2k5/3n4/p1bQ4/P3P1p1/2Bp4/1p6/1P1B2qP/4K3 b - -,g2h1
Q4rk1/2p1p1bp/1n2bpp1/8/N2PP3/5NB1/P1r2PPP/R1R3K1 b - -,c2c1
1k6/1pp5/3p4/pP1P4/P6p/2b1KB2/8/8 w - -,f3g2
2r4k/p1r3pN/1p2p1Q1/3pPn2/1b1P1P2/4B2P/qP3R2/6RK b - -,b4e7
3r1rk1/1p4p1/p1n1R2p/P1qp1p2/8/5B1P/1PP2PP1/R2Q2K1 b - -,c6d4
8/pp1r3p/5kp1/4Rp2/P6P/6P1/1P3P2/6K1 w - -,e5b5
rn3rk1/pppqbppp/3p1n2/8/3P1Bb1/3B1N2/PPPN1PPP/R2QR1K1 b - -,b8c6
