8/8/3n4/6kp/6p1/4K1P1/8/4N3 b - -,g5f5
rnb1kbnr/pp2p2p/2p3p1/3p2B1/3P2p1/q2BPN2/P1PN1P1P/1R1QK2R w Kkq -,f3e5
3Nr1k1/2B1p1bp/5pp1/R7/4p3/2PbP3/1P3PPP/6K1 w - -,d8e6
r5k1/1q2bppp/2Q1p3/p2r4/1P3B2/P6P/5PP1/2R2RK1 b - -,b7c6
1r1q1rk1/1pp2b1p/2np1bp1/p2Npp2/2P5/1P1PP1P1/P4PBP/1RBQ1RK1 b - -,f6g7
3r1k2/4np2/5b2/p2p2p1/b2N4/r3N1P1/P2R1P2/3BR1K1 w - -,d1a4
1r1q1rk1/ppnbppbp/3p1np1/2pP2B1/2P5/2N1PN1P/PP2BPP1/R2Q1RK1 w - -,a2a4
r1bq1rk1/5pbp/pn1p1np1/2pp4/2N1P3/2N5/PP2BPPP/R1BQ1RK1 w - -,c4b6
r3k2r/1b1nqppp/p3p3/4P3/Pp1N2Q1/1B6/1P3PPP/R4RK1 b kq -,d7c5
r4rk1/1bqnppbp/p2p1np1/1p6/4PP2/PNN1BB2/1PP3PP/R2Q1RK1 w - -,d1e1
1rb2rk1/1pq1ppbp/p2p1np1/n1pP4/2P1P3/P1N3P1/1P1NQPBP/R1B2RK1 b - -,b7b5
r2q1rk1/pp1bppbp/3p1np1/4n3/3NP3/2N1B1PP/PPP1QPB1/R4RK1 b - -,a8c8
r5k1/5pp1/p2q3p/1p2rb2/4p3/PN2P2P/1PQ2PP1/2R2RK1 b - -,a8e8
r1bq1rk1/ppn1bppp/2n1p3/2p1P3/2Pp3P/3P1NP1/PP3PB1/RNBQR1K1 b - h3,f7f5
r2q1rk1/1p1bbppp/p2p4/3p4/2PQN3/1P2P3/PB3PPP/R4RK1 b - -,f7f6
r2q1rk1/1bpn2pp/pp1bp3/3p1p2/N1PPn3/1P1BPN2/PBR1QPPP/5RK1 b - -,f5f4
3r4/1pb1k3/2p1n1p1/p3pp2/P1N1P2p/2PN1P1P/1P2K1P1/R7 b - -,e7f6
2r4k/5p1p/4p1p1/8/2P5/p2RN2P/4K3/1n6 b - -,a3a2
k2r3r/pp1P1p2/3Rn1p1/2p1Qb1p/2q1p3/4B1PP/5P2/R4BK1 b - -,c4b4
r3k3/1pp3p1/1p2n3/7p/4p2B/2Pr3P/PP3PK1/R4R2 w q -,f1e1
1r4k1/p5Pp/1p1qp1p1/3n4/Q1pP4/4PBP1/PP5P/5RK1 b - -,d5e3
8/8/6k1/4K3/3N4/8/5R2/3r4 b - -,d1a1
rnbq1rk1/p4ppp/1p2pn2/8/3Pp3/P1PB2N1/5PPP/R1BQK2R w KQ -,g3e4
5r2/6bk/1p1rR2p/p5p1/3p1N1P/3R2P1/PP3PK1/8 b - -,f8f6
r2q1rk1/pp1nbppp/2p1p3/3n3b/2NP4/2N2PP1/PP2P1BP/R1BQ1RK1 w - -,e2e4
5r1k/3b3p/3Qp1p1/r2pP3/1pp2q2/4R1NP/PP3PP1/4R1K1 b - -,f4f2
r3kb1r/pp1qp1pp/1np2p2/8/2BPQ1b1/2N3B1/PPP2PPP/R4RK1 w kq -,c4b3
2R5/5p2/4p1p1/4Pb1p/rr3P1P/8/1kp2K2/2B1R3 b - -,b2a2
r4rk1/pb3pp1/1p2p3/3nN1p1/3P4/2PB4/P4PPP/2R1R1K1 w - -,d3e4
2r2rk1/pp2nppp/3bbp2/3p4/3P4/PqN1P1P1/1P1QNPBP/R4RK1 w - -,e2c1
5rk1/4pp1p/2n3p1/2p5/2N2P2/2P3P1/r4P1P/2R2RK1 b - -,f8d8
rn1qr1k1/pp3pbp/2b3p1/4p3/n1Pp4/1N1P2P1/P2NPPBP/BR1Q1RK1 b - -,d8d7
1B1n4/3k4/8/1p4p1/1P2K3/8/5P2/8 w - -,e4f5
r1b3k1/ppp1qp1p/1n4p1/nB2b3/4P3/1P2BP2/P3N1PP/3NQRK1 b - -,a7a6
r4rk1/4n1pp/pPp1pp2/P1NpP3/3P4/5N2/5PPP/2R3K1 b - -,g8f7
5R2/5P2/2p5/ppk5/2p5/P7/1P3r2/2K5 w - -,f8a8
rnb1k2r/2q1bppp/pp1ppn2/8/2PNP3/2N1B3/PP1QBPPP/R4RK1 b kq -,c8b7
5rk1/1p2p1b1/2npq2p/8/r4BP1/1N1P4/PP1Q2P1/R4RK1 w - -,a1e1
r1bk1bnr/pp1p1ppp/3Pq1n1/1N6/5P2/4B3/PPP3PP/R2QKB1R w KQ -,d1d4
2r2rk1/1p1n1pp1/p2p4/3Pp2Q/4q3/1NP5/PP4PP/1K1R1R2 w - -,b1a1
8/8/3k4/P2b2K1/1R4P1/8/8/r7 b - -,d5c6
r1n5/6b1/b1p1k1pp/2B1pp1P/P3P3/1P3NP1/5PB1/3R2K1 b - -,a6e2
rnbqk1nr/ppp2pbp/3p2p1/4p3/2P5/2N2NP1/PP1PPPBP/R1BQK2R b KQkq -,f7f5:g8e7
1n2r3/2r1qpkp/P1p2np1/2Np4/3Q4/4P1PP/2R2PB1/2R3K1 b - -,c7a7
8/6bp/p3p1p1/1pk2pP1/2p1nP2/2P2K2/P3N2P/3N4 w - -,a2a3
2kr4/pp2p1P1/6p1/6r1/6K1/2BPq1Pp/PPP4P/4RB1R w - -,g4h3
8/1k6/p7/1p3P2/1P4pp/2PR4/6KP/1r6 b - -,b1b2
r3r1k1/1p1qn1b1/p1n1p1p1/2pp2Bp/4p2Q/P1NP1R2/BPP3PP/1R4K1 w - -,d3e4
8/6k1/1P4p1/6qp/3p4/8/5P1P/5QK1 w - -,f1g2
8/8/3b4/3kp1R1/3p3P/3N1KP1/4P3/r7 b - -,a1f1
2rr2k1/pp1bqpp1/2p2n1p/8/3N4/1B2P2P/PPQ2PP1/2RR2K1 b - -,e7e4
2r3k1/1br2p1p/1p2p1p1/p2p1n2/P4P2/2P2BPK/N1PR3P/4R3 b - -,c7c4
r3qrk1/2pb4/3p3p/p1pPp1b1/2P1n3/2N2P2/PPQ1B1PR/1K5R w - -,c3e4
rnbqk2r/1p3pbp/p2p2p1/2pP4/P7/2N3P1/1P1NPPP1/R2QKB1R b KQkq -,b8d7
8/7p/1p1p2k1/1P2b3/2P1P2P/3pB3/8/5K2 w - -,e3b6
5rk1/p1pqnrbp/1p1p1np1/3Pp3/P3P3/1PN1BPPP/3Q2BK/2R2R2 b - -,f6e8
2r3k1/3n1pp1/4p2p/p1pb4/8/1P2P3/PN2BPPP/2R3K1 b - -,d5c6
2k4r/pp3pp1/2p3p1/2n5/8/6P1/PPP2P1P/3K1B1R w - -,f1g2
2r2r1k/4b1p1/p2ppn1p/2n3B1/1p1N1P2/5P2/PPP1R2P/1NKR4 w - -,g5h4
8/6p1/ppnkpp1p/3p4/3P1P2/3NP2P/PP2K1P1/8 b - -,c6e7
r1br2k1/pp2n1p1/5q1p/2p2p1Q/2Pp1B2/3P2P1/PP3PBP/R3R1K1 w - -,e1e2
3b1k2/pprr1pp1/2p3p1/8/P1RP4/1R2P1P1/1P4BP/6K1 w - -,e3e4
r1bq1rk1/ppp3pp/2np1n2/2b1pp2/2PP4/2N1P1P1/PP2NPBP/R1BQ1RK1 b - d3,c5b6
r2q1rk1/1pp2ppp/p1n1pn2/b7/2BP1Bb1/P1N5/1PPQNPPP/R3R1K1 w - -,b2b4
r1bq2k1/4b1pp/p7/1p1p3r/4p3/P3B1P1/1PPQ2BP/R4RK1 b - -,e7f6
2rr2k1/5p2/1p2p1p1/pB6/P1bP1P2/2P3P1/1P6/R3R1K1 b - -,c4b5
rnb1kb1r/pp2pppp/2pq1n2/8/8/2N3P1/PPPP1PBP/R1BQK1NR w KQkq -,g1f3:d2d4:g1e2
1rr3k1/p1q2ppp/2pbp3/3n4/1P1P4/P2Q1B1P/3B1PP1/1R3RK1 b - -,b8b6
8/4kppp/8/3pP3/5pP1/8/p6P/Rr1B3K w - -,a1a2
2krr3/ppq2pp1/3bpn1p/2p5/2PPQ2P/2B2NP1/PP3P2/1K1R3R w - -,e4c2
r3k2r/1p1bbp2/p2ppp1p/q7/3QPP1N/2N5/PPP3PP/2KR3R w kq -,f4f5
5k2/p1p2ppp/1p1p4/4r3/2PQqP2/2PRP3/P5PP/6K1 b - f3,e5e6
R7/6k1/3p4/P2PbB2/r7/2p1K3/8/8 w - -,f5c2
2n2k2/2rb1p1p/p2p2p1/2r5/1p1NPP2/1P1R3P/P2RB1P1/6K1 w - -,e2g4
r3r3/pbp1Pkn1/1q5p/4Rp2/2p2P1B/1PP4P/3Q2PK/5N2 b - -,c4b3
2r2rk1/4bppp/3ppn2/q3n3/Np2P3/1P2Q2P/PB2BPP1/R2R2K1 b - -,c8c2
rnbqkb1r/pp1ppppp/2p2n2/8/2PP4/6P1/PP2PP1P/RNBQKBNR b KQkq c3,g7g6
r1b2rk1/ppp1q1bp/8/2pPpp1n/2P5/2NB1P1N/PP1Q2PP/2KR3R w - -,h1g1
8/R7/8/6r1/2PK4/6p1/3k4/8 b - -,g5g4
5k2/1R6/5Pp1/p1p3P1/P1P2K2/1P6/8/7r b - -,f8e8
1r1r2k1/2q2pp1/7p/p3p3/Ppb5/1N2Q2P/1PPR1PP1/4R1K1 b - -,c4b3
8/8/8/4N1k1/4P3/4K1p1/8/8 b - -,g3g2
5rk1/2r1P1pp/p1b5/1p1p4/1n6/8/PP3PPP/2R1R1K1 w - -,e7f8q
4k2r/6pp/p2qbb2/Bp1pp3/2r5/1NPQ4/PP4PP/3R1R1K w k -,d3e3
2r2rk1/pb1n1q1p/1p2p1p1/3p4/3b3B/P7/1PB1RPPP/R2Q1NK1 b - -,b7a6
2rr2k1/1q3pp1/3bp2p/1p6/1P6/4PN2/5PPP/1Q1R1RK1 b - -,d6f8
