8/5pkp/2b2p2/4p3/8/4P2P/3N1PPK/8 w - -,h2g3
8/r4k1p/7n/p2R1p2/4n3/1P1NR2P/8/7K w - -,d3c5
8/8/7p/4pk2/7p/2r2K1N/8/5B2 w - -,f3e2
4r1k1/1ppb2pp/p1pbnp2/6q1/2PP4/1P1N2N1/PB3PPP/R2Q2K1 b - -,g5h4
2r1r1k1/1p3pp1/p1n1p3/q2pP2Q/P2P4/1B2B1P1/1P1b1PK1/R6R b - -,g8f8
3rk2r/1p3pbp/1qn1bnp1/pNp1p1B1/P3P3/2P2QPP/1P3PB1/R3K1NR b KQk -,e8e7
r4r1k/4q1b1/b1p5/p3p1pp/P3Pp2/2PB1N1P/5PP1/R2RQ1K1 b - -,a6c8
8/1q2rkp1/p1R1bn1p/1p1nB3/3P4/P4P2/1P2Q1PP/4R2K w - -,e1c1
r2q1rk1/pp1n1ppp/2pb1n2/3pp3/4P1b1/3P1NP1/PPPN1PBP/R1BQR1K1 w - -,d2f1
2r1k2r/Q2nqp2/2p1p3/2P5/3P2bp/3BP3/P3NPP1/1R3RK1 w k -,a7a6
2r2rk1/4b1p1/2p1pn1p/1pPpP3/1P6/4P3/1B2B1PP/R4RK1 b - -,f6e4
r2q1rk1/1p1n2bp/p2p2p1/2pPPp2/2PnP3/2N1B1PP/PP4B1/R2Q1RK1 b - -,d7e5
4r1k1/pq4p1/4pn1p/3pb3/N3p3/BP2P2P/P3QPP1/2R4K w - -,h1g1
3b4/1b1k1p2/1pp5/p1p1PP2/P1P1KN2/1P6/1B6/8 b - -,d8g5
8/3k4/3n1K2/8/4r3/5R2/8/8 b - -,e4e6
8/8/1R3p2/6kp/1p2K3/2b3P1/4N3/1r6 b - -,c3e5
r2r4/1p2q1kp/p3bppn/4p3/4P3/3B1N1P/PPPQ1RP1/R5K1 w - -,f3h2
3bk3/P5Rp/5p2/2B2P2/8/3p3P/1r2pKP1/8 b - -,b2a2
8/6k1/p4R2/6Bb/2p1r1p1/P7/3K2P1/8 b - -,g4g3
r1b1k2r/ppp1q1pp/2nbpp2/8/2B5/2P1BN2/PPP1QPPP/R3K2R b KQkq -,e6e5
6k1/6p1/r3p2p/rn1pP3/p1pP2P1/1nP1N2N/RPR3KP/8 b - -,g7g5
r3r1k1/p4pbp/q2p4/2pP3p/1p2P3/3b2P1/PPQB1P1P/R2NR1K1 w - -,c2b3
7k/8/5P1p/1p1p1P1Q/p3p2P/P1Pq4/BP3K2/6r1 b - -,d3g3
2r3k1/R4bp1/1p3n1p/8/8/2q4P/5PP1/3QR1K1 w - -,e1e7
4r3/4Qpk1/p1b2qp1/1p2R1p1/3p4/3B3P/PPP2PP1/6K1 w - -,e7f6
rnb1kbnr/pp3ppp/1qp5/4p3/3PP3/2N5/PPP3PP/R1BQKBNR w KQkq e6,g1f3
2rrb1k1/ppq2p1p/1b4p1/4P3/3NP3/2P2B2/P4BPP/2RQ2K1 b - -,c7e5
1r1q1r2/4n1bk/1p1p2pp/1Pp1pp2/2P5/3P2P1/3BPPBP/1R1Q1RK1 b - -,d6d5
r1b1k2r/1pqp1pp1/p1n1p3/2P5/N3P2p/P4PnR/1PNQB1P1/3R2K1 b kq -,c6e5
r1b1kb1r/pp1ppppp/1qN2n2/8/4P3/2P5/PP3PPP/RNBQKB1R b KQkq -,d7c6
8/8/3p4/2pPp1k1/1pP1P3/1P4K1/n3B3/8 b - -,a2c3
5r1k/2p4p/2q2r2/1p1p4/p2Ppp2/P1P1P1P1/Q2B2RP/6K1 w - -,g3f4
r3r1k1/ppp2ppp/2n1b3/3p2q1/3P4/2PB1N1P/PP3PP1/R4RK1 w - -,f3g5
r1b2rk1/pp3p1p/2p3p1/2b1p1qn/2B1P3/1QP2R1P/PP2NPP1/4R1K1 w - -,c4f7
3R1b2/5p1p/B5p1/4pk2/P7/1b6/1r3PPP/2R3K1 b - -,f8b4
1r1qr1k1/3b1pbp/p2p2pB/2p5/2PpPP2/1P4PP/P5BK/2RQ1R2 w - -,h6g7
3r2rk/4q1np/p2bp3/4Qp2/1p6/2p3N1/P5BP/3R1R1K w - -,e5a5
r5k1/pp2pp1p/2n3p1/8/3N4/2P1n1P1/P3PPKP/R7 w - -,f2e3
r2qr1k1/1pp2ppp/p1npb3/2b1p3/4P1n1/2PP1N2/PPBN1PPP/R1BQR1K1 w - -,e1e2
8/2qk3p/1p1p2p1/1P1Qp1P1/4Pr2/R4P2/2P5/1K6 w - -,d5a8
r1bq1rk1/p4ppp/2pb1n2/2ppp3/2P1P3/1P1P4/PB1NNPPP/R2Q1RK1 b - c3,f8e8
rnb1kb1r/pppp1pp1/4pq1p/8/3PP3/2P5/PP3PPP/RN1QKBNR b KQkq -,b7b6:c7c5:d7d6:d7d5
1r4k1/2r2p1p/B2pbbp1/4p3/p3Pn2/P3BP2/1PPR3P/K1N3R1 w - -,g1d1
3r4/p4pk1/3q2p1/3pRP2/2pP1P2/Pr2Q3/5PK1/3R4 w - -,e3e2
8/5pk1/1p4p1/5b1p/1PB2R1P/2K3P1/2PR1P1r/r7 w - -,d2d6
r3r1k1/3nq1pp/p1p2p2/2Pbp3/5P2/1P2Q3/PB2B1PP/2R1R1K1 w - -,e2h5
5k2/pn5p/8/1K5p/2NP1r2/P7/1P6/7R w - -,h1h5
4k2r/4bpp1/pq1p1n2/1p1Pp2p/2r5/1N3PPB/PPPQ3P/1K1R3R w k -,h1e1
r1nq3k/P4rpp/R2p4/1B1Pn3/1p2P3/1N3p2/1P3QPP/R5K1 w - -,b3d4
8/8/3bkQp1/5p1p/2R5/5P2/PB2KP1q/8 b - -,e6d5
8/5p2/R4p2/3p1rk1/p2P4/P1P4P/3K4/8 w - -,a6a4
3r1rk1/3qn1bp/1p1pb1p1/2p1n3/p1P1P3/1P2B1P1/P3NNBP/2QR1RK1 b - -,e7c6
2rr2k1/pb1nbppp/3qpn2/1p1p4/8/1P1PPNP1/PB1QNPBP/2R2RK1 w - -,e2d4
3r1rk1/ppqnbpp1/2p2np1/2P5/1P1p4/PQN1BP2/4N1PP/R3R1K1 w - -,e3d4
rnbqk2r/pp2bnpp/3p4/4p3/Q1BN4/2P5/PP3PPP/RNB2RK1 b kq -,c8d7
4r2r/p1pk2p1/2pbq3/5N2/3Pn3/3B1QPp/PP5P/R1B1R1K1 b - -,e4g5
r1bq1rk1/pp3ppp/3p1n2/2b1p1B1/2Pn4/2N1PN2/PP3PPP/1Q1RKB1R b K -,d4e6
8/5pk1/5np1/4p1Pp/4Pq1P/2Q2P1K/8/8 b - -,f6e4
1Q4r1/1p1r1pkp/p7/2n2p2/3R1P2/2q5/P5PP/3R2K1 w - -,b8e5
r2qkb1r/1p3ppp/p3b3/2pp4/1n1Pn3/2N1PN2/PP1QBPPP/R1BR2K1 w kq -,c3e4
1k6/2p5/3n1pp1/p1Q1p3/2P1P2P/2PB2PK/q7/8 b - -,a2a1
1R3nk1/2Q2pp1/5nbp/4p3/4P1P1/6P1/4r3/6K1 b - -,e2d2
r5k1/1p2rppp/1p6/8/8/5P2/PP4PP/R4RK1 b - -,g7g6
8/8/5kb1/p1R5/6K1/P1nP2P1/Pr3P1P/8 b - -,c3d1
r2q1rk1/1b2npbp/4p1p1/p1pp4/1p2PP2/P1PP1Q2/1P2N1PP/R1BBR2K b - -,d5e4
r7/pp3k1p/1q1Prnp1/2pQ2B1/3bN3/8/PP4PP/5RK1 w - -,g1h1
8/8/8/7K/5k2/7N/6r1/8 b - -,f4f5
r1bqkb1r/pp2pppp/2nn4/8/8/2P1B3/PP3PPP/RN1QKBNR w KQkq -,g1f3
6k1/8/5PK1/4q1P1/7P/8/8/8 b - -,e5e8
2B5/4R3/8/6p1/PK4P1/6k1/8/8 b - a3,g3h4
8/5ppk/4p3/1Q1q3p/1p5P/1Pb1B1P1/5P1K/8 w - -,b5a4
2r1k3/4bp2/6rn/4Pb1p/1p1B1R2/3NP2P/6P1/1R2N1K1 w - -,e3e4
5nk1/6b1/2Q3p1/p3rp2/P1b1q3/2P5/1P4PP/3R2RK w - -,c6b6
2rqk2r/pb2bppp/2n2n2/1BppN3/8/1P6/PBP2PPP/RN1QR1K1 w k -,d1e2
2k5/p1p4p/2P2n2/R7/8/7r/P7/7K w - -,h1g2
2rr2k1/pq2bppp/1pbppn2/8/2P1P3/2N1BP2/PP1Q2PP/2RR1BK1 w - -,b2b4
4rrk1/2pq1bbp/p2p2p1/1p1nPp2/1P1P1B2/1BQ2N1P/P4PP1/R3R1K1 w - -,c3d2
8/7p/4nk2/4qp2/1P2p2P/4B1P1/3Q2K1/8 b - -,e5b5
8/8/6k1/6p1/6P1/pK6/1b1B4/8 w - -,b3a2
rnbq1rk1/pp3ppp/4pn2/2p5/1bP5/2N2NP1/PPQBPP1P/R3KB1R b KQ -,b8c6
3Rk3/4b1pp/p3pp2/2p5/N1P2PP1/1P6/P5KP/8 b - -,e8d8
2k4r/pp3pp1/4pn1p/2q1N2P/8/6P1/PPP1QP2/2KR4 b - -,c5c7
