8/2P5/8/K1r5/P7/4k3/8/8 w - -,a5b6
r1bq1rk1/2p1npb1/pp4pp/2n1p3/P1B1P3/2P2NN1/1P2QPPP/R1B1R1K1 w - -,c1e3
8/R7/5kp1/5p2/4p3/4P1KP/4r1P1/8 b - -,e2e3
7k/R5b1/3p2q1/Pp1P2r1/1B1pP3/3p2P1/1P5P/5QK1 w - -,f1d3
3r3k/p5p1/8/5P2/3b1P2/1Q2p3/PP6/5K2 w - -,f1e2
1r6/1rq2pk1/1p1pbnnp/p1P1p1p1/P1P1P3/1RP1NPP1/1R2BBKP/5Q2 b - -,d6c5
1R6/5p2/4bk1p/7P/r6R/5PK1/8/8 b - -,a4a5
2n2rk1/p4p1p/n2p2p1/1N1N4/1P2P3/P5PP/5P2/2R2K2 b - -,g8g7
3r4/pp1r2pk/1qp1bpn1/6p1/3PP3/1P2QN1P/P2RNPP1/2R3K1 w - -,c1c5
r7/6bk/1p1p1qpp/p1pr3n/Pn1P4/4B2P/1P1QNPPN/R3R1K1 w - -,e2c3
3r1rk1/p2qbppp/1p2pn2/n1p5/5B2/P1NP1Q2/1PP1NPPP/4RRK1 b - -,d7c6
2r3k1/pb3pp1/1p2p1p1/6q1/2P5/1Q4P1/P3BP1P/3R2K1 w - -,d1d7
1r1r2k1/5pp1/p3p1b1/4P3/3P4/1P4RP/1P3B2/K1R5 b - -,b8b5
2brk2r/4np2/2p1p2p/N7/PpPPn3/4BB2/1P3PPP/R4RK1 b k -,f7f5
r4rk1/pp3pp1/n2b3p/2pP1b2/1Q6/2N2N2/PP1RBPPP/5RK1 b - -,a6b4
1rb3k1/1pb4p/p3pp1q/P1p5/2N5/2PBP1P1/1P3Q1P/5RK1 b - -,g8g7
8/1p6/p7/Pkp1p2P/R2pP1p1/1PrP2K1/8/8 w - -,h5h6
1n1q1rk1/5pbp/6p1/1p6/n1BNb3/4P3/P2Q2PP/3R1RK1 w - -,d4b5
4r2r/1pk2p2/p1qN2p1/2P4p/1p1Q4/8/P4PPP/2R2RK1 b - -,e8d8
rn2kbnr/pp2pppp/1qp5/3p4/3P1Bb1/5N2/PPPNPPPP/R1Q1KB1R b KQkq -,b8d7
8/1p2k1b1/p2p3p/2pPq1p1/2PnN3/1P4PP/P7/1B1Q3K b - -,d4f5
8/pR3R1p/3k4/6P1/6P1/7P/1r4r1/5K2 b - -,b2c2
R7/1p1n1k1p/1P2p1p1/4Pp2/5P1P/8/6P1/6K1 w - -,a8c8
r2q1rk1/4bpp1/p1bp3p/1pn1p3/4P1Q1/P1N4P/1PPN1PP1/3RRBK1 b - -,e7g5
1r4k1/6pp/4p3/3b4/3P4/1p1N2P1/r4P1P/2R1R1K1 w - -,c1b1
5bk1/3N3p/2n3p1/4p1N1/7P/6P1/5P2/6K1 w - -,d7f8
1rr3k1/1p1qppbp/1Qn3p1/p2p4/P2P4/B2PPN2/5PPP/1R3RK1 w - -,b6b5
2k5/2p2p2/7p/P1R1P1p1/P2n1NP1/6KP/3r4/8 w - -,f4d5
3r2k1/5p2/1R3Bp1/3B3p/4PK2/3r4/8/8 b - -,d8f8
r1b2rk1/2q2pb1/p4np1/1ppPp3/4P3/2N1B1Pp/PP2BP1P/R2Q1RK1 w - b6,a1c1
1rbqk2r/1ppn1ppp/p2Bpn2/8/2QP4/2N3P1/PP2PPBP/R3K1NR b KQk -,c7d6
3rnrk1/p3bp1p/1qp3p1/1p1bP3/5B2/2NB4/PPQ2PPP/3RR1K1 w - -,c3d5
r3r1k1/2q4p/2b3p1/1pb1Np1n/p7/P1P3PP/1PB1QP1K/2R1RN2 b - -,c5f2
6k1/1p3p1p/2p1n3/qr5p/3p4/P2P1BP1/3QPPK1/7R w - -,d2h6
r2q1rk1/3nbppp/p2p4/1p2p3/4P1n1/1NN1B3/PPP2Q1P/2KR1B1R w - -,f2g3
3q1rn1/6k1/p4pp1/1p6/3r1Q1P/5RN1/P1P3P1/4R2K w - -,e1e4
r1bq1rk1/pp3ppp/5n2/3p4/1b6/2NQPN2/PP1B1PPP/R3K2R b KQ -,c8g4
8/p7/1pP3p1/5bk1/1r5p/2R5/5PB1/6K1 b - -,b4b5
r1b2k1r/4qppp/p1p1p3/3n4/4NP2/1P1B4/P1P2QPP/3R1R1K b - -,a6a5
r3r3/ppq3k1/2n1b1pp/3BPp2/P1Pp4/3P2PN/1Q2P2P/R4RK1 b - -,e6d5
r3rnk1/ppq1bpp1/2pp1n1p/4p3/2PP4/2N1PNB1/PPQ2PPP/2RR2K1 b - -,f8g6
rnbqk2r/ppp1bppp/4p3/3pP3/3P2Q1/P1N5/1PP2PPP/R1B1KB1R b KQkq -,e8f8
1B3r1k/p6p/5p2/1P3P1q/4pQ2/P7/1b4PP/3R2NK w - -,d1e1
8/2R2b2/3p3r/7P/P2k4/4pp2/8/1K3B2 b - -,e3e2
2rq1rk1/pb2bppp/1p2pn2/3pB3/2P5/1P4P1/P2NPPBP/2RQ1RK1 w - -,e2e3
r2r2k1/pb1nqppp/1ppn1b2/2P1p3/1P2P3/4NNP1/PBQ2PBP/R2R2K1 b - -,b6c5
1r4k1/2r1np2/1pn1p1pq/p2pP3/3P1NpP/P1R2N2/1P1Q1P2/6RK w - -,g1g4
r7/1r1bkp2/4p1p1/3pP2p/1P1R4/1PN2P2/6PP/2R3K1 w - -,g1f2
r2q1rk1/1p3pbp/2p1pnp1/3b4/pP1P4/4PNP1/P3QP1P/2RRBBK1 b - -,f6e4
7k/2p4p/1p1p4/6p1/1P6/3n4/3Q1PPP/q2B2K1 b - -,d3e5
r1r2bk1/1p1nnp1p/4p1p1/3pP3/p2P4/5NPP/PP1B1P2/1R2RBK1 b - -,d7b6
r1r3k1/4ppbp/3p2p1/3PP3/q2p1B2/P5P1/3Q1P1P/1R2R1K1 b - -,a4a3
5rk1/2pnq2p/2n3r1/P3p1p1/1pPpPp2/1N1P1Q1P/4NPP1/R4RK1 w - -,a5a6
2k5/pp2bpp1/7p/2p1Pb2/q4B1P/P1Q3P1/1P6/K1RrN3 w - -,e5e6
8/1R6/8/2N5/7r/k1K5/8/8 b - -,h4h3
8/8/2b5/ppb1k2B/2p2p2/P1P2Pp1/1PNK2P1/8 w - -,h5g4
6k1/2p4p/3p4/1p6/1P2bBpP/1Pb1N3/8/6K1 w - -,e3g4
8/8/1npk2pp/5p2/3N4/3K1PP1/7P/8 b - -,d6d5
1r3k2/5p2/Q2p3r/4pn1p/7p/2PN4/PP4q1/K2R3R w - -,a6a7
r6b/4Rk1p/p1bq2p1/1p4B1/P2p3Q/1P3P1P/2P3P1/6K1 b - -,d6e7
1r1qr1k1/2p2ppp/1bn2n2/1N1pP3/R2P2b1/5N2/1PB2PPP/2BQ1RK1 b - -,f6e4
4rrk1/1p4bp/pn1P2p1/2p1q3/8/2N1pP2/PP1QB1PP/R4RK1 w - -,d2d1
rn1qnrk1/pb2Bppp/2p1p3/1p6/3PP3/2NB1N2/PP3PPP/R2Q1RK1 b - -,d8e7
6r1/4k3/1p3b2/p1pPnB2/P1P2B2/1P3p2/3K4/5R2 w - -,d5d6
3rr1k1/bp3p1p/p4Qp1/4R3/P5q1/1P1B4/1BP1KP2/3R4 w - -,e2d2
r3k2r/1b1nbppp/p3pn2/1p6/1P6/P3PN2/1B1NBPPP/R2R2K1 b kq -,b7d5
1kn2b1r/1pq4p/p4p2/2Pp2p1/3P4/5PP1/P3RPKP/1R1Q4 w - -,e2b2
r1bqr1k1/1p1n1ppp/2pb4/p2p4/3P1P2/1QNB1NP1/PP3P1P/R3R1K1 b - -,e8e1
2rq1rk1/1p1bnpbp/3pp1p1/8/p2pPP2/P2P4/BPPBN1PP/R2Q1R1K b - -,d7b5
1q2r1k1/1b1n2bp/pp2p1p1/5p2/P1NPp3/BP4P1/4PPBP/1QR3K1 w - -,a3d6
r1r3k1/1n1nbppp/p1qpp3/8/1P2P1P1/2N1B2P/2P1QPB1/R2R2K1 w - -,e4e5
3rrbk1/2q2pp1/p3bn1p/P1pn4/1pN5/1N4PP/1P3PB1/1QRRB1K1 b - -,g7g6
2rq1rk1/p3bppp/1pb5/3p4/3Pn3/1P4P1/PB2NPBP/R2Q1RK1 b - -,c6b5
rrq5/3bk3/1p1p1p2/p2Pn1p1/P1PNPpPp/5P1P/R1R1B1K1/2Q5 b - -,c8d8
8/pp5p/3bpk2/7P/4n3/P4N1N/1PK5/8 b - -,h7h6
rn1q1rk1/1p2ppbp/p2p1np1/2pP4/2P1PP2/2N1B3/PP2BP1P/2RQ1RK1 b - -,b8d7
r2q3k/1p5p/p5r1/3b4/2Pn2PQ/3pR2P/PP4B1/3R2K1 w - -,c4d5
r4rk1/pR1bppbp/3p2p1/7n/2P1PP2/3B3P/P2BN1P1/5R1K b - -,d7c6
8/1kn2pp1/pppr1q1p/P4P2/1PR1B3/4P2P/2Q1KP2/8 b - -,c7b5
3r1k2/nb4bp/3p1pp1/Pp1Bp3/1P1pPP2/N2P2P1/4N2P/2R3K1 b - -,d8d7
3r4/1p2pp1p/4k1p1/pr2P3/4b2B/P3P3/5PPP/K1RR4 b - -,d8d1
6k1/1R4p1/1n6/4p1r1/3r3p/1P4P1/1P3PB1/2R3K1 b - -,b6d7
2r3k1/3q2b1/3p3p/pp1Pp1p1/2r3Pn/P1N1BP2/1P1RQR1P/6K1 b - -,b5b4
8/8/ppk2pp1/7p/1P1K1P1P/P5Pb/8/3N4 w - -,d1c3
r1bq1rk1/ppp1bppp/1n6/3Pp3/2P5/2N1B3/PP3PPP/R2QKB1R w KQ -,c4c5
8/kp6/1bp5/p7/P1NPq1p1/1PQ3P1/5P2/6K1 b - -,e4b1
1q3k1r/3Q1nbp/5p2/pP2pp2/4P3/2R4P/1PP2PP1/2K4R b - -,g7h6
r2r2k1/4bpp1/4p1p1/p3P3/1pNP2P1/7P/PP2R3/3R2K1 b - -,a5a4
