5rk1/2R3pp/5p2/3Nn3/P2KP3/7r/8/R7 b - -,e5f3
2r2rk1/pb4pp/4p3/nq3n2/Nb3B2/1P3PP1/P2QN1BP/1K1R3R w - -,e2c3
2rqkb1r/1p3ppp/p3pn2/3pBb2/3P4/2N1P3/PP3PPP/2RQKB1R w Kk -,d1b3
r2q2k1/1p1bn1pp/p3pr2/2np4/3Q4/P1N2N2/1PP2PPP/R3RBK1 b - -,a8c8
8/6p1/R7/1p3n1p/2k2B2/P4b2/1P3P1P/6K1 w - -,a6g6
r1bq1rk1/pppp1ppp/2n2n2/2b1p3/2P5/2NPPN2/PP2BPPP/R1BQK2R b KQ -,d7d5
5rk1/4q1b1/br1p2pp/1NpPp3/2P1B1Pn/3Q1P2/3B3P/1R3RK1 b - -,e7f6
r1bn1r1k/ppp1b1pp/8/3Pp2q/1P2Np2/PQ1P2P1/1B3PBP/R3R1K1 w - -,a1c1
1r6/Rb1n2pp/1P2pk2/R2p1p2/3N1P2/1P6/4PP1P/2r2BK1 b - -,e6e5
6k1/7p/6r1/1p2p3/b4r2/4K2P/2P1N1P1/R5R1 b - -,a4c2
8/8/1R4p1/5p1p/4n2P/r5P1/5kBK/8 w - -,b6b2
r1br2k1/2pq2b1/p1p2npp/2BNpp2/1P6/P2P2P1/3NPPBP/3Q1RK1 w - -,d5e7
r2q1rk1/pp2ppbp/2npbnp1/8/3NP1PP/2N1BP2/PPPQ4/R3KB1R b KQ h3,d8a5
2r4k/2pNR1p1/2n1B2p/1p3r2/4b3/P3R1PP/5P2/6K1 w - -,e6f5
1rbq1rk1/3nbppp/p3pn2/1pp5/2NP4/2NBPQ2/PP3PPP/R1BR2K1 w - b6,c4e5
r2q1rkn/pp1b2pp/2n1pb2/3p3P/3P4/2N2NP1/PP2BP2/R1BQ1RK1 w - -,c1f4
rnbr2k1/1pp1qpbp/5np1/1P2p3/P3P3/2N2N2/4BPPP/R1BQ1RK1 w - -,d1c2
3q1k2/5p1p/1p2p1pP/pP3BP1/r3N3/8/5Q2/4R1K1 b - -,g6f5
2r2k2/2q1bpp1/7r/4pP2/pP1pN2p/3Bn2P/KPPN1Q2/6R1 b - -,a4a3
8/8/1p2pk2/7r/P4p2/1pP2P2/1P3K2/5B2 w - -,f2e1
r4rk1/pb2q1pp/n2bpn2/2ppNp2/2P2B2/1Q3NP1/PP2PPBP/2R2RK1 w - -,f1d1
r2qr1k1/pp2ppbp/n2p1np1/8/2PBP1b1/P1N2N2/1P2BPPP/1R1Q1RK1 b - -,f6d7
1r5k/p7/4nqpb/1B1p3p/3Pp3/BP2P3/P2Q2PP/2R3K1 w - -,b5d7
5rk1/1p2bpp1/p3p2p/4P2Q/1q1NR3/1br5/2P2PPP/3R2K1 w - -,c2b3
r2qk2r/1pp4p/pb1pbpn1/6p1/3PP3/1PN1BN1P/1PPQ2P1/R3K2R w KQkq -,e1c1
8/8/8/R2bk2K/8/8/6r1/8 b - -,e5e6
r3kb1r/pp1bnppp/1qn1p3/2ppP3/3P4/P1P2N1P/1PB2PP1/RNBQK2R b KQkq -,a8c8
r4rk1/pbqpb1pp/1pn1p3/5p2/3P1P2/2PB1N2/PP4PP/R1BQ1RK1 w - -,c1e3
r2q1r1k/1b2bp2/2p1p2p/p2nP1p1/Pp1PB2P/4BN2/1P3PP1/R1Q2RK1 w - -,h4g5
5rq1/1kpr4/ppb1R1p1/3p1pBp/3P3P/2P2QP1/PP3P2/4R1K1 w - -,f3f4
r2q1rk1/pp3ppp/1bn2n2/8/NP1p2b1/P4NP1/4PPBP/R1BQ1RK1 w - -,c1b2
rn3rk1/4ppbp/bq1p1np1/p1pP4/2B1PP2/2N2N2/PP4PP/R1BQ1RK1 w - -,f3d2
6k1/p4p2/1pq1rpp1/2p2n1p/8/3PPPP1/P4Q1P/1R2R1K1 w - -,b1b2
1r1r2k1/p4ppp/q1p1b3/b7/P1pP4/4BQP1/1PR2P1P/R4BK1 b - -,h7h6
r6r/pp3ppp/2n2k2/2b4b/8/1P2PN1P/1P1BBPP1/R4RK1 b - -,f6e7
r2q1rk1/1p1nbppp/2p1pn2/p5B1/P2P4/2PB1QN1/1P3PPP/R3R1K1 b - -,f6d5
3r1r1k/ppp1qp1p/1bn1bn2/4p1p1/4P3/1NP4P/PPB1QPPN/R1B2RK1 w - -,c1g5
r4rk1/p1p1qppp/2pp1nb1/2b1p1B1/4P1P1/2NP1N1P/PPP2PK1/R2Q1R2 w - -,c3e2
5rk1/p3rp1p/q2pb1p1/2p1p1PP/2P1P3/1P2N3/P3KPQ1/R6R b - -,a6a3
1R6/p6p/p2p3k/2p2Pp1/6P1/P1Pr4/8/7K w - -,b8d8
8/5K2/3P4/1p6/1P5p/P6k/3R3P/6r1 b - -,g1f1
6k1/5p2/6p1/p2p4/2pK1Q2/2P3P1/Pr3q1P/5B2 w - -,d4d5
8/6R1/5k2/5p2/5n1p/4K2P/8/8 w - -,g7h7
rn1qkb1r/1b3pp1/p2ppn1p/1p4P1/3NP2P/2N1B3/PPP2PB1/R2QK2R b KQkq -,h6g5
8/4pk2/6p1/R6p/P7/7P/r5P1/6K1 w - h6,a5a8
r3k2r/pp2qpp1/1np1bn1p/3p4/3P1P2/P1NBPN1P/1PQ3P1/R3K2R w KQkq -,e1g1
r1bq1rk1/pp1nbpp1/2p4p/8/2BNN3/4P3/PP3PPP/2RQ1RK1 w - -,c4b3
r2q1rk1/ppp1ppbp/1n4p1/5b2/3nP3/2NQ1NP1/PP3PBP/R1BR2K1 b - e3,f5g4
r1b1r1k1/ppq2ppp/2p5/3n4/2N5/PP4P1/2Q1PPBP/3RR1K1 b - -,c8e6
8/4R1pk/p3pp2/1br2q1p/2PQ3P/5P2/6P1/2R3K1 w - -,g1h2
3r1bk1/2q2pp1/b3p2p/n2nP3/1ppNNPQP/6P1/1PP2BBK/R7 b - -,g8h8
8/p2r1pkp/1p4p1/r2p4/Pq1P4/2R1P1PP/2Q2P2/2R3K1 w - -,c3c8
r4rk1/4qn2/2p1bp2/p2pp2p/p2PP1pP/2P1Q3/1PBN2P1/2KR1R2 w - -,c2a4
8/p5k1/6pp/PB6/2N5/8/r4PKP/8 b - -,g7f6
r1b2r2/p1p1Rpk1/1p4pp/2NP4/2P5/P2n4/1P3PPP/R5K1 w - -,c5d3
r1bq1rk1/3nbppp/p2p1n2/1p1Pp3/4P3/P1N2N2/1P2BPPP/R1BQ1RK1 w - -,c1e3
6k1/5p1p/1R6/8/5P2/1P6/r3rPPP/5RK1 b - -,e2b2
1Q6/7k/8/3Pp3/4P1P1/5P2/1P1b2B1/3qBK2 w - -,b8a7
r6k/1pp2B1p/n6P/1N1Pp3/p1P4b/P4Pp1/1P2K3/6R1 w - -,d5d6
r2q1rk1/1b1nppbp/pp3np1/1P1p4/P2P4/B1N1PN2/4BPPP/R2Q1RK1 b - -,a6a5
r1b1k2r/pp2pp2/3p1b2/q1pP3p/2n1P2R/2N2P2/PP2N1P1/R1Q1KB2 w Qkq -,h4h1
rnb1k1nr/ppppq1pp/4p3/5p2/2PP4/PQb5/1P2PPPP/R1B1KBNR w KQkq -,b3c3
rr4k1/2q2pp1/p1p4p/1nQ5/4P1PP/1PN2P2/PP6/1K1R3R w - -,c3d5
r1b2rk1/pp2q1bp/2p3p1/5p1n/1PPpP3/P5PP/2Q1NPB1/2BR1RK1 b - -,f5e4
r3r1k1/1bq2p1p/p2p1bp1/2pPn3/1pP2B2/1P1Q1N1P/P3BPP1/3N1RK1 w - -,f3e5
1k6/3R4/p2Nn3/2P3p1/5p2/5K2/1r4P1/8 w - -,d6e4
r2q1rk1/pb1nppbp/5np1/8/2BB4/4PN2/P2N1PPP/1R1Q1RK1 b - -,d7b6
1rr2k2/5pp1/3R1n1p/2q1p3/1p2P3/1Q6/PP4PP/KB1R4 b - -,f8e7
5R1k/2p3q1/1p1p4/pPnPr1p1/P1P1p1P1/4P2P/2B1Q3/4R1K1 b - -,g7f8
7k/p5pp/6r1/4n3/1P2p2P/P1Pb1rNR/3R4/6K1 w - -,g1h2
r3kbnr/pp3pp1/4p3/2Ppqb1p/3N3P/4B3/PPP2PP1/R2QKB1R b KQkq -,f8c5
r4rk1/pp1qppbp/2np1np1/8/2P5/2N1N1Pb/PP1QPPBP/R1B2RK1 w - -,a1b1
7k/2Q5/5npp/BB1p1p2/2pb1P2/4q1P1/7P/5K2 w - -,f1g2
8/1kp1b3/1p6/4KPp1/2P5/pP2B3/n7/8 w - -,f5f6
2r4k/p2q2p1/6Bp/3b4/8/4B3/6R1/4R1K1 w - -,g2g3
8/4k3/8/2n5/3NK3/6r1/3R2P1/8 w - -,e4f4
r4k1r/1b1q1p2/p1n1p1pp/3pP2P/1p1P1P2/4Q3/PP2B1P1/KNR4R b - -,c6e7
8/6kp/1P1p4/N2q2p1/8/7P/2n3P1/6QK w - -,b6b7
r1b1qrk1/ppn1p1bp/2pp1np1/5p2/2PP4/Q1N3P1/PP2PPBP/R1BRN1K1 b - -,e8f7
r1bqr1k1/p1p2pp1/1p1p1nnp/3Pp3/2P1P3/2PBBP2/P3N1PP/R2Q1RK1 w - -,d1d2
2rb4/8/3p4/4k1pp/2B1Pp2/1PP2K1P/5P2/3R4 b - -,c8c5
rnbqkb1r/pp3ppp/4p3/3n4/3P4/2N5/PP3PPP/R1BQKBNR w KQkq -,g1f3
r4rk1/1b3pbp/p1nq2p1/2pp4/P7/4BBP1/1PPN1P1P/R3QRK1 b - -,a8c8
