8/7R/6r1/3kp3/8/8/7K/8 w - -,h7a7
1R6/p3ppkp/1n3Pp1/4Q3/8/2P4q/5P2/R5K1 b - -,e7f6
1kbr3r/ppq2n1p/2n1p1pP/4P1P1/3p1PN1/2P4B/P3Q3/R1B1R1K1 b - f3,d4d3
3r4/1b3k1p/p2r2p1/Pp3p2/2q1pQ2/7P/2PP2P1/4RNRK w - -,e1e3
8/1p2r3/p4k2/5p1r/P1P1p3/4R3/1PP2R1P/7K w - -,c2c3
r2q1rk1/pp2ppbp/2npbnp1/8/2P5/2N1N1P1/PP2PPBP/R1BQ1RK1 b - -,a8c8:d8d7
r7/p6R/5p2/2r1pk2/2P5/2K3R1/P4P1P/8 b - -,a8c8
rn3rk1/p1pp2pp/1p2pn2/q7/b1PP1NP1/2PB1P2/P1Q4P/1RB2RK1 w - -,c2g2
2r3k1/q5pp/1n2p3/1p1p1b2/3PpP2/1PP1N1P1/2R3BP/2Q3K1 w - -,h2h3
r3r3/5bk1/p1p2p1p/PpNp1Pp1/1P1P2P1/4PPK1/7R/4R3 b - -,a8a7
rn1qk2r/pb3ppp/2p1pN2/1p6/2pPP3/6P1/PP3PBP/RN1Q1RK1 b kq -,g7f6
rnb2rk1/1pq1p1bp/2pp1np1/p4p2/2PP4/1PN2NP1/PB2PPBP/R2Q1RK1 w - -,f1e1
3r2k1/3n1p1p/1p4p1/8/2Pb2q1/6B1/P1Q3BP/5R1K w - -,f1f4
r2qr1k1/ppp2pp1/2n1bn1p/2bpp3/4P3/1BPP1N1P/PP2QPP1/R1B1KN1R w KQ -,g2g4
4r1k1/1p2qpp1/p1p3r1/3p4/PP1P2np/4P1P1/5P1P/2RRQNK1 w - -,h2h3
4k3/5P2/3K4/2P1p3/1b5p/pB5P/P7/8 b - -,e8f8
3r1b1r/kpq3p1/p4p2/PB2pP2/1P1pN1Qp/3P3P/2P3P1/RR4K1 b - -,a6b5
8/1p1qr3/pR1p1nkn/P1pP1bp1/2P2p1p/2QB1P1P/1P1N2P1/5NK1 b - -,g6f7
r3kb1r/1pqb1ppp/p1nppn2/8/P2NP3/2N3P1/1PP2PBP/R1BQ1RK1 w kq -,c1e3:d4b3
r2q1rk1/1p2bppp/2p1pnb1/p1npN3/4P3/PP1P2P1/1BPNQPBP/R4RK1 b - -,f6d7
r5k1/pp1nqppp/2p5/3p3n/3P2b1/2NB2N1/PPPQ1PPP/R5K1 w - -,h2h3
8/p5pk/1r6/3Q4/6P1/2PP1R2/Prq2NPK/R7 w - -,g4g5
r4k1r/pbpR1pbp/1p4p1/1B2p1Pn/1q2P3/2N1B3/PPP2P1P/2K1Q2R w - -,a2a3
r4rk1/1p1nppb1/1pn1b1pp/3p4/3p1P1N/2P1P1B1/PP1NB1PP/R4RK1 w - -,e3d4
1r1q1rk1/p3ppbp/3pb1p1/8/R3PPn1/3P2NP/1P4P1/1BQNK2R b K -,e6b3
r1b1r1k1/ppqn1pbp/2pp1np1/8/P3PP2/2N1B2P/1PPNB1P1/R2Q1RK1 w - -,e2f3
r2qkb1r/1ppbnppp/p1np4/4p3/B3P3/2NP1N2/PPP2PPP/R1BQ1RK1 b kq -,e7g6
8/8/3Rpk1p/6p1/4P1P1/1P4K1/r1r4P/3R4 w - -,d6d3
3r3k/1pprb1p1/2b1p2p/4Pp2/1PP2P2/2BBK1P1/3R2P1/3R4 b - -,d8a8
r2q2k1/1b4pp/3p4/3P4/2PQ4/1P2RN1P/6P1/4K3 b - -,b7c8
4k3/5ppp/p2bp1n1/8/5P2/P2KB3/1P2NP1P/8 w - -,b2b4
2r2k1r/pp1pbppp/2p3n1/1B6/3P4/8/PPP2PPP/R1B1R1K1 w - -,b5d3
4nb1r/5k2/p2p2p1/P1pPp1P1/1pP1P3/1P2BB2/6N1/6K1 w - -,f3g4
r5k1/1R6/6PK/5P2/8/8/8/8 b - -,a8f8
2rr2k1/pp3p1p/4p1p1/nN2p3/2B1P3/PP2P2P/6P1/2R3K1 b - -,a5b3
2r2rk1/pp4pp/1bn1b1q1/1Q1p4/8/2Pp1NB1/PP1N1PP1/4RRK1 b - -,g8h8
r4r1k/1bp1q2p/pp2pp2/2n1R1B1/2Pp3Q/8/PP3PPP/RB4K1 w - -,b1h7
r3k2r/p3Pp2/n1p1b2b/qp1pN2p/3P3B/P1NR3P/1PP2Q2/1K5R b kq -,a5c7
2R2bk1/5pp1/4p2p/3pP3/3P4/4B1PP/4KP2/r7 b - -,a1a3
q7/3nbk2/2b1p1p1/1pp1pp1p/4P3/2PPBP2/1PBNK1PP/1Q6 b - -,a8d8
3r4/1p3p1k/6pp/1P3n2/3n4/5NP1/5PBP/2R3K1 w - -,f3d4
3q4/5pk1/3bp2p/p2p4/3P4/P3PNP1/2Q3KP/8 w - -,a3a4
2rr4/7p/p2n4/1pB1k1p1/1P1RBp2/2P5/P6P/3K4 w - -,e4h7
r2r2k1/pp1n1pbp/1np2qp1/4p3/3P4/4P1PP/PPQ2PB1/RNBR2K1 w - -,b1c3
r3kb1r/pp1b1ppp/1qn1p2n/3pP3/P2P4/N4N2/1P2BPPP/R1BQK2R b KQkq -,f8b4
5rk1/4bp2/2qpb3/4p1pn/1rp1P3/2N2QB1/1PPN1PP1/RR4K1 b - -,g5g4
r7/1p1q1rbk/n2p2pp/p2Ppb1n/4N3/P1N1BPP1/1P1Q3P/RB3RK1 b - -,a8f8
5q2/P6k/1p2Qbp1/1P3p1p/3p1N1P/3R1PP1/1r6/6K1 b - -,h7h6
rn1qkb1r/p4pnp/bpp1p2B/3pP2p/3P4/2N2B2/PPPQ1PP1/2KR2NR b kq -,b8d7
8/2r2p2/pNk2p2/4pP2/4N2p/5B2/3b2PP/7K w - -,b6a8
r3q1k1/1p4pp/p3p3/4br2/1P5Q/PN6/5PPP/3R1RK1 w - -,g2g3
5n2/5k2/4p1p1/P1bp4/2p5/2P4P/2K5/4R3 b - -,f8d7
1r6/4pk2/2r4p/p1P2P2/1pR2K2/1P5P/8/6R1 w - -,h3h4
1rb2rk1/5pp1/1b1q3p/1p2Q3/3Pp3/1B2B2P/1P3PP1/R3R1K1 b - -,d6e5
1rr3k1/3q1p1p/3pp1pb/p7/b1P1PP2/3QBB1P/P5PK/1RR5 w - -,d3d2
r1b2rk1/pppnq1b1/3ppn1p/5pp1/3P4/1QPBPN1P/PP1N1PPB/R4RK1 b - -,g8h8
r3kb1r/1bpp1ppp/1np1q3/4P3/p1P1N3/1P6/PB2QPPP/2KR1B1R b kq -,a4b3
r1bqk2r/pppp1ppp/2nb1n2/1B6/3PPP2/2N5/PPP3PP/R1BQK2R w KQkq -,e4e5
8/p7/1b2k1p1/1P1pP2p/1PrP1p2/2B2q2/3Q4/3RK3 w - -,c3b2
r3qrk1/p2nbppp/b1N1pn2/2p5/Pp1PP3/5NP1/1PQ2PBP/R1BR2K1 w - -,d4d5
8/5pk1/4p1p1/p6p/1p2P2P/1Bb3P1/2Q1NPK1/q7 w - a6,c2c1
r2q1rk1/pp1bp2p/3p2pQ/2pPn3/2P5/1PN2P2/P3N1PP/3R1RK1 b - -,d8e8
r1b2rk1/p4p1p/1p1Ppqp1/1Bp1N3/4P3/2P5/P2Q1PPP/R3K2R b KQ -,f6e5
r3r3/5b1p/1pp2kp1/3p4/Pp3PP1/1P1B3P/2P2R1K/5R2 b - -,c6c5
r4rk1/1q1nbppp/2p1pn2/Pb1p4/3P4/1QN3P1/P2NPPBP/R1B2RK1 b - -,a8a5
6k1/pr3p1p/1nn1p1p1/2B1b3/R7/P3N1P1/3N1PKP/8 w - -,a4a6
4rrk1/2p2pn1/1p4p1/1PpPP2p/2P3PQ/3B3R/1q2R1KP/8 b - -,b2d4
3q1r1k/1P4b1/3pQ2p/3P4/8/3B3P/7N/7K b - -,d8h4
r1b2rk1/1ppnqppp/3p1n2/p2Pp3/2P5/PPB2NP1/2Q1PPBP/R3K2R w KQ -,f3h4
4k3/R7/6P1/5K1p/p4P2/7r/8/8 b - -,h3g3
r3r1k1/pp4q1/1n1p1n2/2pP2Q1/2P3b1/2PB1p1N/P4B2/R4K1R w - -,g5h4
4r1k1/p1b1rppp/1p6/1PnR4/3B4/P4BP1/5P1P/5RK1 b - -,c5e6
rn3rk1/pp1b1pbp/4p1p1/1B6/3PP3/5N2/P2B1PPP/2R1K2R w K -,b5d7
8/8/1p2p2p/3pP1p1/k2P2P1/3Nn2P/3K4/8 b - -,e3c4
3Rb2k/2q4n/p1p2P1Q/P7/1pB1NP2/7r/1PP3K1/8 b - -,h3h6
3rr1k1/5pbp/p1q1pnp1/2p1B3/4bP2/1P1BN3/P1RPQ1PP/5R1K w - -,d3e4
7k/1p4p1/p2b1p1p/3p4/P2P2P1/1P2Q2P/2b2PK1/3qBN2 b - -,c2b3
8/R4p1k/1p4p1/5r2/P4R1P/1P3PQK/6P1/q6r w - -,h3g4
r2r2k1/1p2qpp1/2pbp1p1/p2n4/1PnP4/P1NR2PP/2P2PB1/1RQ1B1K1 w - a6,c3e4
2R5/p5kp/6p1/3npp2/8/P4KPP/2N1P3/2r5 w - f6,e2e4
1r4k1/5pbp/4p1p1/R7/2Pr3P/6P1/5PB1/3R2K1 w - -,d1d4
3r4/3b2kp/3Pq3/6p1/R3B1P1/2P4Q/1P4K1/8 w - -,h3h7
3r1b2/pp1k1p2/5P2/3p4/4q3/2B3Q1/PP2P3/2R1K3 w - -,c3a5
8/1p2b3/pP2p3/P3Pk1p/5Pp1/8/3B1K2/8 b - -,f5e4:h5h4
