8/6p1/5kBp/4p2P/r2N1P2/4K3/8/8 w - -,f4e5
2r1k1r1/2q1bp1p/2p3pB/pp2p1P1/4Pn1P/1N2Q3/PPP2P2/1K1R2R1 w - -,b3c5
4rrk1/1ppq2pn/1p1p3p/nP1Pp3/2P3P1/3QBPNP/P4R2/5RK1 b - -,f8f6
r1bq1rk1/2p2pbp/1npp2p1/8/2P1PP2/1PBB4/1NQ3PP/4RRK1 b - -,b6d7
8/2p2k1p/p7/7r/2p1P2N/1PP2pP1/P1R2b1K/2B2r2 w - -,h2h3
r1b2rk1/pp1n1pbp/2p2np1/q3p3/2P1P3/2N2NPP/PP3PB1/R1BQ1RK1 w - -,d1c2
8/p3r1kp/2R1P1p1/P1pB1p2/2P5/3n3P/5P2/6K1 b - -,g7f6
2r3k1/2p2rbp/1pR3p1/3Pp3/p3P3/5PP1/PP1B4/5RK1 b - -,f7f6
1r6/2rbppkp/5np1/N2p4/P3p3/1P6/2N1PP1P/2RR2K1 w - -,b3b4
r6k/pp4bp/3Q2n1/3P1r1q/5pp1/3B1P2/PP2N1PP/R4RK1 b - -,g4f3
r3r2k/pp1n1pp1/5n1p/q2p3P/3N2PR/2N1PQ2/PP3P2/1R3K2 w - -,d4f5
rn2k2r/1p1qb1pp/p2ppn2/2p5/P1B1P3/2N5/1PP2PPP/R1BQK2R b KQkq a3,b8c6
3R4/pp6/4k3/8/8/1P2pKPP/P2p4/3r4 b - -,d1f1
8/4PK2/5N2/8/p6k/P4b2/8/5r2 b - -,f3h5
7r/p2Q1pk1/4pq2/3p1bN1/5P2/4P2p/P5PP/2R3K1 w - -,g2h3
6k1/6p1/2p2p1p/1b6/2pP4/R1P3BP/5PPK/2r5 b - -,g8f7
8/p4p2/2p2kp1/8/2p5/P1P2N1P/1P3KP1/1b6 b - -,c6c5
4r1n1/2kbqr2/1p1p1p2/pPpPn1p1/2P1PQPp/5N1P/P2NR1B1/5RK1 w - -,f4e3
8/8/8/8/2NK2n1/3pp1P1/4k3/8 w - -,c4b2
2k1r3/1pB1q2p/2pR2p1/P1P2p2/8/8/1P2p3/2K1Q3 b - -,c8c7
1r1q1rk1/4bpnp/6p1/p1pPp3/2Q5/4B1P1/PPP1B2P/R2R2K1 b - -,g7f5
8/8/kp2b3/p3Pp2/2q2Q1K/3p1P2/3B4/8 w - -,h4g5
r1b2rk1/p2nppbp/1q1p2p1/3P4/1Pp1PP2/5N1P/PPB1Q1P1/R1B2RK1 w - -,e2f2
3rr3/p4pkp/1p6/2ppq1pQ/2P5/1P2P1P1/P2R1P1P/5RK1 w - -,f1d1
3Q4/2p1P1pk/4r2p/8/2P5/4qP2/P2p2PP/6RK w - -,h2h3
8/4ppk1/3p1bpp/2qP4/4P2P/6P1/4QPK1/1R6 w - -,h4h5
rnbq1rk1/5pbp/pp1p1np1/2pP4/P3PP2/2N5/1PP1N1BP/R1BQ1RK1 b - -,a8a7
3r1rk1/pp3ppp/2p1p1b1/2qn4/5N2/1P1P1PP1/P1P1Q1BP/R4R1K w - -,f4d5
r3k2r/ppq2ppp/2n1p1n1/2bpP3/8/1N1P1NB1/PP3PPP/R2QK2R w KQkq -,b3c5
8/8/r5pK/1p3p2/5P2/2k5/P2R2PP/8 w - -,d2f2
8/1p6/1K2k3/1PP5/5P2/6p1/2R2r2/8 w - -,c2c3
3rr1k1/pp3pp1/q1p2bp1/2Rn4/3P4/PQ1RB1P1/1P3PBP/6K1 b - -,d5e3
r3r1k1/1p3p2/1N3np1/2Pp1q1p/3P4/4PpPP/5P1K/R4Q2 w - -,a1a8
rq1r2k1/2R2pp1/p6p/2Q1P3/1P1R1P2/Pb3NP1/6KP/8 w - -,f4f5
k1b1r3/1pq5/p1pr2p1/3p1p1p/PQ1P4/1R2PPP1/1P2B1P1/1KR5 b - -,d6e6
r3kb1r/1bqppppp/p1n2n2/1p4B1/4P2Q/2NB1N2/PPP2PPP/R3K2R w KQkq -,e1g1
1nr5/2q1bpkp/p2pp1p1/1pr3N1/P1P4P/1P2P1P1/3RQPB1/3R2K1 w - -,g5e4
3r4/5k1p/b1p2pp1/8/PN2rPP1/1P2p2P/2P2K2/3RR3 w - -,e1e3
8/2N2p2/6k1/2K1B3/2B1b3/8/8/3r4 b - -,f7f6
5bB1/R7/2N3p1/1P2pk2/8/p3P1Pb/2r4P/4K3 w - -,a7f7
6k1/3R2P1/6K1/b7/8/8/7p/8 w - -,d7e7
rn1q1rk1/pbp2pp1/1p2pn1p/6B1/2QP4/P4N2/1P2PPPP/2R1KB1R w K -,g5h4
r1b1k2r/2p2ppp/pn1qpn2/1p1p4/1P1P4/P1N2N1P/2PQPPP1/R3KB1R w KQkq -,e2e3
4n3/p4pp1/1k2p2p/2p3PP/2PPBP2/2PK4/P7/8 w - -,d3e3
r5k1/pb2rppp/1p6/3pPP2/4n3/6P1/PB2P1BP/2R2RK1 w - -,f1d1
r1b2rk1/p3qppp/2p1p3/8/3P4/2P5/4QPPP/RB1R2K1 w - -,a1a5
6r1/pp2kb2/2p5/3p3p/3P1NB1/8/PPPK4/6R1 b - -,g8g4
Q7/p3Np1k/4qPp1/2p4r/1pP4P/3P2R1/P4b2/4rK2 w - -,f1g2
1n6/1p2k2p/p7/4pp2/8/2P1K3/PP4PP/3B4 w - -,g2g4
3r1rk1/2pP1pb1/p1p5/2N2qP1/P7/4Q3/1P3K2/R2R4 w - -,f2e2
4r1k1/1ppq1pbp/3p2p1/pN1Pn3/Pn1N1B2/6Pb/1PPQ1P1P/2R3KB w - -,b2b3
5r1k/p3qnb1/bpn5/2p1p3/4P3/N5PP/PPPR2B1/3RQ1K1 b - -,f8d8
r1b2r1k/pp4pp/1qn2b2/1BpQ2N1/P2p4/4P3/1P3PPP/R1B2RK1 b - -,f6g5
4k3/1p6/3n2p1/pb1p2Bp/3Pp2P/1PK1P2B/P4P2/8 b - -,b5d7
r4r1k/p1pp2pp/1pP5/3Q1nB1/8/q1P5/2P1BP1P/1K1R2R1 w - -,c6d7
8/B7/4p1kp/1p3pp1/1P3P2/2n1P1PP/7K/8 b - -,g5g4
r3qrk1/3nbppp/b3p3/2ppP1N1/p2n1BQP/1P1P2P1/1PP2PBN/2R1R1K1 b - -,a4b3
8/5B2/b1p5/p1k1p1p1/P3P3/2P2P2/5K2/8 w - -,f2g3
8/8/p7/5k2/1p3PP1/r6P/P4RK1/8 b - -,f5f6
r5k1/2Br1p1p/p2P4/2pN1P1p/R1nbP2R/6P1/7P/1b5K b - -,b1d3
8/1R5p/4p3/5k2/1P6/3b1P2/1r4P1/6K1 b - -,f5f4
1rb1k2r/2q1bp2/p3p3/1p1pP1pp/2nN1P2/P1PB2P1/1PQ2B1P/R4RK1 b k -,h5h4
r3r3/pp1bBppk/4p2p/3pPq2/7Q/2P3R1/P4PPP/4R1K1 w - -,h2h3
b6r/6k1/8/3p1p2/3R2p1/1Bp1P1P1/P1Q1KP2/7q b - -,h1f3
r3k2r/pp2qpn1/2p3p1/3b3p/3P4/3B2N1/PPQ2PPP/1K1RR3 b kq -,g7e6
8/5pkp/qR1p2p1/8/PR3P2/1N6/1P5n/1K6 b - -,a6f1
1k2r3/4b2R/3n4/q1NQ4/p6P/5P2/PPP3P1/2K5 b - -,e7g5
8/pp2r1pp/5k2/2p5/2P5/5P2/PP1R1KPP/8 b - -,b7b6
3q1rk1/ppr2pp1/2nb1n1p/3p1B2/N2Pp3/P3P3/1P1BQPPP/R1R3K1 w - -,f5h3
r1bqkb1r/3n1p1p/p1n1p1p1/1p1pP3/2p2PQ1/1P3N2/PBPPB1PP/RN3R1K w kq b6,b1c3
5r2/1r2qpk1/6p1/3R4/7P/2P5/5QP1/R5K1 b - -,f8c8
8/8/4k2p/5p2/4p2r/6N1/1PP2K1P/7R w - -,f2g2
r4rk1/p2n1pp1/R3p2p/2p5/1q1Pn3/4PN1P/1P2BPP1/3QR1K1 b - -,b4b2
2r3k1/5p2/3pbnp1/pp2b1Rp/4P3/1NqB3P/P1P3Q1/3K2R1 b - -,g8f8
r5k1/3qppbp/8/1NpP2p1/2r1P3/4Q2P/5PP1/1RR3K1 b - -,c4c1
2kr3r/ppq2ppp/2p1b3/4p1P1/2P3P1/1Q1PP3/PP1KB3/5R1R w - -,b3a3
6k1/p4pp1/1p2p2p/1R6/P7/2P5/1P1r1PPP/5K2 b - a3,g7g6
r2q1b2/p5pk/p6p/3pn3/2p5/2PnB1N1/1P3PPP/RQ3RK1 w - -,a1a6
r1b2rk1/3n1ppp/p1n1p3/1pqpP3/5P2/P1NB1N2/1PPQ2PP/R3K2R w KQ -,d2f2
3R4/1r3p2/8/4pP2/1p1bk1K1/6P1/8/3R4 w - -,d1e1
r1b2rk1/pp1pnpb1/2nBp1pp/7q/2N1P3/Q1PB1N2/PP3PPP/R3K2R b KQ -,f7f5
r2q1rk1/2p2ppp/p1n3b1/1pbpP3/4n3/1NP2N2/PPB2PPP/R1BQ1RK1 w - -,b3c5
r1b1k2r/5ppp/p1ppp3/6bB/4P3/2N5/PPP2PPP/R4RK1 w kq -,f2f4
8/6pk/5q2/8/R4p2/R5P1/5P2/6K1 b - -,f4g3
rn2r1k1/pp3pp1/4qBn1/4P1Q1/P7/5P2/6PP/1R1R3K w - -,d1d6
r5k1/1q2bppp/2p1pn2/3b4/1p1P2P1/1P1N1P2/2PBBQ1P/2R3K1 b - -,f6d7
