8/5p2/7P/1R3pk1/1P6/6P1/1r3PK1/8 b - -,b2d2
1N2r3/1p3pk1/p2P1bp1/P3p2p/2p5/7P/1P3PP1/3Q2K1 b - -,e8b8
4b1k1/1p4pp/p2qpr1r/3pR1N1/3P4/2Q3P1/PP3P1P/4R1K1 b - -,e8c6
r5k1/1p4bp/1pp3p1/2n1Pn2/2P2P2/2N3P1/PP1RN2P/6K1 b - -,g7f8
2rqk2r/4ppb1/p1npb2p/1p1N2p1/2n1P3/1NP3B1/PPQ2PPP/2KR1B1R w k -,f1c4
8/7r/4n3/1p2p3/2k2p1p/PpP2P1R/1P2KP2/2B5 b - -,e6c5
r3k2r/1b3ppp/2q1p3/pN1p4/4nB2/Q5P1/1PP1PP1P/R4RK1 w - -,b5c7
4r2k/ppn1r1pp/1q3p2/1PpBn3/2P1P3/P1Q5/1B4PP/3R1RK1 w - -,a3a4
r2q1rk1/2pb2pp/2p1n3/p2pPp2/5P2/3QB3/PPPN2PP/R4RK1 w - a6,d3c3
3r1k2/1p3pp1/2p2n1p/p3p3/P2rP3/qP1R1PP1/2P2QK1/2NR4 b - -,a3b2
7r/2pk2p1/3b2p1/pp6/3P2P1/4BK2/PP3P2/4R3 w - -,f3e4
1r3rk1/p1qbppbp/2p3p1/8/Q1N3n1/4P1P1/PP1B1PBP/R4RK1 w - -,d2a5
2r1bk2/1p2qpp1/p3p2p/8/5Q2/1BP4P/PP3PP1/3R2K1 b - -,e8c6
2R3rk/3n3n/4N2R/3P4/3p1p1p/7P/6P1/6K1 b - -,g8c8
r2r2k1/pp4b1/2p3pp/3n1p2/P3p2P/1nP3PN/1P2PPB1/R1B1R1K1 w - -,a1b1
k2r1r2/p1B1R3/1p6/8/2pp4/n5P1/1R3P2/6K1 b - -,d8d5
r2q1rk1/pp2ppbp/2p2np1/4P3/2nP4/2N1BB2/PP3PPP/R2Q1RK1 b - -,c4e3
2R2bk1/1p3ppp/2b1pq2/p2p4/7P/P2PB1Q1/1P3PP1/6K1 b - -,f6e7
r1bq1rk1/3npp1p/p2p1npQ/2pN4/1pPPP2P/5P2/PP2N1P1/R3KB1R b KQ -,e7e6
r3qbk1/pb5p/np4p1/4N3/4p1Q1/1P4P1/P3PP1P/2R2RK1 w - -,e5c4
8/r4k2/P2R1pqp/3P4/7P/6Q1/6K1/8 w - -,g3g6
2r2k2/4bp1p/4pp2/8/2rN1PPB/P1P5/1P2Q2P/1K1R3q b - -,h1b7
r1b1r1k1/pp3ppp/2p1pn2/q2p4/2PP4/P3PP2/3NB1PP/R1Q2RK1 b - -,e6e5
r3r1k1/1p3pbp/2ppbnp1/q1n5/p1PNP2B/2N2P2/PP1Q2PP/1R2RBK1 w - -,e1d1
8/3k4/8/B2p3p/P2q1p2/7P/3R3K/8 b - -,d4c5
2r1k2r/2qpbppp/p3p3/8/Np2b1P1/4B3/PPPQ3P/1K1R1B1R w k -,f1a6
3r4/1p3k1p/p1p2P2/2PbPP1P/R4K2/8/1P6/8 b - -,d8g8
3q1rk1/3bp2p/4n1p1/pr1p4/4p3/Q3PPP1/P2N2BP/R4RK1 b - -,e4f3
r3r1k1/1ppb1qbp/3p4/p2N1P2/2Pn2p1/1P4P1/PB1Q3P/4RRK1 w - -,b2d4
5k2/5p2/1P1Nn1p1/4Q3/3q3p/5P1P/6PK/8 w - -,f3f4
rnb1kb1r/pp3ppp/1qp5/8/4P1n1/1NN5/PPPQ2PP/R1B1KB1R b KQkq -,f8e7
r2q3k/pp2brp1/2p4p/4n2b/3P1N1P/2N1P3/PP3PQ1/R3K1R1 w Q -,d4e5
8/2k3pp/p1p5/3p4/1P5P/P1R3P1/2P1KP2/r7 b - h3,c7d6
r3r1k1/1pqnbppp/2p1pn2/p7/2PP4/PP1Q1NN1/1B3PPP/R4RK1 w - -,f1e1
8/6p1/1pk1pn2/p2p1p1p/P2P1P1P/1PNKP1P1/8/8 b - -,c6d6
k7/1b3p2/p2ppNnp/1pn4N/1P2P1P1/7r/P1B5/K2R4 b - -,c5a4
r5k1/5p1p/5p2/p6p/8/4P3/R4PP1/4K3 w - -,a2a4
r1bq1rk1/ppp1p1bp/2np1np1/5pB1/2PP4/2N2NP1/PP2PPBP/R2Q1RK1 b - -,f6e4
2r2rk1/p1q1n1b1/1p1p2p1/2pP3p/4PP1P/6Q1/PP1B2BK/1R3R2 w - -,g2h3
2r1kbnr/1p3ppp/p2pb3/3Np3/P1BnP2q/N7/1PP2PPP/R1BQK2R w KQk -,e1g1
r2q1rk1/ppp2p1p/3pbbp1/8/5B2/2PB2Q1/PPP2PPP/R4RK1 w - -,f1e1
8/3n1k2/4p3/1p3p1p/3PpP1B/1PP1P3/3K4/8 b - -,d7f8
2bQ4/4rpk1/3p1qp1/p1rBp1Np/4P2P/2PR1P2/PP4P1/6K1 w - -,d5f7
8/8/1R3p2/2B1k1p1/rpb5/6P1/5K2/8 b - -,a4a2
q3r1k1/2Q2ppp/2p5/1pPr1P2/pP4P1/P6P/8/R3R1K1 b - -,h7h5
3Q4/5k2/4p2p/2K2p1P/2R5/8/8/q4r2 w - -,d8d7
r3k2r/2q2pp1/p1ppb3/2N1p3/4P1Pp/1P2P2P/P1P2QB1/3R1RK1 b kq -,d6c5
4rrk1/1pqn1pBp/3p2p1/pPnPp3/6P1/2N4P/1PPQ1PB1/2R2RK1 b - -,g8g7
r2q1rk1/pp2bppp/2n2nb1/3p4/3N4/1N3PPP/PPP3B1/R1BQR1K1 w - -,c2c3
4B3/8/8/4k1P1/P5K1/2b5/8/8 b - -,c3d2
rn1r2k1/ppq1ppbp/6pn/2p5/3PbP2/N1P1BNP1/PP4BP/R2Q1R1K w - -,d1b3
2rqbrk1/1p2ppbp/n2p1np1/pN1P4/P2BP3/2N4P/1PB1QPP1/R4RK1 w - -,a1c1
r1bqk2r/pppnbppp/3ppn2/8/2PPP3/2N2N2/PP2BPPP/R1BQK2R b KQkq -,c7c5
1r3r1k/6bp/8/4p3/P1P2pN1/3R1Q1P/4RPPK/q7 w - -,e2d2
1r3k2/5p1p/4p1pP/8/bpPR1P2/4K1P1/1P2R1B1/3r4 b - -,d1c1
8/5rbk/3B3p/5pp1/P1Qq4/7P/5PP1/2R3K1 b - -,d4a7
r2q1rk1/1b1n1ppp/p3pb2/8/2B5/2N1P3/PBQR1PPP/R5K1 b - -,d8c7
3k1r2/ppp5/4Q3/5np1/3P4/2P2qp1/PPK1R3/4R3 w - -,e6e4
rnq2rk1/p3ppbp/1p1p2p1/2pP4/2P1P3/2B3P1/PP3PNP/R2Q1RK1 b - -,g7c3
rnbqkb1r/pp3ppp/1np5/3Pp3/2P5/2NB4/PP3PPP/R1BQK1NR b KQkq -,f8b4
3r4/pp1P3p/5k2/3Bqp2/2P5/1P6/2KQ2P1/8 b - -,d8d7
r2q1rk1/4bp1p/p3b1pQ/2p1P3/1p1nN3/8/PPB2PPP/R1B1R1K1 w - -,e4g5
r3r1k1/p4ppp/2p3n1/1p2P3/q4P2/b1P2QB1/P2N2PP/2RR2K1 w - -,c1b1
r1b2qrk/1ppn1p2/p2p1n1p/3PpNp1/PP2P3/2P2NPP/2Q2P2/R3RBK1 b - b3,a6a5
r1b1k2r/4bp2/2p1pp1p/3p4/1PpP4/4P3/PPBN1PPP/R4RK1 b kq -,e7b4
r4bk1/1p3ppp/2p2n2/p1q2P2/P1p2P2/2N1rQ1P/1PP1B1PK/R4R2 w - -,f3f2
7r/4R1p1/1p6/p5k1/1PP3B1/7P/P5b1/1K6 w - a6,b4a5
r3k2r/pppq1ppp/3b4/Q7/3P4/4B3/PPP2PbP/RN3RK1 w kq -,f1e1
r5k1/pp2n1pp/4b3/3p2P1/3PpbPq/1P2Pr1B/PB1Q1NK1/4RR2 w - -,e3f4
1r3rk1/1p1bppbp/pqnp1np1/8/P1P1P3/1PN3P1/1B2NPBP/R2QK2R w KQ -,a1b1
8/2p4k/ppr2b1p/3p4/P2P4/2P1B2P/2P2PK1/R7 w - -,e3d2
r7/p4pkp/5bp1/3R4/rBp5/P1P1P1P1/5P1P/3R2K1 w - -,d5a5
8/5p2/pp2rpk1/6rp/3R4/2B3PK/PP3P2/8 b - -,g5f5
1k2q3/1p5p/8/p1Np4/1P1P1b2/P1P2B2/3K1PP1/3RR3 w - -,d2c2
5rk1/5ppp/P5Q1/8/1PN1nP2/4P2q/3B4/R2R2K1 b - -,f7g6
r1bq4/6k1/3p1np1/p1pPp3/1pP1Pb1r/3BN1NP/PP2QPK1/6RR b - -,g7f7
8/2r2pk1/3R3p/3B2P1/2p5/6P1/5KP1/1b6 b - -,h6g5
3n2r1/r1p3k1/1pPp1p2/pP1NpP2/P3P1pp/2PR4/6PP/3R2K1 w - -,d5e7
r5k1/4pp1p/3p2p1/2n5/2PbP1Pq/5B2/P1Q2P1P/1R1N1K2 b - -,a8a3
r1bq1rk1/p3bppp/2p2n2/n3p1N1/8/2NB4/PPPP1PPP/R1BQ1RK1 b - -,c6c5
8/6pk/8/7P/3Q1p2/5p1P/2q2P1K/8 w - -,h5h6
4r3/6kp/1p6/6Q1/1qPpr2P/8/6P1/4R1K1 b - -,g7h8
3rrbk1/2pq1ppp/p1n1n1b1/1p1pPN2/6P1/2P1BN1P/PPB2P2/R2QR1K1 b - -,c6a5
8/1p6/pB6/Pb1k4/1P6/2K5/2P5/8 w - -,c3b3
r1nq1rk1/pp1b1pbp/n5p1/2pP4/4N3/1P2BPP1/P3N1BP/R2Q1RK1 b - -,f8e8
r4rk1/pp1b2pp/2n1pn2/2qp4/5P2/2NB1N2/PPPQ2PP/1K1R3R b - -,a7a6
r1bq1rk1/pp1p4/2n1p3/4PppP/8/2N2p2/PPPQ4/2KR1BR1 b - -,g5g4
