1Q6/8/4pk2/8/1p3P2/7K/4q2P/8 b - -,e2f3:e2d3
8/1p1r2k1/2p5/p1Nn1p2/P2P4/1P3PK1/2R5/8 b - -,d7e7
r1b1kbnr/1pp2ppp/p7/2p5/3NP3/8/PPP2PPP/RNB1K2R w KQkq -,d4e2
R7/P7/5Kpp/5p1k/4pP2/4P2P/r4P2/8 w - -,f6g7
1r4k1/p7/4p1p1/2p1b2p/4P3/2PP3P/P3RKPq/2Q2R2 b - -,b8f8
r1b1k2r/pp1n1ppp/1q6/2pp4/3P4/2b3P1/PPQNPP1P/3RKB1R w Kkq -,c2c3
6k1/2n3p1/p2pp2p/1p6/1PqPN3/P5PP/2r2P2/3QR1K1 b - -,c4a2
R4bk1/5pp1/4n3/3pP1p1/2nP4/1rB2N1P/4NKP1/8 w - -,a8a2
r2qr1k1/1b1n3p/4pbp1/8/2Pp1P2/2N5/PP1QBBPP/2R1K2R w K -,f2d4
8/6k1/r3p2p/pp1pPpPP/b1p1nP2/P1P2B2/R1P5/4B1K1 w - -,f3e4
r6k/1p4pp/3p4/1p1b1p2/1P3P2/P2P3P/2B5/4R1K1 w - -,d3d4
8/1p1kpp1p/p5qb/3pB3/P2P4/3QP3/1P3PP1/6K1 w - -,d3b3
rnbqkb1r/pp3pp1/4pn1p/2pp4/3PP3/2PB1N2/PP1N1PPP/R1BQK2R b KQkq -,b8c6
r4rk1/1b2qppp/p3p3/1p1pP3/3NnPP1/1P1B3R/1PPQ3P/2KR4 w - -,d2e1
8/B2k4/4pn2/1P4pp/6n1/3K2P1/4N3/8 b - -,g4e5
kr6/1p3rb1/pPp5/2Pp4/PN1P3p/1R5P/5pP1/1R4K1 w - -,g1f1
rr4k1/5p1p/pq1p2p1/2pP1PB1/2bbP3/2N1nQ2/1P3NPP/R3R2K b - -,b6b2
3rr3/1kb1q3/2p2p2/pp1b1ppp/2pP3P/P1P1P1PN/NP1QRP2/1K2R3 w - -,h4g5
r1b1k1nr/pp1nbp2/1q2p2p/2ppP2P/3P1B2/2PB1P2/PP1NN3/R1Q1K2R w KQkq -,h1g1
1r3rk1/1p1b1ppp/p7/3pn3/Pb1N2Pq/1P2Q1NP/4PPB1/2RR2K1 b - -,f8e8
1R6/p6P/k5R1/1p1p3P/3q4/1Pp5/P1B5/K7 b - -,a6a5
1k3N2/7p/2R3p1/3rb1PP/p5P1/8/4K3/8 w - -,c6a6
r4r1k/4p1bP/3p4/2pP1B1q/N4B2/5nP1/PPQ2PKP/1R1R4 b - -,f8f5
r1b2k1r/pp1pppN1/6p1/3P3p/1n5P/4BP2/PqP3P1/R2QKB1R w KQ -,a1c1
rn1qk1nr/pbpp1ppp/1p6/2b1p3/2P1P3/2NP2P1/PP3P1P/R1BQKBNR b KQkq -,b8c6
2b1qbk1/2pr2pp/1pp2p2/p7/P1P1P3/1P1rBQNP/5PP1/1RR3K1 b - -,f8c5
rn1q1knr/pp2pBbp/3p2p1/8/3pPPb1/5N2/PPP3PP/RNBQ1RK1 w - -,f7b3
r2qkb1r/1bpn1ppp/p3pn2/1p6/P2P4/1B2PN2/1P3PPP/RNBQ1RK1 w kq -,d1e2
r1q3k1/ppnrbppp/2p5/3NPP2/8/4BBPP/PP3QK1/R4R2 b - -,c7d5
4r1k1/pp5p/6pb/2p1n1N1/3pPBn1/1P4PB/P1P4P/5RK1 w - -,h3g2
8/5ppk/2pqn1np/1p2p2P/1P2P3/2P1BNP1/2Q2P1K/8 b - -,g6e7
rnbqr1k1/pp2ppb1/6p1/8/7Q/2N2P2/PPP5/R1B1KB1R w KQ -,h4h7
r4rk1/pp3p1p/2b1pP2/2p5/5q1P/1P1Q1N2/P1PPBP2/2KR4 b - -,f4f6
2r3k1/p4pp1/7p/8/8/P2QP1P1/1q3P1P/3R2K1 w - -,g1g2
8/8/3p4/3P3p/6Pk/4R3/3r2P1/5K2 b - -,h5g4
r1b2rk1/1p2bppp/1pn2n2/1N6/3p4/5NP1/PP2PPBP/R1B2RK1 b - -,e7c5:f8d8
4k2r/2q1bp2/2p1pp2/p6p/2P4B/1P3Q2/P4PPP/3r1RK1 w k -,f1d1
rn2k2r/pbppq1pp/1p2pb2/3P1p2/2P1n3/2N2NP1/PPQBPPBP/R3K2R w KQkq -,a1d1
6k1/5pp1/2b1p2p/3nP3/p3N3/P1B2P1P/1P1Q2PK/1q6 b - -,c6b5
8/1q5k/5pp1/7p/7P/Qp4P1/5P2/6K1 w - -,a3b2
8/6k1/3n4/3p3P/3N1P2/5K2/8/8 b - -,g7f6
8/1bpk2np/1p1p1bpB/1P1Pp3/2P1P3/5NNP/5P2/6K1 w - -,f3g5
r4r1k/1p2b1pb/2p2q2/2P1p1n1/1PN1Pp1p/5P2/2Q3PP/2RR1BNK w - -,c4b6
r2q1rk1/p2bppbp/2np1np1/1pp5/3PP3/1BP2N1P/PP1N1PP1/R1BQR1K1 b - -,c5d4
r2r2k1/6p1/p1b1p2p/1pn1p3/2P1P3/4RP2/PNP3PP/1R3BK1 b - -,b5b4
1rbq1rk1/p5bp/1p1p1pp1/3np3/1PPp4/P2P2P1/3BPPBP/1R1Q1RK1 w - -,c4d5
r4rk1/p1p2ppp/3q4/3p1b2/3Qp3/PPN1P2P/2P2PP1/R4RK1 b - -,c7c6
r2qk2r/pp1bppbp/2np1np1/8/3NP3/1BN1BP2/PPP3PP/R2QK2R b KQkq -,e8g8:a8c8:a7a6
3q1rk1/4bpp1/2bp1n2/1p2pPB1/3pP2Q/1B1P4/1PP1N2P/5RK1 b - -,f8e8
rn3rk1/p2n4/4p1p1/1ppp2Bp/3P3P/2Pb1PN1/PP1K2P1/R2B3R b - -,c5c4
r2k4/p1r2pp1/2pn3p/2Np1b2/3P4/RP1BP3/4KPPP/R7 w - -,d3f5
r2q1rk1/1p2bppp/2n1b3/pN2p3/P4n2/1NP2P2/1P2BBPP/R2Q1RK1 w - -,b3c5
1r3n2/2Rbrkp1/p3pp1p/1p1p4/3P4/1R1BPN2/PP1K1PPP/8 w - b6,b3c3
5bk1/2p1qp1p/1p4p1/3p1b2/1PnP4/r3PNP1/2N2P1P/1R1Q1BK1 b - -,a3a2
r1bqk1nr/p3ppbp/2pp2p1/8/2P5/2N3P1/PP2PPBP/R1BQK2R b KQkq -,c8d7
r3r1k1/1p1qbp1p/p3nnp1/2pp1BQ1/5B2/N1P2P1P/PP3P1K/3R2R1 w - -,g5h4
3r2k1/1p2qppp/1P3nn1/1Np5/P1P1p3/6P1/4PPBP/3RQ1K1 b - -,g6e5
r1b1k2r/ppp1qpp1/3p1n1p/2nPp3/1bP1P3/2NB1N1P/PPQ2PP1/R1B1K2R w KQkq -,f3d2
2k2N2/8/1p2R2p/pP2p2p/P1nrN3/8/5PPK/8 b - -,d4e4
4r1k1/3b1p1p/3P4/1p1R4/2p5/2b2pP1/1P3P2/3N1K2 w - -,b2c3
3r1rk1/q4p1p/5Rp1/3P4/2Q5/1p1N4/PP1B2PP/7K w - -,a2b3
r1b1k2r/pp3ppp/4pn2/2nq4/8/P1Q2N2/1P2PPPP/R1B1KB1R w KQkq -,c1e3
4r1k1/5pp1/3p1n1p/p1qPr3/1pP2RPP/1P1B4/P1Q2PK1/2R5 b - -,c5c7
5bk1/1r3ppp/p3p3/8/1n1N4/1P2P1PP/5P1K/R4B2 w - -,a1c1
5r2/3bk3/p7/4p2P/2p1B2q/P3Qn2/6P1/1R4K1 w - -,e4f3
5rk1/6b1/3p2pp/1N1n1p2/P2p4/6PN/4PPKP/1R6 w - -,h3f4
r4rk1/p3Bpp1/4b2p/3p4/2pP4/4P3/P1Bn1PPP/1R3RK1 w - -,e7f8
1kr5/p7/1p2n3/1P2P1pp/2pP1p2/2P5/3N1PPP/1R4K1 w - -,d2e4
1r1qr1k1/5bp1/6np/1pPn4/4p2P/1B3N2/3B1PP1/R2QR1K1 w - -,h4h5
7k/6b1/3q3p/p5p1/P2p2Pn/6rP/5R2/B2R1Q1K b - -,d6d5
8/2k1r1pp/2p2p2/1p6/2p1P3/2P2P2/1P1RK1PP/8 b - -,c7b6
3r2k1/p2r1ppp/P1p1pn2/5b2/1qBP4/2N3P1/QP1R1PP1/3R2K1 b - -,h7h6
r1bq1rk1/ppp1bppp/2n5/2npP3/2BN4/8/PPP1QPPP/RNBR2K1 w - d6,d4f3
rn1q1rk1/p3n1pp/1p2p3/2ppPp2/3P1P2/P2Q1N2/1PPB2PP/R3K2R b KQ -,b8c6
8/8/3pP2k/5r2/4R2P/4K3/8/8 b - -,f5f8
3r1rk1/1p3pp1/2pq2p1/p1b1p1Pn/2P3QP/PP1PP3/1BK5/R3RB2 b - -,b7b5
2r2b1r/p4ppp/4k3/3p4/8/2P2P2/PR3P1P/2BR2K1 b - -,f8c5
1q3r1k/1b1nb1p1/pp1pQ2p/8/PP2P3/2P3P1/3N1P1P/2R1R1K1 b - -,b8d8
r3qr2/1pp1n1bk/2n1bppp/p3p3/2N4P/1PBP1NP1/P3PPB1/R1QR2K1 w - -,e2e4
8/5p2/5k2/R5p1/4Pr1p/5P2/6K1/8 w - -,a5a6
8/1Q4Rp/4p1k1/1p2Pr2/3Pp3/4P3/qP5P/6K1 b - -,g6h5
8/Q6p/4p1k1/1P6/4PPp1/1P3P1K/P4R1P/q5r1 w - -,h3h4
8/8/3k2p1/2p4p/4KP1P/1P4P1/8/8 w - -,f4f5
r3qrk1/pbp3pp/1p1bpp2/3p4/3PNP2/1P1BP2R/PBP3PP/R2Q2K1 b - -,d5e4
r1bk1q2/1ppp1ppp/p4n2/4r3/1P6/P1N5/2PQBPPP/R3R1K1 w - -,e2c4
r2qk1nr/pp1n1ppp/2p5/2bp4/6b1/3P1NP1/PPQ1PPBP/RNB2RK1 b kq -,g8e7
r1q2rk1/pbpn1ppp/1p2p3/8/4B3/1P1P2P1/PRPN1P1P/3QR1K1 b - -,d7f6
