8/6R1/4k2K/6P1/2P4p/2r5/8/8 b - -,h4h3
6k1/p3p3/1p6/4p1bp/4Ppn1/1N6/PPP1K1P1/3NB3 w - h6,c2c4
rn1q1rk1/pp2ppbp/3p1np1/2pP4/2P1P1b1/2N1B3/PP2BPPP/R2QNRK1 b - -,g4e2
r4rk1/1b3pbp/pB2p3/np1pPp2/5P2/1P4P1/P1P1NKBP/R6R b - -,a5c6
8/7p/4npp1/p1k5/1p2KPP1/1P2N2P/P7/8 w - -,e3d5
8/7p/pp1k2p1/3Pnp2/2P5/1P1r1B2/P4KPP/4R3 b - -,d3d2
5k1r/1b1q1p2/pp2pPrp/3pP1pQ/2PNn1P1/1P2R1B1/2P4P/3R2K1 b - -,f8e8
r1bq1rk1/1pp1b1pp/p1np1n2/4pp2/1P1P4/2P2NP1/P2NPPBP/1RBQ1RK1 w - -,d1b3
r2q1rk1/pp1bbppp/4pn2/4Q1B1/8/2N5/PPP1BPPP/2KR3R b - -,a8c8
8/5pk1/R5pp/8/P5PP/6K1/5P2/3r4 w - -,f2f3
r2qk2r/pbp5/1p1pn2p/3P1pp1/2P1n3/2PBP1B1/P1Q2PPP/R3K2R w KQkq -,d5e6
1rb2r2/1p2pqk1/p2p2pp/5p2/1PPNnP2/P3P1P1/2Q3BP/R4RK1 b - f3,e4f6
r4rk1/3bbppp/p3P3/2q3P1/1p1N3P/7B/PPP1Q3/1K1R3R b - -,f7e6
r4rk1/1b2b1pp/pq2p3/np2Np2/3P1B2/P1PQ4/2B2PPP/R3R1K1 b - -,e7f6
8/6p1/R5B1/6kP/2nr4/6P1/5PK1/8 w - -,g6f7
2r2rk1/1ppbqpp1/p1n4p/2P1p3/1PB5/P3PN2/2Q2PPP/R4RK1 b - -,d7e6
r1b1r1k1/1p2bppp/1qpp1n2/p3nN2/P1B1PB2/2N2Q1P/1PP2PP1/3RR1K1 w - -,f4e5
r2qkb1r/pp1b1ppp/2n2n2/1B1p4/3N4/P1N5/1PP2PPP/R1BQ1RK1 b kq -,f8e7
r5k1/1pp3pp/1p1pr3/8/PP2Pp2/2P4P/5PP1/R3R1K1 w - -,f2f3
8/4k3/4p1p1/4p2p/P2rP3/8/5PPP/R5K1 b - -,d4e4
2r1b3/p3k1bp/1p2p1p1/1P3p2/P1Pr4/6N1/4BPPP/2R2RK1 w - f6,f1d1
3r2rk/ppq2p1p/2pn1b1B/4pP2/4P3/1B2QR1P/PPP4K/R7 w - -,h3h4
5rk1/1p3p2/p2pbnp1/4p3/4B2p/2P1PN1P/P1PR2PK/3R4 b - -,f6e4
5rk1/qpp3pp/3pb3/1P6/1QPP1pP1/r4B1P/4P3/1KR4R b - -,f8a8
6r1/2P1bk2/4b3/5ppp/4p3/2Q3PP/1B3P1K/8 b - -,h5h4
1r1q1rk1/pN1n1pp1/4p2p/3nP3/1p1p4/1Q3NP1/PP3PBP/R2R2K1 b - -,b8b7
1r1Q1rk1/ppp2ppp/6b1/4b3/6P1/2P4P/P1P2PB1/1RB2RK1 b - -,f8d8
r1bq1rk1/ppp2pbp/1n4p1/n2Pp3/8/1BN1PN2/PP3PPP/R1BQ1RK1 w - -,e3e4
2r1r3/6bk/p5pp/8/PQpP2q1/4B3/1P3P2/2R1R1K1 w - -,g1f1
2r2r1k/5ppP/3ppb2/2q4P/ppbNP3/4Q3/PPP2P2/1KN3RR w - -,g1d1
r1bq1rk1/1p1pnpbp/p1n1p1p1/2p5/4P3/1PN2NP1/PBPPQPBP/R4RK1 b - -,d7d5
1k2rr2/1p2b1R1/pnp1B2p/4PP2/3P3P/1P6/PB6/2K4R w - -,e6f7
R4k2/2p2p1p/3p1npP/3Pp3/4P3/1r4N1/4BPP1/6K1 b - -,f8e7
r2q1rk1/1ppb1pp1/p1np2np/4pN2/B2PP3/2P2N2/PP3PPP/2RQR1K1 b - -,d8f6
1r3rk1/3q1ppp/p1npb3/2bNp3/1pP1P2P/1P4P1/P1NQ1PB1/R4RK1 b - -,a6a5
5r1k/6p1/2pR1b1p/pp6/5PK1/2P4P/PP6/3R4 b - -,c6c5
N1b3nr/1p2kppp/p7/4p3/4q3/4n3/PP1K1PPP/R2Q1B1R w - -,f2e3
r1b1r3/p2p1k2/1ppR2p1/8/4P3/4N3/P4PPP/2R3K1 w - -,f2f3
4rk2/p4np1/1p4R1/1Pb5/3p1P1P/3B1K2/P2B4/8 w - -,h4h5
5rk1/1p4pp/p1p2q2/4Q1R1/PP5P/3P2P1/5P2/6K1 w - -,e5f6
3rrb1k/pp2nppb/2pqp2p/6PP/1P1PPP2/P1N1B2B/4Q3/R5RK w - -,g1g2
rnb1r1k1/ppp2ppp/3p4/3P4/3P4/6P1/PP3PBP/R1B1K2R w KQ -,c1e3
5rk1/2qrn3/2nbb1p1/1p2p1Pp/2p1P2N/2P1B1Q1/1P1NBPK1/R6R b - -,c6d4
1r1qr1k1/1bp2ppp/p2b4/1p6/3P1n2/1BP2Q2/PP3PPP/RNB2RK1 w - -,d4d5
r3qrk1/3n2pp/b1n1p3/2ppPpP1/p4B2/1p1P2PQ/PPP2PBN/R3R1K1 w - -,a2b3
6r1/p2pkp1p/bp2p3/2r5/3NPP1n/P1PP2R1/1K1R2BP/8 b - -,g8g3
4rrk1/pp1b1pbp/3q1np1/3Pp1B1/3p3Q/1B1P2NP/PPP2PP1/R4RK1 w - -,a1e1
2kr3r/pp1qpp2/2n2n2/2ppP2p/3P2p1/N1P3N1/PP2QPPP/R1R3K1 b - -,h5h4
8/1n1N1kn1/3p4/p1pP1p2/1pP2B2/1Pb5/P4PP1/3B1K2 w - -,d7b8
r2qk1r1/p1p3Qp/1pn5/3b1p2/4pP2/8/PPP1NPPP/2KR3R w q -,g7h7
2r2rk1/pp1b1ppp/3n4/NP1p4/P2Nn3/6P1/R3PPBP/5RK1 b - -,a7a6
8/7p/2R3p1/1P2kp2/2Ppp3/3P2P1/1n2K2P/8 b - -,b2d3
8/6r1/3kp3/5pn1/2BP4/2P2K2/1P6/4R3 w - -,f3e2
6r1/p1p2KP1/8/2p4N/2k5/8/P7/8 b - -,g8g7
r4rk1/p2n2pp/1pNqpp2/2pp4/3P1P2/2P1P2P/PP1N2P1/R2Q1RK1 b - -,d6c6
1Q4nk/1b1q2pp/pb6/1p3R2/1P6/P4N2/1r4PP/5R1K b - -,d7f5
2r3k1/pp1bRq1p/3p2p1/3P4/1p3P2/4Q3/P4PBP/6K1 b - -,f7e7
1r1qkb1r/pQ1B1ppp/3ppn2/2p5/4P3/7P/PPPP1PP1/RNB1K2R b KQk -,f6d7
8/2k5/3R2p1/3K4/8/8/8/1b6 b - -,b1e4
r3r1k1/3R2pp/pq1B1b2/1pp1pQ2/2P5/1P4P1/P4P1P/4R1K1 b - -,b5c4
1r4k1/pb2R1p1/7p/6r1/q1p2Q2/P7/1P3PPP/R5K1 b - -,g5g2
r1q2rk1/pppnbpp1/4p2p/8/P2P4/1QP3P1/4PPNP/R1BR2K1 w - -,a1b1
4r3/pp1q2kp/1b4p1/1P2p3/2Q1B3/5PP1/2R1P1KP/8 w - -,e4d5
1k6/pp5p/8/4r1p1/1R3p2/3K1P2/PPP4P/8 b - -,e5e3
8/8/3kp1p1/3n3p/4KP2/p2P2PP/N7/8 w - -,d3d4
r1bbk2r/1p1p1ppp/p1Q5/4p3/4P1n1/2N1B3/PPP1BPPP/2KR3R b kq -,d7c6
3r1r1k/1p1qb1pn/3p3p/pBpPpRn1/P3P3/1PN3P1/2P4Q/2B2R1K b - -,d7c8
8/1p3p1p/3pk1p1/P5P1/3K1P1P/4B3/6b1/8 b - -,e6f5
5bk1/q4p1p/5np1/pB1n4/Prp5/Q3P2P/3N1PPB/2R3K1 w - -,a3a1
2r1nB2/4R1p1/1p3pk1/7p/P3PK2/8/6PP/8 w - h6,e7b7
r3k2r/1b1q1pbp/p3p3/1p4p1/3Nn3/1BP3B1/PP3PPP/R2QR1K1 b kq -,h7h5
3r4/p1b1n3/BPp2k2/P1P1p1p1/7p/6P1/5P2/1R2BK2 b - -,c7b8
2qr1rk1/p1p1bppp/bp2p3/n3P2n/P3N3/1PP1QN2/2B2PPP/R1B1R1K1 b - -,f7f5
2r1b1k1/ppq1bpp1/4pn1p/4N3/7B/2P5/PP2QPPP/1B1R2K1 b - -,c8d8
r1r3k1/pp2bp2/1qn1n2p/3pP1pb/3p4/PN1B1NB1/KP1Q1PP1/2R4R b - -,h5g6
r4r1k/1p6/p3Qq2/1bp1pB2/4P3/2P5/PP4PP/3R2K1 w - -,e6f6
r1b1kb1r/pp1n2pp/2n1pq2/3p4/3P4/3B1N2/PP3PPP/R1BQK1NR w KQkq -,g1e2
4r1k1/5ppp/p1b4b/3pr3/PpP5/2P5/B4PPP/RN1R1K2 w - -,a2b3
3k4/2p3R1/1p1r4/p7/P1B2P2/2BPnn2/1PP5/2K5 w - -,g7g3
r1bq1rk1/ppn1bppp/2n5/2p1p3/8/1QNP1NP1/PP2PPBP/R1B2RK1 w - -,c1e3
r2qk2r/pp1nppbp/3pN1p1/6P1/2n1PP2/2N1B3/PPP1B2P/R2QK2R b KQkq -,g7c3
7r/4qpk1/3p1n1p/2r1p1p1/RpPnP1B1/pP1Q2PP/P4P2/4K1BR b - -,h6h5
4r3/8/6P1/8/3NPk2/8/2BK4/8 b - -,e8d8
2rr4/p3ppkp/1p4p1/3P4/4P2P/5N2/n4PP1/R2R2K1 b - -,a2c3
8/5k2/1p3pp1/p6p/3Q3P/B4PK1/2r3P1/4r3 b - -,e1e2
