8/8/1K1P4/5kP1/b6B/4p3/8/8 w - -,b6c7
4rrk1/3n2pp/p1p3q1/P2p4/1P1B3Q/2Pb3P/3N1PP1/R3R1K1 w - -,e1e7
r5k1/5p2/4n1pp/pR6/8/3R2P1/5P1P/6K1 w - -,d3a3
2Q2n2/2p1qkp1/1p1p2p1/3Pp3/1PP3P1/4BP2/4P1K1/8 w - -,g2f1
r1b2rk1/pp1n1pp1/5q1p/4p3/4R3/4QN2/PPP2PPP/2K2B1R b - -,f8e8
r1bq1rk1/4p1b1/p2p3p/2pPn1p1/1pPnPp2/5P1P/PP1NBBP1/1NRQ1RK1 b - -,d4e2
2r3k1/5pp1/1p3n2/6Q1/4P3/P4q2/1P5P/1K1b2R1 b - -,f3d3
4b1k1/5p1p/4ppn1/1P6/P2qP3/3N1P2/r5PP/3BQR1K w - -,d1b3
r3rbk1/1pqb1p2/2pp1np1/p1n4p/2PNPP2/1PN3PP/PB4BK/2RQR3 w - -,d1d2
5r1k/p2r1pbp/1p1pnqp1/8/bP1pP3/P2Q1NP1/1B1R1PBP/4R1K1 w - -,d3a6
r2q1rk1/p2bb2p/1pn1p3/1BPp1p1p/3P1B2/2P2N2/P2Q1PP1/R3K2R w KQ -,h1h5
4r3/2pp1k1p/r4bp1/p1Pp4/3B1P2/2PK2P1/P6P/1R2R3 b - -,e8e1
1r1q1rk1/4n1bp/2n3p1/1p3pN1/2pp1P2/3P2P1/1PPB2KP/1RNQR3 b - -,d8d5
r4rk1/1p5p/n2p1qp1/p1nPpb2/2P2p2/PPN2P2/R1BNQ1PP/5RK1 w - -,c2e4
r1b1k2r/ppppqppp/8/4n3/2P2B2/P7/1P1QPPPP/R3KB1R w KQkq -,e2e3
r2qnrk1/1p2bppp/p2p4/8/4PB2/P1N5/1PP1Q1PP/3R1R1K b - -,e7g5
r3qr2/1b4k1/p2pp1np/1p4pQ/2PpP3/2N3PP/PP3P2/1B1R2RK w - -,d1d4
r2r2k1/ppq1bppp/2p1pn2/4N2b/2PP4/1Q4P1/PP1B1PBP/R3R1K1 w - -,d2c3
4r1k1/1b1n2b1/2n1p1p1/1p4Pp/1P1pP2B/3P1N1B/4N3/2R3K1 b - -,d7e5
r2r2k1/1p2qppp/1np1p1b1/3nN3/p2P4/P5N1/BPP1QPPP/3RR1K1 b - -,b6d7
r2q1rk1/pbpn1pp1/1p1p1n1p/4p3/2PPP3/P1Q1BP1N/1P2B1PP/R3K2R b KQ -,a7a5
r4rk1/1R2ppbp/6p1/p2P4/4P3/q3Bn2/P4PPP/3Q1RK1 w - -,d1f3
r1bqr1k1/1ppn2pp/3pp3/p4pPn/2PP3P/P1N1QN2/1P2PP2/2KR1B1R b - h3,a5a4
r1bqr1k1/ppp2pb1/3p2p1/4n1p1/1PPNP3/2N3PP/P2Q1PB1/2R1R1K1 w - -,c3d5
r5k1/1bq1brpp/pp1p4/4n3/P3P1B1/1nN1B3/1PP1Q1PP/R4RK1 w - -,c2b3
r4rk1/pbpnqppp/1p2pn2/3P4/3P4/P4NP1/1P1NPPBP/2RQ1RK1 b - -,f6d5
r7/5pkp/p1p2pb1/2r5/4qP2/P3B3/B4P1P/5QRK w - -,g1g2
1nb2rk1/1p2n1pp/5p2/r6P/1N1NP3/p7/P1P3P1/2KR1B1R b - -,c8g4
8/8/1B2p3/3k1p2/3P4/4PK2/8/7r b - -,h1f1
1r6/5k2/8/1p6/4R2P/PPK5/8/8 w - -,c3b4
rn1q1rk1/1b2bppp/pp1ppn2/2p5/2P5/1PN2NP1/PB1PPPBP/R2QR1K1 w - -,a1c1:e2e4
rnbr2k1/1pq1bppp/p3pn2/4N3/P3N3/2Q5/1PP2PPP/R1B1RBK1 b - -,c7c3
6k1/1n3rpp/1p1r1p2/2pP4/P7/3q2P1/QR1N1PP1/1R4K1 w - -,b2b6
r4rk1/2q1bppp/2p5/p4P2/R1Ppn1N1/8/1B3PPP/Q4RK1 w - -,b2d4
3k2R1/2b5/8/2n1PK2/5P2/8/8/8 b - -,d8d7
r2qr1k1/ppp2ppp/2np3b/3n4/3P1P2/2PB4/PP1BNP1P/R2Q1RK1 w - -,c3c4
6k1/4pp1p/6p1/2nB4/prp5/1b2P1P1/5P1P/R1R3K1 w - -,g1f1
8/1pp1rpk1/2b3pp/2q5/1P4B1/P6P/3Q1RP1/6K1 b - b3,c5e3
r6r/1p2kppp/p1p2n2/4P3/2B2Pb1/2N3P1/PPP4P/2KR3R b - -,f6d7
7r/pp3pk1/2p1bp1p/1r6/3P1P1R/1R6/1PB3PP/6K1 w - -,b3b5
r1bqk1nr/1p2bppp/p1n1p3/2p5/4NP2/5NP1/PPPP2BP/R1BQK2R w KQkq -,d2d3
r1bqk1nr/pppn1pbp/3pp1p1/1B6/3PP3/2N2N2/PPP2PPP/R1BQK2R w KQkq -,e1g1
r3k2r/pb1pppbp/1p2q1p1/4P3/2P5/3B1N2/PP3PPP/R2QR1K1 b kq -,e6g4
8/5pk1/4r1p1/3R3p/4P2P/5KP1/8/8 w - -,f3f4
r3k2r/5pp1/bpp2n2/p1n1p3/4P2p/4KPP1/PPPN3P/R4BNR w kq -,f1a6
r3k2r/p1q2ppp/1pbbp3/1B2R3/3P4/2P5/P2B1PPP/R2Q2K1 w kq -,b5c6
r4rk1/1ppq2pp/p1pbbpn1/4p3/3PP3/1P2NN2/PBP2PPP/R2Q1RK1 b - -,a8d8
1r3rk1/3b1ppp/1q1p4/pP2p1b1/R1B1P3/2N5/1P3PPP/3QK2R b K -,g8h8
3r4/4n3/1kp3p1/4p3/2P1N1P1/4P3/R4PK1/8 w - -,c4c5
8/3n1k1p/bpNb4/4pp2/8/1P2BPPP/P1P2K2/8 b - -,f7f6
4Q3/8/1p4pk/p1q5/P4P2/5P2/6K1/8 b - -,c5d4
r1br2k1/1pq2pbp/n1pp2p1/p1nPp3/2P1P1P1/2N1BN1P/PPBQ1P2/2KR2R1 b - -,a8b8
4brk1/2q1b1pp/1n2p3/2ppP3/2P3P1/1P3N1P/4Q1BB/R6K w - -,c4d5
6k1/5bBp/4p3/2bp4/3Q1N1P/pP4P1/P1q2PK1/8 w - -,d4f6
rnb2rk1/ppp3pp/1n3q2/3p4/3P4/P1PB1P2/2Q3PP/R1B1K1NR b KQ -,c8f5
3q1bk1/4n3/5Qpp/4P3/1p3P1P/1PpB2P1/2P2B1K/8 b - -,d8e8
3k4/p7/4P2K/1ppn2BB/2n5/P1P5/8/8 b - -,d8c7
r3rnk1/pp2bpp1/2p1bn1p/q2pN3/P2P1BP1/2N1P2P/1PQ2PB1/R2R2K1 b - -,f6d7
4q1k1/5p2/6p1/2b2n1p/8/6P1/5P1P/4R1K1 w - -,e1e8
8/4k3/2B2p1p/1K6/1P1n4/1P4P1/7P/8 w - -,b5b6
8/5pk1/6p1/R6p/1p4rP/1P6/2P4K/8 w - -,h2h3
1R6/pp1r1k1p/2p3p1/2P1Bb2/6P1/P4p1P/5P2/6K1 b - g3,f5d3
3r4/ppp1k1b1/4Pppp/5P2/6P1/6NP/PP1r1RK1/5R2 w - -,f2d2
r3r1k1/3q3p/bpp2Qp1/p1b1p3/P1N1P3/2B3P1/1PP2P1P/R4BK1 b - -,d7e6
r2q1rk1/p2bppbp/1p1pnnp1/2p3B1/2PP4/2N1PN1P/PPQ1BPP1/2R2RK1 w - -,g5h4
2r1r1k1/p2bqpp1/2p4p/2bp4/3Nn3/1P2PN1P/PBR1QPP1/3R2K1 w - -,d1c1
2k4r/pp3Rpp/2p1P3/2n5/5B2/2Pr4/P5PP/1R4K1 b - -,c5e6
rn1qkb1r/1b2pppp/p2p1n2/1p6/2p1P3/2PB1N1P/PP1P1PP1/RNBQR1K1 w kq -,d3c2
8/p4p2/1p2pPkp/4P1p1/4K1P1/P5P1/1P2R3/3r4 w - -,e4f3
2rq1rk1/p3bppp/b1n1p3/2pn4/PpN5/1N1PP1P1/1PQ2PBP/R1BR2K1 b - -,d8c7
3r2k1/pbrn1pp1/1p3q1p/2pp4/3P4/1P1BPN2/P3QPPP/2R1R1K1 w - -,c1c2
8/4k1P1/6R1/1p6/4BP2/1P6/3K4/4r1r1 b - -,e1d1
r1b3k1/1pq2ppp/p1p3n1/8/4r3/1BR1B2P/PP1Q1PP1/5RK1 w - -,f2f4
2kr1r2/1pp3pp/3q4/8/3P2P1/P1PQ4/6K1/R6R b - -,f8f4
r4rk1/pp3pp1/4p1p1/3pP3/3N2B1/8/PP3PP1/R5K1 b - -,a7a6
8/8/1R3p2/1p3rkp/1Pp5/6P1/1P2KP2/8 w - -,b6c6
4r3/1pr2k2/p3p3/P1N2ppn/1PP1p3/6PP/4P1K1/R2R4 b - -,f7e7
8/8/8/8/3k4/3p4/8/3K4 b - -,d4e3:d4c4:d4c3
2r2qr1/4np1k/5P1p/pp1p1P1Q/4p2P/P1P5/1PB2K2/R5R1 b - -,e7c6
r2q1rk1/pbp2pbp/1p1p2p1/4N3/8/2P1P2P/PP1QBPPB/R4RK1 b - -,d6e5
r3r1k1/pppbqppp/1b3nn1/3p2B1/3NP3/2PB3P/PPQN1PP1/4RRK1 b - -,e7d6
rnbq1r1k/pp4pp/2p1p3/3p1p2/2PPnP2/P1NB1N2/1P3PPP/2RQ1RK1 b - -,b8d7
2r1rbk1/q4ppp/p1np1n2/1p6/3pPB2/Pb3NNP/1P1Q1PP1/RB2R1K1 b - -,g7g6
r4r1k/p3R1bp/1p4p1/2pq1p2/3n1P2/3Q2PK/PB5P/1R6 b - -,f8f7
r2q1rk1/1bp1bppp/p7/4Q3/P7/1B1P4/1PP3PP/R1B2RK1 b - -,e7d6
