8/3k3p/6p1/1K6/P1N5/3n4/6PP/8 b - -,d3f4
r3k2r/pp1b1p1p/2n1p3/2PpPnNp/8/P1P5/3B1PP1/R3KB1R w KQkq -,d2f4
8/2R1Kp1k/3Q2bp/8/4qP2/8/8/8 w - -,e7d8
1n1rr1k1/p1q2p2/1nP3pp/BQ3b2/3p1P2/b2N2P1/1N2P1BP/2R1R1K1 b - -,f5e4
2r1rbk1/1q4p1/2p2p1p/p2p1Q2/3B4/P2RP1P1/1P3PKP/2R5 w - -,g2g1
1r1q2k1/3b1pb1/2npp1p1/p6p/2PpPP1P/P2P2PB/3B2N1/1R1Q2K1 b - -,b8b6
r1bqk2r/p3pp1p/2pp1npQ/1p6/2BPP3/2N2P2/PPP3PP/2KR2NR b kq -,b5c4
2R5/p2r4/K7/6k1/1n6/8/8/8 w - -,a6a5
r2qr1kb/1pn2p2/6p1/p2pp1B1/P1p1P3/2Nn1NP1/1P1Q1PK1/7R w - -,g5d8
6k1/4b2p/8/2p1Bpp1/4nnP1/4R2P/P7/6K1 b - g3,c5c4
r2k1b1r/1p1bpp2/p2p1np1/7p/P2NP3/2N1BP2/1PP3PP/R4RK1 w - h6,d4b3
2r2bk1/5p1p/4b1p1/2p1P3/1p2BP2/1P6/P1R1N1PP/6K1 w - -,g1f1
8/4q1k1/1pp3p1/p2p2n1/P2P1Q2/2P3NP/1P4K1/8 w - -,h3h4
1r3rk1/3nppbp/p1q3p1/3p1P2/2p1P1P1/2P1B1NP/PPQ5/R4RK1 w - -,e4d5
5n1k/r3q1p1/p2p4/2pPp2P/2p1Nr2/5PR1/PP4Q1/2K3R1 w - -,e4d6
8/8/5p2/5kpp/7P/P3RKP1/r4P2/8 w - -,e3b3
2rr4/4kpp1/p1p1pnp1/1pP1n3/4P3/1B2BPPP/PP2K3/2RR4 w - -,f3f4
4rrk1/bppqn1p1/p2p1p1p/3Ppb2/1P1P4/P3P1PP/1B2NPB1/2RQK2R w K -,e1g1
8/8/4k3/pR2r3/P7/2K5/8/8 w - -,c3c4
1r6/8/1Pp4R/p1kpp3/4r3/4NP2/P1P5/2K1R3 b - -,e4a4
1r1r4/4ppkp/p1pp1np1/4qP2/4P3/PPN4P/2PQ2P1/4RR1K w - -,d2d3
4r1k1/ppqn1rpb/2n1pp2/3p3P/2pPP3/2P1B3/PP1NBP2/R1Q1K1R1 b Q -,d5e4
5r2/r1p3bk/1pPp2pp/P2Npp1q/4P3/1Q2B1P1/2PK1P2/R7 w - f6,e4f5
r1b1r1k1/1p3pbp/p2Q2p1/4p3/4PPq1/2N1B3/PPP3PP/2KR3R w - -,c3d5
k7/p1p1qpp1/1pn1r2p/6r1/P2P3n/2PBB3/5PPP/1R1QR1K1 w - -,g2g3
rnbqk2r/pp1n1ppp/1b2p3/2ppP3/3P4/2P2N2/PP1N1PPP/R1BQKB1R w KQkq c6,d2b3
r5k1/pp3p1p/n1b1p3/1B4B1/8/P7/2P2PPP/2KR3R b - -,c6b5
r1b2rk1/1p2q1bn/p1pp2pp/4np2/2P5/2N1PN1P/PP1QBPPB/2R1R1K1 w - -,c1d1
rnbqkb1r/pp3ppp/3ppn2/2p5/4P3/2N2NP1/PPPP1PBP/R1BQK2R b KQkq -,b8c6
5rk1/2pq3p/5B1b/3p2p1/4pp2/3P2P1/3QPPKP/1R1N4 b - -,f4f3
2kr4/2rp1Q1p/p2R2p1/2q5/8/4P1P1/P4P1P/3R2K1 b - -,c5h5
8/8/8/pB6/P6r/2P1k3/8/2K5 w - -,c1c2
r1b1kb1r/ppp1pppp/2n2n2/3q4/3P4/2N2N2/PP2PPPP/R1BQKB1R b KQkq -,d5d8:d5a5
8/1p3b2/pN6/Pk3p1p/1P2pP1P/2K1P1P1/8/8 b - -,f7e6
1q3rk1/r6p/p1Pp1np1/P1pN1p1n/8/2B3P1/2Q1PPBP/5RK1 b - -,b8e8
r2q1rk1/p2p1ppp/1pn1pn2/3p4/3P1P2/2P1PN2/PP1NQ1PP/R4RK1 w - -,e3e4
3r1rk1/1p1b1p1p/3p1qp1/Q1n1p3/P1P1P3/1P3P2/2B1N1PP/R4RK1 b - -,f6g5
3rb1k1/1p3p1p/1Np1p1p1/p1n5/8/5BP1/1P2PP1P/R5K1 b - -,a5a4
r1bqr1k1/ppp2pbn/3p2pp/2n5/2PNPP2/2N1B2P/PPBQ2P1/R3R1K1 w - -,a1d1
r1b2kn1/pp3p1r/2n1p3/2PpP1Q1/4q3/P1P2N2/4BPPP/2R1R1K1 b - -,h7g7
r1bq1rk1/pp1n2pp/2n1pp2/b2pP3/3P1P1P/3B1NK1/PP4P1/R1BQ2NR b - -,d8e8
2r1r2k/p1q2pp1/1pn1bn1p/3pN3/P1pP1P1Q/B1P1P3/2B3PP/1R3R1K w - -,f4f5
8/p2n1QRp/3kpp2/3r4/7P/1P6/P2KNP1q/8 w - -,d2c2
2r1r1k1/4p1bp/3n1pp1/pp6/2qP1P1B/2PN4/P3R1PP/2RQ2K1 w - b6,h4e1
r4r1k/3q2bp/ppn1bp2/2pp2p1/5P1n/P1NP2PP/BPP1N2B/R2Q1RK1 b - -,h4f5
8/5k2/6p1/5p1p/4nP2/4B1PP/6K1/8 b - -,f7e6
r3rnk1/pp2bppp/1qp1b3/3n4/3PN3/P2Q2N1/1PB2PPP/R1B2RK1 w - -,c1d2
r3k2r/3npp2/b2p1q2/p1pP3p/P1N1Pbp1/2PB4/2RNQPPP/5RK1 w kq -,e4e5
2rqkbnr/5ppp/p1npb3/1p1Bp3/4P3/N1N5/PPP2PPP/R1BQK2R w KQk -,c3e2
r1b3k1/2p1qp1p/p2r2p1/1p1Pp3/2n1P2P/2N2P2/PP3NP1/1KQR3R w - b6,f2d3
5rk1/7p/p3p1q1/7N/1p6/6QP/PPP3B1/6K1 b - -,g6g3
5r1k/4Nppp/p3q3/1p2p3/4b3/P1P5/1P1Q2PP/5R1K w - -,d2e3
2r2bk1/ppp1npp1/1nq1p1p1/3rP3/3PN1PP/P1N2P2/1PQ2B2/3R1RK1 w - -,h4h5
3k4/6b1/pN1pp1np/N4pP1/1P3P1P/3P4/3K1B2/3b4 b - -,d1f3
r1b1k1r1/1p1nbp2/pq2p3/3pP1Np/Q5pP/P2B2B1/1P3PP1/2R2RK1 w q -,c1c2
r7/pp2rpkp/3Nb1p1/3pP3/5P2/1P2K1P1/P6P/R3R3 b - -,f7f6
R4bk1/2r2p1p/4pB2/2r1N1p1/6P1/7P/5PK1/8 w - -,a8d8
1r4k1/rq3pbp/p2p2p1/P1pp4/2BnPP2/3Q4/RP1B2PP/5RK1 w - -,c4d5
8/8/4P1p1/2p5/8/5k2/3K3p/8 w - -,e6e7
r1b2rk1/pp1nqpbp/2p2np1/4p3/2P1P3/2N1BN1P/PPQ1BPP1/R4RK1 b - -,b7b6:f6h5:f6e8
3q1r2/3bppkp/3p2p1/1r6/PP6/4N1P1/3QPP1P/2R1R1K1 b - a3,b5h5
r4rk1/pp2bppp/2p1b3/3n4/2PPB3/1P6/P2BNKPP/R3R3 b - c3,d5c7
2rq1rk1/pp2p1bp/2npb1p1/3N1n2/2P5/8/PPN1BPPP/1RBQ1RK1 w - -,b2b3
rnbqk2r/1pp2ppp/p2b1n2/3p4/3P1B2/2N1PQ2/PP3PPP/R3KBNR b KQkq -,c8e6
3r4/3r3k/p5p1/P2P1p2/2Q1p1p1/1P2P3/5PPK/8 b - -,d7d6
4r3/6p1/p2k1p1p/2n5/5P2/3q1NP1/3P2KP/2R2Q2 w - -,f1g1
4B3/8/5kp1/3Kp1p1/P3P1P1/7P/1b3P2/8 b - a3,b2c3
3rr1k1/p2q1pp1/1ppbp2p/3p4/2PPP3/1P1Q1P2/PB4PP/3R1RK1 w - -,g1h1
r1b1k2r/1pq2pp1/p1nppb1p/8/3NPPP1/5Q2/PPP1N2P/2KR1B1R b kq -,b7b5
1r1r4/5pk1/Bn2p2p/p1b1P1pP/1p4P1/P1P5/1PK5/2BR1R2 w - -,d1d3
2r2rk1/3nqppp/2pp1b2/p3p3/Pp1PPP2/1P2BQNP/1P4P1/3R1RK1 b - -,g7g6
2r1r1k1/5qpp/p4n2/1pbpp3/6b1/1PNQ2P1/PB2PPBP/2RR2K1 b - -,e5e4
r2q1rk1/p2nbppp/1p2pn2/3b4/3N4/1P4P1/PBQNPPBP/2R2RK1 b - -,a8c8
2rk2r1/1p1bb2p/1q2pp2/1P1pPn1p/p2P4/P4NPP/1R1QBP1K/1N1R4 w - -,h2h1
6k1/3R4/6rp/8/P3N3/5p1P/4nP1K/8 w - -,e4g3
r1bq1rk1/1p2ppbp/2np2p1/3N4/p1PnP3/5P2/PPNBB1PP/1R1Q1R1K w - -,c2d4
3q1nk1/1p2r1p1/p1p1pr1p/Pn6/2QP1P2/1N4P1/1P2R1BP/4R1K1 w - -,e2e5
8/7R/p2rpkp1/7p/6P1/4KP2/3p3r/3R4 b - -,a6a5
1k6/pp3p2/1qn4p/3pPbp1/3P1p2/1PQN4/P3NPPP/4K3 w - -,d3c5
r1br2k1/5ppp/p1nP4/1p2pn2/6Pq/2N1PP2/PP1Q2BP/R1B1K2R w KQ -,d2f2
6k1/1pp5/p2p2np/5Nb1/4n2P/2P5/PP4K1/5R2 b - -,g5h4
r1bqrbk1/pppp1pp1/2B2n1p/4p3/4P3/3P1NN1/PPP2PPP/R1BQ1RK1 b - -,b7c6
8/4kp2/r6R/1R2P1Pp/rp3K1P/2P5/8/8 b - -,b4c3
rn1qkbnr/ppp3pp/4bp2/1P1pp3/8/4P3/PBPP1PPP/RN1QKBNR w KQkq -,g1f3
