8/8/2Pk2p1/1n3p1p/7P/3KBP2/8/8 w - -,e3c1
4q1k1/1p3bp1/2nP1pNp/p2p1p1P/P2P1B2/3Q1PP1/1P6/4K3 w - -,e1d2
k3r3/p1R5/Ppb4r/8/5P2/R5K1/8/8 w - -,a3e3
2kr4/p1p3pp/2n1p3/npr5/2p1PP2/P1K2N2/1P2B1PP/3R3R b - -,h7h6
r2r2k1/pp1q1p1p/6p1/n2p4/3QP3/5N2/P4PPP/1R1R2K1 w - -,e4d5
rkb1r3/p2pPN1p/5Qp1/8/q1p2p2/8/1PK2PPP/3R1B1R w - -,c2c1
1r1r4/Q2q1p1k/3b2pP/p2Pp3/1pB1Pn2/1P6/P1P2B2/1KR4R b - -,d6c7
8/p7/1p5k/7p/4KP2/P5P1/3nB2P/8 w - -,e4d3
rnbqk2r/pp2Bppp/4p3/3n4/3N4/2N5/PP2PPPP/R2QKB1R b KQkq -,d5e7
1qrr1bk1/5ppp/p1b1p1n1/3P2P1/2P2P2/2N1BR2/P3Q1P1/1BR3K1 b - -,e6d5
3R1bk1/pbr3pp/5p2/2p1p3/2N2P2/1P2B3/P1P3PP/2K5 b - -,e5f4
r1b3k1/4br1p/p1n1p1p1/1p1qPp1Q/3p1PP1/P2B2R1/1PPBN2P/1K1R4 w - -,d1g1
r4rk1/pp3pbp/1qn1p1p1/3p1n2/3P4/Q2PB1P1/PP2NPBP/2R1R1K1 w - -,b2b3
r1b1kb1r/pp3pp1/1qn4p/3pPp2/3P4/5NP1/PP3P1P/RNBQ1RK1 w kq -,b1c3
3r4/3r2kp/6p1/1pR5/p2nB1P1/P2P4/1P5P/5R1K b - -,d8b8
rnbqk2r/ppp2p2/4p2p/3p2p1/1bPPn3/2N3B1/PPQ1PPPP/R3KBNR w KQkq d6,e2e3
r2R4/4bkpp/p1R2p2/8/8/1P4P1/PB3P1P/6K1 b - -,e7d8
8/3kb2p/p7/Q2p1p1P/2qPpB2/4P1P1/5PK1/8 b - -,c4c6
6k1/1p3ppp/p4n2/8/3r4/P1N5/1P3PPP/3R2K1 b - -,d4d1
8/p6p/P5p1/4kp2/8/3K2P1/7P/8 b - -,g6g5
rnbqkb1r/p4p2/2p1p2p/1p1nP1p1/2pP4/2N3B1/PP1N1PPP/R2QKB1R b KQkq -,d8b6:d8a5:h6h5
r2qkb1r/pp2pppp/2np1n2/2p4b/4P3/2P2N1P/PPBP1PP1/RNBQK2R w KQkq -,d2d3
r2q1rk1/pppb1ppp/1b1p2n1/4n1B1/4P3/2P2N2/P1QNBPPP/R4RK1 w - -,f3d4
5k2/8/p3bPBp/1p1p4/1Pn4P/2B2K2/8/8 b - -,f8g8
r4rk1/pppq1pbp/3p1np1/3Pp3/n1P1P3/2N1BP2/PP1NQ1PP/R4RK1 w - -,c3a4
5r2/p5kp/1b2Rp2/1p3B1P/8/8/P4P2/6K1 w - -,e6e7
r1b1kb1r/ppp1pp1p/1n4p1/4P3/8/1B6/PPP2PPP/RNBR2K1 b kq -,f8g7
r3k2r/1b2qppp/p2pNb2/1p2nP1Q/4P3/P1N5/1PP4P/1K1R1B1R w kq -,e6f4
r4rk1/p4bpp/1n1QN3/3p1p2/3P1b2/6P1/P3PPBP/1R3RK1 b - -,f4d6
8/4kb2/5p1p/4nP1p/3KP3/6P1/4B3/8 w - -,e2d1
8/4Rp1p/3P1Pp1/3kP3/8/7P/3r4/5K2 w - -,d6d7
r6r/1p1kb2p/p2p2p1/3P1p2/3N1Bn1/2P2K2/PP4PP/3R3R w - -,h1e1
r1bq1rk1/ppp2ppp/2npp3/8/2PPn3/P4NP1/1PQ1PPBP/R1B1K2R b KQ -,f7f5
r3rnk1/5ppp/p2ppn2/1p6/P2P4/2P2NP1/1P3PNP/R3R1K1 b - -,e8b8
r1b1kb1r/3npp1p/p5p1/2pP4/1qB5/2N1Q3/P2N1PPP/2R2RK1 b kq -,f8g7
r1bqk2r/pp3ppp/2nbp1n1/2pp4/3P4/2PBPNB1/PP1N1PPP/R2QK2R b KQkq -,f7f5
r1bq2k1/1ppn2b1/3p2pp/p2P1r2/P1P2R2/1NN5/1P1QB1PP/R5K1 b - -,d7c5
5k2/p3n3/1p1npp1p/1P4p1/PP4PP/3B1PK1/3B4/8 b - -,d6f7
r3kb1r/pppb2pp/4pn2/5B2/3P4/6Nq/PPP1QP1P/R1B1K2R b KQkq -,h3h4
3r1r1k/1p2qbpp/p1pb4/5p2/1Pn2B2/P1QN2P1/4PPBP/1R1R2K1 w - -,e2e3
2r2r2/pp4kp/1n4p1/4ppq1/3n4/2N3PP/PP2PPB1/RQ1R1K2 w - -,e2e3
5r2/3q1pkp/r2P2p1/1b2p3/1P6/2N2P2/1KPQ2PP/R6R b - -,a6d6
3rkb1r/1p4pp/p3p1b1/4P3/P4B2/2Nn1P2/1P2B1PP/R3K2R w KQk -,e2d3
r1b2rk1/2q1bpp1/1p1p2np/3P4/p1P1N3/6B1/PP2B1PP/2RQ1R1K b - -,c7d7
8/3R3p/8/kPN5/p7/K6r/8/8 w - -,a3b2
r4rk1/1p3pp1/p1N1bn1p/q2p4/Qb5B/2N1P3/1P2BPPP/R4RK1 b - -,a5a4
r3r1k1/pp1n1ppp/1qpb1n2/3p1Q2/3P4/2N1P1P1/PP3PBP/1RB2RK1 b - -,a7a5
1r3bk1/2q2pp1/1np4p/1p1pPb2/3P1Q2/1R5N/5PPP/r1BB1RK1 b - -,f5g6
r3k1r1/1bqp1p2/pp2pp2/2b5/N1P1P3/4QNP1/4B2P/R2R1K2 w q -,a4c5
2r2rk1/3Q1ppp/p3pq2/1p2p3/7P/5P2/PPP1B1P1/1K1R3R b - -,f8d8
r1q1r1k1/4bpp1/4pn2/p2pB2p/1p1P4/2P4R/PP1N1PP1/3Q1RK1 w - -,e5f6
rn2kbnr/1p1qpppp/p2p4/8/3pP3/5N2/PPP1QPPP/RNB1K2R w KQkq -,f3d4
3r4/8/1P3k2/2R5/7K/5P1P/6P1/8 b - -,d8b8
rn1qkb1r/pp2pp1p/2pp1np1/8/2PP4/5PP1/PP3PBP/RNBQK2R w KQkq -,b1c3
5R2/pp1k2r1/3p4/4p3/3n4/P3B1P1/1PPK2b1/8 w - -,e3d4
3r1rk1/pp4pp/2n5/2P1p3/2R5/1P3PP1/P3PRBP/6K1 b - -,d8d1
rnbqkb1r/ppp1pp1p/6p1/4p2n/3P4/5N1P/PPP2PP1/RNBQKB1R w KQkq -,f3e5
rnb2rk1/pp2qppp/3ppn2/8/1pPP4/P4NP1/1P2PPBP/RN1Q1RK1 b - -,b4a3
r1bqr1k1/pp3pbp/n2p2p1/3P4/5P2/8/PP1NB1PP/R1BQ1RK1 w - -,d2b3
r1bq1rk1/pp2p1bp/n1pp1np1/5p2/2PP4/1PN2NP1/P1Q1PPBP/R1B2RK1 b - -,a6b4
5rk1/p5pp/4p1r1/1p1b1p1Q/2pP1qPP/P1P1RP2/2B2K2/6R1 w - -,g4g5
r1bq1rk1/pp3pbp/2np1np1/2p1p3/4P3/1P1P1NP1/PBP2PBP/RN1Q1RK1 w - e6,c2c4
r1b1k2r/p1qppp1p/1pn2np1/2P5/2Q1P3/2P2N2/P1P2PPP/R1B1KB1R w KQkq -,c1a3
1r6/3q1pk1/2R1p1pp/p3P3/p2PQ1PP/1P3PK1/8/8 w - -,b3a4
3rr3/1b3pk1/p3p1pp/1p2QP1n/PqpP4/2N1P2P/3N1RP1/2R3K1 b - -,f7f6
4r2k/pp2r1bp/2pR2n1/2P1p3/1PQ1Pp1q/P4P2/1B2KP2/2NR4 b - -,h4h5
8/3k4/3Bn3/PK2Pp2/8/2b4B/8/8 b - -,c3a5
r1b2rk1/pp1n1pbp/2pp1np1/q3p3/3PP1P1/2N1B2P/PPP1NPB1/R2Q1RK1 b - -,b7b5
5rk1/1p1b2pp/2p1p3/1P1nP2q/3BB3/1Q4P1/5P1P/2R3K1 b - -,h5g5
2kr3r/p1p2pbp/bnp3p1/3PP3/8/1P3N2/P1KB1PPP/R4B1R b - -,a6f1
r4rk1/pb2Bppp/q1n5/2pp4/4n3/P1N2NP1/1PQ1PPBP/R2R2K1 b - -,c6e7
rnbq1rk1/pp2ppbp/3p2p1/2pN4/3PP3/5N2/PPPQ1PPP/R3KB1R w KQ -,h2h3
r5k1/5pb1/1Bp3p1/p1P1p1Pp/2Nn3P/1P2QP1q/P7/1K1R4 b - -,a5a4
1kr4r/1b1R3p/p1n2N2/1p1N4/8/1B6/PPP2PPP/2K5 w - -,f2f4
r2qrbk1/pp4p1/2n1pn1p/3p4/8/P1N1B1PP/1P2PPB1/2RQ1RK1 w - -,f2f4
r2B1rk1/2P2ppp/1q2p3/3p4/2p1n3/2b5/2Q2PPP/1R1K1B1R b - -,b6d4
r4r2/p3k1p1/2pqN1np/1p6/P2N1B2/1QP3b1/1P3n2/R4BK1 b - -,g6f4
r1q1k2r/pp1nbp2/2ppp2p/6p1/2PPb1P1/1Q2P1BP/PP1N1PB1/R4RK1 b kq -,e4g2
1kr5/pp3pp1/8/2bp2p1/2n3P1/P1NRPP2/1P4qr/K1BQ1R2 w - -,f1g1
4rrk1/pppqb1pp/1n3p2/3b4/1P1pN3/P2P2P1/1BQ1PPBP/1R2R1K1 b - -,c7c6
r4rk1/1p3p1p/q1n1p1p1/3PP3/p2P1RP1/2P4P/2QN4/R5K1 b - -,e6d5
8/4p3/4k3/1R4P1/2r3Kp/P2R3P/8/2b5 w - -,g4h5
