r5k1/3R2b1/p3r3/1p4B1/8/8/6PP/1R5K w - -,h2h4
8/2pbb1k1/pp2q1p1/3p4/3PpPp1/P1N1P1P1/1P2Q2r/2B4K w - -,e2h2
4rrk1/pp1b1qpp/1nn1pb2/3p4/3P1N1P/1B3N2/PP3PP1/R1BQR1K1 w - -,f3g5
r1b3qk/1p2b3/p2p3r/2pP1pN1/5P2/3B2Q1/PPP1N3/2K1R3 w - -,e2g1
r1bqk2r/pppp1pbp/2n2np1/4p3/2P5/2N2NP1/PP1PPPBP/1RBQK2R b Kkq -,e8g8
r3r1k1/1q3ppp/2n1p3/1pB5/p2b4/3N2P1/PPQ1PP1P/2R2RK1 b - -,a8c8
2r4k/p6p/1p2pb2/8/1Q1N1P2/1Pr1B3/P3KPqP/4R3 w - -,d4f3
r2r2k1/pbp1bppp/6q1/nQ2p3/8/2PPRN1P/P4PP1/RNB3K1 b - -,d8d5
5r2/pp1qnrbk/4b1pp/2p1pp2/2PpP2P/PP1P1PP1/3BN1BK/2Q1RR2 b - -,e7g8
r2qk2r/3nppb1/b2p2pp/2pP4/2n4P/1PN2NP1/P1Q1PPB1/1RB2RK1 b kq -,d8a5
r1b1r1kb/1pqn1p1p/p2ppPp1/n5B1/3NP2Q/2N2B2/PPP3PP/3R1RK1 w - -,f3e2
rnbqkb1r/1p3ppp/p4n2/2pp4/3P4/2N1PN2/PP2BPPP/R1BQK2R b KQkq -,b8c6
1r4k1/pbR1Bpp1/5n1p/r2p4/8/1B5P/1P4P1/5RK1 b - -,f6e8
r3k2r/pp1bq3/1n3p2/1Q4pp/4n3/P1PNP1B1/5PPP/2R1KB1R w Kkq -,b5b4
7r/5p2/3k2p1/P2p4/1P1N1n2/2P2P2/7P/6RK b - -,h8c8
8/6k1/1p1p2p1/p2Pp2p/P3Pq2/3Q1P1P/1P4R1/2r3K1 w - -,g1f2
3q1rk1/2p5/3p1nnp/2PPp3/2N1P3/R6p/2Q2BP1/6K1 w - -,a3h3
rn1q1rk1/pbpp1ppp/1p2pn2/8/2PP4/P1B2NP1/1P2PP1P/R2QKB1R b KQ -,f6e4
5r2/p5qk/1p1p3p/2pP1P2/PnR1Pb2/1P6/5B2/3Q1K1R b - -,a7a6
4k3/pQ6/8/3q1r1p/4pPp1/8/5PK1/7R w - -,b7b8
3r2k1/p4pb1/6p1/7p/1P2q3/4B1P1/Q4P1P/2R3K1 w - h6,a2a7
2b1rrnk/2q2p1p/5Pp1/p1p1P3/2Pp3N/P2P4/4Q1BP/4RRK1 w - -,g2d5
8/8/4pk2/3p2p1/1p1b2P1/1P1B1K2/P7/8 b - -,e6e5
b5rk/5q1p/4pp2/7P/3Pp1P1/2P1Q3/3B3K/5R2 w - -,e3f4
r3k2r/1ppnq1pp/2pb1p2/p3pP2/P3P1b1/1N1PB3/1PP1N1PP/R2QK2R w KQkq -,d1d2
2rq1r2/p4pkp/1p2pnp1/3p4/3P4/1BP2P2/PP2Q1PP/R3R2K b - -,d8d6
r5k1/1pp2ppp/4n3/1q5r/p2Pp3/P1Q1P1P1/1P1N1PKP/2RR4 w - -,c3c2
r2qk1nr/1ppb1pbp/p1np2p1/4p3/B2PP3/2P2N2/PP3PPP/RNBQ1RK1 w kq -,c1e3:f1e1:d4d5:d4e5:c1g5:h2h3
r2q2k1/p3b1pp/2pp4/2p1nb2/8/1P5P/P1PPN1PN/R1BQ2K1 w - -,d2d4
2r1k3/4b1pp/pq2pn2/1p2Q1B1/8/P1N2P2/1PP4P/2KR4 w - -,g5f6
1r1r4/4ppkp/p1pp1np1/4qP2/4P3/1PN4P/P1PQ2P1/R4R1K w - -,a1e1
8/2k2pp1/2pp4/p5P1/2P1p1br/P3PB2/1P2KP2/2R5 w - -,f3g4
r7/4kpp1/1qb2b1p/p3pP2/6QP/PPBR2N1/2P5/1K6 w - -,g3e4
1r2k1r1/p2q3p/4pp2/1P1p1P2/1b5P/2NRP3/PP2Q3/1K5R b - -,b4c3
5rk1/3n1pbp/p1b1p1p1/4P3/2P2B2/2N4P/P1B3PK/4R3 b - -,f8b8
1r3rk1/ppp2ppp/2q1p3/5b2/2BP4/P1P5/2P1QPPP/1RR3K1 b - -,a7a6
r2R2k1/1p3pp1/4b2p/B7/P1r5/7P/2P2PP1/R5K1 b - -,a8d8
r5k1/1q3ppp/p2rp1n1/P2b4/1p1P4/1P2Q1PP/1B3P2/R3RBK1 b - -,d6c6
r5k1/5pp1/2p4p/1pPprb2/1n6/qQN3P1/P3PPB1/2RR2K1 w - -,e2e4
8/1Q5p/p5pk/1p6/5PPK/P3r2P/1Pnq4/2R5 b - -,d2f2
8/1pr2k2/4p2b/2NpPp2/1P1P2p1/P5P1/7P/3R2K1 w - -,d1d3
8/8/6kP/6P1/6K1/5R2/7r/8 w - -,f3f6
1r1r2k1/pp3p2/3pqbpp/N3n3/2b1P3/2N2B2/PPPR2PP/R2Q3K w - -,c3d5
r2qkn2/ppp1n1r1/3p2p1/3PppNp/2P1P2P/6P1/PP2QPB1/R4RK1 w q -,f2f4
5rk1/1b3rp1/p6p/P1p1q2P/1pp1p3/3nB1N1/1P2QPP1/1R3RK1 w - -,e2g4
r1b2rk1/ppqn1pbp/2n1p1p1/P1ppP3/3P4/2PB1N2/1P1N1PPP/R1BQR1K1 w - -,d2f1
rn3rk1/1pq1bppp/4pn2/p1P1N2b/2P3P1/1N1BP3/PBQ2P1P/R3K2R b KQ g3,h5g6
r1b1r1k1/ppqn1ppp/2pbpn2/3p4/2PP4/1PN2NP1/PBQ1PPBP/2R2RK1 b - -,d5c4
r2r2k1/p3bppp/q1b2n2/2pn2B1/PpN5/1P3NP1/4PP1P/R1QR1BK1 b - -,d5c3
q2rr1k1/3nbppp/p3p3/npp3P1/2P2P2/3PP2P/PB2Q1N1/1N1R1RK1 w - -,b2c3
4rbk1/3r2p1/pB1p1n1p/P3pP2/1Pp5/2P2qNP/3Q1P2/3RR1K1 w - -,e1e3
1qb1r1k1/5pbp/pr1p1np1/2nP4/2p1PP2/2N2QNP/RPB3P1/2B2R1K b - -,f6d7
8/5ppp/4p3/p2bP1P1/k1p1pP2/4P1P1/PK6/3B4 b - -,a4b4
rq3rk1/1b3pp1/pb2pn1p/P2nN3/8/1N1B4/1P2QPPP/R1BR2K1 b - -,b6f2
r5k1/1ppq1pbp/B4np1/3p4/3NrP2/2P1B1PP/PPQ3K1/R4R2 b - -,a8a6
q2r2k1/pb1n1pp1/5b1p/3p4/1P1P4/1R2P1N1/P1Q2PPP/2R3K1 w - -,b3c3
3r2k1/5pp1/7p/2p1PPn1/pPN1P3/7P/PP4K1/5R2 b - -,c5b4
8/4k1p1/3p1p2/3PpPnP/p3P3/K7/8/4B3 w - -,a3a4
1n1Rrk1r/5p2/p1pR4/1pP5/1P4PN/6K1/P7/8 w - -,g4g5
8/8/3p1kpp/8/2P4P/N2R1KP1/q7/8 b - -,f6e5
3r4/2k5/4P3/6q1/6p1/2Q5/2PR4/2K5 b - -,c7b7
2rqk2r/1p3ppp/n2p2n1/p2PP3/2P5/P1N5/1P2B1PP/R1Q2RK1 b k -,g6e5
2b2bk1/2p1qp1p/1p4p1/3p4/1PnP4/r3PNP1/5P1P/1RNQ1BK1 w - -,c1d3
2r3k1/pp3pp1/5b1p/3p3P/5PP1/1N1R4/P1P1r3/1KB5 b - f3,e2g2
8/3B4/p7/1pp4b/8/P1Pk4/5K2/8 w - -,a3a4
8/8/8/8/7p/6pk/6r1/2R3K1 w - -,g1h1
8/7p/p5p1/b7/1k4P1/3K3P/5B2/8 w - -,d3c2
r3r1k1/1ppbq1pp/8/p3Bp2/2P1n3/PP2Q1P1/4PPBP/3R1RK1 b - -,d7c6
2rq1r1k/1b2ppbp/ppnp2p1/8/1PP1P3/PQN1BB1P/5PP1/2RR2K1 w - -,c3d5
rnb1k2r/pp2ppbp/1qpp1np1/8/3PP3/2N1B2P/PPPQ1PP1/1R2KBNR b Kkq -,e8g8
r2r2k1/1p2bn2/2p1p1bp/2P1Pp2/1P2nP2/4BB1P/4N2N/R2R2K1 b - -,d8d1
7k/1B4pp/p7/1pp5/8/P5P1/1bP4P/6K1 b - -,b2a3
8/1b6/3B4/5p1p/4kP1P/2n5/5K2/8 b - -,b7a6
1q4k1/r5bp/p1n3p1/1pPpp1B1/3PN1b1/1Q6/PP4PP/5RK1 w - -,b3d5
r2q1rk1/1b2b1pp/p2p2n1/1ppPPp2/5P2/5N1P/PPB3P1/R1BQR1K1 w - -,e5e6
r4r1k/p5pp/1p6/8/2PRn3/6P1/PP3P1P/R1B3K1 b - -,e4f2
3r2k1/p3r2p/3q2p1/1P1Pb3/P1p1Pp2/2N2Q1P/1P2RP2/3R2K1 w - -,g1f1
r4rk1/1pqn1pbp/p2p1np1/2pPp3/2P1P3/P3BP2/1PQ1N1PP/R3NRK1 b - -,b7b5
2rn1bk1/1R3p1p/5Bp1/p7/Pp6/5NP1/5PKP/3B4 w - -,b7d7
rn1qkb1r/1b3ppp/p3p3/1pp1P3/3Pp3/1BP5/PP2NPPP/R1BQ1RK1 b kq -,b8c6
r2qk2r/pp2bp2/4p3/3pPnp1/3B1P1p/2PQ4/PP1N2PP/4RR1K b kq -,g5g4
5bk1/pbB5/1pn1pp2/1B4p1/P2P2P1/4PN2/4KP2/8 w - -,e3e4
