8/B7/4n3/4P1p1/3PkpP1/8/5K2/8 b - -,e6d8
8/4kp2/1ppn2pp/p2p4/P2P1nP1/1PPNKP1P/8/8 w - -,e3f4
2kr1b1r/pp3p1p/2bp1p2/q3p3/2N1P3/2NQ4/PPP2PPP/R3K2R b KQ -,a5c5
5R2/2p3r1/pp6/4N1k1/1P2Kppp/8/2P3PP/8 b - -,f4f3
1rr3k1/2qnppbp/p2p2p1/8/1PNBP3/1P5P/1P1Q1PP1/2R1R1K1 b - -,g7d4
r3k2r/2qbbppp/p3pn2/1p2p1B1/4P3/2PQ4/PPB2PPP/3RRNK1 b kq -,h7h6
8/k7/7p/P2K2p1/6P1/3B3P/8/4b3 w - -,a5a6
rn2k1r1/p2p1p2/bq3p1p/2pPp3/2BbP3/6P1/PP1NNP1P/1R1Q1RK1 w q -,b2b4
r4r2/pp2R3/6k1/2nP3p/8/P1N5/1P3PPP/R5K1 w - -,f2f3
2R5/7p/pp4b1/3k2P1/1P6/4K3/8/8 b - -,a6a5
r1bqk1nr/pp3ppp/2n5/2bpp3/4N3/5N2/PPP1PPPP/R1BQKB1R w KQkq d6,e4c5
8/5p1k/6p1/1q6/1P4rP/6P1/3Q1P2/1R4K1 w - -,d2c3
r2b1rk1/5ppp/p1qpn1b1/1p2p3/4P3/2P1QN1P/PPB1NPP1/2RR2K1 w - -,e2g3
8/5pk1/6p1/r7/5PPP/3R2K1/8/8 w - -,d3f3
r1b4r/ppp1qk1p/2n3p1/8/3pP3/8/PPQ2PPP/RNB2RK1 b - -,c8e6
r4n2/2k2p2/2p1p1r1/4Pp2/1p1Pp3/6P1/4Q2P/1KB5 w - -,c1d2
3r4/3k3p/6p1/1pR5/p2nB1P1/P2P4/1P3K1P/8 w - -,c5d5
8/5pk1/2Qb3p/4q1p1/4p3/4P1PP/5PK1/8 b - -,h6h5
r3r1k1/5pb1/2qp2pp/1pp5/n3N1P1/2P3BP/1PN1QP2/1R2R1K1 b - -,d6d5
8/3r4/5R2/2P1p2p/2K3k1/P7/1P6/8 w - -,c5c6
2r3r1/1p1k1p1p/p1n3p1/3p1p2/1b6/1P2P3/PB1PKPPP/1BR4R b - -,b4d6
6k1/1q2bppp/4pn2/1p2B3/1P6/P4N2/5PPP/1Q1r2K1 w - -,b1d1
r1b2rk1/pp2qpbp/6pQ/2p1n3/8/1PP1B1PP/P3NPB1/R4RK1 w - -,h6f4
6k1/p3rb1p/2R3pb/2N1pp2/8/qP3BP1/3r1PP1/1Q1R2K1 w - -,d1d2
3r1r1k/4q1pp/4p3/1p6/3bQ3/1P4P1/1B3P1P/R2B1RK1 b - -,d4b2
2kr3r/1ppqn1pp/p1n1ppb1/1B6/2PP2P1/4BN1P/P1P1QP2/2KR3R w - -,b5a4
1rb2rk1/1pqnbppp/p1n1p3/2p1P3/2Pp1B1P/1P1P1NP1/P4PB1/RN1QR1K1 w - -,b1d2
rr4k1/p3nppp/Q1p3n1/3p1q2/N2P1P2/5BPb/P4B1P/R3R1K1 w - -,a4c5
6rk/4R1n1/2b3Pp/2np4/2p3p1/5P2/P6P/BBR4K w - -,e7c7
2rqk2r/3n1ppp/p1n5/1pPpp3/8/P2QPNB1/1P3PPP/2R2RK1 b k -,e5e4
1B6/8/8/5p2/2n3k1/8/5K2/8 w - -,b8c7
5bk1/1b3ppp/1q1prn2/pN2p3/Ppr1P3/3RBPQ1/1PP1N1PP/3R3K b - -,b6a6
5rk1/ppr1p1b1/1n4p1/1B3b1p/3pNP2/1P4PP/P1PB3R/2K1R3 b - -,b6d5
8/1r2kpp1/2n1p2p/rNPp4/P7/8/3K1PPP/R1R5 b - -,b7b8
r1bqk2r/p3npbp/2p3p1/3p4/3Pp3/2N3P1/PP2PPBP/R1BQ1RK1 w kq -,c1g5:c3a4
5r2/p5q1/P2p2k1/Rp1P4/1PrRp1p1/2P1QpPp/5P1K/8 b - -,c4d4
2Br4/3P4/p2k1p2/2b4R/P4pp1/8/4K1P1/8 b - -,c5b6
1krb4/8/3pQ2P/2qNp3/1p2P3/pP2P3/PnPR3R/1KN3r1 b - -,b2d1
8/ppqb1nk1/4p3/3p1pp1/3P4/P3P2N/1P1QBPP1/6K1 w - -,d2b4
1rr1b1k1/2q2pb1/p3p1pp/np4Q1/3N4/2P1N1PP/PP1R1PB1/3R2K1 w - -,g5g4
2r1r1k1/1pp1qppp/p5bn/P7/4pQ2/6PP/1P2PPBK/2RRB3 w - -,d1d4
r3q2k/1bpn2b1/1p1pp2p/1N1P4/1PP2Pn1/8/2Q3PP/1RB2RK1 w - -,h2h3
r1bqr1k1/1p3pbp/p2p2p1/2pP3n/P3P1P1/2N2Q1P/1P3P2/R1B1RBK1 b - -,h5f6
r2qk2r/pp1b1ppp/1nn1p3/2bpP3/8/2PB1N2/PP2NPPP/R1BQ1RK1 w kq -,e2d4
r1bq2k1/ppp2ppp/5n2/3pr3/8/2PBP3/PPQN1PPP/R3K2R w KQ -,e1c1
2b1r2k/p1p1r1b1/1p2n1p1/P3p2q/1PB1Pp1p/2P2PnP/1NQN1BP1/3RR1K1 w - -,c4e6
k1n3r1/pp2bp2/4p2P/n2pPb1q/2pP1B1p/P1P1QN1B/1P1N1P1K/6R1 b - -,g8h8
2r2r1k/4qppp/2pbp1n1/p1pp4/N1P5/BP1P3P/P3QPP1/2R1R1K1 b - -,d5d4
1r2k2r/3bn3/3pp1p1/q1p1b1Pp/1p1nP2P/p2PB1N1/PPP2QB1/1R1N1RK1 w k -,f2f7
2B3k1/p4p2/1pp1p1pp/4P1n1/8/P3QPP1/q6P/6K1 w - -,h2h4
3rqnk1/1r2ppb1/pP4p1/2pPP2p/2N2P2/1QNR3P/6P1/3R2K1 b - -,d8b8
1r3k2/1P2p2p/1R4p1/3Bp3/r3P2P/6P1/5P2/6K1 b - -,a4d4
r2qk2r/pb1n1ppp/1p2p3/2bnN3/Q2p4/6P1/PP2PPBP/RNBR2K1 w kq -,b2b4
8/5kpp/2K5/3P1p2/8/1N6/4nPPP/8 b - -,f7e8
r2rb1k1/1p1n1pp1/1q2p3/p6p/1PP5/3B3P/P2Q1PPN/2R1R2K w - -,a2a3
6k1/1r3p2/6pp/8/4n3/4P1P1/2R2PKP/5B2 b - -,g8g7
rr6/2pnk1p1/3bp2p/pp2p3/2n1P1PP/P2N1P2/1PP1N3/1KBR3R b - -,d7b6
r1bq1rk1/1p1p1p2/2pP2np/1p2P1p1/8/3B1QB1/PPP3PP/R4RK1 b - -,g8g7
rr4k1/2Q2pp1/4q2p/p2p1b2/N2Pn2B/3nPN2/5PPP/R4RK1 w - a6,f1d1
r1b1k2r/1pqpbppp/p1n1p3/4P3/2P2B2/1NNQ4/PP3PPP/R4RK1 b kq -,b7b6
3r2k1/ppqnb1p1/4R1p1/3P1rPp/7P/2N5/PP2QP2/R1B3K1 b - -,e7c5
2k2r1r/pp1nbpp1/2p1p3/8/2PP3p/P2R1P2/1PK1NBPP/7R w - -,e2c3
8/8/5kp1/8/3NR2P/1P2K3/5PP1/1r6 w - -,g2g4
1nbrr1k1/ppp1qpp1/8/3P3n/2PR3p/P6P/1BQ1NPP1/4KB1R w K -,c2d2
8/1p2r1k1/2p3p1/4qp2/1R4n1/P1NQ2P1/5P2/6K1 w - -,g1g2
6k1/3q1ppp/p3p3/Pr1bP3/R2p1PP1/1N1Q4/1K1B3P/8 w - -,a4b4
r3kb1r/1p1bnppp/p3p3/3pq3/8/2NB1Q2/PP3PPP/R1BR2K1 w kq -,c1f4
r1bq1rk1/p3pp1p/1p4p1/2pP4/4P3/2b1B3/P3BPPP/1R1Q1RK1 w - -,f2f4
7r/1p3p1p/pqn2kp1/3Bp3/1P3P2/2Q5/P5PP/3R3K b - -,b6b4
r1b2k1r/ppq2n1p/4pb1p/1B1p4/3N1P2/N1P2Q2/6PP/R3K2R b KQ -,a7a6
r1bq1rk1/p1nn2bp/3p1pp1/1ppPp2P/2P1P1P1/2N1BP2/PP1QN3/2KR1B1R b - -,f8f7
8/5k2/2P5/p3KPP1/p7/B7/1P1r4/8 b - -,d2d1
1r6/pbrnqkpp/3pp3/PPp2p2/2P1nP2/3NPB2/1BQ3PP/RR4K1 b - -,c7c8
4r1k1/5pp1/2b2nNp/1pq5/3Rp3/1QN1P1P1/1P3PP1/6K1 w - -,g6f4
r1br2k1/ppn2pp1/2p1p2p/4N3/3PP3/qBP1K1P1/P1Q2P1P/3R3R b - -,a7a5
rnb1kbnr/ppp1pppp/8/q7/8/P1N5/1PPP1PPP/R1BQKBNR b KQkq -,c7c6
6qk/3Qp3/p4b1p/1p2p2P/4B3/2P3P1/PP3P2/6K1 b - -,h8g7
r1b2rk1/ppp1nppp/2np1q2/8/4P2P/1NN1b3/PPP1QPP1/2KR1B1R w - -,e2e3
7R/8/3p3n/P2P2p1/1P4k1/R7/3r3r/6K1 w - -,a5a6
3rr1k1/1p1n1pp1/2p1p2p/q1PpP3/1B1P4/pP4P1/P3QPBP/1bRR2K1 b - -,a5b4
3n3r/3k2r1/5pn1/ppBp3p/q1pP2p1/P1P2pP1/2P1Q1BP/1R2R1K1 w - -,g2f3
4r1k1/6pp/p7/1p6/1P6/6P1/P1r2RKP/8 w - -,f2c2
3r2k1/2r2p1p/1pB1p3/p1q2bp1/Q1P5/4R2P/P4PP1/2R3K1 w - -,c6b5
8/2p1n2p/2p1k3/2Pp1pp1/PP1K4/5P2/6PP/4B3 b - -,f5f4
4k2r/p2nbppp/r4n2/2p5/2PN1P2/B2P2PB/P6P/R3R1K1 w k -,d4b5
4b3/1p3r1k/1p3q2/1P1Pp1p1/4Pn1p/7P/2R3P1/2B1QBK1 w - -,c2c8
