8/8/8/8/8/1r3k2/8/3NK3 b - -,b3d3
2rq1k1r/5p2/bQ2p1p1/p1p1Pn2/5P1b/3P4/P3N1BP/1RBR2K1 b - -,a6d3
rn2k2r/p1n2ppp/2P5/1Pb5/2N5/6P1/1P3P1P/R1B1K2R w KQkq -,c1e3
2r3k1/1p5p/1P1n2p1/p2P1p2/8/3NP2P/6P1/3R2K1 b - -,d6c4
5r2/p2k4/1p6/2p4p/3b1Rp1/1P4P1/P3KP1P/4B3 b - -,f8f4
r3k2r/p4p2/2n4p/1p1p1bp1/n7/2PBPNB1/P1K2PPP/3R3R b kq -,f5d3
1r5k/4bQ2/p2p4/n2Pp2p/Pp1P1P1q/1n5P/1P4P1/R3R1K1 w - -,f7g6
8/1p2rpk1/p2R2p1/2p5/2P3pP/1P4P1/1P3P2/5K2 b - -,e7e6
r2qkb1r/1p1bppp1/p2p1B1p/8/3QP3/2N2N2/PPP2PPP/R3K2R b KQkq -,g7f6
r3k2r/pp1n2pp/2nb1p2/1B1ppb2/1P6/2P1PNB1/1P1N1PPP/R3K2R w KQkq -,b5c6
2r1r1k1/p5Bp/4q1pb/2p5/2P1p3/1R2P1P1/P5BP/1Q3RK1 b - -,h6g7
6k1/p4ppp/1p4b1/2P5/3p2P1/4rP2/P3BK1P/3R4 b - -,b6c5
r1bqr1k1/1pp2pb1/3p1Npp/pPn1p3/P1P5/3PP1P1/3N1PBP/1RBQ1RK1 b - -,g7f6
2r2rk1/pp2ppbp/3p1np1/2p5/4P1b1/PnPP1N2/1P2BPPP/RNB2RK1 w - -,a1a2
3r2k1/p5pp/2n5/3R1pq1/8/1P1QP1P1/P4PP1/6K1 w - -,d3c4
r5k1/5p2/1q2r1p1/p1pRp2p/2P1P3/1PQ2P1P/6PK/R7 b - -,b6c7
r3k2r/1p1bqp2/2p4p/p1p3pn/P1N1Pb2/2NPB2P/1PP2Q2/R3K2R w KQkq -,e3c5
8/4kp1p/1R4p1/4P3/5P2/4PK2/r6P/8 w - -,h2h4
6k1/1pq1bppp/2p1bn2/p1P1p3/1P6/P4NP1/1B2PPBP/3Q2K1 b - -,f6d7
rnbq1rk1/p3bpp1/1p2pn1p/3p4/2PP3B/P1N2N2/1PQ2PPP/R3KB1R w KQ -,e1c1
r1b1r1k1/1p1n1pbp/1qpp1np1/p3p3/2PPP3/1PN2N2/P4PPP/1RBQRBK1 w - -,d4d5
2r3k1/pp2ppBp/2n3p1/2P2b2/4N3/2Pr1N2/PP3PPP/R3R1K1 b - -,g8g7
8/8/1r4k1/6pp/1r6/1P1R1R1P/6PK/8 w - -,f3e3
2b2rk1/Q2n1pbp/pr1qpnp1/1p6/P2P4/2N1PN2/1P1BBPPP/2R2RK1 w - -,a4b5
rnb2rk1/ppq1ppbp/3p1np1/2pP4/2N1PB2/2P2P2/PP4PP/R1Q1KBNR w KQ -,a2a4
r2qkb1r/p3pppp/1pn2n2/3p4/Q2P1Bb1/2PB4/PP3PPP/RN2K1NR b KQkq -,g4d7
8/1b3p2/2kp4/p2pppPp/3P1P2/1PN1P1P1/P2K4/8 b - f3,e5e4
8/8/8/3p3p/3k1r2/7K/8/3R4 b - -,d4c4
8/8/6k1/7p/6p1/4R1P1/3rpPK1/8 b - -,g6f6
r4bk1/PR3p1p/3qp1p1/3n4/2QP4/6P1/2N2B1P/6K1 w - -,f2e1
1r4k1/2r2ppp/b3p3/3q4/PPNn4/2QB4/K5PP/2R3R1 b - -,a6c4
3r2k1/1bp1qpb1/1p4p1/p3p1np/P1N1n3/N1P1P2P/1PQ1BPPB/4R1K1 w - -,e1d1
1r1q1bk1/5p1p/Q1Rp2p1/p2Pp3/Pr1n2P1/4N1NP/RP3P1K/8 w - -,c6c1
2r1r1k1/3n1p2/B2pn1pp/p1p5/3PP3/P4PB1/3R2PP/1R4K1 b - -,c8b8
r3brk1/4q3/3pn2Q/pN2pP1p/P1P3pP/1N4P1/2B4K/3R4 b - -,f8f6
5k2/p4p2/6n1/2p1P3/2PpPP2/5NK1/P7/8 b - -,g6e7
3rr1k1/pp3p1p/2pp4/6p1/4PN2/5P1P/PP1R3P/3R3K w - -,f4h5
8/6K1/8/7P/1N4n1/pk6/8/8 w - -,b4d3
8/8/p3Rpk1/1p1P2p1/1P4P1/r2nB2P/6K1/8 b - -,d3b4
r3r1k1/p3qpbp/Bp2nnp1/3p4/RP6/2B1PN2/Q4PPP/3R2K1 b - -,e8d8
3r3k/q4b1p/2np3r/p1P1p1p1/1p2Pp2/1P1R1PP1/P1N2QB1/3R2K1 w - -,g3g4
2r1q2k/p2n2pp/8/4pr2/1Pp1b3/P1B2P2/Q5PP/4RRK1 w - -,e1e4
r1r3k1/3nqpb1/p2p2pp/n2Pp3/Pp2P3/6NP/1PB1QPP1/R1B1R1K1 b - -,d7c5
8/kbp2Q2/8/p3pB1P/1p2P3/2r1R1K1/3q1P1P/8 b - -,c3e3
8/7k/6Rp/5P2/6PK/r7/8/8 b - -,a3a1
r1b3k1/ppq1p1bp/2n2rp1/3p4/3Pn3/2N1BNPP/PP3PB1/R2QR1K1 b - -,e4c3
3r2k1/2b1npp1/p2q1n2/1p1pp2p/1P6/P2PP1PB/1B2NP1P/2RQ2K1 w - -,c1c2
r1k5/p4ppp/2b1rn2/2Q1b1B1/5P2/8/PPP4P/2KR4 b - f3,f6d7
r1bq1rk1/pp2nppp/2nb4/1BPp4/8/2P2N2/PP1N1PPP/R1BQ1RK1 b - -,d6c5
rnbqkb1r/pp2pp1p/5p2/2pp4/3PP3/2N5/PPP2PPP/R2QKBNR b KQkq e3,d5e4
r1b1kb1r/1pq1ppp1/p2p3p/3n4/3NPP2/5Q2/PPP3PP/R3KB1R w KQkq -,e4d5
q7/6kp/4pNp1/3nP3/1p6/6P1/1P3Q1P/6K1 w - -,h2h4
4nk2/3q2b1/p2p2Qp/P1p2P2/8/4RR1K/1Pr4P/8 w - -,b2b3
r4rk1/pbqnppbp/1p3npB/2pp4/7Q/2PP1NP1/PP1NPPBP/R4RK1 w - -,h2h3
r2qr1k1/pp2bppp/2p1bnn1/3pN1B1/3P4/2NBP2P/PPQ2PP1/R4RK1 w - -,f2f4
2rn1qk1/p4pp1/7p/4N1n1/2PP2P1/3QR3/Pr5P/1B3RK1 b - -,c8b8
3rk2r/pp1qbppp/1n2p3/2P5/3p4/1P1Q1N2/P2B1PPP/2R2RK1 b k -,b6d5
5k2/8/6P1/4K3/8/8/8/8 b - -,f8e7
r4rk1/pp1q2p1/2pbp2p/8/3Pn2P/2P5/PP1BQ1P1/2KR3R w - -,e2e4
4r1k1/2p1q1n1/2n3Q1/p1Pp4/3P3p/P3PP2/3BNK1P/8 w - -,g6c6
3r1k2/2b2bn1/2p2pp1/2P1p2p/qP1pP2P/N2Q1P2/2N3P1/BRK5 w - -,g2g3
r1r3k1/5pp1/3qp1p1/p2n4/2BPQ3/6P1/P4PP1/R1R3K1 b - -,d6a3
3qr1k1/pb3r1p/1p4p1/3p1p2/3PnQ1P/1P2N1P1/P1R2PB1/4R1K1 b - -,d8f6
5k2/pp3pp1/7p/3pn3/3N4/P4PP1/1PP2K1P/8 w - -,b2b3
5rk1/3b2p1/3p1r1p/3qp3/1R6/3PB1PP/P3QP1K/3R4 w - -,d3d4
r1b1r1k1/ppq1bppp/2pp1n2/2n5/1P1NPP2/P1NB4/2PB2PP/R3QR1K b - b3,c5d3
r3r1k1/1p3ppp/8/1pQ5/4qPb1/BP2P3/P5PP/4RRK1 w - -,f1f2
r2qkb1r/ppnnpppp/2p1b3/8/2B2B2/2NP1Q2/PPP1NPPP/R3K2R b KQkq -,e6c4
r2qk2r/pp1n1ppp/2pbpn2/3p4/2PPb2N/4P3/PP1NBPPP/R1BQ1RK1 w kq -,g2g3:b2b3
3r1r1k/p2qn1bp/3pb1p1/2p5/2ppPP2/PP3NP1/3NR1BP/1Q3RK1 w - -,b3c4
5qk1/pp1b1r1p/2p1pn1Q/4Bp2/3P4/3B4/PPP3PP/R5K1 w - -,h6g5
2q5/5p1k/2p2Pp1/1p1pP2p/3P1Q2/2P3PP/5rK1/8 w - -,f4f2
r2r4/1p2kppp/p2bp3/4n3/8/2P1B3/PP2NPPP/3R1RK1 w - -,e3f4
8/8/8/1R1p4/p4rp1/2Pk3p/P4P2/6K1 w - -,b5d5
r1b2rk1/pp1pp1bp/4n1p1/2P1q3/4N3/4BP2/PP1Q2PP/2R1KB1R w K -,b2b4
4r1k1/1p3rb1/p5p1/2p5/3p1B2/3P2P1/P6P/R4R1K b - -,e8e2
rr3b2/N1Rn4/3Pbp2/4p1pk/8/1P2BN1P/P2R1PK1/8 b - -,b8b4
1Q3nk1/1b1r1pb1/2q1p2p/2p1P1p1/8/1P3NBP/1PP2PPK/R7 b - -,h6h5
4k3/p7/6p1/4qb1p/2Pp4/P2P2P1/4PQ1P/5RK1 w - -,f1e1
8/ppp4p/3rp1p1/8/5PkP/2P1R1P1/P1P4r/4RK2 w - -,e3d3
8/pp2b3/5p2/3P2k1/2P5/P2B3K/1P6/8 w - -,h3g3
r3qrk1/4bppp/2bppn2/p7/Pp1BP1PP/1B3PN1/1PPQ4/2KR3R w - -,g4g5
