4n3/5bk1/5r1p/3pQ3/7K/3B4/8/8 b - -,g7f8
r1b1q1k1/pppr2bp/2n2n2/3NppN1/2P5/1P4P1/P4PBP/R1BQ1RK1 w - -,c1b2
6k1/8/4pQp1/1p6/4qP2/P6P/1r2p1P1/6RK w - -,f6b2
8/pBp2k2/8/7p/6RP/2P3P1/PP3b1r/2K5 w - -,g4f4
8/1P1N4/2R5/b4pk1/8/8/8/3r1K2 w - -,f1e2
1r3r2/p5bk/1p4pp/2pBpq2/2P1N3/3P2Pb/P1Q1PP1K/1R2R3 b - -,b8d8
r1bqkbnr/pp3ppp/2n1p3/2PpP3/5B2/5N2/PPP2PPP/RN1QKB1R b KQkq -,f8c5
3nqk2/3b4/Q1n2p2/2PBp1p1/4P3/4BNP1/5PK1/8 w - -,f3g1
8/1pp5/5k2/p5p1/PbK5/8/1P2R3/8 b - -,f6f5
8/Q5bk/4Rq1p/5pp1/5n2/5P2/1PBr1BPP/1R4K1 b - -,f6e6
8/1p2r2p/p1p3p1/4p1N1/1k5P/1P4P1/1PR2K2/5Br1 b - -,b4b3
r4rk1/1p3ppp/1p1nb3/3p4/3P4/3BB3/PP3PPP/2R2RK1 w - -,e3f4
r1b1kb1r/1p1q1pp1/p2p1n2/4pNB1/4P2P/2N5/PPP2P2/R2QK2R b KQkq -,f6e4
7r/p2kpR2/6p1/6P1/8/8/P3NK1b/8 w - -,f7g7
r3kbnr/2pq1ppp/p1pp4/8/2Q1P1b1/2N2N2/PPP2PPP/R1B1K2R w KQkq -,c1e3
q3r1k1/1bp2pb1/3p1npp/1pn1p2P/4P1N1/2PP2N1/1PB2PP1/2BQR1K1 b - -,g8h7
3r4/5p1k/p4p1p/3P1N2/8/P3P3/2r2PPP/1R4K1 w - -,d5d6
1r6/2p2rk1/1bBp2p1/1P3n1p/3pRP2/6P1/5PKP/B3R3 w - -,h2h3
r6k/1p5p/p1n2p2/P3p2q/2Q3R1/4P1P1/1P1B1P2/4K3 b - -,c6d4
r1bq1rk1/p3bppp/2p5/4p3/2B1P1n1/2N1BQ2/PPP3PP/3R1RK1 b - -,g4e3
rn2k2r/pp3ppp/4pn2/q6b/1b1P4/2N2N1P/PP2BPP1/R1BQ1RK1 w kq -,d1b3
r4rk1/5ppp/1qp2n2/2N1pb2/1pB5/2P3Q1/PR3PPP/4K2R w K -,c3b4
3br1k1/5pp1/2q3p1/2p5/2N3Q1/2P2P2/1P5P/6RK b - -,c6d5
3b4/8/p5b1/3k3p/1Bp5/P1P2K1P/4N3/8 b - -,d5e5
1rr3k1/4ppbp/2bp2p1/p2B2Pn/3BP2P/2P2N2/PP1R4/2K1R3 b - -,h5f4
r2qk2r/1p3pp1/2p1pn1p/4N2P/2PP1QP1/pP6/P4P2/2KR3R b kq -,d8c7
1k5r/1pq2p2/p1n4p/3pPbbP/PP1P2p1/2PN2Q1/1B3P1N/6RK w - -,h2g4
r5k1/pp1b3p/4pnp1/3p4/6P1/2N1b2P/PPP3B1/1K1R3R w - -,d1d3
8/pbpp1ppk/1p5p/2b5/6K1/P1B3P1/1P3P1P/2N1r3 w - -,c3e1
1r1q1r1k/1p4bp/pNp1b1p1/2Pp3n/3B4/4QRPP/PP2P1B1/2R3K1 b - -,f8f3
r2q1rk1/pp3ppp/2n1pn2/1B1p1b2/3P1B2/2Q1PN2/PP3PPP/R3K2R w KQ -,b5c6
r4rk1/ppP2pnp/2n3p1/8/4PP1q/2N5/PP1Q1N1P/R3Kb1R w KQ -,h1f1
8/4B3/5Pk1/4R3/8/PK2p3/4r3/8 w - -,a3a4
r1bq1rk1/pp2bppp/4pn2/3P4/3n4/P1N1P3/1P2BPPP/R1BQK2R w KQ -,d1d4
2r1rnk1/6bp/3pp1p1/2q3B1/1pp1PP1Q/8/1P1R2PP/1B1R3K w - -,d2d6
r1bq1rk1/1p2b1pp/p2ppn2/5p2/2PQ4/2N1B1P1/PP2PPBP/R2R2K1 w - -,d4b6
r1bq1rk1/pp1pbpp1/2n1pn1p/8/2P4B/2N1PN2/PPQ2PPP/R3KB1R w KQ -,f1e2
4k2r/p1p1n2p/1p2p1p1/8/R7/4PP2/PP3P1P/2K2B2 b - -,e7c8
8/3bpk1p/3p4/p2P1p2/1p1bP3/1P1B1P2/P2B2KP/8 b - -,f7f6
2r5/Nb2rpk1/1p2pqp1/p1Pp1n1p/3Pn3/PP1B1N1P/2Q2PP1/3RR1K1 b - -,c8c7
5k2/5p2/p2rp3/P1p1p2R/1rP4P/8/8/5RK1 w - -,h5h7
r1k3r1/2p2pp1/1p2b1np/p1p1P2N/8/P4N1P/1PPR1PP1/4R1K1 b - -,c8b7
1r1q1rk1/p4ppp/8/P1pN4/2Qb4/3RB1PP/6B1/6K1 b - -,d8a5
1r1qnrk1/2nb1pbp/3p2p1/NppP4/4PB2/2N5/1P1QBPPP/R4RK1 w - -,e2g4
r1b2r1k/ppq3bp/2p1n1p1/2P2p2/1PB1p1nN/P1N1P1P1/2QB1P1P/3R1RK1 b - -,g6g5
r2qk2r/pp1bppb1/1n3npp/1B1P4/3P1B2/2N5/PP1Q1PPP/R3K1NR w KQkq -,d5d6
r4b1k/1pq2bpp/2p1np2/p1n1pN2/P1B1P3/2P1BNPP/1PQ2P2/3R2K1 w - -,g1g2
6k1/1p3p2/pqn1p1p1/7p/PP2NP2/2PQ2P1/1K5P/8 b - -,b6g1
r2q1rk1/pb2npbp/4p1p1/1pp5/3npP1N/3P2P1/PPP2QBP/R1BN1RK1 w - -,d3e4
r3r1k1/pp1bqpbp/3P2p1/2p5/2P1p3/4P1P1/P1Q1NPBP/2RR2K1 b - -,e7f6
8/6k1/3p3p/3P2pP/2p2b2/5P2/2B1KR2/r7 b - -,g7f6
r1r3k1/1p2ppbp/3p2p1/3P1PP1/2qNP3/Pp5P/1P1Q4/1K1R1R2 b - -,g7d4
5rk1/1r2bppp/p7/1p3P2/2nNp3/P7/1PP3PP/2BR1R1K b - -,f8e8
rn3rk1/p1Q2ppp/bp2p3/1q1R4/1B4P1/P4N2/1P2PP1P/4KB1R b K -,b5d5
r1b2rk1/p2np1bp/5pp1/1p1qP3/3P4/4B3/1PPNB1PP/R2Q1RK1 b - -,d5e6
rnb1k2r/pp3pbp/1q2p1pn/2Pp4/4P2P/2P2N2/PP1NBPP1/R1BQK2R b KQkq -,b6c5
8/5p2/2Q3p1/P1r1pk1p/7P/4P1P1/2p2P2/2R3K1 b - -,c5c6
r2qr1k1/1b1n1pp1/p3pn1p/1pb1P3/5B2/P1NB1N2/1PQ2PPP/3R1RK1 b - -,b7f3
r3r1k1/5ppp/2p5/4BN2/P3Pn2/2Qp1P2/5KqP/1R5R w - -,f2e3
r2qr1k1/1bp2pp1/pb1p1n1p/np2p3/3PP2B/1BPQ1N2/PP1N1PPP/R3R1K1 w - -,b3c2
r2b1rk1/1p1qn2p/p2pb3/4pp2/2P5/1PN1BPP1/P5BP/R2Q1RK1 w - -,f3f4
1qbrrk2/5p1p/3pnNp1/p1p5/2P1PP2/1P4PP/P1QR2B1/3R2K1 w - -,f6e8
6k1/p2r3r/bp2qp1p/6P1/P1pPp1P1/2P1P1QP/1R4KB/5R2 b - -,h6g5
1r3rk1/1p1q1ppp/p2p4/P2Pp2B/1n2P3/4PQ2/3R2PP/R5K1 b - -,b7b6
2r3k1/4qpp1/p3n1p1/1p6/8/1P5P/P3QPP1/2BR2K1 w - -,c1e3
r1bqkb1r/p2n1p2/2p1pn1p/1p2P1B1/2pP4/2N2NP1/PP3P1P/R2QKB1R b KQkq -,c8b7
r2qk2r/pb1nbppp/2p1pn2/4P3/1p1P4/2N2N2/PP2BPPP/R1BQ1RK1 b kq -,b4c3
2r3k1/5pp1/pq2pn1p/1pNp4/1PnP4/PN1QP3/5PPP/5RK1 w - -,h2h3
r2qr1k1/pp3p2/2np1npB/2p1p3/2P1P3/PP1P1P2/1Q3P1P/R3KB1R w KQ -,f1e2
r2Qk2r/1p3ppp/p7/2n5/4P1P1/1PN4P/PP6/n2K1B1R b kq -,a8d8
r4rk1/pppq2pp/1n1n1p2/5b2/3P4/2NB1N2/PP3PPP/R2QR1K1 w - -,d1b3
2bq2k1/r3r1p1/1p1p1nBP/1Pn1pP2/p1P1P3/B2P1N2/7R/3Q2RK w - -,h6h7
8/2b2p2/2k1p1p1/1p3rP1/3B2RP/2PK4/1P6/8 w - -,b2b3
r2q1rk1/pp1nn1pp/2pb1p2/3p1b2/3P3B/2NBPN2/PP1Q1PPP/R3K2R b KQ -,d7b6
1r5r/p2bkp2/3p4/3Pp2p/2p1P2R/5P2/P1B1N1P1/2K5 b - -,b8g8
7k/4qp1p/1p2pp2/p7/2P4P/1P3QP1/P4P2/3K4 b - -,f6f5
4r1k1/5pp1/1Rq3bp/1p1p4/1P1B4/2P3QP/5PPK/8 b - -,c6d7
r7/4kppp/8/2p1P3/2bbPPB1/3R2P1/1P5P/1K6 w - -,d3d2
5k2/R5pp/3r1p2/5N2/4P2P/4K3/5Pb1/8 b - -,d6e6
r2qkb1r/1p1n1ppp/p2pbn2/4p3/4P3/1NN1B2P/PPPQ1PP1/R3KB1R b KQkq -,b7b5
