8/6k1/R5p1/8/4KP1P/p7/P6r/8 b - -,h2a2
8/2kr1Qp1/5pBp/2q5/8/6P1/5P1K/8 w - -,f7a2
2r2rk1/p4ppp/1p3b2/8/2n1B3/P1N1B3/1P3PPP/3R1K2 w - -,e3c1
2r3k1/Rb5p/1p1n2q1/1Bnp1pr1/1B1N3Q/2P1PPP1/8/5RK1 w - -,b5d7
r1bqk2r/pp2bppp/2nppn2/8/3NP3/1BN5/PPP2PPP/R1BQK2R w KQkq -,c1e3:f2f4:e1g1
2n1rrk1/1p1q3p/p3b1pb/2PpB3/PP3Pp1/2N3N1/3Q2PP/4RRK1 b - -,f8f7
8/2k3p1/1p3p2/p3p1p1/4P3/PKB2P1B/1P4P1/2r5 w - -,b3c4
8/7p/2b3p1/2kp4/7P/2K3P1/4B3/8 w - -,e2d3
4r3/1pkn1ppp/2p5/p3p3/2P5/5PPP/PP1R1PB1/6K1 w - -,g1f1
7k/6p1/b2N1p1p/2P1pB2/3n4/2R1K1P1/8/5r2 w - -,f5g4
r4rk1/1p4bp/p1q1p1p1/2Ppp3/1P2P3/3BQ3/1P3PPP/R3R1K1 b - -,a8c8
2kr4/1b1p1pr1/pp1Rp3/2q1Pp1p/2P2Q1P/5P1N/P1P3PK/5R2 b - -,d8g8
1r1q1rk1/p4ppp/2p1b3/2b1p3/5n2/2NQ1P2/PPPBB1PP/R4R1K w - -,d3d8
rnbq1k1r/pp3ppp/3p2n1/1BpPp3/P3P3/2N2N1P/1PP2PP1/R1Q1K2R w KQ -,g2g3
8/7p/8/3n2k1/1rN5/KP1p3P/6P1/5R2 w - -,f1d1
r2q1rk1/2nnppbp/pp4p1/3pP3/P2P1B2/5N1P/1P1NQPP1/R4RK1 b - -,c7e6
3qr1k1/1prbbp1p/p1n1pnp1/3pN1B1/3P1PP1/2NBPR1Q/PP5P/R5K1 b - -,d7c8
8/5R2/8/8/8/6n1/r4pk1/3K4 b - -,f2f1q
r1q1r1k1/pppb1pb1/3p2p1/4n2n/3NP2P/1PN1BP1P/P1PQ2BK/4RR2 b - -,e5c6
5bk1/2n5/4pPQp/3pP2p/2qN4/2P4B/5P1K/8 b - -,g8h8
6k1/2r1p2p/R1p1P1p1/1nP1Np2/8/p5P1/5PKP/8 w - -,e5c4
r4rk1/5pbp/p5p1/1pP1pn2/4Nq2/2B3P1/PPP1Q2P/1K1R3R b - -,f4e3
6k1/5p2/1p1q2p1/p4QRp/2P4P/PP4P1/5PK1/3r4 w - -,a3a4
2r2rk1/1p3ppp/p2b4/3P2q1/8/1P1R3P/PB3PP1/Q4RK1 w - -,a1d1
r7/5pp1/2kp3p/p1p2b2/2N5/PPR4P/2P2PP1/5K2 w - -,f1e2
r4rk1/pppqppbp/1nn1b1p1/4P3/3P4/2N1BN1P/PP2BPP1/R2QK2R w KQ -,c3e4
6k1/1R3p1p/1p2p1p1/pB6/8/1P4P1/P1n1KP1P/r7 w - -,b5e8
5rk1/5rp1/2Q1p3/p2pP3/1ppP3K/4q3/PP5N/3R1R2 b - -,g7g5
1q2nk2/4rpp1/2Ppr3/2P4p/4bQ2/6P1/1P3PBP/R2R2K1 w - -,g2e4
r1b1kb1r/2q3pp/pn2pp2/1p1pP3/1P1P1P2/4B3/PN1Q2PP/R3KB1R w KQkq -,f1e2
r1b1k2r/1pp2ppp/p1N5/8/B3p2q/8/PPP2PPb/RNBQ3K w kq -,d1d8
r1b1k2r/p3nppp/2p5/4p3/8/3BN3/PPP2PPP/R4RK1 b kq -,e8g8
r3k2r/1pp1qpp1/p1npbn1p/4p3/4P3/1BPPbN1P/PP3PP1/R1BQ1RK1 w kq -,c1e3
3B4/5pkp/1p6/p7/2q5/4P1P1/P2R1P1P/4K3 b - -,c4b4
2r5/4k3/p7/1p1p4/7P/P2B3K/2P3P1/8 w - -,h3g4
1rb1r1k1/1pq2pbp/pn1p1np1/P1pP4/4PP2/1RN1B2P/1PQNB1P1/5RK1 b - -,b6d5
1r3r2/p6p/2ppk1p1/4p3/5P2/1PP1K3/P5PP/3R1R2 b - -,b8b5
1r2r2k/1b3p1p/ppR2Np1/1n1Pp3/1b6/4B1PP/P3PPB1/3R2K1 w - -,f6e8
R7/p7/1p2p1p1/4kp2/8/8/5PK1/8 w - -,a8a7
6k1/4np1p/pp1qp1p1/3pN3/3P4/4PP2/PPQ3PP/6K1 w - -,c2a4
r6r/pp1k4/n1p1p3/3pP3/3PnPPq/2P2Q2/PP4RP/R1B3K1 b - -,h4e1
3rr1k1/2pq2p1/1pn2pQp/4Pn2/3pNP2/BP5R/P5PP/4R2K b - -,d7e6
r1b1kb1r/1q1n1p1p/p1n1p3/3pP1P1/3p4/2P1BN2/1P1Q2PP/R1N1KB1R w KQkq -,f3d4
8/p2r1p2/1P1k3p/3pr3/PR6/7P/3R1KP1/8 b - -,d7b7
5r1k/R1pb1qpp/1p1bnpn1/3Bp3/1P2P3/2P1BN2/3QNPPP/6K1 w - -,e2g3
1k1r1n1r/pp1bb1pp/1q2pp2/n2pP3/3P1P1P/P2BBNKN/1P3QP1/R6R b - -,a5b3
8/4N3/5pkP/6Pn/6K1/8/8/8 b - -,g6f7
rnqr2k1/p3bpp1/1p2p2p/8/3pPB2/P1PR1N2/4QPPP/R5K1 w - -,c3d4
r1bq1rk1/ppp2pbp/2np2p1/4n3/3NP3/1P4P1/PBP2PBP/RN1Q1RK1 b - -,d8e8
r2q1rk1/p1p2pbp/3pb1p1/2p1n3/2P1P3/1PN2PP1/P2BQ1BP/4RRK1 b - -,e5c6
r3nrk1/p2bnpbp/3p2p1/q2Pp3/1p2P1P1/4BPN1/PP1QN2P/1K1R1B1R w - -,h2h4
r3b1r1/1p2q2n/2p1p1pk/p1PpNp1p/3P1P1P/1P1B1PP1/PQ4K1/2R1R3 w - -,a2a3
1r3k2/6p1/R5p1/4P3/1P2b3/6P1/5K1P/8 w - -,a6a4
r4rk1/ppp2ppp/1bn5/8/5P2/2P3PP/P1p2RB1/1RB3K1 w - -,b1b6
r2qk2r/5pbp/p1npb3/1p1Np2Q/4Pp2/N2B2P1/PPP2P1P/R4RK1 b kq -,h7h6
r1bqkb1r/ppp2ppp/2n1p3/3n4/3PP3/2N2N2/PP3PPP/R1BQKB1R b KQkq e3,d5f6
8/8/8/5kpK/P1N1n3/8/1PP5/8 b - -,e4f6
3r3r/1p3pk1/p4q2/4p1p1/4Pn1p/2P1Q2P/PP1R1PP1/3BR1K1 w - -,d1g4
2r2k1r/3b2p1/3qp3/pp5p/4BPn1/8/1PPBQ1PP/R4R1K w - -,d2a5
r1bq1rk1/pppn2pp/3ppb2/5p2/1PPP4/2Q2NP1/PB2PPBP/R4RK1 b - -,e6e5
rn3rk1/q4ppp/2p5/1pb1p1N1/p3P1n1/P7/BPPNQP2/R1B2RK1 b - -,h7h5
r2r2k1/5ppp/4pn2/b2p4/PB1N4/1RP2P2/5P1P/4R1K1 b - -,d8c8
r3rbk1/p1q2ppp/bpp2n2/2N1pN2/2P1P1P1/7P/PP2QPB1/R1B2RK1 b - -,f8c5
5k2/pp3r2/2p1b3/3n1p1R/2PP4/3B3P/PP1B3K/8 b - c3,d5b6
3Q4/1p6/2b5/2P2kp1/r6p/5PPP/P7/6K1 w - -,d8f8
1r3k2/R1r2p1p/2bN2p1/1pp1P3/1n3P2/6P1/1P4BP/6K1 w - -,a7c7
3R4/8/8/1r4p1/8/1k5P/p3K3/8 w - -,d8d3
r2q1rk1/pb3pbp/1p3np1/n1p1P3/8/2N1BN1P/PPB2PP1/R2QR1K1 b - -,f6d7
5r1k/pp5p/3p3q/2p2P2/3p1R2/3Qn1P1/PP2R2P/6K1 b - -,h6f6
1rbq3r/3k1pQ1/2n1p3/pp1pP2p/2pP1N2/P1P4R/2PK1P2/R4B2 w - -,f4e6
r2q1rk1/1p2bppp/1n1p4/pBNP4/P2Q4/4B3/1PP3PP/2KR3R b - -,d6c5
r2q1rk1/1p2ppbp/3pbnp1/p7/2P1P3/1PN1BP2/P2Q2PP/2R1KB1R b K -,f6d7
r2q1rk1/4ppb1/pnpp2pp/4Pb2/3P3B/P1Q2N1P/BP3PP1/3RK2R w K -,e1g1
r3k2r/1pp1q1b1/p2p1nnp/3Ppb2/2P2p2/4B1P1/PP1QNNBP/K1R4R w kq -,g3f4
3qr1k1/2rp1p1p/p1n3pB/1p1QP3/5P2/P5P1/1PP4P/3RR1K1 b - f3,c6e7
3rr1k1/ppqn1ppp/2p2n2/8/P2pP3/B1P2N2/2Q2PPP/R3R1K1 w - -,c3d4
4r2k/p5pp/1p6/8/4QP2/8/P5K1/6R1 b - -,e8e4
rnbqk2r/ppp1ppbp/5np1/4p3/3P1P2/2N5/PPP3PP/R1BQKBNR w KQkq -,d4e5
r1bqr1k1/3n1ppp/1p3n2/p2P4/Qb1pN3/6P1/PP1N1PBP/R1B2RK1 w - a6,e4f6
r4rk1/ppp2ppp/4b3/1P6/P3q3/4B3/5PPP/2RQ1RK1 w - -,d1d4
5rk1/1n4pp/nB1p4/3Pp1p1/1PR1P3/6PB/5P2/6K1 w - -,h3e6
r1bk1b1r/pp5p/2n1p3/3pq1p1/8/3B3Q/PP1BNPPP/R4K1R b - -,f8b4
8/5Qpk/2q5/1R6/5P1p/4P2P/6K1/8 w - -,f7d5
5nk1/p3r1qp/bp2p1p1/3pN3/2pP4/P1P1PRQ1/1PB3PP/6K1 w - -,h2h3
8/2R3kp/6p1/p2Q4/4p3/q2nP2P/5PP1/6K1 b - -,g7h6
r2q1rk1/pp2ppb1/2n1b1pB/8/4P3/2P1QNP1/P4PBP/R4RK1 b - -,d8b6
