8/7k/p7/3p1n2/3P4/5N2/1PR1K1P1/3r4 b - -,d1b1
8/p1R5/8/P6k/1P1b1P2/4r3/4K3/8 w - -,e2d2
5r1k/1p2R3/2p4p/p5p1/1r3n2/1B3P2/1P3P1P/6RK w - g6,b3c2
8/4kp2/4b2R/1B1pn1p1/3N2P1/1PK1PP2/8/r7 w - -,b5e2
4k2r/1pp1bpp1/4b1n1/2p1P2p/p1P1N3/1P3KPP/PB3P2/3R2N1 b - -,b7b6
r3r1k1/p4p1p/3q1Pp1/2pp1b2/7Q/1P3N2/P4PPP/2R1R1K1 w - -,h4g5
r3qrk1/1bp2pb1/ppnppn1p/7P/3PPB2/1BP3N1/PP2Q1PN/R3R1K1 b - -,e6e5
1r1q1rk1/4b1pp/4p3/1Pp5/3pPP2/3n3P/3N2P1/1RBQ1RK1 w - -,d2c4
8/p4Q2/1pk5/6P1/P4P2/1P1r2K1/8/4r3 w - -,g3g4
3qr1k1/1p1r2bp/p1pBp1b1/4P3/PP6/4QBP1/3R3P/4R2K b - -,e8f8
r7/1bk2p2/1p5R/2pP2P1/1P2Br2/2K2P2/7R/8 b - -,a8d8
8/5p1p/1n1np3/p4pk1/1rpP4/N4P2/BP4RP/2K5 b - -,g5f6
r1bqk1nr/ppp4p/2np2p1/8/2Q1P3/2P2N2/P4PPP/RNB1K2R b KQ -,d8e7
2r1k1r1/pb1nqpBp/1p6/2pp4/2P5/1P1Q1NP1/P4PBP/R5K1 b - -,d7f8
rn1q1rk1/1p2bppp/p2p1n2/4p3/4P1b1/1BN2N1P/PPP2PP1/R1BQ1RK1 b - -,g4h5
r2r2k1/1q1nbppp/4pn2/p7/Pp1P4/1P2N1P1/1B1NQP1P/R3R1K1 b - -,d7b6
r3r1k1/pppq1ppp/2n2n2/2p1p3/4PP2/3P2P1/PPP1N1KP/R1BQ1R2 w - -,e2c3
1r6/3b1pk1/6p1/pqNp1p2/3P2P1/1PP2P2/2Q5/4R1K1 b - -,f5g4
8/6k1/6N1/3B2K1/8/8/8/8 w - -,g5f5
r2q1rk1/pppbppbp/n4np1/8/2QP1B2/2N1PN2/PP3PPP/R3KB1R b KQ -,c7c5
8/3r1pk1/4pb2/R5pp/1B1n4/6PP/5PK1/4N3 w - -,b4c3
3q1rk1/4ppbp/6p1/pB1nn3/3N4/B3P2P/P4PP1/4QRK1 b - -,d8b6
r2q1rk1/pb2bppp/4p3/1pPnN3/8/1P4P1/PB2PPBP/R2Q1RK1 b - -,e7c5
2r2r1k/5pp1/7p/N3p3/1P1p4/P1n5/5PPP/R1R2BK1 w - -,a5c4
4brk1/2p3rR/2pp4/p4p2/4P3/1PN5/1PP5/1K5Q b - -,g7h7
r2r4/ppp1qpkp/3p2p1/2nP4/3QP3/5PPB/PP5P/2RR2K1 b - -,g7g8
6k1/p1Br3p/1p3bp1/3q1p2/3p4/1Pr2PP1/P2QP1KP/2R1R3 w - -,c7f4
r1bqr1k1/1p1n1pbp/2pp1np1/p3P3/P3P3/2N2NPP/1PP2PB1/R1BQR1K1 b - -,d6e5
8/pqP5/4p1k1/2Qp4/3P4/P1K5/1P3P2/8 b - -,b7c8
r1b1r1k1/pp2ppbp/2p3p1/q3P3/8/2PPBN1P/P2Q1PP1/R3R1K1 b - -,c8f5
rr2bk2/5p1B/6p1/p1p1NP2/P3p3/1P6/2P2KPP/5R2 w - -,f5g6
4r1k1/pr4bp/2pn2p1/2np4/4p3/5PBP/PPPNR1P1/1NKR4 w - -,b2b3
r3r1k1/bpp2q1p/2n1bp2/p3p1p1/P1N2n2/2PP1N2/1PQBBPPP/3R1R1K w - -,d2f4
r3r1k1/1ppq1pb1/2n1b2p/4p1p1/p3P3/P2PB3/1PQNBPPP/2R1R1K1 b - -,g8h8
2r2bk1/5p1p/4p1p1/3pPb2/3P3P/2p2N2/5PP1/2Q3K1 w - -,f3e1
5r2/p6k/1p4pp/P1pB4/2Pbp3/B2bN1P1/P2P1r1P/2RR3K b - -,d3e2
r2r2k1/1p3p1p/6p1/8/P1P1NP2/1Pbp2P1/n6P/1R1K1B1R b - f3,a8a6
r3r3/pp1bkp1p/3p2p1/4p3/2B1P3/2P2P2/PP1K2PP/R6R w - -,d2e3
1rq1r1k1/2p1bppp/pn6/n3Pb2/1pp1NP2/4BNP1/PP2Q1BP/R2R2K1 w - -,e3f2
r3r1k1/2q1pp1p/p2p2p1/1pnP4/2BQ3P/8/PPP1RPP1/4R1K1 w - b6,c4b3
6k1/1p1b1ppp/p4n1q/5P2/2N1P3/5Q2/PP1r2BP/5RK1 b - -,d2d4
1k5r/1pr1b1pp/pNn1b2n/3pp2P/3P4/1P2BBN1/1P2K1P1/R6R w - -,d4e5
r1bqnrk1/4ppb1/3p2pp/2nP4/p1PN4/2N1P1BP/2Q1BPP1/1RR3K1 w - -,b1b4
8/7P/8/p1R4R/P3pkP1/5n2/2P4r/4K3 w - -,e1d1
2rr4/nb3k2/p3p3/P3PpP1/1p1p4/1N1B2P1/1PP2K2/R1R5 b - -,f7g6
4r3/p1p3k1/1p1n2p1/3prP2/3RP3/2P2K2/P3RN1P/8 b - -,g6f5
r1r3k1/4bppp/4pnn1/3p4/3PP3/5N1P/1RqNQPPB/1R4K1 b - -,c2a4
r4q2/p2b2k1/2nP2p1/1pp5/2p1R2Q/5N2/PP3PP1/2K2B2 b - -,f8f6
2rqk2r/pb2bppp/1pn1pn2/2ppP3/3P4/PPP2N2/2B2PPP/RNBQR1K1 b k -,f6e4
r1bq1rk1/1p2bppp/p1nppn2/8/3PPB2/P1N2N2/1P2BPPP/R2Q1RK1 b - -,d6d5
5k2/1N3p2/6p1/6Pp/1P1nP1bP/8/5KB1/8 w - -,b7d6
r3r1k1/ppqn1ppp/2p2n2/3p1N2/3P1P2/1QN4P/PP2RPP1/4R1K1 w - -,f5e7
5rk1/2q1b1pp/p1rpbp2/2n1pP2/Pp2P3/1P2B1P1/2PNQ2P/R2R1BK1 b - -,e6f7
r3r1k1/pp3p2/2n5/4p1NQ/2b5/B7/P4PPP/6K1 b - -,c4d3
8/pp1nkpp1/3np2p/3p4/3P4/2N1P2P/PP1NKPP1/8 w - -,e2d3
r4rk1/pp1n1pp1/2pqb2p/3p3n/3P4/P2B3P/1PPQNPP1/R2NR1K1 b - -,a8e8
6k1/p6p/1p3p2/3p4/2qprP2/PQ4P1/1PP4P/1K1R4 w - -,b3f3
r1b2rk1/2p2pp1/p1np3p/1p2p1Bn/1P2P1Q1/1BPPP3/P5PP/R3NRK1 b - -,c8g4
3r2k1/r1q2ppp/p1b2n2/NpPp4/1P1Qp3/6PP/P3PPB1/R2R2K1 b - -,h7h6
3rq1kr/1p4bn/pP1p1p2/2pPpPPp/4P1N1/3P2P1/P2BQ1KR/7R b - -,h5g4
rnb1kb1r/ppqppppp/5n2/2p5/3P4/2P2NP1/PP2PP1P/RNBQKB1R b KQkq -,g7g6
8/r2n1p1k/3q2P1/PRp1p3/2Pb3p/6PP/3BQ1BK/8 b - -,f7g6
5rk1/8/1R2p1p1/2p1n2p/2P1Nr2/7P/1P3Pp1/3R2K1 w - -,e4g3
3Q2k1/r4pp1/pp1pq1p1/2pN4/Pn1nP3/7P/1P3PB1/5R1K b - -,g8h7
1kb1q3/1pp1r3/p1np4/5pp1/P7/1PP2P2/1KPRBBP1/3Q4 w - -,e2f1
1r1q1r1k/Q2b2b1/1p2n2p/1PpNppp1/2P5/3PP1P1/3B2BP/1R3RK1 b - -,f8f7
6Q1/5R2/p3p3/7k/1p4r1/7K/8/8 w - -,g8g4
r4rk1/1bqnbpp1/p3p2p/2Pp4/3B4/P1PBP3/3N1PPP/RQ3RK1 w - -,f2f4
8/4kpp1/rpp1n2p/4P3/1n6/5NP1/5PBP/1R4K1 w - -,f3d2
2krq2r/ppp3pp/3b3n/3Pp3/8/1P2PQ1P/PB1PN1P1/R4RK1 b - -,e5e4
1r4k1/n3pp1p/3p2pB/1PbP4/4P3/6PP/5P2/R4BK1 w - -,g1g2
1n3rk1/N5pp/4p3/b2p4/1p3PP1/8/PPP1B2P/1K5R b - -,f8f4
r2qr1k1/5ppp/2p2n2/p2p4/1b3B2/2NR1Q1P/PPP2PP1/3R2K1 b - -,b4c3
3r1rk1/ppp3pp/2n2n2/4p3/1qP5/3B1QNP/PP3PP1/3RR1K1 w - -,f3e2
8/5k2/4p3/2n1Pp2/2B2Pp1/4P1P1/3K3P/8 b - -,c5e4
8/7R/1p3p2/p4k2/7P/1r4K1/6P1/8 w - -,g3h2
2r2k2/5n2/3b4/5N2/7P/1Q6/8/6K1 w - -,b3e6
2r2k2/p4ppp/1p3n2/3p4/P2P4/4PP2/1R1B1KPP/8 b - -,f8e7
7k/1p2q1pp/1pp2r2/3p4/3P4/P1Q2P1P/1P2r1P1/4RRK1 b - -,f6e6
8/5p1k/p1b1p1p1/2P4p/1P1Q2qP/pB6/5PPK/8 w - -,d4g4
r3kb1r/3ppp1p/n4np1/q1pP4/8/2N1PN2/PP3PPP/R1BQ1RK1 b kq -,f8g7
1r1q1rk1/2p2ppp/4pn2/p7/1bQP1P2/1PN1P2P/P2B1P2/R3K2R w KQ a6,a1c1
r1bqk2r/1p1nbp1p/p2ppnp1/8/2PNPP2/2N1B1P1/PP2Q1BP/R4RK1 b kq -,e8g8
