8/K7/8/7p/1k5P/8/8/8 w - -,a7b6
2rr2k1/1p3ppp/4p3/p7/2P1R3/1P4P1/P3KP1P/R7 b - -,c8c5
r4rk1/1p2pp1p/1np3p1/pP1nP3/4QPq1/B1N1P3/P4KPP/R2R4 w - -,c3d5
r1bqr1k1/5ppp/pb1p1n2/2pPn3/P3P3/3B1NNP/2Q2PP1/R1B2RK1 w - -,f3e5
2rr2k1/pp1nbppb/q1n1p2p/2ppP3/5B1P/2PP1NP1/PP2QPBN/R2R2K1 b - -,e7f8
r5k1/pp1r1pp1/2n3p1/3p4/3B4/P1P5/1P3PPP/3RR1K1 b - -,f7f6
r4rk1/1p1b1pbp/1qn3p1/3p4/p2P1Q2/P1BB1N1P/1P3PP1/R4RK1 w - -,f1e1
1k6/pp4pp/P3p3/3pP3/8/2r2B2/6PP/1R5K b - -,b7b6
1k1r4/qr3p2/2p1p1p1/2P1P2p/3P1P2/P2Q3P/5BPK/2R5 w - -,f2e1
5rk1/pp2p3/3p2p1/3P1n1p/2r2P2/2Bp1RP1/PP5P/4R1K1 b - -,d3d2
6k1/3nn1p1/r1p1q3/1p1pp1P1/1P6/P2PP1BB/Q7/2K4R b - -,e6d6
r3k2r/1bq1bpp1/p1pp1n2/4p1Bp/2B1P3/2N5/PPPQ1PPP/3R1RK1 b kq -,a8d8
8/1k6/8/1p1K4/p6R/P1r5/8/8 b - -,b7b6
3r3r/pp2kp1p/4p2R/8/1P1pP3/P2P4/6PP/5RK1 w - -,f1f4:h6f6
7k/2pB4/5p1p/p2P4/1b1rPP2/1P3K2/P4R1P/8 w - -,f2c2
r2qkb1r/5pp1/p1ppbn1p/1p2n3/3BP1P1/1PN2PN1/P1PQB2P/R3K2R b KQkq -,d8c7
2R5/5ppk/p4r1p/3P4/1P2P3/P1N1K2P/6P1/8 b - -,f6g6
3qr1k1/pb3pp1/1p1bp2p/4N3/3P4/P1R3P1/1P2QPP1/1B4K1 b - -,d6b8
4bk2/3r4/1p3p1p/p2p2p1/3NP3/1Pr5/3R1PP1/3R2K1 w - -,e4d5
8/2PR4/8/8/4kp2/8/2r5/5K2 w - -,f1e1
r1bqk2r/pp2pp1p/n2p1p1b/2pP4/2N5/4P3/PPP2PPP/R2QKBNR b KQkq -,b7b5
r5k1/pq1b4/1p2p1n1/8/5p2/Q2PB2P/P4P1K/1RR5 b - -,f4e3
r2qk2r/ppp2ppp/1bnpbn2/4p3/1PP5/P1NPP1P1/5PBP/R1BQK1NR b KQkq -,a7a5
r2q1rk1/pb2bppp/np2pn2/2pp4/2PPP3/P4NP1/1PQN1PBP/R1B2RK1 w - -,e4d5
4r1k1/3q1pp1/2pp3p/3r1b2/8/P3R2P/1Q1B1PPK/R7 w - -,e3g3
1b6/p3n3/BPp2k2/P1Prp1p1/8/6P1/6K1/1R2B3 w - -,e1f2
3r1nk1/1p1b1p1p/2pR4/5p2/1rP1P1NP/6P1/6B1/3R2K1 w - -,g4f6
1r3rk1/p2bpp1p/1p4p1/n2BN3/8/2P2PP1/P3P2P/R4RK1 b - -,d7a4
r1br2k1/pp2bppp/1qn1p3/3n4/8/4PNP1/PP2Q1BP/RNBR2K1 w - -,b1a3
8/4kp1p/p7/1p2p3/1P2P3/8/b5PP/3R2K1 w - -,d1a1
1r4kb/3qBp2/3p2p1/r2P3n/ppB3P1/1P3P2/P1P4Q/1K2R2R b - -,h8e5
r3k2r/ppn1bpp1/2pp1n1p/5b2/3N4/2NP3P/PPPBBPP1/R3R1K1 b kq -,f5d7
3rr3/pk1q2p1/1pp2p2/8/PRQP3p/2P4P/2P2PP1/1R4K1 w - -,c4c5
r3r1k1/2qb1pbp/1n1p2p1/p1pP3n/Pp1NP3/1Q2B2P/1P1NBPP1/2R1R1K1 w - -,d4b5
8/7p/8/6b1/4N3/2K4P/kp6/8 b - -,b2b1q
2r4k/1rB3qp/p7/5p2/n2Q3P/2p3P1/P4P2/5RK1 w - -,c7e5
r2Q1rk1/1p3ppp/p1n1bb2/4p3/2N1P3/2N5/PPP2PPP/R3KB1R b KQ -,a8d8
1rr5/5p2/4pk2/1p1p2p1/3P3p/R1PK3P/1P3PP1/R7 w - -,b2b4
r1bqkb1r/p2n1ppp/4p3/3pP3/8/3B4/PP3PPP/RNBQK2R w KQkq -,d1a4
r4rk1/p4pp1/1n2n1bp/Np2p3/1Pp1P2B/2P4P/P1B2PP1/R3R1K1 b - -,f7f6
r1r3k1/1p1q1ppp/b2p1n2/P1nPp3/1B2P3/P5P1/3N1PBP/R2QR1K1 w - -,h2h3
r1b2k1r/1p1nqp1p/p1p1pnp1/3p4/1PPP4/2NBPN2/P1Q2PPP/R4RK1 w - -,a1b1
rnb1k2r/ppq1ppbp/6p1/2p5/2BPP3/2P1B3/P4PPP/2RQK1NR b Kkq -,e8g8
8/7p/1Rp1k3/2Pp4/3Pp1b1/6P1/3r1PB1/6K1 b - -,d2d4
3q2rk/3r1p1p/p2ppp2/1bb4Q/1p2P3/6P1/PPPRNPBP/3R3K w - -,e2d4
5rk1/p5pp/1p1pp3/3n2P1/r2B1P1P/P1P2R2/4NK2/8 w - -,h4h5
r4rk1/pb2qpp1/1p2pn1p/2b1N3/2P5/1P6/PBB1QPPP/R4RK1 w - -,a1d1
4k3/4p2R/3p2K1/3r4/6PP/8/8/8 b - -,d5d1
r1b2rk1/3n1pbp/p1Q1p1p1/qp6/2nBPN1P/2N2P2/PP2B1P1/3R1RK1 b - -,g7d4
r3qrk1/p5pp/bp2p3/n1p1P3/2P2p1B/1BP4P/P3QPP1/3R1RK1 b - -,f4f3
8/B1p1bk2/3p4/1P1PpK2/4P3/8/8/8 b - -,e7d8
r1br2k1/pp3ppp/2n1pb2/4N2q/3PB3/2B5/PP3PPP/R2QR1K1 b - -,h5d1
rnbqkb1r/pp1ppp1p/2p2np1/8/1PP5/4PN2/P2P1PPP/RNBQKB1R b KQkq b3,f8g7
1nbqk2r/r3ppbp/p2p4/2p5/3P1P2/2P2Q2/P1P3PP/R1B1KBNR w KQk c6,f3d3
8/4kp2/6p1/p1ppP2p/8/2PPK1P1/P4R1P/1r6 w - -,d3d4
1b6/kP6/7R/7P/8/1r3B1K/8/8 w - -,h3g2
r1bq1rk1/1p2bppp/2np1n2/4p3/p1P1P3/4BP2/PP1NB1PP/RN1QK2R w KQ -,b1c3
r5k1/1qn1ppbp/r2p2p1/2pPP3/P1N5/1P1QB1PP/4RPK1/3R4 w - -,e3f4
r4rk1/2p1qppp/3bb3/1p1p4/p2P4/P2QBP2/BPP3PP/2KR3R w - b6,c2c3
5n2/5P2/8/6P1/1p6/3Bk3/p1K5/8 w - -,c2b2
1r4k1/RPqn1pb1/2Qp2p1/2nPp3/4P1P1/4BPN1/2N5/6K1 b - -,c7b6
8/8/R3p3/3pPk2/5r2/4K3/8/8 b - -,f4h4
r1bqr1k1/ppp2ppp/1b1p1n2/4p3/NP1nP3/P2B1N1P/2PP1PP1/R1BQR1K1 b - -,c8d7
2r2rk1/1p1qb1pn/pB1p3p/P1PPpp2/1R6/1N5P/1P1RQPP1/6K1 b - -,h7g5
r3k2r/pb1pppbp/1p2n1p1/q7/2P1P3/2N1BP2/PP1QB1PP/2R1K2R b Kkq -,f7f5:g6g5
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5NP1/PPPP1P1P/RNBQKB1R b KQkq -,g8f6:d7d6
8/p4p2/P1rkp3/2p1n3/4P3/2RP2P1/2r5/5BK1 w - -,c3c2
3rr1k1/pb5p/1p2p1p1/5p2/2P5/BP1n1P2/P3N1PP/3R1RK1 b - -,e6e5
4rrk1/1pqb2bp/n1p2n2/p4p2/2P1p3/PPN3P1/1BQ2PBP/R3NRK1 w - -,c3e2
r1b2rk1/1pq1bppp/p1n1pn2/8/4p3/PNN1BP2/1PP3PP/2KRQB1R w - -,f3e4
2q3r1/p3nbrk/1pnBp1p1/3pPp1p/P1pP1PPP/2P1NBR1/2P3QK/R7 w - -,g4h5
3r2k1/1b3p2/1p5p/3Bp1q1/3nPp2/P1N2P2/1P2Q1PP/5R1K w - -,e2c4
8/8/6p1/2Q3Bp/k3q2P/6P1/8/5K2 b - -,e4h1
8/4k3/8/1P1Pp2b/1Pp1P3/5r2/R3K3/8 w - -,a2a7
8/5p2/p4r1p/2k5/R4PK1/8/5P2/8 w - -,f4f5
8/8/8/7B/8/6k1/3p1p2/r2N1K2 w - -,h5f3
r5k1/4q3/6pB/8/7P/P7/1Q3PP1/6K1 w - -,h6c1
r1b2rk1/2q1bppN/p1p1p2p/2npP3/5B2/3B4/PPP2PPP/R2QR1K1 b - -,c5d3
r1bqk2r/ppp2ppp/3p1nn1/8/2P2N2/2N1P3/PP1QBPPP/R3K2R w KQkq -,f4d5
1q1r1rk1/pb1pppbp/1pn2np1/8/2P5/1PN1PN2/PB1QBPPP/2R2RK1 b - -,c6b4
1r2r1k1/5ppp/p1qb1n2/1p1ppP2/1P6/2P2PN1/1P2QBPP/R2R2K1 b - -,d6c7
8/3B4/1p1k1K2/5P2/P7/4r3/8/8 w - -,d7b5
8/2k5/2pn4/P7/1P1K4/8/8/8 b - -,d6b5
8/5k2/5p2/4p3/2p1P3/brP2P2/6K1/R3B3 w - -,g2f1
rnbqkb1r/pp3ppp/2p2n2/3p2B1/3P4/5N2/PP1NPPPP/R2QKB1R b KQkq -,f8e7
2kr4/7p/P2P1np1/2B1R3/8/6K1/5P1P/8 w - -,e5e7
