8/8/3bp3/1k1p3p/3P3P/4K3/5B2/8 w - -,e3d3
8/7k/bq1p1r1p/R2Bppr1/1P6/2P1P1P1/3Q3P/4R2K w - -,e1a1
3rr1k1/1p3ppp/2p2n2/5P2/Pp3N2/1P6/4B2P/RKB1n2R b - -,e1g2
8/qPK5/3Q1k2/8/8/8/8/8 b - -,f6f7
4rr1k/6pp/p3p3/1b6/2RP4/P3B2P/5PP1/1R4K1 w - -,c4c5
r5k1/5p1p/q2p2p1/2pPb3/1r6/1PN3P1/P2R1PKP/2RQ4 b - -,a6b7
4r3/p2p3p/2pk4/2Rp1p2/1P2rN1P/6P1/P3BK2/8 w - -,a2a3
5r2/k1p5/1pP2n1N/p6P/4P3/Pb3BP1/1B2K3/8 b - -,f6h7
r1b2rk1/ppq1ppbp/3p1np1/8/3BP3/1BN5/PPP2PPP/R2QR1K1 b - -,c8d7
1n2k2r/2q2pQp/2b1pp2/r3p3/8/4BN2/PP3PPP/R2R2K1 b k -,h8f8
r3k2r/pp1nbpp1/1qp1pnp1/3p4/Q1PP2P1/2N1P2P/PP1B1PB1/2R1K2R b Kkq -,e8g8
1r2kbr1/p3q3/4p3/np2P3/P3Q3/5R2/1PP2PPP/3R2K1 b - -,b8d8
8/p2k1p2/1pn1pB1R/1B1b4/7P/8/PP3PPK/3r4 w - -,h6h7
5k2/6p1/1rb1pp1p/pn1p4/2pP4/2P1P2P/PrB2PP1/RN2NK2 b - -,c6e8
r3r1k1/pp1n1pbp/2p2np1/q7/2PP4/2NB1Q1P/PB3PP1/1R1R2K1 w - -,d3f1
r4rk1/1b1n1ppp/p1nppq2/1pp5/2P1PP2/1P1P2P1/P1NN2BP/R2Q1RK1 b - -,f6c3
2k4r/1b3p2/7R/3P4/1QpqP3/Pn4P1/1P3P2/1K5R b - -,h8h6
8/Pk6/2N1b3/4N1pp/3nP3/6K1/8/8 b - -,h5h4
1r2r1k1/1pR2ppp/pn1P2n1/4N3/4P3/P4PP1/1B4KP/2R5 w - -,e5f7
8/1pn1kppp/1q1p4/1n1Pp3/QPN1P2P/6PB/5P2/6K1 b - -,b6d4
rn1q1rk1/1bp2ppp/1p1pp3/p7/2PPn3/P1B1PN2/1PQ1BPPP/R4RK1 b - -,a5a4
3r2k1/r5p1/4qp1p/pPpb4/3Q1P2/8/P4RPP/3R1BK1 w - -,d4c5
8/P4R2/1p2k3/3p4/r2Pp3/8/4KP2/8 w - -,f7b7
8/1pk5/2n5/3Bb3/p5Q1/4q2P/8/5R1K w - -,d5c6
5r1k/6qp/pn4p1/1n6/2p3NQ/3p3P/1P3PP1/1B2R1K1 w - -,e1e7
1R2r1k1/2pq1pb1/p2p1np1/P4bnp/2PPpN2/2N1P1PP/5PBK/2BQ1R2 b - -,e8b8
r4rk1/ppp1q1pp/2n5/2Pp4/4n1b1/1Q2BN2/P3BPPP/2R2RK1 w - -,b3d5
2r1n1k1/6p1/p2q1p1p/Bp1p4/3Q4/P4PPP/1P1R3K/8 b - -,c8c4
1r1q2k1/p4pp1/2QNbn1p/4p2R/3p4/3P2P1/PP3P1P/R5K1 w - -,h5e5
3r1rk1/pbp1qpp1/Bp3n1p/4p3/3P4/2P1P1P1/PP1NQ2P/1K1RR3 b - -,b7a8
1rbq1rk1/pp2ppbp/2np1np1/2p5/2P1P3/2NP2PP/PP2NPB1/R1BQ1RK1 b - -,a7a6:c8d7:f6e8
r4rk1/1pp3p1/1b6/pq1P1p2/5B1Q/7P/P1B2PP1/4R1K1 w - -,d5d6
3rr1k1/pppb3q/3p2n1/3P1p2/2P5/1P3PQ1/PB4B1/3R1RK1 b - -,g8f7
rnbqr3/2p3Q1/1pkb1pR1/p1p1pP2/P6N/1PBP4/2P2PPP/R5K1 b - -,c6b7
3n1k1r/p3R1pp/1r1Ppp2/3p4/2pPnB1P/P4N2/2K2PP1/1R6 b - h3,b6b1
R7/8/8/nk4p1/6P1/p7/4N3/5K2 b - -,b5b4
2kr3r/ppp1q1pp/4b3/nB1n1p2/1b1P4/2N1PN1P/PPQB1P2/R3K1R1 w Q -,a1c1
8/6p1/3N1pp1/4p3/4K2k/8/8/8 b - -,h4h3
8/R1P5/8/p5pp/6k1/6P1/r4K2/8 w - -,f2f1
rr4k1/2p2p1p/3b2p1/pqpPp3/N1R1P3/P2R4/1PQ2PPP/6K1 b - -,b8b7
2r2rk1/p3bppp/1qP2n2/1p1p4/n2N4/3Q2P1/P3PPBP/R1B2RK1 b - -,e7c5
2rq1rk1/pp1Nppbp/1n3np1/3p4/3P1B2/2PB3P/PP1N1PP1/R2QR1K1 b - -,d8d7
2Q3k1/p4pp1/1b2p2p/4N3/PP1r4/6PP/2R2PK1/3q4 b - -,d4d8
r1bq1rk1/1pppbppp/p1n5/4P3/4N3/1P3N2/1PP2PPP/R1BQR1K1 b - -,f7f6
rk6/p2r3p/bp4p1/3N1p2/4p3/1P2K1P1/1P1R1P1P/2R5 b - -,b8b7
3r1rk1/1Bn3pp/pq6/1pb1Pp2/2pp1P2/8/PPPN1BPP/R3QRK1 b - -,b6b7
4r3/1p6/2p3kp/p1r1p1p1/P3K3/2BP1PPP/1P2P3/R7 b - -,g6f7
3r2k1/2r2p1p/Q5p1/P2Pp3/1b2P1q1/1PN4R/6P1/5RK1 w - -,a6f6
r3k2r/1b3p2/p1nqp2p/2n3p1/Pp1p4/5NB1/BP3PPP/2RQ1RK1 b kq -,e6e5
r4rk1/bpp1qpp1/p1npbn1p/4p3/4P2B/2PP1N1P/PPBN1PP1/R2Q1RK1 b - -,g8h8
r1b1k2r/pp1ppp2/n4qp1/2P4p/8/1N4P1/PP1QPPBP/2R1K2R b Kkq -,a6c7
r4rk1/q2b1pb1/p4n1p/1p2p1p1/P1P1P3/2PB2P1/3NQ1PP/1R2NR1K b - -,b5a4
2r2rk1/bp2qpp1/p2pB2p/4p3/1P2P3/2PQ1N2/P4PPP/3R1RK1 b - -,e7e6
r3r1k1/1pp2pp1/1p2P1np/5B2/8/2P5/P1P3PP/4RRK1 b - -,g6h8
2rqkb1r/1b1pnppp/p3p3/1p6/3PP3/P2Q1N2/1P3PPP/RNB2RK1 b k -,d7d5
2r1r1k1/p5b1/1p2ppp1/nP3q1p/Q1pP4/2P2P2/P2NRNPP/4R1K1 b - -,f5d5
5rk1/r6p/p2q2p1/n3pbN1/P1npB3/1R1Q4/1PP1N1PP/2K4R b - -,g8h8
2k5/1p3Np1/2b1n1Q1/2q1Pp2/1pPp1P2/3P3r/8/1R3RK1 w - -,g6e6
r1rq2k1/5pbp/p3p1p1/n2p4/B2P1B2/Q1P2NPP/P4PK1/1R6 b - -,a5c4
3rk3/8/2nK4/n6R/P7/8/8/8 w - -,d6c7
r3kb1n/1q1b3p/3p1npN/1p1Pp3/1Pp1P2N/2P1B2P/2B1QP1K/6R1 w - -,e2f3
3rk2r/pbqnbppp/1pn1p3/2p1P3/8/1P3NP1/PBPN1PBP/R2QR1K1 w k -,d1e2
1r1r2k1/2n2pp1/p3b2p/1p1Nq3/P1pR4/4PB1P/1P1Q1PP1/3R2K1 b - -,c7d5
2r5/2rn1pkp/p1pbq1p1/Pp1p4/1P1P4/3QPNP1/N1R2P1P/1R4K1 b - -,d7f6
r1b2rk1/1p2ppbp/pq1p1np1/2n3B1/2P1P1P1/2N2P2/PP1QN2P/R3KB1R w KQ -,e2f4
R6R/p1r3k1/r4p2/3p1Ppp/3Pp3/2P3P1/2P4P/6K1 w - -,h8h5
r1b2rk1/pp4pp/2n5/2P5/4Nn2/2P5/PP1R1PPP/2K1N2R b - -,c8e6
5k2/6p1/R7/Pp6/1P4pr/5PK1/8/8 b - -,g4f3
rn2kb1r/1b3p1p/pq1ppp2/1p5Q/4PP2/1NNB4/PPP3PP/R3K2R w KQkq -,f4f5
1kr5/ppq2pp1/8/2b1p1P1/4Pn2/1B2BQ2/PP3P2/1K1R4 w - -,e3c1
r3k3/pb3p2/1pn1p3/4PP2/3p1P2/P1p2Q1P/2P5/1RBK1Bq1 w q -,f3g2
3r2k1/pp3p1p/4b1p1/b1p1np2/2P2P2/1P2rNP1/P5BP/R2R2K1 w - -,f3e5
6k1/p3pp2/1p4pb/2p1PbNp/P1P4P/1P1q1N2/4QPP1/6K1 w - -,e2d3
3rqr1k/p3b1pp/1p2b3/1np1Pn2/4NP2/P4NB1/1P4BP/2R1QRK1 b - -,b5d4
4k3/1p6/p1p1P1p1/P5B1/2P4P/4K3/5n2/8 b - -,f2d1
2r2rk1/p3q1p1/1p1pbnp1/3P1p2/2P1p2P/B3P3/P3BPP1/1R1QK2R b K -,e6f7
8/6k1/p3p1b1/3p4/4PR2/1rn4p/3R1NBK/2r5 w - -,f2h3
rn2k2r/p2bq1pp/1p2pn2/2p2p2/1QP5/4PN2/PP1B1PPP/RN2KB1R w KQkq c6,b4b3
8/2p2pk1/3p2p1/1PpP2q1/2Pb3p/1P1Q3P/3r1PP1/3B1RK1 w - -,d3f3
r1q2rk1/ppp2pbp/2n2np1/4P3/4P3/2P2NP1/PP1N2KP/R1B1QR2 b - -,f6g4
4r1k1/2q3p1/1p2pp1p/p1n5/P4P2/1P3QP1/2PR1BKP/8 w - -,d2e2
2rq1rk1/1b1nbpp1/pp2pn1p/3p4/3P4/2NBP1B1/PP1N1PPP/2RQ1RK1 w - -,d1e2
r7/3r3p/4k1p1/pPp1Pp2/2Pp1P1P/1P6/5K2/R2R4 b - -,h7h6
R7/1p3rk1/2p3p1/2P1P2p/8/p5K1/P6P/8 b - -,f7f5
