8/8/pp1p1kpn/2pP4/2P1BP2/5K2/PP6/8 w - -,e4d3
4rrk1/pp1n2pp/2pnp3/3p1p2/2PP2b1/1PNBP2N/P4PPP/2R2RK1 w - -,h3f4
5k2/R4bp1/2p2p1p/5P2/P2r1N2/1n2r2P/2B2RP1/6K1 b - -,c6c5
r4r2/1p3pbk/1BbR2pp/p1P1p3/2Bn4/5N1P/PP3PP1/2R3K1 w - -,f3d4
rnb1r1k1/1p2qpbp/2p3p1/p7/3P1B2/5NP1/P2QPPBP/2R2RK1 w - -,f3e5
8/2k5/2p5/3p3P/4r3/3Q2P1/P2qBK2/8 b - -,d2a2
r4rk1/1pqb1ppp/p2bp3/8/P4P2/3BB3/1PP3PP/R2Q1RK1 b - -,d7c6
2R5/p4r2/1p1k4/6p1/3p2Pp/5P2/PP2K1P1/8 b - -,f7e7
2k3r1/1pp2p2/p1nn2p1/2q4p/P4Q1P/1P1BR1P1/1BP2P2/1K6 w - -,d3e2
rnbqk1nr/ppp2ppp/3p4/2b1p3/N3P3/6P1/PPPP1P1P/R1BQKBNR b KQkq -,b8c6
8/8/5k1p/2p2p2/2B1bP2/1P2b1KP/6P1/2N5 w - -,c1e2
4b1k1/4qp2/p5p1/2P4p/p2Q4/5P2/1P3KPP/3R4 b - -,g8h7
3n4/4k3/P2R4/1N2ppp1/1P6/5P2/1K2P3/6r1 b - -,g1g2
8/1b6/5k2/p1qp2p1/3ppbPp/1PrP3P/P3BP2/1Q1RN1K1 b - -,f6e5
2kr3r/ppp1np2/6pp/3qb3/4N3/3P1PP1/PPPQN1KP/R4R2 w - -,e4c3
5r1k/1p5p/1p3p1q/3Rn3/1P6/P4pP1/1n3P2/4RQK1 w - -,e1e4
8/p1n1rk1p/1p1bp1p1/2p5/2PP4/6PB/P3RP1P/4R1K1 w - -,d4c5
r2r2k1/1ppbn1p1/p2b2qp/3Pp3/4Pp2/P1NB1N2/QP3PPP/3R1R1K b - -,g6f6
6k1/6pp/1p3p2/1Pb1p3/r3P3/1R2P1B1/3r2PP/2R3K1 w - -,g3e1
4r1k1/pr1n3p/5n1R/3pppB1/8/2N3P1/PPP1PP2/R3K3 b Q -,f6g4
r1q1r1k1/pp3ppp/2p1b1n1/2P5/1P1Pp3/3Q3P/P1B1NPP1/R4R1K w - -,d3g3
rnbq1rk1/pp4bp/2pp2p1/5p1n/2P1PP2/2NPB3/PP2N1BP/R2Q1RK1 b - -,d8e7
8/4p1k1/2p1r2p/8/1P1q2P1/P2p1p1K/3Q1P1P/6R1 w - -,g1c1
r3k2r/pp1qbp2/4p1n1/2Pp3p/2PQ2p1/1N6/PP3PPP/R1B1R1K1 b kq -,a8d8
4rk2/3b1B1r/3P1Qp1/2p3P1/1p5n/8/P7/2R3K1 b - -,h4f3
rn1qkb1r/pp2pppp/1n6/3pPb2/3Q4/1BP2N2/PP3PPP/RNB2RK1 b kq -,b8c6
2bq1r1k/3n1pp1/7p/5P2/p2PQ3/2PB4/6PP/1R3RK1 w - -,f5f6
5rk1/p4ppp/2Q5/3p4/P2P4/q3P1P1/5P1P/2R3K1 w - -,c1b1
5k2/2R4p/5Pp1/1p2p3/5p1P/1P6/P2r4/5BK1 b - -,e5e4
rqr3k1/5ppp/p2b1n2/BpP5/8/P4NP1/2Q1PP1P/R4RK1 w - -,c5c6
r3k2r/1bq1bp2/p3p2p/1pnpP1pP/3Q2N1/2NB3R/PPP2PP1/1K1R4 b kq -,c5d7
5rk1/6b1/2ppp2p/1p4p1/6P1/P1P1KP2/6P1/1N1R4 b - -,g7e5
4rbk1/5p1p/p3pnp1/qr1p4/5B2/1QR3P1/PP2PPBP/2R3K1 w - -,b3c2
r3kb1r/2qn1ppp/p1bpp3/1p6/3BPPP1/2N2B2/PPPQ3P/2KRR3 b kq -,e8c8
1R6/5p1p/2kP1Pp1/4P3/8/7P/r5K1/8 w - -,g2f1
6k1/p5p1/2n4p/2N2P2/2P5/1P6/P1r2p1P/R3K3 w - -,e1f1
1r2r3/5pkp/6p1/8/3nB3/1p3P1P/6P1/2RR3K b - -,d4e2
8/p3r1k1/R6p/6b1/3r1p2/3p1R2/5NKP/8 w - -,f2d3
8/1p6/p7/Pk5p/6rP/7K/8/R7 b - -,g4a4
3r2k1/1p4p1/1Bp4p/p4r2/1b3P2/1P6/P1R3PP/5RK1 b - -,d8d7
8/q5rk/3R2p1/1p5p/3pQ2P/6P1/P4PK1/8 b - -,a7a2
2kr1b1r/pbqn1p2/4pP2/2p3B1/P1pPN3/1p4P1/1P2BP1P/RQ3RK1 b - -,c5d4
rr3nk1/1b3p1n/p2p1qp1/1ppPp2p/4P3/1PP1RNNP/P2Q1PP1/R2B2K1 w - -,f3e1
8/6k1/1p4P1/2PKp3/1P6/3pr3/8/6R1 b - -,b6c5
2b5/8/7p/2p1k3/3P1R1P/6P1/rrB2R2/2K5 b - -,c5d4
2r4k/1q4pp/p3Qp2/8/4n3/1P4P1/PB2PP1P/3R2K1 w - -,d1d7
r1bqkb1r/pppn2pp/2n1p3/1B1pp3/3P4/1N3N2/PPP2PPP/R1BQK2R w KQkq -,d4e5
r3r1k1/1p2qpbp/1np3p1/p1NnP3/4N3/P3P1P1/1Pb1QPBP/R1B1R1K1 b - -,c2e4
r2k2nr/1p1n2pp/2p1bp2/4p3/p1P1N3/bP2BNP1/P3PPBP/R4RK1 w - -,f1d1
r1bqr1k1/1p1n1pbp/2pp2p1/p1n5/P1P1P3/1NN3PP/1P3PB1/R1BQR1K1 w - -,c1e3
r1bqrnk1/1p3pp1/p2b1n1p/2p1p3/P3N3/1QNP2P1/1P2PPBP/R1BR2K1 b - -,f6e4
8/6pp/3k1p2/1pNp4/pP1P1K2/P7/2b2PPP/8 w - -,h2h4
2b2qk1/5pb1/p1p2npp/7r/3QP3/2N3P1/P4PBP/2R2RK1 w - -,d4b6
r3k2r/p2q1pp1/1ppb1np1/3pB3/N2P4/1Q2P3/PPR2PPP/4K2R w Kkq -,e5d6
r4rk1/1p1qbppp/p1b1pn2/2p5/P1B5/2NP4/1PP1QPPP/R1B1R1K1 w - -,c1f4
6k1/p1q1bpp1/4p2p/8/1p1P4/1N1QP1P1/PP3PP1/6K1 w - -,d3d2
2b2r1k/3n1p2/p2p3p/3Pq1p1/1N2P3/7P/3Q1PP1/4RBK1 b - -,f8e8
r1b1r1k1/1pq2pb1/2n4p/3n1N2/p2p2p1/B3P3/P1QNBPPP/1RR3K1 w - -,f5g7
8/1p1q1p1k/pQ2b1p1/3p2Pp/1P1P4/P2B2P1/5P1K/8 b - -,d7a4
6k1/3qp1b1/3p4/2pP1p2/1pP1nP2/1P3BP1/2Q1R3/rN5K w - -,h1g2
3r2k1/1pn1qpbp/2p3p1/8/1pPpP3/P5P1/2Q2PBP/3RB1K1 w - -,a3b4
r2q1rk1/pp1nbpp1/2p1pn1p/3p1b2/2PP1B2/1Q2PN1P/PP1NBPP1/R4RK1 b - -,d8c8
8/R1p1r3/3p4/3P3p/1P2Bp1k/P4P2/8/6K1 b - -,h4g3
r2qkb1r/1pp4p/p1b1ppp1/8/3PP3/2Q2N2/PP3PPP/R1B2RK1 w kq -,f1e1
1nq1r3/3npk2/p4bpp/1p3p2/1Nr5/P1P1RNB1/1P4PP/3RQ2K w - -,f3d2
rnbqk2r/ppp1ppbp/5np1/3p4/5PP1/4PN1P/PPPP2B1/RNBQ1RK1 w kq -,b1c3
2b1r1k1/p5p1/4p3/qrNp2P1/6n1/PPQ2N2/5PP1/2R1R1K1 w - -,b3b4
3r2k1/7p/p3ppp1/q1P1Qb2/3r1P2/1P3BP1/P4R1P/5RK1 w - -,e5f6
8/8/8/pB6/8/4k3/5p2/4bK2 w - -,b5a4
r2q1rk1/pp2ppbp/3p1np1/n2P2B1/8/1N6/PPP1BPPP/R2Q1R1K b - -,f6e4
r4rk1/ppN1b1p1/4bn1p/4pp2/Q1P5/3qP1P1/P3NPBP/R4RK1 b - -,d3c4
1k4rr/1pp2p2/p1p4q/4pR1p/P3P1P1/3PN3/1PP1Q1P1/R5K1 b - -,h5g4
4r3/pb3p1k/2r2npp/1p1p4/2pP1N1P/P3PB2/1PR2PP1/5RK1 b - -,c6d6
2r3k1/1pqp1ppp/p4n2/3Rr3/2P1p3/P3P2P/1PQ1BPP1/5RK1 w - -,d5e5
2r3k1/1r2bppp/p5b1/1p2N3/8/2P1B3/PP3PPP/3R1R1K w - -,e5g6
r1b1k2r/1pq1bppp/p2pP3/2n1n1P1/3NP3/2NB4/PPP1Q2P/R1B2RK1 b kq -,f7e6
4r1k1/p1rq2pp/1p3b2/3p1p2/2bP1P2/P1N2BP1/1PQ4P/R2R2K1 w - -,c2g2
rn3rk1/pppq1pbp/3pbnp1/4p3/2P1P3/2NP2P1/PP2NPBP/R1BQ1RK1 w - -,f2f4:f2f3
3r4/8/1p5p/p3kP2/P5P1/1P2KB2/2P5/8 w - -,f3e2
r7/8/5R2/8/4k1P1/7K/8/8 w - -,g4g5
8/2p1Nk2/2p2p1p/1p1b2p1/p2P2P1/2P1KP2/1P4P1/8 w - -,e7f5
q1r1r1kb/pb1np2p/1p1p1pp1/3Nn3/1PPNP3/4BP2/P2QB1PP/2RR3K b - -,e7e6
1k2nr2/ppqr1pp1/2pbp2B/7P/2BP4/5Q2/PPP2PP1/1K1R3R w - -,h6e3
r5k1/p2q1rB1/1p6/2p1p3/5p1Q/1P1P1R1P/P5P1/3R3K b - -,f7g7
r3kb1r/pp1qpp1p/2n1b1p1/2Pp4/3Pn3/1QN1B3/PP3PPP/R3KBNR w KQkq -,a1d1
