8/R3k3/2B2p2/2P2P2/3PK3/1r6/4n3/8 b - -,e7d8
2r1r1k1/pp3pbp/3q2p1/3P4/2n2Q2/2N3P1/P4PBP/1R3RK1 w - -,f4d6
rq3rnk/1p1b1pbp/n2p2p1/pNpPp3/2P1P3/1P2B2P/P2NBPP1/R2Q1RK1 w - -,g2g4
r1bq1rk1/p3npb1/1pn3pp/2p1p3/2P5/P1N2NP1/1P1BPPBP/1R1Q1RK1 w - -,d1c1
3k4/1p1b1pb1/6p1/P1Bp2P1/3P1P2/2KB4/8/8 w - -,c3b4
7r/8/8/8/3kb3/8/3KR3/8 b - -,h8f8
r4rk1/6q1/pnNN3p/8/1P3Pp1/3Q4/7P/3R2K1 w - -,d1e1
rnbq1rk1/1p3ppp/2pp1n2/p3p3/Pb2P3/1BN2N2/1PPPQPPP/R1B2RK1 b - a3,f8e8
8/p1q5/5k1p/5pp1/3R3P/6P1/PP3PK1/3B4 w - -,h4g5
8/2r2p1p/2pRpkp1/4b3/Pp6/1P2PBPP/6K1/8 w - -,d6d2
r1r3k1/pp2p1bp/3pbnp1/q7/3BP1P1/2N2P2/PPPQ4/2KR1B1R w - -,d2h2
6k1/pp2q1pp/2p5/3p2b1/3Pr3/1P1QPrP1/P2KR2P/2B1R3 w - -,d2d1
7r/3nbkp1/R4p2/3p2p1/Np1P4/6P1/1P1BKP1P/8 b - -,h8h2
3R4/5kpp/5pb1/1pr1p3/4P3/P3KP1P/6P1/1B6 w - -,e3d2
2r1qrk1/p4ppp/np6/3N4/5P2/P3B3/1b4PP/3RQRK1 w - -,f1f2
5rk1/1R3ppn/r3q2p/1R2PN2/p2P3P/8/P4QP1/6K1 b - -,g8h8
8/1p3bk1/pQ4pp/P2q4/3N1K1P/8/8/8 w - -,b6b2
rn2k1nr/ppp2ppp/3q4/3p4/3P4/2Pb4/PP3PPP/RN1QK1NR w KQkq -,d1d3
r1bqk2r/pp2bppp/2n1pn2/2pp4/8/1P2PNP1/PBPP1PBP/RN1Q1RK1 b kq -,b7b5
2r5/pq3pk1/1p2pp1p/8/2P1n3/1P2QNP1/P4PKP/3rR3 w - -,e1d1
8/2k2p1p/8/2P2p2/3K4/8/2R3PP/4r3 w - -,d4d5
1r6/8/1K6/4P3/3Q4/2p5/1k6/8 w - -,b6c7
8/8/6K1/7P/8/6k1/8/r7 b - -,g3g4
r4rk1/pp1nqppp/2pbpn2/3p3b/2P5/PP1P1NPP/1B1NPPB1/R2Q1RK1 b - -,f8e8
r1bqnrk1/3nppb1/3p2pp/3P4/p1PN4/2N1P1BP/2Q1BPP1/1RR3K1 b - -,d7c5
1r6/3b1nkp/1p1r2p1/p1pNpP2/P1P1P2q/4R2P/1Q4B1/5RK1 b - -,g6g5
2k5/8/8/1p1Pbp1p/8/1P3K1P/3B4/8 b - -,c8d7
8/5kn1/8/1B2K3/8/8/3B4/8 w - -,d2c3
r4rk1/2q2ppp/1np1p3/2Q5/2P1N3/8/PP3PPP/2KRR3 w - -,d1d6
1r3rk1/1p3ppp/p1b1p3/1n6/2R1P3/6PB/1B3P1P/4R1K1 b - -,b8c8
r5k1/pp2rpb1/2pp3p/2n2Pq1/2Pp1NP1/5BP1/PP3PK1/R2Q3R b - -,a8e8
r1b2rk1/ppp3pp/2nb4/5pq1/3Pp3/B1P1P1P1/P2N1P1P/R2QKB1R b KQ -,c8e6
r5k1/6pp/2r1pp2/p2q4/1nNPpP2/1P2P2P/3R2P1/RQ4K1 w - -,a1a4
r1bq2k1/pp2rp1p/3bpnp1/2NpN3/3P1P2/4P3/PPQ2PBP/2RR2K1 w - -,d1d3
r4rk1/pppqn1b1/3p3p/1P1P2p1/2QpB3/3P2p1/P3PP1P/1RB1R1K1 w - -,h2g3
r2q1rk1/4bppp/p1bppn2/1pp1P3/5P2/1P1P1N2/PBPNQ1PP/R4RK1 b - -,f6d5
1rbqk1nr/5pbp/p3p1p1/1pppP3/3nBP2/2N2N2/PPPP2PP/R1BQ1RK1 w k d6,e4d3
1qrrb1k1/1p2bppp/p2ppn2/1P6/P1PQ4/2N3P1/1B2PPBP/2RR2K1 w - -,b2a3
r1bqk2r/1p1nbppp/p2ppn2/6B1/3NP3/2N5/PPPQBPPP/R3K2R w KQkq -,a2a4
r1b2rk1/pp1nqppp/1np1p3/8/3P4/1BN1PN2/PP3PPP/2RQ1RK1 b - -,e6e5
r5k1/ppqrbppp/2n1p1b1/8/3P2P1/PNN1PB1P/1P6/R2Q1RK1 w - -,f3g2
r1bq1rk1/pp1nppbp/4P1p1/8/3p2n1/1QN2N2/PP2BPPP/R1B1K2R w KQ -,e6d7
r1b1k1nr/pp3pbp/2n1p1p1/q1P1p3/2B2P2/2N2N2/PPP3PP/R1BQK2R w KQkq -,f4e5
8/2R2p1p/p2nk3/3bpP2/8/1P2PPKP/P7/8 b - -,d6f5
8/5P2/1p1k3b/p2p2r1/2pP3K/2P5/PP6/5R2 b - -,g5g6
1r2nrk1/3n2b1/1B1p2p1/1N1Pp1q1/1PN1Pp2/5P1p/4Q1PP/R1R3K1 w - -,a1a6
r2q1rk1/pp3ppp/3pbn2/2p1p1B1/2B1P2n/3P3P/PPP2PP1/R2Q1RK1 w - -,g5h4
3R4/5pbk/6pp/8/8/1r1p1NP1/3B1P1P/6K1 w - -,g1g2
8/1p1b2k1/1P6/8/4KN1P/8/8/8 b - -,g7f6
8/2Q2pk1/2p4p/p1q1p1pP/P1PnP1B1/6P1/5P2/6K1 w - -,g1g2
8/7p/6p1/8/1pr1k3/6P1/1P1RK2P/8 b - -,c4c1
8/3n1k1p/1p1r4/pR2p3/2P2pP1/P4P2/4NK1P/8 b - -,d6d3
3rk2r/1pb3p1/p1p4p/P3P1pn/2BP4/2N2PPP/1Pn3K1/3R1RB1 w k -,c4d3
5n2/6p1/2k4p/1p2p1bP/1P2P1P1/1KB2B2/8/8 b - -,g5f4
r1bqk2r/pppp1pbp/2n2np1/4p3/2P5/2N2NP1/PP1PPPBP/R1BQK2R w KQkq -,a1b1:e1g1:d2d3
r2k4/1bp1qp1r/1p1p1n2/p2Pp1bp/QPP1P3/2NB1RP1/P5PN/5RK1 w - -,c4c5
6k1/pq4pp/1p2Rp2/8/6Q1/1P3nP1/PB3P1P/6K1 w - -,g1g2
r1bqkb1r/ppp2ppp/2np1n2/8/3QP3/4BP2/PPP3PP/RN2KBNR w KQkq -,f1b5
5bk1/3b1pp1/7p/1p1Pp3/1r2N3/1QPq1P1P/1P3BP1/4R2K w - -,b3a2
8/3n3p/4k1p1/p2p4/1p1Pp1P1/1P2K2P/P7/5N2 b - -,e6f6
4r3/4P3/7p/5pk1/6p1/8/p6P/K3R3 w - -,a1a2
2k1r3/pp1nrp2/2pq1np1/3p1p1p/1P1P4/P2BPP2/2PQ1RPP/R2N2K1 w - -,c2c3
5b2/p3r3/8/1Ppk3p/3p1P2/P5P1/2RK3P/2R5 b - -,e7e3
r1br1b2/1p3pkp/2p2np1/p3p1B1/P1n1P3/1NN3PP/1PP2PB1/R3R1K1 w - -,g2f1
7k/8/7p/3n2p1/1p1r1bP1/1P3R1P/1N4K1/8 w - -,f3d3
8/3P4/3BK3/8/6p1/3r4/6kP/8 b - -,g4g3
5r1k/5ppp/1p6/p2P4/3P4/P4QNn/1P1q1PK1/2R5 w - -,f3e3
6k1/p3Rp2/6p1/1P1B3p/P2b1r2/5P2/6K1/8 b - -,d4c5
1r1qr1k1/1p1n1nbp/p2p2p1/P1pP4/2P1pP2/2N3PP/2Q3BK/R1B2R2 w - -,c1b2
1r1q1rk1/1b1nbppp/p1p5/P2pP3/Q4P2/2N3P1/4P1BP/1RB2RK1 b - -,d7c5
3r4/7p/2k3p1/5p2/1BP1p2P/P3P1P1/5P2/6K1 w - -,g1f1
1r2r1k1/4qpbp/p2p2p1/1p1bn1PP/3BPR1Q/PN6/1nP3B1/5RK1 w - -,e4d5
3r1k2/2b2b2/2p1npp1/2P1p2p/qP1pP2P/N2Q1PP1/2N5/BRK5 w - -,a3c4
1rb2rk1/ppq2ppp/3bpn2/2p5/3P2N1/2PBPQBP/P4PP1/R4RK1 b - -,f6g4
5qk1/7p/Q7/3P1b2/1p2r2P/5N2/P5P1/2R4K b - -,f5g4
r1b2rk1/pp2b1pp/2n1pP2/3p3q/1P6/2PB1N2/P3QPPP/R1B2RK1 b - -,e7f6
1r2k1r1/4Pp1p/1qp5/3n1B2/p2P2P1/Q6P/PP6/1K1RR3 b - -,h7h5
r3k2r/ppp1b1p1/2p1bp2/4PnBp/8/2N2NPP/PPP2P2/R2R2K1 w - -,e5f6
6k1/4Q1n1/8/3p2Kp/4b3/8/8/8 w - -,g5f6
