8/8/8/2p1p1k1/R7/1P3P1K/P4R1P/3rr3 w - -,a4e4
6k1/5p1p/2b3p1/1pr3R1/7P/8/r5PK/1R3B2 b - -,c5g5
8/p4r2/2kp3p/1pp2p2/2nP3B/2PK1PPP/P7/1R6 w - -,a2a4
2rr2k1/5pp1/4p2p/8/ppNP4/1Pn1P2P/1R3PP1/2R2K2 w - -,c4b6
r4rk1/1p2bppp/1qp1n3/p2n4/2Qp3P/3P1NP1/PP1BPPB1/R4RK1 w - -,a1b1
r3Rr1b/pb1k1B1p/7N/Bpp3P1/3pPQ2/P2P4/1PP5/R5K1 b - -,a8e8
r7/6pk/ppNrpp2/3n2p1/3P4/P5P1/1P2RP1P/2R3K1 w - -,b2b4
r7/1p3pbk/p1n1b1pp/2p4q/P7/3BBN2/1PP2PPP/2QR2K1 w - -,d3e4
8/5p2/6pk/r7/5PPP/5RK1/8/8 w - -,g4g5
2Q5/5ppk/p3p2p/1p2P3/4q3/6P1/PP3P1P/6K1 w - -,c8a6
6bk/R6p/7P/4K3/2p5/p1P5/r7/8 b - -,a2a1
r1b2rk1/1p3pp1/pq1ppb1p/8/4PP2/1NN5/PPPQ2PP/2KRR3 b - -,f8d8
rnbqrbk1/ppp2ppp/5n2/2Pp4/3P4/5N1P/PP2BPP1/RNBQ1RK1 b - -,b7b6
r2q1rk1/pp3ppp/1n2p3/4Pb2/3b1B2/2N2B1P/PP3PP1/R2Q1RK1 b - -,d4c3
5rk1/p1B3p1/5b1p/3p1p2/Q2Pq2P/6P1/P6K/3R4 b - -,f8c8
1rr3k1/p3ppbp/q2p2p1/1bnP4/1R2PP1N/2Bn2P1/1P4BP/1QN1R1K1 w - -,c1d3
3r4/1r3pkp/4pbp1/pp6/2pPRP2/P1P3PP/NP3K2/4R3 b - -,f6e7
k1r5/p2R4/Pp6/6N1/8/R2p4/5PPK/2r2b2 w - -,g5f3
r3k2r/1pq3bp/p1p3n1/4p3/1P2P3/3R4/1BPN2PP/Q4RK1 b kq -,a8d8
r1bqkb1r/1p4pp/p1n1ppn1/2p1P3/3p4/3P1NP1/PPP2P1P/RNBQRBK1 w kq -,e5f6
4k3/r3b2p/2b1p2Q/2qpP3/p7/P7/1PBN2rP/2KRR3 w - -,h6e6
5q1k/2p5/1p1p4/pPnPr1p1/P1P1p1P1/4P2P/2B1Q3/4R1K1 w - -,e1f1
r1bq1rk1/ppp2ppp/2n5/2p1P3/2P2P2/2PB1N2/P5PP/R2Q1RK1 b - -,f7f5
r1n2bk1/5p1p/p5p1/R2Pp3/4P3/1P2B2P/2rN1PP1/R5K1 b - -,f8b4
2R5/n3bbk1/pq3p2/1p1p2pp/1P1Pp3/PQ2P1PN/3NBPP1/6K1 b - -,a7c8
1r4k1/p7/8/1n2RPp1/6B1/8/P4PP1/6K1 b - -,b5c3
6R1/8/1p4p1/3k1p1p/4rP1P/1P1K2P1/8/8 b - -,e4e6
r2q1rk1/pppnppbp/1n1p2p1/3P4/N1P1P3/1Q2B3/PP2BPPP/R4RK1 b - -,b6a4
8/8/p2k4/1p3rp1/3K3p/P1R4P/1P6/8 w - -,c3c8
8/2b2kp1/1p5p/p2P1p2/3Bp3/1P2K1P1/P4P1P/8 w - -,f2f3
2r2rk1/1bq2pbp/p1nppnp1/1p6/3PP3/1QN2NP1/PP1B1PBP/2R1R1K1 w - -,d4d5
r1bq1rk1/p2nbppp/2n1p3/1p1pPPB1/2pP4/2N2N2/PPPQ2PP/2KR1B1R b - -,b5b4
4r1k1/pq3pp1/1pn4p/2n5/5B2/1Q3NP1/PP3PKP/3R4 w - -,b3c4
r1b2rk1/2p1qppp/2p2n2/pp6/4p3/NPN1P2P/PQPP1PP1/2KR3R w - b6,a3b1
4qrk1/6p1/b1pPpnQp/p5P1/P2P1P2/1p6/6RP/1B2R2K b - -,e8g6
rnbq1rk1/ppp1ppbp/3p1np1/8/3PPP2/3B1N2/PPP3PP/RNBQK2R w KQ -,e1g1
r1bq1rk1/1pp1b1pp/p3p3/3pn2Q/3N4/2P5/PP1NB1PP/R1B1K2R b KQ -,e7d6
8/7p/6p1/6P1/R3pp1P/P3k3/6K1/7r b - -,h1h4
8/6q1/6pk/Q4p2/1p6/1P4P1/P6K/8 b - -,g7d4
1n2qrk1/r1B1bppp/pN2pn2/8/1pQpb3/5NP1/PP2PPBP/2R1K2R b K -,b8c6
rnb2rk1/pp2ppbp/3p1np1/2q5/4P3/2NB1N1P/PPP2PP1/R1BQ1RK1 w - -,f1e1
r1bq1rk1/pp3ppp/2n1pn2/8/1pNP4/6P1/PP2PPBP/RN1QK2R w KQ -,e2e3
rnb2rk1/ppq1ppbp/6p1/2p5/3P4/2PBPN2/P4PPP/1RBQ1RK1 b - -,b8d7
r1bq1rk1/p2n1ppp/1pp1pn2/3p4/2PP4/5NP1/PPQ1PPBP/RN3RK1 w - -,f1d1:b1d2:b1c3
1R1n1k2/2r2pp1/3p3p/3P4/4P3/5N1P/5PP1/6K1 b - -,f8e7
6k1/r1p2rb1/1p1p4/pP1Pp1p1/2R1P3/B2nNPK1/P7/7R w - -,h1h5
5r1k/6p1/6qp/1pPR4/pP1Q4/P6P/6P1/6K1 w - -,d5d8
8/p3Rpkp/6p1/2nNP3/8/4K1P1/7r/8 w - -,e7a7
3r1k2/p2r1pp1/1pp1p1bp/8/2BPN3/2P2PPn/PP3K1P/3RR3 w - -,f2g2
4q3/1pbn1ppk/2p2n1p/5P2/1PPP4/5Q1P/3N1BB1/5K2 b - -,e8e7
3r4/3pkp2/rn1Np2p/p3P3/1p2Pp2/8/PPP2R1P/2KR4 b - -,b6c8
8/1p2kpp1/r3p2p/8/2P5/1K4P1/3R1P1P/8 w - -,b3b4
2r5/1pp5/1p1k2pR/8/P3P3/1P3P2/1KP5/8 b - -,c8g8
r4rk1/1bqnbppp/p2ppn2/1p2P1B1/5P2/1NNB1Q2/PPP3PP/2KRR3 w - -,f3h3
rnbq1rk1/pp2ppbp/5np1/2Pp2B1/8/2P1PN2/PP1N1PPP/R2QKB1R b KQ -,b8c6
2kr1b1r/ppp1pppp/2n2n2/5q2/8/2N2BPP/PPPP1P2/R1BQ1K1R w - -,f3c6
r1bqr1k1/ppp2pbp/3p1np1/2n5/2PNP3/PP6/1BQNBPPP/3RR1K1 w - -,e2f1
r2q1rk1/pbpnbppp/1p2p3/4N3/2BP1B2/2P5/P1P2PPP/R2Q1RK1 w - -,c4d3
2r3k1/2r1ppbp/pn4p1/1p6/3N4/2P1P3/PPRNK1PP/2R5 b - -,b6d5
1r4k1/1p3pPp/p1p3p1/2p1n2P/1PnqPQ2/6PB/8/5R1K b - -,c4d2
r1q2rk1/1b3p1p/p3p3/4P1P1/1R1N1P2/4Q3/P1P4P/1R4K1 b - -,b7d5
r1bq1rk1/pppnbppp/5n2/8/2BP4/2N5/PP2NPPP/R1BQ1RK1 b - -,d7b6
r4rk1/p1qbbpp1/1pn2n1p/2p1p3/4P3/2P1NPPN/PP2Q1BP/R1BR2K1 b - -,a8d8
1rq2rk1/pb2ppb1/1pp3pp/4P2n/2QP4/2N2NP1/PP3PBP/3RK2R w K -,f3h4
8/8/6p1/3n1pk1/4pN2/4N1P1/5K2/8 b - -,d5f4
3r2k1/1b1r1pp1/ppn1p2p/q1b1P3/P3BB2/2P2N2/2Q2PPP/R3R1K1 b - -,c6e7
4k3/6p1/6R1/p2N1p2/3b4/7P/PrP3PK/8 b - -,b2b1
r1bq1rk1/pp2bppp/1nnpp3/4P3/3P4/1BN2N2/PP3PPP/R1BQ1RK1 w - -,c1e3
r2qk1nr/1pp2ppp/p1pb4/4p2b/4P3/2NP1N1P/PPP2PP1/R1BQ1RK1 b kq -,g8f6
5k2/6p1/4p3/pp2P3/3P1n2/2P5/P7/K5R1 b - -,f8f7
5bk1/3r1ppp/p3p3/8/Pn3P2/5BPP/1P2K3/2R1B3 w - -,c1c8
r1b1k2r/pp1n1ppp/2q1p3/3pP3/2pP1P2/2P5/PPQN2PP/R3KB1R b KQkq f3,b7b5
3r2k1/p3qpp1/1np1p2p/4P2P/2P5/1PB2Q2/P1K2PP1/3R4 b - -,d8d1
3r1nk1/1p2r3/p2q2p1/3P1p1p/4pP1P/4N1P1/1Q4K1/3RR3 b - -,d8c8
8/8/4p3/3k4/4R2p/2p5/5r1P/2NK4 w - -,e4h4
r4rk1/1p2bppp/1q2pn2/1P1nN3/p2P4/P2B1Q2/1BR2PPP/5RK1 b - -,d5c7
2rn4/1b2q1kp/3p2p1/1P3p2/2PB1P2/5B2/6PP/1R1Q3K b - -,g7g8
r7/7p/2p5/2kp4/2r5/P1PR2PP/2K5/R7 b - -,h7h5
4r3/pbk5/1ppp4/4p3/4Q3/2NP1P2/PP1B3q/n2KR3 w - -,e4g6
1r6/4p2N/p2pk1p1/2p5/P1PnP2P/1P1R2P1/6K1/8 w - -,h7g5
6k1/8/3B2PK/p7/1p1np3/8/P4P2/8 w - -,h6g5
3r1rk1/p2n1pp1/bp2p2p/3n1qPQ/2p1N3/1P4PN/P1P2PB1/R3R1K1 w - -,h5h4
2b1r1k1/1pb1qppp/2p3r1/2P1p3/2B5/1PQ1P1N1/P2R1PPP/3R2K1 b - -,e5e4
2k5/ppb2p2/3N1Pp1/2P1p1Pn/3pP1bq/3P2N1/P1PQ1KB1/8 b - -,c7d6
r1bq1rk1/ppp2pbp/1nn3p1/3Pp3/8/2N1PNP1/PP3PBP/R1BQ1RK1 b - -,c6e7:c6b4:c6a5
1r1q1rk1/1b1nbppp/p2p4/1P1Qp3/4P3/P3BN2/1P2BPPP/R4RK1 w - -,d5d3
