6q1/8/8/8/5Q2/2k4P/5K2/8 b - -,g8a2
r1bqr1k1/pp3p1p/2pb1np1/3p4/3N4/2PBP2P/PPQN1PP1/R4RK1 b - -,d8e7
r1b1r1k1/5p1p/pn1p2p1/2pP3Q/3bPP2/2N5/1P1N2PP/R1B2R1K b - -,g6h5
r3r1k1/3Q1p1p/6p1/8/4n1P1/4PN2/5P1P/3nB1K1 b - -,a8d8
q1r5/5ppk/pR2p1bp/B1n5/2PQ4/7P/5PP1/2R3K1 b - -,g6e4
1n4k1/5q2/p1pbp1p1/3p1pP1/1P1P1P2/P2BP3/3B1K2/7Q b - -,f7b7
r1b1kb1r/pp3ppp/2np1n2/q3p3/3pP3/2P2NP1/PP2QPBP/RNB2RK1 w kq -,b2b4
8/5k2/2R1N3/7p/1b3P2/4B2P/4b1PK/3r4 b - -,b4d6
6k1/1p4pp/2p2pn1/R7/P5B1/1b2P1BP/1r3PP1/6K1 w - -,a5a8
r1b1r1k1/ppp1nppp/3q1n2/3p4/3P4/2PB1P2/PPQ1N1PP/RN3RK1 b - -,e7g6
2r1r1k1/1p3ppp/5n2/pP1P4/1bnNp1q1/2N1P1P1/2R1QPKP/B2R4 w - -,e2g4
6k1/1b3ppp/p7/2rp4/5q2/N5r1/PP3BBQ/3R2K1 b - -,c5c1
8/p5p1/1pn1Rpk1/2p4p/P4BPP/2PK1P2/5r2/8 b - -,c6a5
2B4k/r5bp/3P2p1/3Q4/1p6/7P/P3nPp1/5R1K w - -,d5g2
8/5k2/7R/5K2/5P1P/8/8/7r b - -,f7g7
Q7/2P3bk/1p4p1/7p/4p1p1/6P1/5PKP/4q3 w - -,a8a3
2b2r1k/r4p1p/pp1ppq2/2pPb1p1/P1B1P3/2PQ4/RP1B1PPP/5RK1 b - -,f6g6
2rq1rk1/1b1nbppp/pp1ppn2/8/2PpP3/1PN2NP1/PB3PBP/R2QR1K1 w - -,f3d4
2rr2k1/1b1qnpbp/pp1p2p1/4p3/P1PpPP2/1P1P2P1/3QNBBP/3RR1K1 w - -,f4f5
6R1/8/5r2/5P2/2K2k2/6p1/8/8 b - -,f6f5
r4rk1/2qb3p/1pNp1np1/1P1P1p2/2P1pP2/4Q3/4B1PP/1R3RK1 w - -,b1a1
8/8/3p1N2/2p1k2p/1p4p1/1P2K1P1/2P5/8 w - -,f6h5
1rb1k2r/1p2ppbp/p1np4/3N1P2/5P1q/1N1B4/PPPQ2PP/R3K2R w KQk -,g2g3
r2q1rk1/ppp2ppp/2nbpnb1/4N3/2BP2P1/2N4P/PPP1Q3/R1B2RK1 w - -,e5g6
r3k2r/2qbbppp/p1npp3/6Pn/1p2PP2/1NN1B3/PPPQ3P/2KR1B1R w kq -,c3a4
8/8/6p1/4Q2p/7k/6r1/8/5K2 b - -,h4h3
r1b2r2/1pp3p1/6k1/p3N3/4P2q/1NP3p1/PP2BR2/4R1K1 b - -,g6h7
r2qkb1r/pp2pppp/2np1n2/2p5/2B1P1b1/2PP1N2/PP2QPPP/RNB1K2R b KQkq -,e7e6
2rr2k1/pb4bp/1pn1p1p1/5B2/2PP4/PNB2NPP/4K3/3RR3 b - -,e6f5
3r2r1/p4p1q/kpn1p1pp/3pPn1P/b1pP1PP1/P1P4B/2PQR2B/3N1R1K b - g3,f5g7
r5k1/1q1r2b1/p2p2pp/1p1Qp3/1P2Pp2/R1P2P2/1P3BP1/R5K1 b - -,b7d5
5rk1/pp2pp1p/6p1/8/1P1qP3/P1r5/1Q4PP/4RR1K b - -,c3d3
2br3k/5rq1/6Qp/p1pPR1pP/PpP3P1/1P2RP2/8/2K5 w - -,g6b6
5r2/pp4rk/2b1n2p/3pP3/3P1P2/1R4N1/P3NRKP/8 w - -,f4f5
2kr1r2/1pp1bpp1/p3p1b1/n3N1Pp/3PP2P/q1PB4/P1Q2P2/1RB1K2R b K -,a3d6
1r2r1k1/5pb1/p3p1pp/2p5/1q1P4/1PN5/P4PPP/2QRR1K1 w - -,c3e4
1r3b2/pB1q1pk1/5p2/6pP/3P4/1Q4P1/P4PK1/4R3 w - -,e1b1
r1b2rk1/1pn1qpbp/3p2p1/p1nPp3/4P1P1/PPN1B2P/3NBP2/1R1QK2R b K -,f7f5
r2qkb1r/p1n2p2/1n2p1pp/1p1pP3/2pP2QP/P1P2N2/1P2NPP1/R1B2RK1 b kq h3,e8d7
2q2rk1/4bppp/p7/1p2Pb2/3pN3/6RP/PPB2PP1/3Q2K1 b - -,f8d8
r6r/p1pqk3/1p2p1pp/3pPp2/P1nP3P/2P5/2PNQPP1/R3K2R b KQ -,d7c6
1r3r2/4p1k1/n2p2p1/2p2pP1/P3n1P1/4B2B/4P2K/3R1R2 b - -,f5g4
r5k1/5pp1/5n1p/3pN3/2p1b3/2P3PP/1P1R1PB1/6K1 b - -,a8a1
6n1/5k2/5p2/3N1P2/4K3/6P1/8/8 w - -,e4d4
r1bqkb1r/ppp2ppp/2n1p3/3pPn2/3P4/2N2N2/PPP2PPP/R1BQKB1R w KQkq -,f1b5:h2h4
1rq2rk1/pbp1bppp/4p3/3n4/PnNPQ3/4P1P1/1P1N1P1P/R1BR1BK1 w - -,e4b1
3R2k1/p3bppp/1p6/5b2/5P2/1P2B1P1/P5BP/6K1 b - -,e7d8
rnbqk2r/1p3ppp/p3p3/2bn4/6P1/1NN4P/PPPB1P2/R2QKB1R b KQkq -,c5a7
8/1p1b4/pPp2k1p/P1Pp3K/3N1P2/8/7P/8 b - -,f6g7
8/5p2/6p1/2k3P1/4PP2/K7/8/8 b - -,c5d4
3rqrk1/1p2b1pp/p1n2n2/3bpBN1/8/4N3/PP1B1PPP/R2Q1RK1 w - -,e3d5
2kr3r/p1nq2p1/Ppp1p3/3nPpNp/1b1P1N1P/4B3/2Q2PP1/R4RK1 w - -,f4g6
3r2k1/p2q2pp/4b3/1Pp1Pp2/Pbp2P2/2NrPQ2/2R3PP/4BRK1 b - -,d7c7
8/3r1kpp/pr2pp2/1nRb4/3P4/P4P2/1PB2BP1/K1R5 b - -,h7h6
1R6/2K2Pk1/p3P3/8/2p5/2P5/3r2pp/8 b - -,d2f2
rn2kb1r/4pp1p/1q1p4/1BpP4/1p2QB2/8/PP3PPP/R3K1NR b KQkq -,b6b5
1r1qk1nr/3p1p2/p1n1p3/4P1P1/P6p/1QN3P1/1P3PB1/R4RK1 w k -,b3c2
1r2b1k1/3nqp1p/4p1pP/Rp1pP1N1/1P1P4/6P1/3QBP2/6K1 b - -,d7f8
4r1k1/p3rbp1/2p2q1p/8/P1p2P2/2P3P1/5QBP/R3R1K1 w - -,e1e7
2kr3r/pppqnp1p/5b2/3p1pP1/3P4/P1NQP1N1/1PP3PP/R4RK1 b - -,f6g5
rn1qk2r/pbp2ppp/1p1ppn2/8/2P5/P1Q1PN2/1P1P1PPP/R1B1KB1R w KQkq -,f1e2
1r4k1/3R1b1p/4qbpP/1r2p3/pNp1P1Q1/P1B5/1PP5/1K3R2 w - -,g4d1
rn2brk1/pp2q1pp/2p1pn2/3p1p2/2PP4/1P3NP1/P3PPBP/R1Q1NRK1 b - -,e8h5
2r1r1k1/pq1bppbp/np1p1np1/3P4/2PN4/P1N1BB1P/1P2QPP1/2R1R1K1 b - -,a6c7
rn1qnrk1/pp2bppp/3p4/2pPp3/2B1P3/1PP2Q1P/PB3PP1/R3KN1R w KQ -,f1e3
r1b2r1k/pp6/2p2q2/2Ppb2n/4p3/2N3PN/PP3PB1/R2Q1RK1 b - -,f6h6
r3rbk1/1bq2p2/6p1/pp2p1B1/4pnPN/2P5/PPQ3BP/3R1RK1 b - -,f8c5
8/8/2kp4/1nn5/1R6/6B1/2PK4/8 b - -,b5c7
2r5/Rp3pB1/2k1pP2/3p3P/5n2/P1K5/6P1/8 w - -,c3d2
8/1Q1nk3/np2pqp1/p2p4/P2P1N2/2P5/6P1/5NK1 b - -,f6f4
2kr4/1bq1bppp/p3p3/4P3/4pPP1/P1p1B3/1PP1NQ1P/2K1R3 w - -,e2c3
2r3k1/1p3p1p/6p1/1R6/p7/P3P2P/2K2PP1/8 w - -,c2d2
rnbqkbnr/pp4pp/4pp2/3pP3/3P4/5N2/PP2BPPP/RNBQK2R b KQkq -,g7g6
2q3k1/1r5r/3p2pb/1NpP1bP1/P1R1p3/4B3/3Q1P2/5K2 w - -,g5h6
r2q1rk1/1b3ppp/p2pp3/1pn4n/3NPP2/P1N4P/1PP1BQP1/R4RK1 b - -,h5f6
2r1k2r/1bq1b3/p2ppp2/Pp2n1p1/1P1QP3/2N3B1/2PRB1PP/1K3R2 w k -,c3d1
1rbq1rk1/1p2ppbp/p2p1np1/2pP4/P1n1P3/2N5/1PP1BPPP/R1BQ1RK1 w - -,e2c4
1k6/p6n/K5pP/1P2p3/1P2P3/4P3/7P/8 w - -,b5b6
r7/p7/1p5R/1P1pkP2/8/1P3K2/5P2/8 b - -,e5f5
r1b1k2r/pp2np2/2n1p1p1/3pPq2/3P3p/P4N1P/3BBPPQ/2R1K2R w Kkq -,e1g1
