8/4k1p1/4n2p/5P2/4N1P1/4K3/7P/8 b - -,e6d8
1r6/8/k7/7P/8/1p5K/8/6R1 b - -,b8b4
r4rk1/4Qp1p/p5p1/qp6/3bPNb1/2n5/P1B2PPP/1RB2RK1 w - -,f4d5
8/4kp2/7p/4p2P/1pr1P1p1/6P1/1PPK4/3R4 w - -,d1e1
r3kb1r/pp1n1ppp/1qp1pnb1/8/8/1NNP3P/PPPBBPP1/R2QR1K1 b kq -,f8e7
8/p1R5/1r4kb/3pBp1p/3Pp3/1P2P3/P4KPP/8 w - -,c7a7
r5k1/1rp2p1p/3b2p1/pqpPp3/N1R1P2P/P2R4/1PQ2PP1/6K1 b - h3,a8f8
8/5ppk/4p3/7p/1p6/4P1P1/3N1PP1/b4K2 w - -,f1e2
r1b1r1k1/1pqn1ppp/p2bpn2/8/1PN3P1/P2BPN2/1BQ2P1P/R3K2R b KQ -,e6e5
1r3k1r/1p1nnp2/p2p1qp1/2pPp3/B1P1P2p/2N1Q1PP/PP3P2/1K3R1R b - -,d7b6
3r2k1/1p4pp/8/p3p3/2Pn1P1r/3R4/PP3P2/3RNK2 w - -,f4e5
3r2k1/1p3ppp/p4nb1/1q1p2B1/1P1R4/2P2PNP/P2Q2P1/6K1 w - -,h3h4
1r6/1br2kpp/3p1p2/p3pP2/P1PpP2P/1P1K2P1/2R5/1R3B2 w - -,c2b2
5R2/1Q6/3k2B1/3pq3/P7/6nP/1P4P1/6K1 b - -,e5e1
3r1rk1/pp2q1pn/6R1/3ppP2/2P1P3/8/PP4KQ/5R2 w - -,f1h1
r4rk1/1b2bppp/3pp3/pp4P1/2qBPP1P/P1N1Q3/1PP5/1K1R2R1 b - -,b5b4
r1bq1rk1/2n1bp1p/4p1p1/ppn1P3/3N4/5N2/PP2QPPP/RBB2RK1 b - -,c8b7
r3k2r/ppp2ppp/2p1b3/4Pn2/1b6/1P3N2/PBP1NPPP/R4RK1 b - -,e6d5
8/2r3pk/3Rpp1p/2Nb4/1P2pP2/4P1P1/7P/6K1 b - -,c7e7
6k1/1p1r2pp/p1n2r2/2bpp2P/4NP2/P6R/1PP3P1/1K1R1B2 b - -,d5e4
1r6/4kpp1/1npb2p1/3p2Pn/2pP3P/P3BB2/1PR1NPK1/8 w - -,g2h3
r4R2/1pp1k2p/2np4/p7/P3P3/2P5/1P1NB3/5R1K b - -,a8f8
Rr5k/5pp1/4p2p/7P/3P4/4K3/1r3PP1/R7 b - -,h8g8
r6k/1p4pp/2pb4/p5q1/P3r3/1PQ4P/2P2RP1/3R2K1 w - -,d1d6
1r4k1/4pp1p/q5p1/P6n/3PPPb1/2N1Q3/1r4BP/R1R3K1 b - -,b8b3
r1b4r/1p1pk1pp/p1n1p3/4qp2/1bP1N3/P1N3P1/1P1QPPBP/3RK2R b K -,b4a5
r1b1k2r/2q1bppp/p2ppn2/1p6/3NP3/P1N1QP2/1PP1B1PP/R4RK1 w kq -,f3f4
1r2n3/5k1R/r2p1qp1/2pPp3/PpP1Pp2/5P2/1P2KB2/6QR b - -,e8g7
8/5k2/p5p1/1p5p/2pP3P/P1P3P1/1P2RK2/3r4 b - -,f7f6
8/1p3k2/2pb2p1/p2p4/P2P1p2/2PB1Pq1/1PK1Q3/8 b - a3,d6e7
4r1k1/4r1pp/1p1q2n1/p1nPp3/P1P5/1P2RNPP/4RP1K/4Q3 w - -,f3d2
8/RK6/8/4k3/5p2/8/8/8 b - -,f4f3
8/5N2/1p4Kp/pP4p1/P4b2/3k3P/1P6/3B4 b - -,d3d2
8/5k2/8/8/p1R3p1/P1KP4/1P4r1/8 b - -,f7e6
6r1/1r3qp1/2nk1p2/p1p1pPP1/PnPpP3/3P1N2/7R/R1BQ2K1 w - -,g5g6
8/8/2r3b1/p1r5/1p6/1P2kQ2/P1P3PP/1K6 b - -,e3d4
1n3N2/r5k1/pp2B3/2b2p2/5p2/3QP1qP/PP4PK/2RR4 w - -,h2h1
7r/1b3p2/p1k5/R4N2/1PP1K3/7P/8/8 b - -,h8h3
8/8/3k4/5K2/8/7p/6r1/7R b - -,h3h2
8/5r1k/2Q1p2p/8/6p1/5qP1/3R1PK1/8 w - -,c6f3
4r1kr/1p1q1pb1/2b2n1p/pP1pBPp1/3P4/1P1BQ1NP/6P1/R4RK1 b - -,c6b5
3b4/R4pk1/4b1pp/4P3/4B2P/4B1P1/4r3/7K w - -,a7a3
2b5/6k1/p4q1p/1p1Br1n1/2p2p2/P3b3/1P2Q3/4R1RK w - -,e2g2
r3rbk1/pp3p2/2p1bqpp/8/1P2P3/P2P2P1/2QB3P/2R1RBK1 w - -,d2c3
3r1r1k/pp4b1/1q5p/2p2bp1/2Q1Np2/2P2N2/PP3PP1/R4RK1 b - -,b6c6
8/8/6p1/1N5p/R3pk2/P2B3P/r5PK/8 b - -,f4e3
rnbq1rk1/p4pbp/3p1np1/1NpP4/4P3/3B1N1P/PP3PP1/R1BQK2R b KQ -,f6e4:f8e8
r1b2rk1/pp4pp/2n1pq2/3p4/3P4/3B4/PP1QNPPP/R4RK1 b - -,a7a6:c8d7
r5k1/pbp2pp1/1b4qp/3p4/3Nr3/2P1BQ1P/PP3PP1/R3R1K1 w - -,f3f5
1r4k1/2R2p2/5P2/4PKN1/8/8/1b6/8 b - -,b8f8
r1q2rk1/pbpp2pp/np1bpn2/3P1p2/1PP5/P1N3PN/4PPBP/R1BQ1RK1 w - -,d1c2
r5k1/1p3p1n/p3RP2/P1pr4/3N4/7P/1P2QPP1/2q2NK1 b - -,c5d4
2nr2k1/1p1rqpb1/p1p1pnp1/7p/PPPP2P1/1BBQ3P/3NRP2/4R1K1 w - h6,d3g3
8/2p5/3p4/p2k4/P4K2/8/8/8 b - -,d5c4
r2q1r1k/ppp3bp/3p2p1/3Pp3/PPPnB3/R7/3B1PPP/3Q1RK1 b - -,h8g8
8/8/4k3/1p2P3/3K4/8/P1PR4/4r3 w - -,d2h2
8/1p4p1/p3kn1p/5p1P/2P2P2/P1B4R/1Pr5/5K2 w - -,c3f6
2r1r1k1/1pqbbp1p/p3pN2/8/2P5/1P4PP/P2Q2BK/2R2R2 b - -,e7f6
r1r3k1/3p1np1/1p1Pp2p/p3Bp2/1PP1bP2/P5P1/4B1P1/2R1R1K1 w - a6,e5d4
8/p6r/1p3k1p/1P5B/P2K1p2/8/8/6R1 w - -,d4e4
3B4/7k/4p3/P3P3/2p1b1p1/2P1P2p/r5pP/2R3K1 b - -,h7g6
r5k1/2p3pp/p3p1q1/P3n3/1p1PP3/1Q2PP2/1P1N2K1/R1R1b3 w - -,g2f1
r1bqkb1r/pp2pp1p/2n2p2/3p3Q/3P4/2N5/PPP2PPP/R3KBNR b KQkq -,c6d4
r2r2k1/1p2qpb1/2p1b2p/p1n1p1p1/2PnP3/4B2P/PP2NPP1/1BQRRNK1 w - -,e2g3
8/1p6/1Bp3p1/p5kp/Pb2P1p1/1PpKN3/5P2/8 w - -,b6c7
8/4b1k1/6p1/1p3pNp/2b2P1P/4P1P1/2Q2K2/q2B4 w - -,g5f3
r4rk1/ppR3bp/2n1p1p1/5p2/3PP3/4BN2/P3KPPP/7R w - f6,e4e5
8/Q6p/4p1k1/1P4p1/4PP2/1P3P2/P4RKP/q2r4 b - -,d1g1
r4rk1/pb1nqppp/1p6/2Pp4/8/2n1PN2/PP3PPP/1BRQ1RK1 w - -,c1c3
8/pk4p1/4pp1p/1p1pq2P/8/8/3KNPP1/3R3R w - -,d1c1
8/8/p4kp1/4rpp1/1P6/p2B2PP/2N2K2/8 b - -,a6a5
5r2/1b2k2R/5p2/p1p1nPp1/1b2P1P1/1P3BK1/R7/8 b - -,f8f7
r4rk1/1p3ppp/p2p1n2/4nR2/4P2q/2NB3P/PPPQ2P1/5R1K b - -,e5g6
6k1/2p2Qp1/6rp/8/7q/1PB2Rb1/P2PP1K1/8 b - -,g8h7
3r2k1/p4pp1/1p5p/8/5P2/P3qB1P/1PQ3P1/6K1 w - -,g1h1
7Q/4kp2/4p3/4Pp2/2r5/6PK/8/8 w - -,h8f6
2r1rbk1/5p1p/p5p1/1pp2P2/4N3/P1P4P/1B3R2/R5K1 b - -,e8e4
8/5pkp/1p1q2p1/1p6/1P1P4/2Q1PP1P/5K2/8 b - -,d6h2
5r1k/1p1R2bP/2p5/8/p5QP/1P4P1/6BK/q7 w - -,b3a4
3r2k1/1p3pp1/p4n1p/3p1P2/1P2p1P1/1BP1b2P/4R1K1/3R4 b - -,e3f4
r5k1/2p1rp1p/3b1p2/p4P2/B1bR4/2P3N1/P4PPP/R5K1 b - -,c4a6
8/5p1k/2p3p1/2Pp3n/1Q1P1qP1/3BKP2/8/8 w - -,e3e2
