8/5R2/1r4pp/4k3/5n2/5B1P/5PP1/6K1 b - -,f4d3
r1r5/1p1bnkpp/p2B1p2/3p4/2nN4/2P2N2/PPB2PPP/3RRK2 b - -,c4d6
6k1/5p1p/2qpp1p1/p7/1bBBP3/1P2QP2/P5PP/6K1 b - -,e6e5
q7/6pk/4P2p/5P2/8/p2Q2P1/6K1/8 w - -,g2h2
4n1k1/p1q2ppp/QpNn4/8/8/6P1/P4PBP/6K1 b - -,g8f8
3QRbk1/5pp1/1p6/7P/3P2K1/2p2P2/7q/2r5 b - -,c1g1
r2q1rk1/pp3pbp/3p2p1/2pPn2n/2N5/2N1B3/PPP1QPPP/R4RK1 w - -,g2g4
2rr2k1/pbqn1ppp/1p3n2/2p2B2/2Pp4/P1B1PN2/4QPPP/2RR2K1 w - -,e3d4
3qr1k1/3b1ppn/6np/p2p4/P2P2P1/4NPB1/5Q2/4RBK1 w - -,e1b1
2rq1rk1/pp1bppbp/6p1/2pPn3/2B1P3/2P1BN1P/P4PP1/2RQ1RK1 w - -,f3e5
r1bqk2r/2pnnpb1/pp1pp1pp/6B1/P1BPP3/2N2N1P/1PPQ1PP1/R3K2R w KQkq -,g5f4
r1bqk2r/5pbp/p1np1p2/1p1Np3/2P1P3/N7/PP3PPP/R2QKB1R b KQkq c3,b5b4:f6f5
r1bq1rk1/1ppnbpp1/p3pn1p/3p4/2PP3B/2N1PN2/PPQ2PPP/R3KB1R w KQ -,c4d5:a1d1
3r1r1k/6bp/p1N3p1/1p5n/3P2pP/3BP3/PP3P2/K2R3R b - -,d8d6
r2n2k1/1p3pb1/pP4qp/1b4p1/N1RpP3/3P1P2/1B1Q2PP/4N1K1 w - -,c4b4
r3rqk1/1n4pp/1p3p2/p2R1P1N/2pP2P1/2P4P/PP1Q2K1/R7 b - -,f8f7
5r1r/1b1kbp2/pq1pp2n/1p4N1/1P1pP3/P2P3P/2PBQ1B1/1R3R1K b - -,b6d8
3qr2k/p3b1rp/Pp2B1p1/1P1P1p2/2Q5/2P2R1P/4R3/5K2 b - -,e7c5
8/3r1q1k/pp1r4/3N3p/1PK4P/P2R1P2/3Q4/8 w - -,a3a4
r4rk1/ppp2ppp/8/8/3Pq1n1/2P1P3/P2N1P1P/R3K2R w KQ -,d2e4
r2q1rk1/pbpnbppp/1p1p1n2/3Np3/2PPP3/3BBN1P/PP3PP1/R2Q1RK1 w - -,d1c2
r1bqkbnr/pp3ppp/2n5/2p1p3/2BpP3/5NN1/PPPP1PPP/R1BQK2R b KQkq -,f8e7
8/4Q1bk/6p1/7p/7P/3r4/6K1/8 w - -,g2h2
8/Rp3pk1/6p1/Prpn3p/7P/6P1/4RP2/6K1 w - -,e2e8
1r3rk1/p3ppbp/2np1Pp1/q1pN4/2bnP2P/4B1P1/PP4B1/1R1QNRK1 b - -,e7f6
8/1p1b1p2/6kp/1P4p1/4N3/B1r5/3R2PP/6K1 b - -,c3a3
rnbqk2r/pp3ppp/2p1p3/8/P1pPP3/2n2N2/1P3PPP/R2QKB1R w KQkq -,b2c3
5bk1/5p1p/6p1/2p1P3/1p1p1P1P/1P1B1KP1/2R5/r7 b - -,f8e7
4rrk1/1bp3pp/1pn1p1q1/3P1pn1/3P4/1NPBPP2/2QB2PP/R4R1K b - -,e6d5
r3k2r/p2b1ppp/1qn1p3/1p1n4/8/N4NP1/PP2PPBP/2RQ1RK1 w kq -,f3g5
8/2k3p1/7r/5b2/1n1P4/2N1P3/4KPPP/7R w - -,e3e4
8/8/pK3Pk1/PP6/5r2/8/6p1/6B1 b - -,f4f6
r4r1k/2pnq1pp/1p1b1p2/p3P3/1P1P4/P2B1N2/4QPPP/2B1R1K1 b - -,a5b4
3r3r/2k2R1p/1pn3p1/p7/P2P4/B7/6PP/2R3K1 b - -,d8d7
4k2r/3n1p2/1pn1p1p1/3pP1P1/3P1P2/3Q4/1RPB2K1/q4R2 b k -,a1b2
r1b2rk1/4bppp/p3p3/q1Pp4/1p4PP/2P3B1/PP2BP2/R2QK2R w KQ -,c3b4
8/1pr2p1p/5kp1/pP6/P3P3/2p2PKP/2R3P1/8 b - -,f6e5
r1b1r1k1/pp3ppp/2p5/q5P1/4p3/2PB4/PPPQ1PP1/1K1R3R w - -,d3e4
r4rk1/p1q1ppbp/bppp1np1/2B5/P3P3/N1PP1NPP/1P1Q1PB1/R3K2R b KQ -,b6c5
2rq1rk1/pp1bppb1/3p1np1/3N3p/3NP2P/1P2BP2/P1PQ2P1/1K1R3R b - -,f6d5
r1bq1rk1/p2nbppp/1pp1pn2/8/2PPp3/P1NB2N1/1P3PPP/R1BQ1RK1 w - -,g3e4
1r3q2/2pR1rk1/1p5B/p3pQ2/8/5P2/1P4P1/6K1 b - -,g7h6
7r/8/6K1/k7/P4p2/8/5R1P/8 b - -,f4f3
8/8/8/pp3k2/6pK/6PP/PP3P2/8 b - -,g4h3
rnbqkb1r/pp3p1p/2p1pp2/3p4/2PP4/4P3/PP3PPP/RN1QKBNR w KQkq -,b1c3
4k3/1p2bp2/p1b1p3/4p1p1/3qP2r/1BN3QP/PPP3P1/1K1R4 b - -,d4c5
1r1r2k1/3P1pp1/2Q2b2/4q3/R7/1P1N3P/P3p1P1/1K1R4 w - -,d1e1
kq6/1n1r2pp/p2rN3/5P2/P7/5QP1/5P2/1RR3K1 w - -,c1c6
r4rk1/ppp3pp/5n2/8/2P3q1/P1QB4/5PPP/4RRK1 b - -,a8e8
r5k1/3n3p/q4npb/4p3/3pN3/3P4/pB2BPPP/4QRK1 b - -,a8b8
3r3k/4qp2/p1Qp2pp/2pP2P1/2bbNP2/5R1P/7K/4R3 w - -,f3g3
2q2r1k/pb4bp/3p2pB/2p5/1r6/1P1P2P1/P2Q2BP/4RR1K w - -,h6g7
r4rk1/pp1n2bp/2p2np1/q2pp3/3P4/2P1B1P1/PPQNBP2/1K1R3R w - -,g3g4
r1q1k2r/ppn1bpp1/2n5/2p4p/5Pb1/1QN1P3/PP1P2BP/R1B1NRK1 w kq -,d2d4
1rb1rbk1/p1q2p1p/2ppp1p1/8/4PP2/1PNP3R/PB2Q1PP/4R2K w - -,c3d1
2r2rk1/1p2bpp1/p1q2n1p/P2bp3/R7/2NQB2P/1PPN1PP1/3R2K1 w - -,c3d5
3q2k1/6b1/2b4p/1pN1pp2/p1n5/P1P2B1P/1P3P1K/2Q1R3 b - -,c6f3
8/3R4/kp6/p2R2B1/8/5P2/1r2q1PK/8 w - -,d5d2
7r/1b1nkp1p/1p2pp2/p1p5/B1P5/3P2P1/PP2RP1P/n3N1K1 b - -,d7e5
4k3/1p3p1p/2pBb1p1/4P3/r1n2P2/p1P3P1/P2RBK1P/8 w - -,e2c4
r4rk1/ppqnbpp1/2p1pnp1/3p4/2PP4/1QN1P1P1/PP2BP1P/R1B2RK1 w - -,c1d2
5rk1/1bRr1p1p/p2qp1pQ/3Pp3/4P3/6NP/PP3PP1/2R3K1 w - -,g3h5
rn1q1rk1/ppp1bppp/4bn2/3P4/3P4/2N2N2/PP2BPPP/R1BQK2R b KQ -,f6d5
rnb1k2r/pp3ppp/3qpn2/3p4/3P2P1/1N2PP2/PP5P/R2QKBNR w KQkq -,g4g5
8/4k3/5pp1/2KP4/2N5/7P/8/7r b - -,h1h3
8/p2b2kp/1p2ppp1/n1rP4/3KP2P/3B4/P2N1PP1/7R b - -,e6e5
r1b4r/pp1nkppp/5n2/3p2B1/3Pp3/6PN/PP2PPBP/R3K2R b KQ -,h7h6
8/7p/B1p4R/2P3p1/4kn2/P7/r7/1r3N1K w - -,h6c6
1n2rnk1/5pb1/4p1pp/1NpPP3/6rP/1P3N2/P5PB/3R1RK1 b - -,b8a6
r1b1kb1r/1p3pp1/p1n2n1p/2p5/2B5/P1N1PN2/1P3PPP/R1B1K2R w KQkq -,c3d5
r1bqr1k1/pppp1ppp/8/3BP3/6n1/2p2N2/PP3bPP/RNBQRK2 b - -,c3b2
1r2r1k1/b3qpp1/6bp/1p6/2p5/P1BnP1P1/2N2P1P/1RRQ2KB w - -,c2b4
rn1qk2r/1b2bppp/p1p1pn2/1p6/P2P4/3Q1NP1/1P2PPBP/RNB2RK1 b kq -,b8d7
2q1r1k1/1b1r1nb1/p2Pp1p1/4p3/1B2N3/PP1R4/4QPP1/3R2K1 w - -,e4c5
7r/2R5/8/8/2p1p3/4k3/8/5K2 b - -,h8h1
8/8/8/8/5qp1/1K6/P1Q5/4k3 w - -,c2c3
r1bq1rk1/pp3pp1/2nbp2p/3n4/3P4/P1NB1NP1/1P3P1P/R1BQK2R w KQ -,e1f1
6k1/1p5p/p4Qp1/1bP1Pp2/2qP1P2/P1K5/8/8 w - -,c3d2
r4r2/2pn3k/b1p3qp/2PpPpp1/7P/1PN1BPP1/3Q1R2/6RK b - h3,f5f4
8/3r1p1k/2R1n1pp/8/P3B3/1PBp2PP/1b1NbP2/6K1 b - -,e6d4
r4rk1/1p1n2pp/3p4/3P4/2PqPp2/P7/1nQ3PP/RN1B1R1K w - -,b1d2
3r4/6p1/2k5/p1P1RPp1/8/1P6/P5K1/8 w - -,a2a3
4r1k1/p1p2ppp/1pq1r3/4P3/2P2P2/2PQ2P1/P5KP/R2R4 w - -,d3d5
