4B3/6R1/8/p3k2P/3p3r/P2Kp3/8/8 b - -,h4h2
r2qk2r/pp2ppbp/2n1bnp1/1BPp4/3P1B2/2N2P2/PP4PP/R2QK1NR b KQkq -,e8g8
r5k1/1b1nqpp1/1p1ppN1p/1Pp5/2P1PQ2/3P1N1P/r2B1PP1/3RR1K1 b - -,d7f6
2rr4/b3k2p/p5p1/2p1Pp2/3p1P2/1P1R2P1/PB4KP/2R5 w - -,g2f3
r1b1r1k1/pp3pbp/2n3p1/3Bp1B1/4P3/5N1P/PP3PP1/R3K2R w KQ -,e1c1
2r2nk1/5qb1/p2Bp1p1/1p2P2p/5P1P/3B2P1/P4QR1/2R3K1 b - -,c8c1
4Q1qk/1pp4n/2n5/p2b1p2/P2Pp3/2P1R2P/1PB2PPK/8 w - -,e8d7
r7/5kp1/1r1p4/2pPbp1p/2B4P/1P3KP1/2R1R3/8 b - -,b6b7
r1bqr1k1/1p3ppp/p1p1p1n1/4N3/2PPB2b/1P4P1/PBQ2P2/3R1RK1 w - -,e5g6
8/p2kb3/1p3pp1/3p1p1p/PP1P1P1P/2PN2P1/3K4/8 w - -,d2c2
r1b1kb1r/pp2p1pp/2n2p2/2pp4/3PnB2/1PP1PN2/1P3PPP/RN2KB1R w KQkq -,f1b5
r2qkb1r/1p3ppp/2n1bn2/p3p1B1/2Pp4/1N4P1/PP1NPPBP/R2QK2R w KQkq a6,e1g1
1rb1k1r1/n4p1p/4p3/2q5/4Bb2/2N2N2/5PPP/R3QRK1 w - -,e4h7
3B4/8/8/pk5p/2p2p1P/2Pn1P2/3K4/8 w - -,d8c7
8/p4pkp/1p2b1p1/8/4BP2/1P6/P1r2KPP/8 w - -,e4c2
8/4k3/4p1p1/R6P/8/1P2KP2/P6r/8 b - -,g6h5
r3nrk1/1pq1n1pp/p2pbp2/4pP2/2P1P3/1PN4P/P2QB1P1/3R1R1K w - -,f5e6
2q1rrk1/1pp2pbp/p1npbnp1/6B1/4P3/2N2N1P/PPPQ1PP1/3RRBK1 b - -,f6d7
4r3/5pk1/1R3p1p/8/2b1N3/3n2PP/1P3PB1/6K1 b - -,f6f5
rn1qk2r/pbppnppp/1p2p3/8/2PPP3/P1P2P2/6PP/R1BQKBNR b KQkq -,e8g8
3q1r1k/2r1b1p1/3p3p/1p1Qpb2/8/1P2N3/P4PPP/R1B2RK1 w - -,e3f5
2r2bk1/5p2/rR4p1/3p3p/2qPpB2/2P1P2P/1Q3PP1/1R4K1 b - -,a6b6
5rk1/pp3ppp/q2b4/3p4/3P1B2/1P3Q1P/P4PP1/2R3K1 w - -,f4d6
r3k2r/1p1bqpp1/p1p5/2b1pP2/4P1Q1/2N5/PPP3PP/R1B2R1K b kq -,e8c8
2k1rb1r/pp3ppp/1nn1N3/q2p4/2pP4/P1P5/BP1NQPPP/R1B2RK1 b - -,e8e6
3R4/5pKP/8/1kp5/pp6/7r/1P3P2/8 w - -,d8a8
r4bk1/2qb2p1/r2p1nBp/1p1Pp3/1Bp5/P1PnNN1P/2Q1RPP1/3R2K1 w - -,d1d3
r3r1k1/1b1n1pbp/1n1p2p1/p2P2B1/1qpNPP2/2N5/1PQ3PP/3RRB1K b - -,d7c5
1r2r1k1/5pbp/2B3p1/p7/P7/8/1n1B1PPP/1R3RK1 b - -,e8c8
3r1rk1/1b2bpp1/ppq1pn1p/8/P1BP3B/2N5/1P3PPP/3RRQK1 b - -,c6c8
1r3rk1/1b3ppp/p2qp3/3p4/5P2/1P4P1/P1PQ2BP/R4RK1 w - -,d2d4
r2r2k1/ppp1ppbp/2n3p1/8/3PN3/4PB2/PP3PPP/R1R3K1 w - -,e4c5
r3r1k1/ppp1qpp1/3p1nnp/3Ppb2/2P5/P1N1PN1P/1P1Q1PP1/R3RBK1 b - -,a8c8
rnbq1r1k/pp2b1pp/2pp1n2/4pp2/8/1QPP1NP1/PP1NPPBP/R1B2RK1 w - -,e2e4
8/1p1r1ppk/2P1b3/1P4Pp/N3p3/6P1/1R3P2/6K1 b - -,d7d1
2r5/p4p2/6p1/2p1k3/4p2P/1P6/P4PP1/2R2K2 w - -,f1e2
r3rbk1/2q2p2/p1bpn1p1/Pp2p2p/1P2P2P/1BP2NP1/3B1P1K/R2QR3 b - -,a8d8
r2q1rk1/p1p1bppp/1pn1p3/5b2/2BP4/1QP1PN2/P4PPP/R1B2RK1 w - -,c4b5
r2b1rk1/2pq1ppp/bp1p4/pNnP4/P1Q3N1/1P3P2/2PB2PP/3R1RK1 b - -,f7f5
6k1/4p2p/2p2qp1/2Pp4/4p3/1N2PnQ1/5PK1/5N2 w - -,f1h2
5k2/rp2n3/3q2pb/P1pP3p/4P3/2B3Pb/3PQK1P/RR6 b - -,f8g8
3r1rk1/1pb1q1pp/p4n2/4pp2/1PP5/P7/2N1QPPP/3RRNK1 b - -,e5e4
r1bq1rk1/pp2ppbp/2n2np1/3p4/3P4/1P3N2/PBPNBPPP/R1Q1K2R b KQ -,c8f5
2k4r/1p1r1pp1/p2qpn1p/4b2P/1NP5/1R2BQP1/PP3P2/K6R w - -,c4c5
2r5/R3R3/1pPp1qpk/1P4nn/2P1BpQ1/5P1P/7P/7K b - -,c8h8
r7/1p4kp/p1bq1bp1/2Bpp2r/1P6/P2Q2P1/B5PP/3R1RK1 b - -,e5e4
2rr2k1/1bq2pbp/pp3np1/2np4/2PN4/1PN2P2/PB3QPP/1B1R1R1K w - -,b3b4
r1b2k1r/5pp1/4p2p/pp1pQ3/q4B1P/PP4PN/1P6/1K3B1R b - -,a4b3
3r4/2q1b1k1/2p1bnpp/pp2p3/4P3/1PPnNP2/P2B2PP/2QR1R1K w - -,c1b1
r1bq1rk1/1p2bppp/p1n2n2/2pPp3/P1B5/3P1N1P/1PP1NPP1/R1BQ1RK1 b - -,f6d5
5r2/3bk3/2n1p1r1/pp1pP1p1/2p2PP1/P1P1R2N/2PKB3/5R2 b - f3,g5f4
1rbqnrk1/p3ppbp/2pp2p1/8/2P5/1PN1PP2/P2BB1PP/R2Q1RK1 b - -,c8f5
1r2r2k/1p4p1/2nqBp2/p1b2P1p/2Pp2bQ/PP1P4/1BN4P/1R2R1K1 w - h6,h2h3
8/8/7p/2R3pk/4q3/6B1/5R1K/8 b - -,h5g4
8/8/8/8/N4pk1/1p5p/1P3K2/8 b - -,f4f3
r2qk1nr/1b1p1pbp/ppn1p1p1/2p5/4P3/2NPB1P1/PPPQ1PBP/2KR2NR w kq -,c1b1
1k1r3r/6b1/2Q2p2/2Bp3p/3N3P/3q4/5PP1/6K1 w - -,d4b5
8/q5kp/3b1np1/1p6/1Pb5/2P2P1P/1BQ3P1/4R1K1 w - -,c2f2
r4rk1/pppq1pbp/2n1b1p1/3np3/8/PP2P1P1/1BQPNPBP/RN1R2K1 b - -,f7f5
3r3k/p4qp1/4p1np/3n4/Q7/P5P1/3B1PBP/R5K1 w - -,a4d4
8/8/2k1P3/8/6p1/4K3/2P5/8 b - -,c6d6
4rrk1/2p2pp1/1p1p4/p2P1bq1/2P1B1P1/1P2R2P/P1Q5/4R1K1 b - -,e8e5
5k2/1p3p1p/2p1np1N/p6B/Pb2PP2/1P4P1/2Qq2KP/8 w - -,c2d2
8/7p/R7/4k1p1/2Pn2K1/1rN5/p7/8 b - -,b3c3
2r4k/2qbnrnp/p2b1pp1/PppPp3/2P1P1P1/1N1BBP1P/2Q1K3/R4NR1 b - -,f6f5
r1b2rk1/1pq2pBp/2p2np1/p1n1p3/P3P3/2NB1N2/1PPQ1PPP/R3R1K1 b - -,g8g7
4rqk1/1p5p/3p2p1/p3p2r/P1PQ3P/1PB1R1Pb/5P2/1R4K1 w - e6,d4d5
2r1r1k1/1p1bbpp1/pq1ppn1p/8/P2PP2B/1nN2N2/1P3PPP/1R1QRBK1 w - -,e4e5
r2q1rk1/1pp2ppp/p1bp1b2/3P4/P1BQ4/4BP2/1PP3PP/R4RK1 w - -,d4d2
r2r1k2/pp1b1p2/2p3p1/6Pp/3NR2P/4P3/Pn3P2/2R2BK1 w - -,e4f4
r1bq1rk1/1pp2pbp/3p1np1/1N6/2Q5/6P1/PP2PPBP/R1BR2K1 b - -,f6e8
1rb1k2r/5ppp/pn2p3/3pP3/p4P2/2NB4/1PP3PP/R4RK1 w k -,f1b1
8/p7/3Qp3/kp1pP3/3P3K/8/8/6r1 w - -,d6e6
8/6p1/5k1p/1Bb5/5P1P/p4KP1/P7/8 w - -,g3g4
2r5/r3kb2/4N3/1p6/1Pp5/2P1R3/1K6/5R2 w - -,e6g5
4kb2/1bq2ppr/p3p3/3pPP1P/1r1B4/2NR4/1PP1Q3/2KR4 b - -,c7d7
r3k2N/6bp/p1P3p1/4pp2/2pB1Pn1/2P5/5P1P/R4KR1 w q e6,f4e5
rn3rk1/1pq2ppp/p4bn1/2pPp3/N1P1P1QP/4B1PB/5P1K/R4R2 w - -,e3c5
r1bq1rk1/pp2ppbp/2n2np1/8/3p4/1B1P1N1P/PPP1NPP1/R1BQR1K1 b - -,f6d7
r1bqkb1r/pppn1pp1/4pB1p/8/2pPP3/2N2N2/PP3PPP/R2QKB1R b KQkq -,d7f6
rnbqk2r/pp4pp/2p4n/3ppp2/2P5/NP3NP1/P2PPPBP/R2Q1RK1 w kq -,c4d5
r3kb1r/1bqn1ppp/p2ppn2/1p4B1/3NPP2/2NB1Q2/PPP3PP/2KRR3 b kq -,b5b4:c7b6:f8e7
r2q1rk1/2p2pp1/p2p2np/1p2p1b1/3PP3/2P1N1Pb/PPB2P1P/R1BQR1K1 w - -,d1h5
