6k1/R7/p7/2p1KP2/2P1P2r/8/8/8 b - -,h4h6
6k1/2bqn1p1/3p4/2pPp2p/r1N1Q2P/PR4P1/3B1P1K/8 b - -,d7f5
5bk1/8/8/3K4/P2N1R1P/8/1r6/8 b - a3,f8h6
2r2qk1/1p1b1rb1/p2p1Bpp/3N4/2P2RP1/1N5P/PP1Q4/4R1K1 b - -,g7f6
rnbq1rk1/ppp1p1bp/3p1np1/5pN1/2PP4/1QN3P1/PP2PPBP/R1B2RK1 b - -,c7c6
8/6p1/4p1b1/p2kP1Np/1p1p1P1P/1PbN2P1/P3K3/8 b - -,g6e8
r4rk1/1p1q2p1/p2Pp2p/2Pp1p2/1P1NnP2/P2Q2P1/2R3KP/2R5 w - -,c5c6
r3r1k1/1pRbqpbp/p5p1/3p3n/8/1P1BP2P/PB2NPP1/Q2R2K1 b - -,e7d8
4k3/2R5/pp2K3/8/4r2P/8/6P1/8 w - -,e6d6
4r1n1/1ppn3k/p2p2pp/3q4/P2P4/2P3NP/1PQ3P1/2B2RK1 b - -,d5e6
r2qkbnr/pp1n1ppp/2p1p1b1/8/2B5/5NN1/PPPPQPPP/R1B1K2R w KQkq -,d2d3
2rr4/1p2k2p/p2p1n2/4pqp1/2P5/2N5/PPRQ1PPP/5RK1 w - -,c2c1
8/8/8/1r3kpp/8/1P1R3P/1R3KP1/r7 w - -,d3c3
1r4k1/3q1rn1/2p1p1B1/pp1nP3/5pP1/PP3Q2/1BR2P2/4R1K1 b - -,f7e7
8/8/2pqpkr1/7Q/6p1/2P5/P4PPP/4R1K1 w - -,h2h4
1R6/1p3rkp/2p3p1/p1P5/P3r3/5RP1/6KP/8 w - -,f3f7
8/3n4/4N2p/2k1p3/ppp1PP2/4K1P1/PP4P1/8 b - -,c5d6
3r1k2/bp3pp1/p1n4P/5q2/3pRB1P/1PP2K2/3Q4/3R4 b - -,a7b8
1r1b1r1k/1ppb2pp/p2p1n2/3Ppp1q/8/1QNPP1P1/PP1B1PBP/R4RK1 w - -,f1e1
r2r2k1/1p1n1ppp/1np5/p3N3/P2P2b1/1P2P3/3BBPPP/2R1RK2 b - -,d7e5
3r2k1/1p2bppp/1Q2b3/p3p3/q7/PN3P2/1PP3PP/1K2R3 w - -,b6b7
6k1/5pp1/7p/2P5/2R1PP1P/r2p2P1/3K4/8 w - -,c5c6
6k1/pp2rpb1/6p1/2p2q2/1PPp4/P2N1PPP/2Q3K1/R7 b - -,e7e3
rr1b2k1/7p/3p2p1/nB1P1p2/1P2p3/B1P5/5PPP/R4RK1 w - -,b4a5
3r1rk1/p2R1ppp/2p1pb2/1pq5/5Q2/1BP4P/PP3PP1/3R2K1 b - -,d8d7
2kr1b1r/ppp3p1/2n4p/3qp3/5p2/P2PB2P/1PPNQPP1/R4RK1 w - -,e2g4
2r3k1/1pr2pbp/p3p1p1/3pP3/P1n2B2/2PB2P1/1P2RP1P/R5K1 b - -,g7f8
r1b2rk1/1q4pp/pp1bp3/3n1p2/P1BN4/1P2PP1P/3B2P1/RQ3RK1 b - a3,f5f4
1b3rk1/5ppp/1p6/p3qP2/3pB1P1/5Q1P/PP3P2/2R2K2 w - -,e4d3
q5k1/2p2pn1/5Qp1/1P2P3/1BPp2P1/6P1/6PK/8 b - -,g7e6
r7/2q2pkp/2b3p1/p1p1p3/2BrPb1Q/1P5P/P4PP1/R3RNK1 w - -,f2f3
1r6/r1q3kp/3p2p1/p2Bpb2/2P5/4P3/RP1Q2PP/R5K1 w - -,b2b4
2k1r3/pp1r1ppp/2pB4/6nq/P1P1p1n1/2N3PB/1Q1PPP1P/1R3KR1 b - -,h5h3
r1r2bk1/5p1n/p2pb1p1/4p3/2q1P2B/2N5/1PP1B1PP/R2Q1R1K b - -,c4b4
8/p3n3/1p3k2/2pp1pp1/2PP2P1/1P2KN1P/P7/8 w - -,g4f5
r2q1rk1/ppp4p/3p1b2/3P4/2P3b1/2N1RN2/PP2QPP1/2R3K1 w - -,c3e4
4r3/1P6/N4r2/KP3k2/8/8/8/8 b - -,f5e4
b1n3k1/p1q1rpp1/2P1pn1p/1P1pN3/3Q1P2/3BP2P/6P1/R2R2K1 b - -,f6e8
3r1r1k/pp3pbp/n5p1/3Nn2q/3BN3/1P4P1/P3PP1P/2RQR1K1 w - -,e4c3
rnbq1rk1/pp2nppp/4p3/1NppP3/3P4/8/PPPQ1PPP/R3KBNR w KQ -,d4c5:c2c3:f2f4:g1f3
3R4/7k/5p2/5p2/r7/4P1K1/5P2/8 b - -,h7g6
8/8/4pR1p/3k4/8/P7/1r5P/6K1 b - -,b2a2
Q2R4/6pk/4pr1p/3p4/8/2q2P2/P3K2P/8 w - -,d8h8
r2qk2r/1b2bppp/p1n1pn2/8/Pp1P4/1B3NN1/1P3PPP/R1BQ1RK1 w kq -,d1d3
8/7p/1R1bk3/1B1p2p1/1P1Pp3/4PbP1/2rN3P/2n1BK2 b - -,f3g4
2r5/1k1R1npp/p3p3/P1b1Pp2/5P2/1p1P1KP1/1P1B1N1P/8 b - -,c8c7
r5k1/pp1b1r1p/2n1p1p1/q2p1n2/2pP1B2/P1P4N/2PQBPPP/R4RK1 b - -,a5d8
r1b3k1/1p1rbppp/8/1BP4q/1P1p1n2/5N1P/5BP1/1R1QR1K1 b - -,h5g6
r2qr1k1/pp2bpp1/5np1/3p4/8/P1N1BQ1P/1P3PP1/R2R2K1 w - -,c3d5
3r1rk1/pp2qpp1/1np2np1/8/4P3/PQ2NPP1/1P2BK1P/2RR4 w - -,d1d8
8/7p/5pp1/1pp5/3p1B1k/1nPP3P/pP2QPP1/6K1 b - -,f6f5
r1r2nk1/4b1pp/1pp1b3/3pP3/1p1P4/P2BBPP1/7K/1R3RN1 w - -,a3b4
5rk1/1p3ppp/p2q4/3pN3/5Q2/r7/5PPP/1B1R2K1 b - -,f7f6
r2qrbk1/1bn4p/1n2p1p1/p2pP3/1p1P1N2/P3B1P1/1PQ1NPB1/R3K2R b KQ -,d8d7
4rn2/8/3p3p/pPpP1kpB/2P2p2/P6P/6P1/6K1 w - -,h5e8
2b2rk1/5pbp/p2Rqnp1/P1p5/4P3/N1N1BP2/3Q2PP/6K1 b - -,e6b3
Q2r4/4k3/p2p1pq1/1p2p3/2n1P1bB/8/PPP1N1P1/2KR3R w - -,a8a7
5n2/6k1/p1R3p1/r4p1p/1r1p1P1P/1p1P1K2/4RB2/8 w - -,e2e7
5r1k/ppn2p2/2b3q1/6p1/1P3RQ1/1B6/1PP3P1/3R3K w - -,f4f5
rnbqkbnr/p3pppp/1pp5/4P3/1P3N2/3p4/PBPP1PPP/RN1QKB1R b KQkq -,d3c2
8/2n1k3/3q2p1/2p4p/2B1P3/1P4P1/6KP/Q7 b - -,d6f6
4R1BQ/4n1k1/3p4/p5p1/5pP1/4r3/P4K2/8 b - -,g7h8
r1q1k2r/pp2bppp/2n1pn2/3pN2b/3P1B2/1QPB1N2/PP3PPP/R3K2R b KQkq -,e8g8
8/B4k2/1p4p1/1Pb2bRp/P2p4/8/5K2/8 b - -,d4d3
5nk1/p4qp1/1p2bpNp/4p2P/1PB1P3/P5P1/5PK1/2Q5 w - -,c4e6
r1bq1rk1/pp3ppp/2n2n2/2bp4/8/2P2N2/PP1NBPPP/R1BQ1RK1 b - -,c5b6:f8e8
4k3/5p1p/1b2pPpP/pn1pP3/3P2P1/1P1K4/8/2B1N3 w - -,e1f3
8/4B3/3Kp2p/pp2Pp1k/2p2P2/P1P2r2/2b5/6R1 w - -,d6e6
2rq1rk1/pp2ppb1/2p1bnpp/3p4/2PP4/3BPNBP/PP2QPP1/R1R3K1 b - -,f6e4
8/p2rk1pp/1n6/2K1PP2/4R1PP/1P6/2n5/8 b - -,d7d5
8/5p2/p6p/1p2NP2/k3K3/b1B5/b6P/8 w - -,h2h4
rnb1kb1r/1pq1pp1p/p2p1np1/8/P2NPP2/2NB4/1PP3PP/R1BQK2R b KQkq -,f8g7
rnbqr1k1/1p2bppp/8/pP1p4/3Pn3/P1N3N1/3BBPPP/R2Q1RK1 b - -,e7f6
n1bq1rk1/1p2b2p/p3p3/3pBp2/3PB1p1/1Q2PN1P/PP3PP1/2R2RK1 b - -,f5e4
1n1r1rk1/B4pp1/p3p3/4N3/1b3PP1/5K2/PP6/2R2R2 b - -,b4d6
r2qk2r/ppp2ppp/3p4/2nPn3/8/2P2b2/P1B2PPP/R1B1QRK1 w kq -,g2f3
4Q3/1P4kp/4p3/3p4/3n1bPp/P6P/4b3/4K3 b - -,f4g3
r1b2r2/2p2pkp/2pp2p1/2q1n3/2P1P3/1P4P1/2Q1NPBP/1R3RK1 w - -,h2h3
5k2/3Q1b2/2P5/3p4/3Pp3/4P3/2q1BK2/8 w - -,c6c7
8/6p1/2b1k3/P2p2p1/3P1pP1/5P2/N4K1P/8 w - -,a2b4
1r3bkr/2q2p2/3pn1np/p2ppNp1/2Q1P3/2B1NPP1/PP5P/3RR1K1 w - -,e3d5
r2q1rk1/ppp1ppbp/5np1/3pPb2/2P5/2N3P1/PP2PPBP/R1BQ1RK1 b - -,f6g4
rnbq1rk1/pp1pppbp/2p2np1/8/2P5/5NP1/PP1PPPBP/RNBQ1RK1 w - -,d2d4:b1c3:b2b3:d2d3
r1bq1rk1/1p3pbp/p1np2p1/3N1p2/P1B1P3/8/1PPN1PPP/R2Q1RK1 w - -,c2c3
r3r1k1/p1pqbppp/1p6/n2Pp3/4N3/P7/1PPPQPPP/R1B2RK1 w - -,b2b4
