6R1/8/8/5r2/8/5kp1/3K4/8 b - -,f3f2
R7/1p2rp2/2p2k2/2P1p1p1/P3P3/1nP2PPB/5K2/8 b - -,b3c5
r1bqk2r/pp2ppbp/2np1np1/2p5/2PP4/2N1P1P1/PP2NPBP/R1BQK2R b KQkq d3,c5d4:c8d7
2r2rk1/p3qp1p/3b1np1/1B1p4/2p5/1PN1P2Q/P2P1PPP/2R2RK1 w - -,b3c4
r4rk1/pp1n1ppp/4pq2/8/4B1b1/b1P2N2/PP1BQPPP/2KR3R b - -,a3e7
r4rk1/4bp1p/pqb1pnp1/3p4/4PP2/2BB2Q1/1PP2NPP/4RR1K w - -,c3e5
5r1k/1p1n3p/p7/2P1p1p1/PPNp2P1/3P2P1/4Q3/5qK1 w - -,e2f1
r1bqrnk1/1p3pp1/2pb4/p2p4/3Pn2p/P2BP3/1PQBNPPP/R3RNK1 w - -,e2c3
r1b1qn2/pp3rbk/2pRnppp/2P1p3/1PB1P2B/1QN2N2/P4PPP/3R2K1 w - -,c3e2
6k1/pp4p1/r4p2/2N5/8/2P1PbP1/Pb2KPP1/3R4 w - -,e2f3
8/4pk1p/4npp1/8/6P1/Bq3P2/3QPK1P/8 w - -,d2b4
6k1/6bp/3Q1pp1/1q1p4/1prP4/r3P3/P1RR1PPP/4N1K1 w - -,d6e6
4R3/8/4B3/3n4/1pbkp3/6K1/8/8 b - -,b4b3
r4rk1/2pbnpbp/pp1q2p1/2pPp3/2P1P3/P1N1QNP1/1P3P1P/R2R1BK1 b - -,a6a5
2r5/6bk/p3p1b1/1p1pP1p1/3P4/2Nq2P1/PP2QR2/6BK w - -,e2g4
2k1r3/pp1r1pp1/2p2n2/1B1b3p/3P4/4P3/PB1P2PP/R3K1R1 w Q -,b5e2
rnbqk1nr/ppp1p1bp/3p2p1/8/3PN3/3B1N2/PPP2PPP/R1BQK2R b KQkq -,e7e6
r7/1n3k2/3p1p2/p1pPp2P/2N1P2K/1P6/2P5/R7 w - -,a1g1
3r2k1/pp3pbp/6p1/3N4/2P2QPq/1P6/P6P/1K5R b - -,d8e8
6k1/5bpp/3N1p2/pP6/Pb6/6P1/4rP1n/2RR1K2 w - -,f1e2
r5k1/5ppp/p1pq3r/3pn3/N5Q1/1P2P2P/P4PP1/2R2RK1 w - -,g4e2
6k1/2R2p2/6pp/1p6/4P3/r4KP1/5P1P/8 w - -,f3f4
rn2kb1r/pp3ppp/1qp1pnb1/8/3P1B2/1BN2PN1/PPP3PP/R2Q1RK1 b kq -,f8e7
6k1/2p1q1b1/2Pp1n1n/3Pp2p/4PppB/2N2P2/2N1Q1PP/6K1 b - -,g7f8
r1bqr1k1/1p2bppp/2pp1n2/p3n3/P3P3/1NN1BP2/1PP1B1PP/R2QK2R w KQ -,e1g1
r4rk1/5pp1/p3pb1p/1p6/1PP1b3/P4PP1/7P/2K1Q2R w - -,e1e4
1r1q1rk1/p2n1pb1/1p1ppnp1/1P5p/P2P4/1Q1P2P1/3N1PBP/R1B2RK1 b - -,f6g4
6k1/p4pp1/q7/R2n3p/1P6/1Q3PbP/K5P1/8 b - -,a6e2
r1bq1rk1/ppp1bpp1/2np1n1p/P3p3/2B1P3/3P1N2/1PP2PPP/RNBQR1K1 b - -,a7a6:f8e8
3r3r/1ppb2kp/p1n2pp1/4p3/4P2N/2P5/PP3PPP/2KR1B1R w - -,f1c4
6r1/Np1k1p1p/1q1n4/2RPpp2/7P/1R2QP2/2P3r1/7K b - -,g2g1
2r2rk1/1p1b1pbp/p2ppnp1/q7/P1PNP3/1PN1BP2/3Q2PP/R2R2K1 b - -,f8d8
8/2kr4/1p1r3P/8/5QK1/8/P7/8 b - -,d7h7
rn2kbnr/pp3ppp/2p1p3/3P4/3q4/2NB1Q1P/PPP2PP1/R1B1K2R b KQkq -,c6d5
r2r2k1/pp3ppp/2p2qn1/5b2/1PPpR3/3B1N2/P2Q1PPP/3R2K1 w - -,e4d4
r4rk1/1p1qbp2/2p1bnp1/3pBp1p/p2P3P/2QNPPN1/PPP3P1/2KR3R w - h6,d3f4
r4rk1/1b2b1pp/p4p2/np1PpN2/2q5/7P/PPB2PP1/R1BQR1K1 b - -,e7b4
r3r1k1/2q2pbp/p1n2n2/1pp1pPp1/8/1PP2PP1/PB1NQ1BP/R4RK1 b - -,h7h6
q1r1r1k1/1b1nppbp/p2p1np1/1p6/4P3/2PBBN1P/PPQN1PP1/2R1R1K1 w - -,e3d4
3k4/1prPrp2/5np1/p1p4p/2P5/1P1R2PB/P2R3P/5K2 b - -,f6e4
8/2kn4/1p6/p3p3/2PqBp2/1P3P2/P5P1/1K2Q3 b - -,d7c5
1r1r2k1/pp3pbp/6p1/Q2bp3/1P1qN3/3P2P1/2R1PPBP/5RK1 b - -,d5c6
6rk/1b5p/ppn5/2p1pp2/3p1b1q/1P1P1P1P/PBN1QR2/6RK w - -,g1g8
2n1rr1k/1ppq3p/p1p1bpp1/2b1p3/P3P2N/3PN1Q1/1PPB1PPP/3R1R1K b - -,d7g7
2r3k1/2P2p1p/p5p1/3qb3/1p2R3/5P1P/PP3BP1/2Q3K1 w - -,c1c5
r2q1rk1/5pp1/p1np4/1p1Npbb1/P3P2p/2P4P/BP3PP1/R2Q1RK1 w - -,e4f5
8/8/p4Q2/1k2P3/5P2/1qp5/R4NP1/1K6 w - -,b1a1
4r1k1/3n1pb1/1np1r1pp/p1p5/P1P1PPP1/1P1R2NP/5BB1/3R2K1 w - -,d3d7
r1bq1rk1/1pp2pbp/2n3p1/p2np3/N7/P2PBNP1/1P2PPBP/R2Q1RK1 w - -,e3g5
2r3k1/pp5p/1b3np1/3pn3/7P/4P1q1/PP1Q2B1/R4RNK w - -,d2f2
8/5n1p/2pnbkp1/1p2pp2/1P2P3/2N4P/1KPNBPP1/8 b - -,f5f4
r1b2rk1/pp2b1pp/1qn1p2n/3pPp2/3P1P2/1P4PB/P3N2P/RNBQ1R1K b - -,c8d7
r2qkb1r/1b1n1p2/p2ppnpp/1p4P1/3NP2P/2N1BP2/PPPQ4/R3KBR1 b Qkq -,h6g5
1q1r1bk1/3n2pp/1p2p1n1/p7/N2BQ3/PP2PN1P/5PP1/2R2K2 b - -,d8e8
r4rk1/p3Qppp/2p5/8/4P3/6R1/PP2B1P1/4q1KR w - -,g1h2
5bk1/1q3ppp/1p1r1n2/nP1p4/3PpN2/2Q1P1BP/5PP1/1R3NK1 w - -,b1c1
r7/rb1nbpkp/Nq2p1p1/R2pP3/5P2/1N1B3P/1PP1Q1PK/R7 b - -,b7c8
4qb2/3b1k1p/1p2p1pP/p2pP1Q1/3NpP2/BP2P3/P5P1/6K1 w - -,g5f6
2kr3r/pp1qb3/2n3pp/2p1p3/2PpPpnP/3P1N2/PP1BQPP1/2KR1N1R b - -,g6g5
rnb2rk1/pp1pppbp/6p1/q1P5/4n3/P3PN2/1PPNBPPP/R1BQ1RK1 b - -,e4c5
1r4k1/3q1pp1/2b2n1p/1p2p3/n1P1P3/1R2Q1PP/3N3K/1R3B2 b - c3,b8c8
3nqr1k/1b2pp1p/ppn3pb/4P3/QP6/2N2NBP/P1R2PP1/5BK1 b - -,b6b5
rnbqkb1r/pp2pp1p/5np1/8/2pP4/2N2N2/PP3PPP/R1BQKB1R w KQkq -,f1c4
r7/p5n1/3p1r1k/1PpPp3/P1N1P3/3B1Pp1/7P/6RK w - -,g1g3
8/p2nppbk/2p3pp/q1Pp4/3P1PP1/4P2P/PQ6/3N1BK1 w - -,b2c2
1r4k1/4b1p1/1q1pbpp1/p1r5/4Pp1P/RP6/2P4R/1KB1QB2 w - -,c1f4
8/Q4pkp/8/4q3/6P1/7K/P6P/8 b - -,e5c3
8/2Qn1k2/4bp2/6pp/8/5P2/5KPP/8 w - -,g2g3
8/1N6/8/2k1p3/P3Pp2/4nK2/8/8 b - -,c5c6
1r4k1/R4pp1/3R3p/2p5/1P3Pr1/8/5K2/2B5 b - -,c5b4
5r2/qp4k1/3N2p1/2nPP2p/r5bP/2p1N1P1/2Q3K1/1R3R2 w - -,c2c3
1rbq1rk1/1pnnppbp/p2p2p1/P1pP4/4P3/2N2NP1/1PP2PBP/R1BQR1K1 w - -,c1f4
r4rk1/p1B2pp1/1p1R2p1/5bN1/1n4P1/8/PP3P1P/4R1K1 b - -,f5g4
8/3k2B1/p6P/1p1P3R/1b2K1Pr/8/8/8 b - -,h4g4
b4bk1/r7/2p1p1p1/3qPpPp/2pP1P1P/rnP1BQK1/2R4R/2N1N3 w - -,f3d5
r2q1rk1/ppp1nppp/2nbp3/3p4/3P2b1/4PNB1/PPPNBPPP/R2QK2R w KQ -,c2c4
3rnrk1/p1pn1ppp/2Bpp3/4P1q1/1pPP1P2/6P1/PPQ4P/RN3RK1 b - f3,g5e7
1q6/5p1k/b1r3n1/p4NPp/3R3P/8/P2Q4/4R1K1 w - -,d2d1
r4r2/p3q2k/b1P1p2b/1NPpPp1p/P5p1/2PN4/4QPPP/R4RK1 b - -,f8c8
8/4k3/1R1p3p/3Pp1pb/2r5/2P4R/P2K4/8 b - -,c4h4
r2r3k/p1qn1p1p/2ppn1p1/Pp6/4P3/1PN2P1P/2P1NQP1/R2R2K1 w - -,f3f4
