8/6p1/3k2p1/3p1p2/B2K1P2/5nP1/7P/8 w - -,d4e3
r6r/1p2k1p1/1pnp2p1/p2Bp3/P3Ppn1/1PPP3P/5PP1/R1B1K2R w KQ -,c1a3
5r2/2qn1pbk/p2p2pp/1rp1pP1n/2N1P3/R2PB1PP/PP2Q1BK/4R3 b - -,f8a8
3r2k1/6p1/p2P3p/1p2Nq2/3Qp3/P7/6PK/8 w - -,d4d5
r2bk2r/1p4pp/p1p1p3/5p2/R1B1p3/4P3/1P1B1PPP/4K2R w Kk -,c4e6
5rk1/1p1b2pB/2p1p3/1P2q3/8/1Q2B1Pn/5PKP/R7 b - -,g8h7
2b1rbkn/1p1n1pp1/r1pp4/p3PPp1/P2N4/2N1R1BP/B1P3P1/3R3K w - -,e5e6
r4rk1/4bppp/1n2q3/p1ppP1B1/8/3Q1N2/PP3PPP/R4RK1 w - c6,a1c1
r1b1r1k1/pp3pp1/2Q4p/8/1P5P/P7/4PPP1/3RKB1R b K -,b7c6
1rq2rk1/4n1bp/p2p2p1/1p1Ppp2/1Pp1P1b1/P2P2P1/1B1Q1PBP/R1R1N1K1 b - -,f5e4
6k1/1p6/4Ppp1/5P1p/6P1/bP6/3N3P/7K w - h6,h2h3
r3k2r/pppn1ppp/4pn2/3q4/1bPP2b1/5N2/PP1BBPPP/RN1QK2R b KQkq -,b4d2
r2q1rk1/1bpn1ppp/2np4/p2Np3/1PP1P1P1/P2BPN1P/R6R/3Q2K1 b - -,c6e7
2r3k1/5p1p/3b2p1/pB1P4/2P1r3/P1R1p3/6PP/4R2K b - -,d6c5
1r2r3/1pp4k/n2p2pp/3Pqp2/1P5P/2Q1P1P1/2R2PB1/2R3K1 w - -,g2f1
rnbqkbnr/pp2pppp/3p4/8/3pP3/2P5/PP3PPP/RNBQKBNR w KQkq -,g1f3:c3d4
r1b1k3/1p1q2b1/p1p3p1/Q2pP3/3P1P1r/P4N2/1PP1B3/2KR3R b q -,h4f4
8/1Bk5/P7/1KB4p/4p1p1/8/5P1P/1r6 w - -,c5b4
3r3n/3rR1pk/2p4p/pN1P3P/2P5/3K2P1/P7/4R3 w - -,b5c3
1rbqk2r/p2nb1pp/2n1p3/1pppP3/3P4/2PB1N2/PP4PP/R1BQK1NR w KQk -,g1e2
r3r1k1/pq1bppBp/3p2p1/3P4/1p1N4/1P3P2/PP1Q2PP/1K1RR3 b - -,g8g7
r4br1/pp1bqk2/2n1pp1p/2P5/2B2NP1/P3QP1P/1PP5/2KR2NR b - -,c6e5
1r1q1r2/p4pkp/1p2b1p1/1R1p4/3P4/P1P2Q2/3N1PPP/1R4K1 b - -,b8c8
8/R7/8/8/2k5/p3K3/7r/8 w - -,a7c7
r3kb1r/1pp1pppp/p1nq1nb1/8/2B5/2NP2N1/PPPB1PPP/R2Q1RK1 b kq -,e8c8
2rqr1k1/pb1n1p2/1p4pp/3pnB2/3B4/1P2P3/P3NPPP/1QR2RK1 w - -,f5h3
3r1rk1/1pQn1p1p/5qp1/5N2/1p2P3/7P/PPP5/1K1R2R1 b - -,f6b6
r3kb1r/1p3pp1/npp1p1p1/3p2Pn/2PP3P/2N1P3/PP3P2/R1B1KB1R w KQkq -,c1d2
r6r/2kn1ppp/2p1p3/2B1P3/1P3P2/7P/6P1/2RR2K1 b - -,d7c5
r2qkb1r/pb3ppp/1pn1p1n1/2p1P3/3pB3/2P2NP1/PP1P1P1P/RNBQR1K1 w kq -,d2d3
r1bqrbk1/1p3p1p/1n1p2p1/pPpPp1P1/2B1Pn1P/P3NN2/K1PBQP2/1R4R1 w - -,e2e1
r4rk1/p1q2ppp/3b1n2/2pB4/Pp6/3P2P1/1P1N1P1P/R1BQR1K1 b - -,f6d5
r1b1k2r/2qnbppp/pp1ppn2/8/2P5/1PN2NP1/PB2PPBP/2RQ1RK1 b kq -,c8b7
1r1r1bk1/1q2np1p/ppn3p1/2pRp1BP/P3P3/N1P2BP1/1P2QP2/R5K1 b - -,h7h6
8/pbp1k2p/4p3/2p1PP2/6P1/1PB1K2p/P6P/8 w - -,c3b2
r1bq1rk1/pp2n1bp/2np2p1/2p1pp2/1P2P3/P1PP1NP1/4QPBP/RNB2RK1 w - f6,e2a2
r1br4/pp2kp1p/2np1n2/4p3/4pN2/B7/PPP1BPPP/2KR3R w - -,f4h5
4rrk1/pp1b2pp/1qnbp3/3p4/3P2nB/P1NB1N2/1P3PPP/R2QR1K1 b - -,g4h6
4k2r/p1rb1ppp/1n2p3/8/3P1B2/5B2/Pb3PPP/R4RK1 w k -,f4c7
r2q1rk1/3b2bp/p2p2p1/1p1Ppp2/4P3/4BP2/PPBQ2PP/R4RK1 b - -,d8b8
r1bq1rk1/pppnppb1/3p3p/6pn/2PP4/2N1PNB1/PPQ2PPP/R3KB1R w KQ -,f1e2
r2r2k1/pq3ppp/3np3/1p2P3/2p3Q1/PP2P1P1/1B3P1P/3R2K1 w - -,e5d6
8/8/2kpp1R1/7P/1p3P2/2b1r1PK/8/8 w - -,g6g8
3r2k1/1p4b1/1B5p/3pn1p1/r3p1b1/P3P1PN/5PBP/1R1R2K1 b - -,d8d7
r3kb1r/ppqn1pp1/2pp2p1/4p3/2PP2P1/2P1P2P/P3BP2/1RBQK2R w Kkq -,d1b3:e3e4
8/4Bk2/3P3n/4pPpp/2P5/8/5P1K/8 w - -,e7g5
8/2p1Rpkp/2Nn1qp1/5p2/8/bB3QP1/2P2PKP/2r5 w - -,e7c7
1R6/1p1rkp2/p1p3p1/2Pb3p/P4P2/3BK1P1/1P5P/8 w - -,b2b4
2r3k1/p2B1p2/6pp/3P4/8/6P1/P4P1P/2Q3K1 b - -,c8c1
2rr2k1/pB2qpb1/4p1pp/1pp1P3/2nP4/5N2/PPR1QPPP/1N2R1K1 b - -,e7b7
1rb1k2r/4bppp/pp1qp3/3nN1B1/P1PP3Q/8/5PPP/RB2R1K1 b k -,h7h6
2r2r2/pp1n1pk1/4bnpp/8/1P1NPP2/P2P1R1P/4N1B1/5R1K b - -,d7b6
r3kb1r/5p1p/pqbppp2/8/1p2PP2/8/PPPQN1PP/1K1R1B1R w kq -,f4f5
1k1r1r2/pp6/2p1R3/3P2pp/2P2b2/P4P1P/1P4P1/4R1K1 w - -,e1d1
r1bqk2r/1p2ppbp/p1n2np1/3pN3/3P1B2/2N5/PPPQ1PPP/R3KB1R w KQkq -,e5c6
8/7k/4N3/5KPP/8/b7/8/8 b - -,a3b2
r1bqkb1r/pp1n1p1p/3p1np1/2pPp3/2P1P3/2N3P1/PP3PBP/R1BQK1NR b KQkq -,f8g7:a7a6
4rrk1/pp4n1/2p1Pb1p/1nPp2pq/NP6/3Q3B/P2B3P/3RR2K w - -,e1g1
2kr3r/pbqnbpp1/2n1p2p/1pppP3/5B1P/2PP1NP1/PP3PB1/R2QRNK1 b - -,d8g8
8/pp1r2p1/1bp1kpp1/4N3/8/1P3RP1/4KP1P/8 w - -,e5d7
4kn2/4rp2/3K4/4P1P1/p4R2/8/B7/8 b - -,e7d7
2kb4/1b1q1ppp/p2p4/4p1P1/pP1NPP1P/P2P3Q/1K3B2/8 w - -,h3d7
1q3rk1/3n1ppp/1pRbp3/1P1p4/3P4/1P3NP1/2Q1PPBP/6K1 b - -,f8d8
2R5/8/8/5pk1/7p/5Kr1/8/8 w - -,f3f2
r4rk1/1bq1bppp/1nn1p3/2p1P3/1pPpNP2/1P1P2PB/4Q2P/1RB1NRK1 b - -,a8a7
8/1p1rr2k/p1p4p/P1Pp1p2/3P1P1P/4PK2/1R6/6R1 b - -,e7g7
6k1/6p1/5n1p/8/P1R5/4PBP1/r6P/6K1 b - -,g8f8
8/3N1k1p/3p3Q/p1pPq1p1/P3P3/6n1/1P4PK/8 b - -,g3f1
3r4/pp5p/2pk1pp1/4p3/1P2P3/P1KB4/2P4P/5N2 b - -,b7b5
r3q3/1b3rk1/p2pp2p/1p4p1/2PRP1Q1/6PP/PP6/1B4RK b - -,e8e7
r5r1/2PQ4/4pk2/p7/1p3K1p/1P2P3/P5P1/8 b - -,g8h8
2q5/pp5p/1b4pk/8/1P2b3/4pNPP/P3Q2K/5R2 b - -,c8c3
1R6/1P3p1p/2k3p1/8/8/5P2/1r4PP/5K2 w - -,b8h8
b7/8/pn1ppkp1/1p6/1P2PP2/PN1PKN2/8/8 w - -,b3c1
b3r1k1/6pp/3bq3/1Q1p2P1/1P2p3/4B3/P4RPP/5R1K w - -,b5b6
8/5rk1/8/4R1KP/6P1/8/8/8 b - -,g7h7
3rr3/1p3k2/2p2p1n/5q2/p2Pn1p1/6QN/PP1N2P1/2R1R1K1 w - -,d2e4
r1b2r1k/1pq3bp/n1pp2p1/p6n/3P1p2/PQN2NP1/1P1BPPBP/2RR2K1 b - -,c7e7
r3r1k1/1p1q2p1/n1p2p1p/p1b2p2/2P5/PP1P1QP1/1B3P1P/R3RNK1 w - -,f1e3
2r2rk1/4bppp/p3p1b1/1p1BN3/1q1P2P1/1Q4BP/PP3P2/2RR2K1 b - -,e6d5
2r2r1k/pq2p2p/4b3/2B1P1p1/1P2p3/4Q1PP/P7/R2R2K1 b - -,f8f3
3R4/4p2p/4k1p1/5p2/5P1P/6P1/1r6/5K2 b - -,b2b7:e6f6
6k1/4p3/6B1/p7/1bbB2p1/8/4rP2/3R2K1 w - -,d4a1
r4rk1/p1qb1ppp/1pn1p3/2PpPn2/P5Q1/B1PB1N2/2P2PPP/R4RK1 b - -,c6e5
8/4q1kp/2bn1p2/1p2pP2/1Pp1P2P/2P1QB2/5N2/4K3 w - -,e1f1
r2q1rk1/pb2bppp/1pp1pN2/4n3/2PP4/3B4/PPQ2PPP/R1B2RK1 b - -,e7f6
1r1r2k1/B3pp2/3p2p1/6Pp/2p2P1P/PPq3N1/1QN5/1K5R w - -,b2c3
