8/1r5p/2p3k1/4Pp2/1PP2K2/2B3PP/8/8 w - -,e5e6
6k1/6pp/r4n2/1rpp1p2/p7/P2N2P1/1P2PPKP/2RR4 b - -,a6c6
rn1qk2r/pbppn1pp/1p2p3/5p2/1bP1P3/3B1N2/PPQPNPPP/R1B1K2R b KQkq -,f5e4
1rbqr1k1/4ppbp/p1np2p1/2p5/2PnP3/1PNNBP2/P2Q2PP/2RR1B1K b - -,c8d7
r2q1rk1/pp1bppbp/3p1np1/3N4/2PBP3/8/PP2BPPP/R2Q1RK1 b - -,e7e5
4r2k/1B3Rpp/2b5/2B1bP2/4P3/8/P5PP/6K1 b - -,c6b7
r1b1k1nr/1pp1qpbp/p1np2p1/4p3/2BPP3/2P2N2/PP3PPP/RNBQ1RK1 w kq -,d4e5
rn1q1rk1/1bp1bpp1/p3pn1p/1p6/3P4/5NP1/PPQBPPBP/RN3RK1 w - -,f1c1
2r1k2r/1p2bppp/p2p1n2/2qPp3/8/3QN3/PPPB1PPP/R4RK1 w k -,d3b3
r7/p4pkp/4b1p1/8/1Pn1P2P/5P2/P3N1P1/1K1R3R b - -,a8b8
r2q1rk1/pp3pbp/2npbnp1/2p5/4P3/1NN5/PPP1BPPP/R1BQ1RK1 b - -,a7a6
8/1p3ppp/3k4/1B1bp3/P2b3B/3K1P1P/6P1/8 w - -,h4d8
1r4k1/5p1p/p5p1/bq1Q4/N7/8/1PP2KPP/R2Rr3 b - -,b5f1
2r3k1/pp1n1r1p/6p1/8/3b2P1/P6P/1PP2P2/2KRRB2 w - -,d1d4
5k2/5p2/4pNp1/p3P2p/Pp1r4/2n5/2R3PK/8 b - -,d4d3
8/8/5p2/2b3p1/pk1pPpP1/N2P1P2/KP6/8 w - -,a3c4
r7/2p5/6pp/P4p2/1KP5/4kP2/2R3PP/8 w - -,b4b5
3r2k1/1b1rqp2/p3p1pP/2p1P1N1/1bPp1Q2/4P3/P3BP1K/1R1R4 b - -,d4e3
r2q1r2/pp3pk1/3pbnp1/4p2p/4P2P/1PN2P2/1PPQN1P1/R3K2R w KQ -,e1c1
1r2r1k1/p3bppp/2p2n2/1q1p1b2/N2B4/P1R2PP1/1P2P1BP/3Q1RK1 b - -,b8c8
8/6kp/5pp1/7r/P1p5/2Q3P1/2R2PK1/3q4 w - -,c2c1
r1bq1rk1/1ppnbppp/4p3/8/p1PPQ3/P4NP1/1P3PBP/R1B2RK1 b - -,c7c5
r5k1/r1q2pp1/4p2p/3pP2b/PR6/6RP/1Q3PPN/6K1 w - -,h2g4
2rr4/1b1nkppp/pp2pn2/2b5/8/1P2PN2/PB1NBPPP/2RR2K1 w - -,d2c4
r2r2k1/pq3p1p/1p2p1p1/4P3/PbNp1PP1/1P1P4/5Q1P/2R2RK1 w - -,f4f5
rnbq1rk1/pp2ppb1/3p1npp/8/2PP3B/2N5/PP2BPPP/R2QK1NR w KQ -,h2h3
4r1r1/1p3k2/p2p2p1/Pb1P1p2/2p4P/2P2BR1/3R1BP1/2n3K1 b - -,c1d3
r2q1rk1/pp1b2pp/2nbp3/3p1p1Q/3P1P2/2NBP3/PP1B2PP/R4RK1 w - -,a1c1
2R5/5pk1/Pp3n1p/6p1/1r6/5BPP/5PK1/8 b - -,b4a4
8/5pkp/2N3p1/8/1p4P1/4PP2/n1K4P/8 w - -,c2b3
4b3/p3k3/1p5n/2p1p3/2P3pP/6K1/PP3N2/3R4 w - -,d1e1
5rk1/1bR3pp/5q2/pP6/5r2/4Qp2/P3P1BP/3R2K1 w - -,e2f3
4r2k/5p2/b1Np1q1p/Q2Pn1p1/4P3/7P/5PP1/4R1K1 w - -,a5a6
3rr3/2p2pk1/1p1p2bp/pPn3p1/P3P3/2P1NPP1/2B3P1/3RR1K1 w - -,e3d5
8/6R1/8/1r1kp2p/6p1/1P4P1/4PK2/8 w - -,g7g5
r2q1rk1/pb4pp/1p1p1nn1/2pP1p2/8/P1N3P1/1P2PPBP/R1BQ1RK1 w - -,b2b4
8/q3ppkp/Pn1p2p1/QBpP4/4P3/1P4P1/5P1P/6K1 b - -,h7h5
5r2/R1bk3p/2p3p1/p3pp2/P3P3/5P2/1PPN2PP/1K6 b - -,h7h5
rn2k2r/1pp1qpb1/p1bpp2p/3PP1p1/5Pn1/2N1B1P1/PPPQ3P/1K1R1BNR b kq -,e6d5
r4rk1/ppqbbppp/4pn2/6B1/2BR4/5N2/PPP1QPPP/5RK1 w - -,f3e5
5rk1/pb2ppbp/1P4p1/nQ6/3P4/4BN2/q3BPPP/2rR2K1 w - -,d1c1
4r1k1/4q1b1/1p5p/p1pPpRP1/P1P1Q2P/1P3KB1/8/8 b - -,h6g5
r2q1rk1/1b2bppp/np2p3/p2p4/3PnB2/P1N2NP1/1P2PPBP/2RQ1RK1 b - -,e4c3
r2qk2r/1p3pp1/1n1p1b1p/p2P4/P2N1P2/4B3/1PPQ3P/R2K3R w kq -,d2d3
5r2/p4p1R/5rk1/2p5/2p4R/7P/PP6/2K5 w - -,h7h6
8/4q2k/3N1np1/2Q5/1P2PP1p/3R3P/6PK/r7 w - -,c5e5
4b3/2k5/pr4p1/3pP3/2pP3P/2K5/P1B5/5R2 b - -,c7d8
3r3k/1p3K2/2p2R2/8/1P6/5p2/7r/1B6 b - -,f3f2
3q1rk1/1p2bpp1/2r1bn1p/p2p4/N7/P3B1PP/1P2PPB1/2RQ1RK1 w - -,c1c6
5r2/R4p2/4p1k1/p3r1pp/2R5/5B1P/6P1/7K w - -,f3e4
3rr1k1/1bq3pp/n1p1pp2/pp5P/3PPb2/P2N2PB/1P2QP2/3RR1K1 w - -,d3f4
rnbq1rk1/pp3pbp/6p1/2pp4/4P3/2N5/PP2BPPP/R1BQK2R w KQ -,e4d5
R6K/5k1P/8/8/8/8/8/5r2 w - -,a8g8
3qkb1r/1p1n1ppp/p1rp1n2/4p3/4P3/1NNQBP2/PP4PP/R4RK1 w k -,a1c1
br1r2k1/4bppp/p2ppn2/R1n5/2P1P3/4BP2/NP2B1PP/QR4K1 b - -,c5b3
3r3k/ppp3pp/4B3/8/2Pn4/4QP2/Pq6/3R1KN1 w - -,e6d5
1nbq1rk1/r1pp1ppp/1p2pn2/p3N3/1bPP4/6P1/PP1BPPBP/RN1QK2R w KQ -,e1g1
2b5/8/pK1k2pp/1p2n3/4B2P/P3N1P1/1P3P2/8 w - -,f2f4
8/7k/3K2p1/3B4/P7/4P3/5r2/8 w - -,a4a5
r3kb1r/pppq2pp/2n1bp2/3p1p2/3P4/P1NBP3/1PP2PPP/R2QK1NR w KQkq -,d1f3:g1e2
r3k2r/pp3ppp/1qnbp3/3p1b2/2pP1P2/2P2N2/PP1NBPPP/R1Q1K2R w KQkq -,g2g3
r1b2rk1/1p1n1ppp/p4q2/3Pp3/5P2/1Q6/PP1B2PP/2R2K1R w - -,h2h4
5bk1/p4p2/4p2p/5q2/2N4P/1P4P1/5PK1/3Q4 b - -,f5e4
r4rk1/pp3pp1/4b1qp/1N1p4/1Q6/4PP2/PP4PP/2R1K1R1 b - -,f8c8
6k1/1p2b1pp/2p5/p3p3/2P5/2N3PB/Pn2KP1P/8 b - -,g8f7
r3k2r/pp1b1pp1/1q1bpn2/3p1n1p/3P1P2/2PB1Q1P/PP1N1BP1/1R2K1NR b Kkq -,d7b5
3r1k2/1r2ppB1/p5pp/8/3PR1P1/2P4P/PP3P2/R5K1 b - -,f8g7
8/3r4/1R2p1p1/3pkp2/R6P/4r1P1/6K1/8 b - -,d7d6
r3k2r/1b2qppp/p1p2n2/1pb1pPB1/P3P3/2NB1Q2/1PP3PP/R4R1K w kq -,c3e2
1q5k/p5r1/3p4/4pPP1/2P1P2p/3P4/P3PQ1K/2B5 b - -,b8b1
4rk2/4pn1p/p3r1p1/q2P1p2/2Pp1P2/7P/2Q3P1/4RBK1 w - -,e1e6
8/4bk1p/8/1p1rppp1/8/2P1B1PP/1PK2P2/4R3 w - -,f2f3
r1bqkbnr/5ppp/p1p1p3/3p4/4P3/2NB4/PPP1QPPP/R1B1K2R b KQkq -,g8f6
8/8/5k2/1p1ppR2/p2b2PP/P7/6K1/1r1N4 b - -,f6e6
6r1/p7/Pp5P/6P1/3p3K/3Pk3/8/5R2 b - -,e3d3
8/p3p1kp/3p1p2/5P2/1p1qP1PR/8/PP6/1K5R b - -,d4e4
8/5pk1/6pp/p7/1b1r2P1/4NK1P/R7/8 w - -,h3h4
5rk1/p1pp1p1p/6p1/3pr3/8/1P4P1/P4PBP/RN3K2 w - -,b1c3
8/4p3/3p4/3P1kr1/1p1br3/1P1R4/5PK1/1R2N3 w - -,g2f1
2q5/3r1kp1/p1P1b3/3n1pPp/1p1NpP2/1P2B1P1/P1P2Q2/3R2K1 b - -,d7c7
r4rk1/2pb2b1/3p1qpp/2pPpn2/2P1B1PP/1P3N2/P1QB1P2/2KR3R b - g3,f5d4
8/1p6/8/p2p4/P3k3/6p1/1P1K2P1/8 b - -,d5d4
2k4r/p1p2p2/2p1n3/4P2p/6p1/1PB2rPP/P4PK1/2R2R2 w - h6,f1h1
