7k/8/1p4p1/p1p4P/P1Pr4/8/3pBK2/3N4 b - -,g6h5
r1b1r1k1/1pB1bppp/p3pn2/2n5/1PB5/2N1PN2/P4PPP/R4RK1 b - b3,c5e4
2R2bk1/5pp1/p3p2p/1p2Pb2/4rN1P/1P4P1/2P5/1K1R4 b - -,g7g5
2k5/4R3/1K6/8/1p6/8/P2b4/8 w - -,b6c6
8/5p2/5p2/pk2bP2/2B1Rp1p/2P2K1P/1r6/8 b - -,b5b6
r4r2/1pp3k1/pn1p1pp1/5P1p/4P2P/qP1R1Q2/2P2NP1/2K4R w - -,c1b1
4R3/8/8/4k3/7K/5p1P/2r5/8 b - -,e5f4
2r1k2r/1pqbbp1p/p2ppnp1/P7/4P3/1N1B4/1PP1QPPP/R1B2RK1 w k -,b3d2
7K/7b/8/6p1/3k4/3q4/Q1p5/8 w - -,a2a7
B4b1r/3k1ppp/1rp1pn2/2n5/P7/B1N3P1/3PPP1P/R3K2R w KQ -,e1g1
r3k2r/pb1n1p2/1p3q1p/4p1p1/1PP1P3/2PB1N2/2Q2nPP/3RK2R w Kkq -,c2f2
3r1k2/1p1r1pB1/p1q4p/b1p5/3p1PP1/3BQ2P/PPR5/1K1R4 b - -,f8g7
6k1/4R3/1b4pp/8/8/3B2P1/3r3P/5K2 w - -,d3g6
7r/K5p1/2P1p3/p4k2/8/8/1PR5/8 w - -,c6c7
r1bq1r2/2p2pbk/1p1p2pp/3Pp2n/P1P1P3/1nNNBP2/2Q1B1PP/R4RK1 b - -,b3a1
6k1/4bppp/8/1pp5/5P2/1P1BP3/5P1P/6K1 b - -,c5c4
6rk/1p3n1p/3p2r1/1Pq1p3/2P1Ppn1/2Q2N1P/2N1R1P1/3R1K2 b - -,g4f6
2r3k1/5p2/p2p2p1/1p1Pp1p1/5rn1/P1P5/1PR4P/4RBK1 w - -,c2g2
8/8/1p1k1pp1/3p3p/1P3P1P/2K1P1P1/4N3/1b6 b - -,b1f5
rnb1k1nr/pp3pbp/1qp3p1/4p3/3PP3/2N1BN2/PPP3PP/1R1QKB1R b Kkq -,g8e7
r6r/5pk1/pn5p/1p6/1P4RP/1PN2P2/2P5/1K1R4 b - -,g7h7
r1bq1rk1/pp2bppp/2pp1nn1/8/3NPP2/2N1B2P/PPP1B1P1/R2Q1RK1 w - -,d1e1
5r2/2qb3k/5ppp/4pN2/p2pN1P1/3P3B/4PP1P/R5K1 w - -,f5g3
r2q1rk1/pppn2pp/3bp3/8/4P3/2N5/PP2QPPP/R1B2RK1 w - -,c1e3
r2r2k1/4nppp/p4n2/Pp2N3/1P2b3/4N2P/2B2PP1/R2R2K1 w - -,c2b3
1br1r3/1p2npk1/p1b1p1p1/3pP3/1P1N2P1/2PBPKB1/1P6/R3R3 w - -,e1h1
8/1pr3k1/p4P2/P1pB3R/4P3/1P1K4/8/4b3 b - -,g7f6
r2q1rk1/1b2ppbp/1pn2np1/p1pp4/N1P5/P2P2P1/1P1NPPBP/1RBQ1RK1 b - c3,d5d4
r4k2/p3ppbp/3p2p1/N2N4/2P1P1b1/4B3/Pr3PPP/R4RK1 w - -,f2f3
2r3k1/5pp1/3bpn1p/2Nb4/3P4/5PP1/4BB1P/R5K1 w - -,a1a6
r1b1kb1r/pp2nppp/1qn1p3/3pP3/1P1P4/P4N2/5PPP/RNBQKB1R w KQkq -,f1d3
4rrk1/2pbqppp/p1pb4/1p5n/3NP3/1P5P/PBPN1PP1/R2QR1K1 b - -,h5f4
6k1/1p1b3p/5B2/3P4/r4np1/7P/5P2/1R2RBK1 b - -,f4d5
2r5/3k4/p3n2R/1pp1p2p/1P2P2P/1N4P1/2P5/6K1 w - -,b4c5
8/1pb1B3/8/1P1k1p2/6p1/3K4/6P1/8 w - -,e7a3
r1bqkb1r/pp1ppp1p/n4np1/2P5/8/4PN2/PPP2PPP/RNBQKB1R w KQkq -,b1d2
3q4/1br2k1p/pp2pbp1/5p2/P2Pp3/1P2P1P1/3N1P1P/1QR2BK1 w - -,c1c7
3rnrk1/1pq2pbp/2n1b1p1/p1p1pP2/P1N1P3/2P3P1/1PQN2BP/R1B2RK1 b - -,e6c4
8/5k2/3Q2p1/7p/5K1P/2q3P1/5P2/8 b - -,c3c1
rr4k1/2pn1pqn/bp1p2p1/3Pp2p/1PP1P3/1NNBQ1PP/1R3P2/4R1K1 b - -,b8f8
r2q1rk1/pp1np1bp/2npp1p1/8/4PP2/2N1B1P1/PPPQ3P/2KR1B1R b - -,e6e5
8/p7/1pb4p/4k1p1/5p2/1P4PP/P3BK2/8 b - -,c6d5
5K1k/1p4r1/2p2R2/8/1P6/3B4/5p1r/8 b - -,b7b5
4k3/5P1p/4K3/7P/8/8/8/8 b - -,e8f8
8/1ppk1p2/p3b2R/P7/1P1B4/2P1K3/6r1/8 w - -,h6h5
8/7k/7b/4Q3/1P6/P1P5/2q4P/KN6 w - -,e5e7
r4rk1/1p3ppp/p1nNp3/3pP3/1q1P4/1P1Q4/P4PPP/R2R2K1 w - -,a1c1
7k/1p4p1/p6p/8/8/1B1n2B1/3p4/5K2 w - -,f1e2
r3r1k1/1p1n1pbp/p2P2p1/2pN2N1/7B/8/PP2BPPP/R5K1 b - -,e8e2
2N1k3/1R1n1p1p/r1pBp3/b7/2P3r1/6P1/P3PPBP/5RK1 b - -,g4c4
rn1q1rk1/pb2bppp/1p1ppn2/2p5/4P3/3P1NP1/PPPN1PBP/R1BQR1K1 w - -,c2c3
2b1rr1k/pp3qp1/1n2pb1p/2ppN3/5B1P/2PP2PB/PP1QRP2/4R1K1 b - -,f6e5
rq2nrk1/1b1nbpp1/pp1pp2p/8/2P1N3/1P2Q1P1/PB2PPBP/R2RN1K1 w - -,a1c1
4k3/1p3pb1/3p4/7p/p1P1P2P/4B3/P1PK4/8 b - -,e8d7
r1q2rk1/1b1n1pbp/pp2pnp1/8/2P2B2/2NQ1N1P/PP3PP1/3RRBK1 b - -,f8d8
6k1/pp3pbp/4p1p1/3p4/b2PnB2/P4NP1/1P3PBP/2r3K1 w - -,f4c1
rr6/1p1bkp2/1np3pp/p1n1P3/P1BRPN2/1P3N1P/1KP3P1/3R4 b - -,b8f8
rnbq1rk1/ppp2ppp/3p1n2/4p3/2P5/P1Q1PN2/1P1P1PPP/R1B1KB1R w KQ -,b2b4
3k4/8/1N6/1P6/2KP4/8/4n3/8 b - -,e2f4
1rbq1rk1/2p1npb1/1p4pp/p2Pp3/P3P3/1N1QBRP1/1PP2N1P/3R2K1 b - -,g6g5
5rk1/1pb2p2/6q1/p1PR3p/1PQ1p3/1BP3P1/P4P2/6K1 w - -,g1f1
6k1/4npb1/4b1pp/q2pp3/8/1Q1P1NP1/3NPPBP/6K1 w - -,b3b7
1k1r1b1r/1ppqn3/p2p3p/3PpP2/PPN3n1/3Q1N2/2P2PP1/R1B2RK1 b - -,d7f5
r1bq1rk1/1p3pb1/p1np1npp/4p3/2P5/1NN1B1P1/PP2PPBP/2RQ1RK1 b - -,f6g4
r7/6kp/P1N1n3/2nR2p1/4pp2/P7/4BPPP/6K1 b - -,c5a6
3r1r1k/1p4pp/p7/4p3/4qP2/1Q6/PPP3PP/3RR1K1 b - -,d8d1
r4rk1/ppq2ppp/2Bbpn2/4Nb2/2NP4/1Q6/PP3PPP/R1B2RK1 b - -,b7c6
3rr1k1/pp3pp1/4b1qp/2R5/1P2p3/P3P2P/1Q3PPK/1NR5 b - -,d8d3
2kr3r/p2nbpp1/2p5/qp2Pp1p/2pP3P/2N5/PP1QBPP1/R4RK1 b - -,e7b4
1r2r3/2n1ppbk/pBp3pp/Pp1bPq2/3P4/1PQ2N1P/3N1PP1/R3R1K1 b - -,c7a8
4r1k1/2q2p2/2QRb1p1/r1P1P3/6Pp/3BP2P/p1P5/R5K1 b - -,c7c6
1Nb3k1/1q2b2p/p3Ppp1/3B4/8/5P2/Q5PP/3R3K b - -,b7b8
r2r2k1/1q2bppp/2ppb3/2P1p3/2P1P3/p3BPP1/PNRQ2BP/3R2K1 b - -,a3b2
R7/1r3ppk/4p2p/2NpP3/8/3nPP2/1B1n2PP/6K1 b - -,d3c5
5r2/8/pp2RP2/1k6/1P5p/8/4K3/8 w - -,e2f3
rnbq1rk1/2p1ppbp/p2p1np1/1p6/3PP3/2N1BN1P/PPPQ1PP1/R3KB1R w KQ b6,f1d3
r4bk1/pp3ppp/5n2/2p5/2P2B2/2P3N1/P4PPP/4R1K1 w - -,e1d1
r5k1/pb1q2bR/2n3Q1/2pp4/7N/2P1P3/P2N1PP1/4K3 b - -,c6e5
r4r2/pbq3k1/6p1/3pn3/N3ppB1/1P5P/P1PQ2P1/1R3RK1 w - -,d2d4
6k1/1p3p1p/1P1r1p2/2p5/2B1q3/6PP/4PQK1/5R2 w - -,f2f3
r2qr1k1/p4pbp/bp4p1/3p1p2/3P1N2/1P2PPP1/P2n2BP/2RQR1K1 w - -,d1d2
