8/8/8/4n1K1/8/2k5/p7/N7 b - -,c3b2
r2qk2r/1ppbn1pp/n4p2/pPb5/Q1Bp4/B4N2/P2P1PPP/RN2K2R w KQkq -,e1g1
8/5k2/R5n1/8/5r1p/3KN2P/6P1/8 b - -,f4f2
8/8/2p1N1R1/6Pp/P7/1P2k3/1K2n1r1/8 w - -,b2a3
1r2r1k1/4ppbp/p2p1np1/q2P1PB1/1pP4P/1P1B4/P1RQ2P1/5R1K w - -,d2f2
6k1/3R4/5p1p/6pP/1r4r1/1P6/P5R1/1K6 w - -,g2g4
5k2/2K5/4PN1p/8/8/8/8/8 b - -,f8e7
3q1rk1/1p2bp1n/p2p2p1/3Pp3/PP2P1Q1/2R1N3/5N2/2B3K1 w - -,c1d2
5rk1/4qp1p/R3p1p1/2p5/4PPQ1/1r1P4/6PP/2R4K b - -,b3d3
8/1p4q1/k1p1p3/p7/P1P5/1P2QK1P/8/8 b - -,g7f6
5rk1/p1pb2qp/2p5/P2pP3/4p3/1N4Q1/1PP3PP/5RK1 b - -,g7g3
8/5p2/r1k3pp/8/2P1K3/5R1P/5PP1/8 b - -,f7f5
2r3k1/pp2pbbp/3p2p1/4PP2/3R1n1q/1NN5/PPP3Q1/1K4R1 w - -,g2b7
3r4/2rpk1pp/4p1n1/5p2/R1P2P2/2P3PP/2N1PK2/3R4 b - -,g6h8
r4rk1/pbqnppb1/1p1p1npp/2p3B1/3PP3/2P2N2/PPQNBPPP/R3R1K1 w - -,g5f6
r2q1rk1/ppp1b1pp/1n2bp2/4p3/1P1n4/P1NPBNP1/4PPBP/1R1Q1RK1 b - -,d4f3
5b2/pk6/2p5/2P1N1pP/4p3/1P6/P4PP1/2K5 b - -,f8c5
4r3/ppnk3p/4p1p1/P7/3bB3/1RB3P1/4RPKP/3r4 w - -,e4c2
r1b2rk1/1pqp1ppp/p1n1pn2/8/1b1NP3/P1N1BP2/1PP1B1PP/R2Q1RK1 b - -,b4c3:b4e7
4r1k1/p3rpb1/3p2p1/qppP2P1/P1n1BB2/2N5/1PQ5/4RRK1 b - a3,g7c3
5R2/4k3/4P3/8/8/4r3/2K5/8 w - -,f8h8
8/8/8/5B2/8/4k3/5r2/2K5 w - -,f5h7
1r4k1/p5bp/b1n1p1p1/q2pP3/1ppP1NP1/2P1B3/PP1Q3P/R4BK1 b - -,b4c3
2r3k1/pp3ppp/4bn2/3p4/3P4/qP3N2/P3BPPP/3Q1RK1 w - -,d1b1
r4rk1/pp1nbppp/n3p3/qN6/3Pp3/PQN5/3B1PPP/1R3RK1 w - -,c3e4
1r3rk1/R1nqbpnp/3p2pB/1ppPp3/2P1P3/1PNQ1PPN/6KP/5R2 b - -,b5c4
r3r1k1/1p3pbp/3p2p1/2PP4/pP2p3/BP4P1/5P1P/2R1R1K1 w - -,c1b1
rnbqkb1r/pppn1ppp/4p3/3pP3/3P4/2P5/PP1N1PPP/R1BQKBNR b KQkq -,b7b6:c7c5
r1bqkbnr/pppp3p/6p1/4pP2/2Bn4/5Q2/PPPP1PPP/RNB1K1NR w KQkq -,f3g3
r4r2/1q3pkp/pp6/2pN2Pp/2PpP3/1P1P4/P3Q2P/5RK1 w - -,e2h5
3qr2k/5pnp/r1p1p1p1/p1PpP3/3N1PP1/P7/1P3Q1P/4RRK1 w - -,g1h1
r1b2rk1/1p2ppbp/p2p1np1/8/q2NP1P1/4BQ1P/PPP2PB1/1K1R3R b - -,c8e6
r4bk1/1bq2pn1/1ppp2p1/5P1p/1PP1P2P/r1N3P1/2QR1BBK/3R4 b - -,b7c8
8/p5pk/1p1Bq3/3n2pr/3Pp3/P3P1Q1/5PP1/2R3K1 w - -,g3e5
8/Pq5k/3K4/2Q5/8/8/8/8 b - -,h7g6
8/1P6/8/8/8/2p5/2Pk2Kp/8 w - -,b7b8q
r2q2b1/ppp3k1/3p1pp1/P2r4/6QN/3B1N2/P1P2PPP/5RK1 b - -,g8f7
4r1k1/1p2ppbp/p3n1p1/Pq1N4/1Pn1P3/4BP2/2Q3PP/3R1NK1 b - -,c4e3
1r1n3b/Rnrk1p2/7p/2pBpPpN/4P3/2PPB3/6PP/1R4K1 w - -,b1b6
r3k2r/p1pq1pp1/1pn1p1n1/3pP1Bp/3P3P/P1P3Q1/2P1NPP1/R4RK1 w kq -,g3d3
r1b2rk1/ppq1bppp/1n2pn2/8/2pP4/1BP2N2/PP2QPPP/RNB2RK1 w - -,b3c2
1r6/4Bp1k/pn1P2pp/1pR5/1P3b2/3R3P/P5P1/6K1 b - -,b8b7
8/2b4k/2p3p1/p2n1p2/P1N3p1/8/2P3PP/4B2K w - -,e1a5
r4rk1/p1p3pp/1bpp1q2/4P2n/3P1pR1/2N1BP2/PP3P1P/R2Q3K b - -,d6e5
2r2rk1/4bpp1/ppqp1n1p/4p3/2P5/1PN3P1/P2QPPNP/2RR2K1 w - -,g2e3
5B2/7r/2p4P/p2bP3/1p1P1R2/4kpK1/8/8 b - -,b4b3
4r3/R3bpp1/4p1kp/4P3/1pb2n2/7P/1R3BPK/8 w - -,f2d4
r3kr2/p3n3/2q1pnp1/1p1p2P1/2pP3P/P1P2QN1/1P3PK1/4R2R w q -,g5f6
2r1kb1r/1q3Pp1/2bp1n1p/4p3/1pQ1PP1P/4BB2/1PP5/1NKRR3 b k -,b7f7
6r1/8/5K2/7P/4k3/6P1/5P2/8 b - -,g8f8
r1bqk2r/bpp2pp1/p2p2n1/3Pp2p/2P1P1nP/1Q4P1/PP3PBN/R1BN1RK1 b kq -,a8b8
r2q1r2/pp3bkp/5pn1/3p1B2/3P4/2N4R/PP1Q2PP/3R2K1 b - -,f8h8
2k4r/pp3pp1/1np1p1p1/B1P1q1P1/3r4/PB3Q1P/1P3P2/1K5R w - -,a5c3
8/5k1p/B1P1Rpp1/p2p1p2/5P2/P7/1r4PP/6K1 b - -,f7e6
N4rk1/pp3ppp/8/8/1n3P2/4K3/PP5P/R4B1b w - -,f1d3
4qnk1/pp3ppp/1nr3b1/P1B5/1P2p3/1Q2N1PB/4PP1P/3R2K1 b - -,b6c8
r2qkb1r/2p3p1/p1n2n1p/1p1p2N1/3PN3/1B6/PPP3PP/R1BQ1RK1 b kq -,h6g5
2r2r1k/1p4bp/5np1/p5B1/1q2p1P1/1bN4P/1P2BP2/Q1R2RK1 w - -,f1e1
1r2k2r/p3qp2/4p2p/3pP1p1/R1bP4/1nP1QN2/2B2PPP/1R4K1 b k -,b8b5
2krr3/1p1qb3/p1n3p1/2p2p1p/3pNP2/PP1P1Q2/1BP1R1PP/4R1K1 w - f6,e4d2
r2qk2r/p4ppp/2pp1n2/2b1p3/1PB1P3/8/P1P2PPP/R1B1QRK1 b kq -,c5b6
rn2kb1r/pp1qpppp/3p1n2/2p5/4P3/5N2/PPPP1PPP/RNBQR1K1 b kq -,b8c6:e7e6:g7g6
r3kb1r/pp2pppp/2n2n2/3p4/3P1B2/1PN1Pb2/1P3PPP/R3KB1R w KQkq -,g2f3
8/p2p2kp/1p1P2p1/2p1rp2/5q2/P7/1PPQ1P2/R2K1R2 b - -,f4c4
rnbqk2r/pp2p3/2pp1bpp/5p2/2PP3P/2N1PN2/PPQ2PP1/R3KB1R b KQkq -,e7e5
5k2/2R3pp/5p2/8/7P/2P2P1K/8/6r1 b - -,h7h6
r2qkb1r/1b3ppp/p2ppn2/1pnN2B1/3NP3/1B6/PPP2PPP/R2QR1K1 b kq -,h7h6
2r3k1/1p3pbp/2q1p1p1/p2pP1Pn/3P4/1P2QN1P/5PKB/3R4 b - -,c6c3
8/1b1r2qk/2NPp1pp/5n2/1p1pB3/3Q1RPP/4RP2/6K1 b - -,f5d6
r1bq1rk1/pp2ppbp/n1pp1np1/8/2PPP3/2N1BN1P/PP3PP1/R2QKB1R w KQ -,a2a3:f1e2
8/1q5k/p4Qp1/1p3p1p/PP2p2P/3rP1P1/5PK1/R7 b - -,b7g7
3k2r1/1R1bqp2/2np4/4p3/P1B1P1np/8/1P3PPN/2RQ2K1 w - -,h2g4
r4bk1/p3rppp/1q1p1n2/nppP2N1/1PP2B2/P2P4/B5PP/R2Q1R1K b - -,a5b7
6r1/pp1q1rbk/4p3/3p1bpp/3P4/BP2RPP1/P2Q3P/2R2BK1 b - -,g5g4
r3kb1r/pp1n1ppp/2p1pq2/3P4/2B3b1/5N2/PPPBQPPP/2KR3R b kq -,g4f3:f8a3
rn1qkb1r/pbpp1ppp/1p3n2/3Pp3/2P5/P1N2N2/1P2PPPP/R1BQKB1R b KQkq -,d7d6
r3k1nr/3qb1p1/p1p1b2p/8/Q2PPB2/7P/PP1N2P1/R3R1K1 b kq -,g8f6
2r5/7p/4p1p1/1KP3R1/4kP2/6P1/8/8 w - -,c5c6
2r3k1/1r2pp1p/p3b1pb/3pP3/3P1N2/B4PP1/P6P/2RR2K1 b - -,h6f4
8/p3k3/1pp4p/2N3p1/2P3P1/P3PKB1/1r5P/8 w - -,c5e4
8/6KP/6R1/3kq3/p7/8/8/8 w - -,g7g8
