8/8/6Q1/3kp2P/2p1q3/P4RP1/3r1PK1/8 b - -,d2b2
r1bqkb1r/3n1ppp/p3pn2/1p1P4/2p5/1BN1PN2/PP3PPP/R1BQ1RK1 w kq -,d5e6
4b3/pp3kp1/4p1Np/4P2P/2r5/P3PK2/1P1R4/8 b - -,e8c6
r1b3k1/pp2pr1p/2n3pn/2qp4/3N4/2PB2B1/P1P1QPPP/3R1RK1 w - d6,d4e6
1r2r3/3bk1pp/4pp2/N1pp4/8/1PP2N1P/P4PP1/1R2R1K1 b - -,b8b5
r1r3k1/3q2np/bp2n1p1/2ppPp2/3P4/1P2PN2/1BRQ2PP/1BR3K1 w - -,b1a2
5b2/1p1n4/p1p1k1p1/P3p1P1/NP2Pp1P/2PK4/5B2/8 w - -,d3e2
r4rk1/1p1qbppp/4p3/p1Pp4/3P1B2/5Q2/PP3PPP/2R1R1K1 b - -,f8c8
r4k2/pp3ppp/2p1p1b1/2Pn4/3P4/1B6/PP3PPP/3RR1K1 w - -,b3d5
3qr1k1/r2nppb1/p1pN2pp/Pp2Pb2/3P3B/1BP4P/1P2Q1PN/5RK1 b - -,f5e6
rB2k2r/pp3pp1/2p1pn1p/q7/3P3P/2PQ2N1/PP3PP1/R3K2R b KQkq -,a8b8
8/8/8/1kpn4/p7/3K4/8/N7 w - -,d3c2
rn2rbk1/2qb1p1n/p2p3p/2PPp1p1/2P1P3/2NNB2P/3QBPP1/RR4K1 b - -,d6c5
2r2r2/1q3P1k/pp4pp/2pR1p2/P1B2P2/2Q5/1PP2R1P/6K1 w - -,d5d6
8/5kp1/1P1Bp1p1/5p2/3n1P2/8/5PKP/8 b - -,d4c6
4r3/3p1p1p/6p1/p1k5/Pp1p1N2/1P1B2P1/3K1P1P/8 b - -,d7d5
6k1/5p2/7p/4P1p1/8/4KNrP/7R/8 b - -,h6h5
rn1qkb1r/ppp1np1p/3pp1p1/8/3P1P2/6P1/PPPN1P1P/R1BQKB1R w KQkq -,d2f3
8/5k2/3R4/8/r4NKP/8/8/8 b - -,f7e7
6k1/8/2n3pp/1p3p2/1Pp2KP1/2P2P2/3B3P/8 b - g3,f5g4
4b1k1/p4q2/1b2pPp1/1p1pB3/1P4Q1/3B2P1/P4P2/6K1 w - -,g1g2
8/4r1pp/4kp2/8/8/2K4P/1R4P1/8 w - -,c3d3
2r3k1/RQp2bpp/3qpp2/8/3P1N2/4P2P/5PP1/6K1 b - -,d6d8
5k2/7R/1R5P/8/6K1/6P1/4r3/7r w - -,b6b8
1q3rk1/1b1n1p1p/1p2p1p1/r1pnP3/P1BPN3/1Q3N1P/5PP1/2RR2K1 w - -,c4b5
5k1r/p2qnpp1/8/1pb1r3/2QN2b1/2P1N1P1/PP4BP/R3R1K1 w - b6,c4d3
2rr2k1/1p3pbp/p1npp1p1/7n/PqP1P3/1PN1BP2/3QN1PP/1R1R2K1 w - -,g1h1
Qq1b2k1/5p1p/p5p1/1rn1P3/2Np4/3P2BP/P5P1/5R1K w - -,a8b8
r1b2rk1/pp1q1pb1/n2p2pB/1N1Pp3/1P2P2P/5PnN/P2QB1P1/2R1K1R1 b - -,g3e2
4R2k/1p4p1/3p3p/p1bP1r2/6Pq/2B5/PPR3K1/8 b - -,h8h7
r5k1/2r2ppp/pn1p1q2/1p2n2b/4P3/1P3P2/P1BNN1PP/1Q1RR1K1 w - -,e2g3
8/8/2b4p/4k3/2pp4/N4P2/3K2PP/8 b - -,e5d5
5rk1/p4qpp/1p2Rp2/2p2b2/2Pp1P2/Q2P2B1/P5PP/4R1K1 b - -,f5e6
8/2k3p1/1p3p2/p3p1p1/4P3/P1B2P1B/KPr3P1/8 w - -,a2b3
8/2b5/4k3/1p3p2/8/P1B3P1/1P3P2/6K1 w - -,b2b3
1rbqr1k1/1pbn1ppp/p2p1n2/2pP4/P1N2B2/2N3P1/1P2PPBP/R2Q1RK1 b - -,d7f8
k1qr3r/2pb1p2/p1pp3p/Q3b1pP/3NP3/1P2BP2/P1P3P1/1K1R3R w - -,d4e2
rn1qk2r/pbp3pp/1p1pp3/5p2/2PPnB2/2PBPN1P/P1Q2PP1/R3K2R b KQkq -,b8d7
5B2/7Q/p3ppp1/6k1/3nq3/6P1/5P2/6K1 w - -,g1h2
4B1rk/2p3qp/3p1r2/8/2PPRp2/5QPK/PP6/6R1 b - -,f4g3
2r5/p3kpp1/4p2p/Nbbn4/PnR5/4P3/1P3PPP/3NB1K1 w - -,a4b5
3Q4/4k1p1/7p/4np2/4p3/6P1/4K3/2R5 b - -,e7d8
6k1/2bN1p2/5P1p/6nP/6P1/5P2/4K3/8 b - -,g5h7
2rr4/5p1p/7k/pP2np1N/R7/5P2/4K1PP/7R w - -,h5g3
8/p1qkb2Q/2p2p2/2p5/1PPp4/3P3P/P1N5/6K1 w - -,h7f5
2B5/pp2k1p1/2p5/P1P1K1P1/2b1P3/2P5/8/8 b - -,e7d8
8/2p3pk/p7/1pP3P1/1P2P2p/8/2P3K1/8 b - -,h7g6
2b3r1/7k/3p1R1p/p1nPb3/p1p1P2P/2P2Q1P/1PB5/7K w - -,f3h5
4k3/8/5RP1/1K3p2/pB3P2/P1P5/2br4/8 b - -,d2g2
8/5R2/1KN5/Pp3rp1/1P3k2/8/5p2/8 w - -,f7f5
2b5/R4p1k/3p2pn/3Pp1p1/4P3/4N1NP/P4PPK/1r6 w - -,f2f3
8/4kp1p/4p1p1/1B1p4/P2RP1n1/6P1/r4PKP/8 w - -,e4d5
4b3/4kr2/2p5/p1N1P3/P2K3R/8/8/8 b - -,f7f1
8/4k3/2K2np1/5pBp/2Bbp3/6P1/7P/8 w - -,c4e2
2k4r/1p1r1pp1/p1qbpn1p/7P/2P5/1NB3P1/PP2QP2/1K1R3R w - -,h1h4
8/4p3/3pk3/5p1p/5PP1/3R1K1P/1r6/8 b - g3,f5g4
q3r1k1/2p4p/5np1/1pbpN3/8/2P5/1PQN1PPP/2B2RK1 b - -,e8e5
2r3k1/4pp1p/2rp2p1/8/4PP1P/1R1Q2P1/qB4B1/7K b - h3,e7e5
2K5/8/8/8/8/6q1/3Q2kp/8 b - -,g3f2
2rr2k1/q2nbppp/1pb1pn2/p1p5/2N1P3/PPBP1NP1/5PBP/1QR1R1K1 b - -,a5a4
r3k2r/1p1nqppp/2pb1n2/p3p3/1P2P3/N4BPP/P1P2P2/1RB1QRK1 w kq a6,a3c4
rn1q1rk1/pbpp1ppp/1p2pn2/8/1bPP4/2NBPP2/PP1B2PP/R2QK1NR b KQ -,d7d5
8/R7/7k/3pq1pp/5p2/5Q1P/P4PPK/4r3 w - -,a7a6
r1b1kb1r/1pp2ppp/p1nqpn2/6N1/2BP4/2N5/PPP2PPP/R1BQK2R w KQkq -,c1e3
5rk1/pbq2ppp/1p1np3/2r5/P1P1p3/1P2P3/1B1NQPPP/R2R2K1 b - -,c5g5
r1bq1rk1/pp2ppbp/2p3p1/2p1Pn2/4N3/3P1N1P/PPP2PP1/R1BQR1K1 b - -,b7b6
5n2/4k1p1/3r2Pp/P2p4/1P2nP2/4PB2/1K6/3R4 b - -,f8d7
2r1r1k1/1bqn1pbp/p1pp1np1/3Pp3/P1P1P3/4BNNP/2B2PP1/R2QR1K1 w - -,a1c1
8/p6p/2k3p1/2p5/2P3r1/3KP1P1/PP6/4R3 w - -,e1h1
4Q3/p1k5/3p3p/2p5/1pP5/qPbN2P1/5P1P/6K1 w - -,d3f4
4k3/4pp2/1r2n1p1/1P1p3p/5P1P/4K1P1/4B3/1R6 w - -,e2f3
r1q1k2r/pbpnbppp/4pn2/1p4N1/4N3/3P2P1/PPP2PBP/R1BQ1RK1 w kq -,d1e2
r1bqkb1r/pp2pppp/2Np1n2/8/4P3/3B4/PPP2PPP/RNBQK2R b KQkq -,b7c6
3rr1k1/1R2pp2/2Nb2pp/8/3p4/3P2P1/P3PP1P/R5K1 b - -,d8a8
2r1rbk1/2q2ppp/pp1ppn2/8/2PNN3/1P3QP1/P3PPKP/2RR4 b - -,f6d7
4rn1k/6bp/pR6/6q1/P2P4/2PQ4/5P1P/1R3K2 w - -,d3f3
4rrk1/pp4bp/3p2p1/2pPn3/8/P1N1P1PP/1P1B1Q2/1R1K3R b - -,f8f2
2r2rk1/pp2bppp/4pn2/2Bp4/8/P1NP1BP1/qP2PP1P/R4RK1 w - -,c3a2
r3k2r/p4pp1/2pqpn1p/1p1B3P/3P4/1R6/PPPBQ1P1/2K2R2 b kq -,d6d5
r2q1rk1/5pp1/p2b1n1p/1p6/3N2b1/1PNQ4/1PP2PPP/R1B1R1K1 b - -,d6c5
r4rk1/1p2ppbp/3pbnp1/q2N4/p1P1P3/4BP2/PP1QB1PP/2R2RK1 b - -,a5d2:e6d5
2R5/8/8/2b5/2k5/4r3/3K4/8 b - -,e3e6
r3r1k1/1p3p1p/2ppq1p1/2n4n/p1P1PP2/2b1B1P1/PP1Q2BP/3RR1K1 w - -,d2c3
3q1r2/6kp/6p1/1pP5/1P1b3P/3P1B2/R2Q2K1/8 b - -,d8h4
r1n1r1k1/pP1q1pb1/2n1b1pp/2p1p3/8/3PNNPP/1PP2PB1/R1BQR1K1 b - -,d7b7
8/5kpB/4pn2/4n3/R7/6R1/P2r2P1/6K1 w - -,a4a7
8/8/2k1K1R1/1r6/5B2/b5P1/5P2/8 w - -,g6g8
8/5ppk/7p/2Rrp2P/1P1p4/3P2P1/5PK1/8 b - -,d5d7
8/R6p/P5pk/5p2/r2B4/3K2P1/5P2/6b1 w - -,d4c5
