8/5b2/8/1p3P2/4K1k1/2P5/5P2/8 b - -,g4g5
4rrk1/pp2q1pp/2p1b3/2Pp1p2/5Q2/6P1/PP2PPBP/2RR2K1 w - -,h2h4
rn2kb1r/pp2pppp/2p2n2/3PNb2/3P4/1P2P3/1P3PPP/RNB1KB1R b KQkq -,f6d5
1r6/1r1q2bk/3pb1pp/n1pN1p2/p1PP4/p5P1/1PQ2PBP/3RBR1K w - -,b2a3
8/3k3p/8/n1K1PPP1/5B2/P1n5/8/8 b - -,c3e4
1nrr2k1/pb2q1bp/1p2p1p1/5p2/2PPpP2/1P2N3/PBQRB1PP/5RK1 w - -,f1d1
8/5pkp/4p1p1/6P1/3PKP2/3R3P/r6r/3R4 b - -,a2b2
1r2r1k1/p3qpp1/2pp1nbp/4n3/1PP1p1PB/P1Q1P2P/3NBP2/R3K1R1 b Q b3,a7a5
rn6/pb2r1k1/2p3pp/1p3p2/8/2N2BP1/PP1RPP1P/3R2K1 w - -,d2d6
3r1rk1/pp3pp1/2nqpnp1/6Q1/3P2P1/5NNP/1P3PK1/3RR3 w - -,g2g1
QR3bk1/5r2/3p4/p1p1p1qb/P1P1P1p1/3PNpP1/5P2/6KB b - -,g5h6
r3rbk1/1p3bpp/p1q2p2/2p2P2/P2pP1P1/1P5Q/1BP3N1/3RR1K1 w - -,h3f3
5k2/2rnpp2/3p2p1/p1rP3p/R4P2/2P1K1PP/1P2B3/3R4 w - -,f4f5
R7/5pk1/6p1/1ppBr3/1qP3p1/2N5/1P1R1K2/8 w - -,a8b8
rn1qkb1r/pp4p1/2ppbn1p/5p2/3PpB2/1NN3P1/PPP1PPBP/R2QK2R w KQkq -,h2h4
2r1k2r/1pq1ppb1/p1npbn1p/6p1/4P3/1NN2P1P/PPPQBBP1/R3K2R w KQk -,h3h4
1r1n1r2/p3ppk1/2pq2p1/3nNb1p/2QPN3/1BP5/P4PPP/3RR1K1 b - -,f5e4
r1bq1rk1/pp2nppp/3b1n2/1B1p4/7Q/2N1PN2/PP3PPP/R1B2RK1 w - -,b5d3
3r1rk1/1pp1q1pp/2n3b1/p1Pp4/5P1b/PP2PN2/1B3PBP/R1Q2RK1 w - -,b3b4
r1bqr1k1/pp3pp1/2p2n1p/b1p1p3/4P3/P1NP1N1P/1PPBQPP1/R4RK1 w - -,e2e3
2rq1rk1/pn1b2bp/Bp1p2p1/3Ppp1n/1P2P3/2N1BP2/P2QN1PP/2R2RK1 b - -,c8b8
4qrk1/p2rpp2/1n1p2p1/1pnN2P1/3QP3/5R1B/2P4P/5RK1 w - -,d5b6
2rr2k1/1p2pp1p/p2p2pb/q6n/2P1P3/1P3PPb/PBN1B2P/1Q1R2RK b - -,h3d7
r4r2/ppp3k1/8/3pPqpQ/5p2/2P3Pb/PP1B4/R4RK1 w - -,g3f4
rnbqkbnr/pp2pp1p/2p3p1/3p4/2P5/5NP1/PP1PPPBP/RNBQK2R b KQkq -,f8g7
8/3r1kpp/Bn3p2/8/p2p4/1r1P2P1/4PP1P/B3R1K1 b - -,a4a3
4r3/p4k2/3b1n2/P1pP1p2/1pP2p1P/1P2pP1P/8/1N2RKB1 b - -,a7a6
8/8/6R1/7p/1pk2P2/p1n5/6PP/K7 w - -,g6c6
7k/p4pp1/4p3/1B6/5P2/b3P3/5P1P/2R3K1 b - -,a3c1
r1r3k1/3nbp1p/pqb1p1p1/3p4/1p1P4/3BP1BP/PP1N1PP1/2RQ1RK1 b - -,b6a5
r2k3r/ppp3pp/3b4/3Pnb2/8/6BP/PP2P1B1/2KR2NR b - -,e5c4
6k1/1pB3pp/4pp2/p2p4/P2P3P/1r1bP3/R2K1PP1/8 b - -,b7b6
2bqr1k1/1p3pp1/p1r2nn1/3p1PB1/3P4/P1N3R1/1PBQ3P/R6K b - -,g6e7
r4rk1/1b1n1ppp/pq2pn2/1pb5/3NP3/2N1B3/PPB1QPPP/R2R2K1 b - -,d7e5
R7/8/5p2/4p1kp/8/6PP/P3PK2/7r b - -,e5e4
r1b1r1k1/ppp2ppp/3p4/3B4/3N4/2b5/PB4PP/R4K2 w - -,b2c3
3qr1k1/pp3n1p/2p3p1/3p1p1P/3PnP2/2P5/PPB2PQ1/3RR1K1 b - -,g8h8
8/5p2/5P2/1P3rPk/8/2K5/8/6R1 b - -,f5b5
8/3R4/6pp/6k1/1p1n2P1/6rP/5R2/5K2 b - -,d4f3
8/1p4k1/p1b2p1p/P3n3/1P3R1P/4K1P1/2B5/8 b - -,e5f7
6r1/5p2/4pk2/R6p/5P2/6K1/4P3/8 w - -,g3f3
8/4Rp1k/6p1/p4r1p/1pB5/1Pn2P2/5PKP/8 b - -,h7g7
1rb3k1/1p3p1p/p1p3p1/2r5/R3B3/4P2P/PR3PP1/6K1 w - -,a4a6
4rb1r/pp1k1b2/2n1pp2/3p2pp/2PP2P1/3B1NBP/PP3P2/2KRR3 b - -,h5g4
8/8/5R1p/6pk/6p1/6P1/7P/6K1 w - -,f6f8
rn1q1rk1/p3bppp/1p1pp3/2p5/2P1b3/1P1P1NP1/PB2PPBP/R2QR1K1 b - -,e4b7
5rk1/ppq1nrp1/4p2p/2npP3/1P3PQ1/2B3N1/P5PP/4RR1K b - -,c5d3
6r1/p4k2/1r2pp2/Np1p4/1PbP1P1P/P3RK2/8/4R3 b - -,g8h8
6k1/p1pq1ppp/1p1pr3/7r/2P1P1nP/1P1P2P1/PB1Q1PK1/3RR3 w - -,f2f3
r3kb1r/1p1b2pp/pqn1pp2/3p3n/3P4/2N1PNB1/PPQ1BPPP/2R1K2R b Kkq -,h5g3
r1r3k1/1q1n1ppp/1p1p1b2/1BnP4/pQ2pP2/N3B2P/PPP3P1/3R1RK1 b - -,d7b8
3rr1k1/2pq2pp/8/p2Npp2/2Pb4/P2P4/1PQ2PPP/3RR1K1 w - -,b2b4
rn1q1rk1/1b2bppp/p3pn2/1p6/1P6/P1N1PN2/1BQ1BPPP/R3K2R w KQ -,e1g1
2kr1b1r/B4ppp/2p1pn2/8/2p5/2N3P1/PP2PP1P/R3K2R b KQ -,f8b4
r2qkb1r/pp1npp1p/3p1np1/8/2PNP1b1/2N1B3/PP2BPPP/R2QK2R b KQkq -,g4e2
6k1/p3p2p/1p4p1/8/2p4q/2PrQP1N/6PK/8 w - -,e3e5
r3r1k1/p4pp1/1p3nnB/3p4/2qpP2Q/P1P2PN1/5RPP/5RK1 w - -,h4h3
1R6/1p4k1/p2Bp3/3pPnp1/7r/PP2KP2/8/8 w - -,e3e2
1n3rk1/rp2p3/2p1N1pp/q1n1Qp2/2P5/pR1P1BP1/P3PP1P/5RK1 b - -,c5e6
3k4/2p3B1/np4p1/3P2P1/1PP5/2K5/8/8 b - -,d8e7
8/1p3kbp/p1n1r1p1/3p2P1/3P1pRP/3P1N2/PP1K1B2/8 b - -,h7h5
8/6p1/p2bp2p/3k1p2/5P2/PP2KP1P/4N3/8 w - -,e2c3
r1b1k2r/2qnbppp/p1n1p3/4p3/N3BP2/1N2BQ2/1PP3PP/R4RK1 b kq -,c8b7
5r2/4P1k1/p7/4b1p1/7P/6R1/BPQ4K/4q3 b - -,e1g3
4r3/pb3p2/3k3p/3p4/P2R4/1R4P1/1P4PP/6K1 b - -,b7a6
6k1/3Q3q/5p2/8/1p4P1/8/6K1/8 w - -,d7e8
Q7/8/5p2/5p2/3Kp3/5k2/8/8 w - -,a8d5
8/6k1/4p3/3pP1p1/1p3bP1/1P3K2/P1B5/8 b - -,f4e5
8/1P5p/R3p1p1/1n1pk3/N1r5/K7/P5PP/8 w - -,a3b2
8/2b1k3/pp4p1/1p2Pp2/3N1Pp1/1P3K1P/P7/8 w - -,h3g4
5n2/1p6/p7/P2p1p1k/1P1N4/2P1K3/8/8 w - -,d4f5
5B2/6p1/4k2p/8/2P4P/1P3KP1/8/5r2 w - -,f3e4
1nr3k1/4qppp/pnb1p3/1p1p4/3P4/PP1QP1P1/1B3PBP/R2N2K1 w - -,d3d2
r3k2r/1pqnbppp/p2p4/3Pn3/5BP1/1N5P/PPP1Q3/2KR1B1R b kq g3,e8g8
2r3k1/P4ppp/4p3/8/6P1/5P2/8/1R4K1 b - -,f7f6
r3qrk1/1ppb1pbp/n2p1np1/p2Pp3/2P1P3/2N4P/PP1NBPP1/1RBQR1K1 b - -,a6c5
2r1rbk1/3b1pp1/7p/1p1p1P2/2nBP3/5RNP/1P4P1/1B1R2K1 b - -,d5e4
r1b1k2r/pp1np2p/3p1n2/q1pP1p1p/2P2N2/2P5/P1Q1PPP1/R1B1KB1R w KQkq -,e2e3
r4rk1/pbq2pbp/1pnppnp1/2p5/2PP4/1P2PNP1/PB1NQPBP/2R2RK1 b - -,f8e8
5r1k/1P1R2p1/8/4p3/P2pP1q1/3P4/1Q3PK1/8 w - -,g2f1
6k1/p4p2/3Qp1p1/2P5/3n3q/4NP2/P3P1K1/8 w - -,c5c6
r2q1rk1/pbpn1pbp/1p1p2p1/3Pp2n/4P3/1NPB1N2/PP3PPP/R1BQR1K1 b - -,g7f6
5rk1/1p3ppp/p3P3/8/1b1N1B2/3b1P1P/6P1/2rR2K1 w - -,d1c1
